areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000076,Tendring,ltla,2022-08-02,121319
E07000076,Tendring,ltla,2022-08-01,121317
E07000076,Tendring,ltla,2022-07-31,121317
E07000076,Tendring,ltla,2022-07-30,121317
E07000076,Tendring,ltla,2022-07-29,121316
E07000076,Tendring,ltla,2022-07-28,121314
E07000076,Tendring,ltla,2022-07-27,121306
E07000076,Tendring,ltla,2022-07-26,121304
E07000076,Tendring,ltla,2022-07-25,121304
E07000076,Tendring,ltla,2022-07-24,121303
E07000076,Tendring,ltla,2022-07-23,121303
E07000076,Tendring,ltla,2022-07-22,121303
E07000076,Tendring,ltla,2022-07-21,121301
E07000076,Tendring,ltla,2022-07-20,121297
E07000076,Tendring,ltla,2022-07-19,121297
E07000076,Tendring,ltla,2022-07-18,121295
E07000076,Tendring,ltla,2022-07-17,121295
E07000076,Tendring,ltla,2022-07-16,121291
E07000076,Tendring,ltla,2022-07-15,121290
E07000076,Tendring,ltla,2022-07-14,121288
E07000076,Tendring,ltla,2022-07-13,121283
E07000076,Tendring,ltla,2022-07-12,121282
E07000076,Tendring,ltla,2022-07-11,121282
E07000076,Tendring,ltla,2022-07-10,121279
E07000076,Tendring,ltla,2022-07-09,121278
E07000076,Tendring,ltla,2022-07-08,121272
E07000076,Tendring,ltla,2022-07-07,121272
E07000076,Tendring,ltla,2022-07-06,121266
E07000076,Tendring,ltla,2022-07-05,121264
E07000076,Tendring,ltla,2022-07-04,121264
E07000076,Tendring,ltla,2022-07-03,121264
E07000076,Tendring,ltla,2022-07-02,121263
E07000076,Tendring,ltla,2022-07-01,121261
E07000076,Tendring,ltla,2022-06-30,121260
E07000076,Tendring,ltla,2022-06-29,121259
E07000076,Tendring,ltla,2022-06-28,121256
E07000076,Tendring,ltla,2022-06-27,121254
E07000076,Tendring,ltla,2022-06-26,121254
E07000076,Tendring,ltla,2022-06-25,121254
E07000076,Tendring,ltla,2022-06-24,121245
E07000076,Tendring,ltla,2022-06-23,121244
E07000076,Tendring,ltla,2022-06-22,121242
E07000076,Tendring,ltla,2022-06-21,121242
E07000076,Tendring,ltla,2022-06-20,121236
