areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E09000030,Tower Hamlets,ltla,2022-08-02,240498
E09000030,Tower Hamlets,ltla,2022-08-01,240480
E09000030,Tower Hamlets,ltla,2022-07-31,240459
E09000030,Tower Hamlets,ltla,2022-07-30,240457
E09000030,Tower Hamlets,ltla,2022-07-29,240451
E09000030,Tower Hamlets,ltla,2022-07-28,240426
E09000030,Tower Hamlets,ltla,2022-07-27,240411
E09000030,Tower Hamlets,ltla,2022-07-26,240388
E09000030,Tower Hamlets,ltla,2022-07-25,240365
E09000030,Tower Hamlets,ltla,2022-07-24,240351
E09000030,Tower Hamlets,ltla,2022-07-23,240347
E09000030,Tower Hamlets,ltla,2022-07-22,240335
E09000030,Tower Hamlets,ltla,2022-07-21,240322
E09000030,Tower Hamlets,ltla,2022-07-20,240317
E09000030,Tower Hamlets,ltla,2022-07-19,240304
E09000030,Tower Hamlets,ltla,2022-07-18,240301
E09000030,Tower Hamlets,ltla,2022-07-17,240292
E09000030,Tower Hamlets,ltla,2022-07-16,240291
E09000030,Tower Hamlets,ltla,2022-07-15,240284
E09000030,Tower Hamlets,ltla,2022-07-14,240268
E09000030,Tower Hamlets,ltla,2022-07-13,240255
E09000030,Tower Hamlets,ltla,2022-07-12,240243
E09000030,Tower Hamlets,ltla,2022-07-11,240225
E09000030,Tower Hamlets,ltla,2022-07-10,240195
E09000030,Tower Hamlets,ltla,2022-07-09,240194
E09000030,Tower Hamlets,ltla,2022-07-08,240185
E09000030,Tower Hamlets,ltla,2022-07-07,240168
E09000030,Tower Hamlets,ltla,2022-07-06,240153
E09000030,Tower Hamlets,ltla,2022-07-05,240130
E09000030,Tower Hamlets,ltla,2022-07-04,240109
E09000030,Tower Hamlets,ltla,2022-07-03,240090
E09000030,Tower Hamlets,ltla,2022-07-02,240090
E09000030,Tower Hamlets,ltla,2022-07-01,240078
E09000030,Tower Hamlets,ltla,2022-06-30,240064
E09000030,Tower Hamlets,ltla,2022-06-29,240044
E09000030,Tower Hamlets,ltla,2022-06-28,240025
E09000030,Tower Hamlets,ltla,2022-06-27,239999
E09000030,Tower Hamlets,ltla,2022-06-26,239978
E09000030,Tower Hamlets,ltla,2022-06-25,239976
E09000030,Tower Hamlets,ltla,2022-06-24,239960
E09000030,Tower Hamlets,ltla,2022-06-23,239934
E09000030,Tower Hamlets,ltla,2022-06-22,239916
E09000030,Tower Hamlets,ltla,2022-06-21,239894
E09000030,Tower Hamlets,ltla,2022-06-20,239873
E09000030,Tower Hamlets,ltla,2022-06-19,239848
E09000030,Tower Hamlets,ltla,2022-06-18,239845
E09000030,Tower Hamlets,ltla,2022-06-17,239810
E09000030,Tower Hamlets,ltla,2022-06-16,239793
E09000030,Tower Hamlets,ltla,2022-06-15,239779
E09000030,Tower Hamlets,ltla,2022-06-14,239758
E09000030,Tower Hamlets,ltla,2022-06-13,239747
E09000030,Tower Hamlets,ltla,2022-06-12,239727
E09000030,Tower Hamlets,ltla,2022-06-11,239724
E09000030,Tower Hamlets,ltla,2022-06-10,239707
E09000030,Tower Hamlets,ltla,2022-06-09,239693
E09000030,Tower Hamlets,ltla,2022-06-08,239676
E09000030,Tower Hamlets,ltla,2022-06-07,239655
E09000030,Tower Hamlets,ltla,2022-06-06,239631
E09000030,Tower Hamlets,ltla,2022-06-05,239603
E09000030,Tower Hamlets,ltla,2022-06-04,239600
E09000030,Tower Hamlets,ltla,2022-06-03,239571
E09000030,Tower Hamlets,ltla,2022-06-02,239568
E09000030,Tower Hamlets,ltla,2022-06-01,239563
E09000030,Tower Hamlets,ltla,2022-05-31,239536
E09000030,Tower Hamlets,ltla,2022-05-30,239511
E09000030,Tower Hamlets,ltla,2022-05-29,239488
E09000030,Tower Hamlets,ltla,2022-05-28,239485
E09000030,Tower Hamlets,ltla,2022-05-27,239463
E09000030,Tower Hamlets,ltla,2022-05-26,239443
E09000030,Tower Hamlets,ltla,2022-05-25,239437
E09000030,Tower Hamlets,ltla,2022-05-24,239417
E09000030,Tower Hamlets,ltla,2022-05-23,239395
E09000030,Tower Hamlets,ltla,2022-05-22,239370
E09000030,Tower Hamlets,ltla,2022-05-21,239369
E09000030,Tower Hamlets,ltla,2022-05-20,239335
E09000030,Tower Hamlets,ltla,2022-05-19,239316
E09000030,Tower Hamlets,ltla,2022-05-18,239289
E09000030,Tower Hamlets,ltla,2022-05-17,239251
E09000030,Tower Hamlets,ltla,2022-05-16,239233
E09000030,Tower Hamlets,ltla,2022-05-15,239209
E09000030,Tower Hamlets,ltla,2022-05-14,239204
E09000030,Tower Hamlets,ltla,2022-05-13,239174
E09000030,Tower Hamlets,ltla,2022-05-12,239130
E09000030,Tower Hamlets,ltla,2022-05-11,239103
E09000030,Tower Hamlets,ltla,2022-05-10,239076
E09000030,Tower Hamlets,ltla,2022-05-09,239044
E09000030,Tower Hamlets,ltla,2022-05-08,239006
E09000030,Tower Hamlets,ltla,2022-05-07,239002
E09000030,Tower Hamlets,ltla,2022-05-06,238945
E09000030,Tower Hamlets,ltla,2022-05-05,238910
E09000030,Tower Hamlets,ltla,2022-05-04,238885
E09000030,Tower Hamlets,ltla,2022-05-03,238861
E09000030,Tower Hamlets,ltla,2022-05-02,238823
E09000030,Tower Hamlets,ltla,2022-05-01,238820
E09000030,Tower Hamlets,ltla,2022-04-30,238818
E09000030,Tower Hamlets,ltla,2022-04-29,238801
E09000030,Tower Hamlets,ltla,2022-04-28,238780
E09000030,Tower Hamlets,ltla,2022-04-27,238760
E09000030,Tower Hamlets,ltla,2022-04-26,238734
E09000030,Tower Hamlets,ltla,2022-04-25,238708
E09000030,Tower Hamlets,ltla,2022-04-24,238676
E09000030,Tower Hamlets,ltla,2022-04-23,238675
E09000030,Tower Hamlets,ltla,2022-04-22,238634
E09000030,Tower Hamlets,ltla,2022-04-21,238603
E09000030,Tower Hamlets,ltla,2022-04-20,238580
E09000030,Tower Hamlets,ltla,2022-04-19,238552
E09000030,Tower Hamlets,ltla,2022-04-18,238506
E09000030,Tower Hamlets,ltla,2022-04-17,238505
E09000030,Tower Hamlets,ltla,2022-04-16,238503
E09000030,Tower Hamlets,ltla,2022-04-15,238495
E09000030,Tower Hamlets,ltla,2022-04-14,238482
E09000030,Tower Hamlets,ltla,2022-04-13,238447
E09000030,Tower Hamlets,ltla,2022-04-12,238407
E09000030,Tower Hamlets,ltla,2022-04-11,238359
E09000030,Tower Hamlets,ltla,2022-04-10,238297
E09000030,Tower Hamlets,ltla,2022-04-09,238294
E09000030,Tower Hamlets,ltla,2022-04-08,238257
E09000030,Tower Hamlets,ltla,2022-04-07,238220
E09000030,Tower Hamlets,ltla,2022-04-06,238163
E09000030,Tower Hamlets,ltla,2022-04-05,238134
E09000030,Tower Hamlets,ltla,2022-04-04,238089
E09000030,Tower Hamlets,ltla,2022-04-03,238044
E09000030,Tower Hamlets,ltla,2022-04-02,238037
E09000030,Tower Hamlets,ltla,2022-04-01,237991
E09000030,Tower Hamlets,ltla,2022-03-31,237949
E09000030,Tower Hamlets,ltla,2022-03-30,237908
E09000030,Tower Hamlets,ltla,2022-03-29,237834
E09000030,Tower Hamlets,ltla,2022-03-28,237796
E09000030,Tower Hamlets,ltla,2022-03-27,237752
E09000030,Tower Hamlets,ltla,2022-03-26,237732
E09000030,Tower Hamlets,ltla,2022-03-25,237659
