areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E09000031,Waltham Forest,ltla,2022-08-02,185871
E09000031,Waltham Forest,ltla,2022-08-01,185867
E09000031,Waltham Forest,ltla,2022-07-31,185865
E09000031,Waltham Forest,ltla,2022-07-30,185864
E09000031,Waltham Forest,ltla,2022-07-29,185846
E09000031,Waltham Forest,ltla,2022-07-28,185834
E09000031,Waltham Forest,ltla,2022-07-27,185828
E09000031,Waltham Forest,ltla,2022-07-26,185823
E09000031,Waltham Forest,ltla,2022-07-25,185816
E09000031,Waltham Forest,ltla,2022-07-24,185810
E09000031,Waltham Forest,ltla,2022-07-23,185810
E09000031,Waltham Forest,ltla,2022-07-22,185798
E09000031,Waltham Forest,ltla,2022-07-21,185794
E09000031,Waltham Forest,ltla,2022-07-20,185788
E09000031,Waltham Forest,ltla,2022-07-19,185784
E09000031,Waltham Forest,ltla,2022-07-18,185780
E09000031,Waltham Forest,ltla,2022-07-17,185776
E09000031,Waltham Forest,ltla,2022-07-16,185775
E09000031,Waltham Forest,ltla,2022-07-15,185765
E09000031,Waltham Forest,ltla,2022-07-14,185760
E09000031,Waltham Forest,ltla,2022-07-13,185753
E09000031,Waltham Forest,ltla,2022-07-12,185751
E09000031,Waltham Forest,ltla,2022-07-11,185745
E09000031,Waltham Forest,ltla,2022-07-10,185741
E09000031,Waltham Forest,ltla,2022-07-09,185739
E09000031,Waltham Forest,ltla,2022-07-08,185727
E09000031,Waltham Forest,ltla,2022-07-07,185718
E09000031,Waltham Forest,ltla,2022-07-06,185713
E09000031,Waltham Forest,ltla,2022-07-05,185708
E09000031,Waltham Forest,ltla,2022-07-04,185694
E09000031,Waltham Forest,ltla,2022-07-03,185686
E09000031,Waltham Forest,ltla,2022-07-02,185684
E09000031,Waltham Forest,ltla,2022-07-01,185675
E09000031,Waltham Forest,ltla,2022-06-30,185665
E09000031,Waltham Forest,ltla,2022-06-29,185657
E09000031,Waltham Forest,ltla,2022-06-28,185653
E09000031,Waltham Forest,ltla,2022-06-27,185648
E09000031,Waltham Forest,ltla,2022-06-26,185643
E09000031,Waltham Forest,ltla,2022-06-25,185640
E09000031,Waltham Forest,ltla,2022-06-24,185624
E09000031,Waltham Forest,ltla,2022-06-23,185617
E09000031,Waltham Forest,ltla,2022-06-22,185611
E09000031,Waltham Forest,ltla,2022-06-21,185604
E09000031,Waltham Forest,ltla,2022-06-20,185597
E09000031,Waltham Forest,ltla,2022-06-19,185595
E09000031,Waltham Forest,ltla,2022-06-18,185592
E09000031,Waltham Forest,ltla,2022-06-17,185581
E09000031,Waltham Forest,ltla,2022-06-16,185577
E09000031,Waltham Forest,ltla,2022-06-15,185570
E09000031,Waltham Forest,ltla,2022-06-14,185564
E09000031,Waltham Forest,ltla,2022-06-13,185555
E09000031,Waltham Forest,ltla,2022-06-12,185544
E09000031,Waltham Forest,ltla,2022-06-11,185538
E09000031,Waltham Forest,ltla,2022-06-10,185522
E09000031,Waltham Forest,ltla,2022-06-09,185514
E09000031,Waltham Forest,ltla,2022-06-08,185507
E09000031,Waltham Forest,ltla,2022-06-07,185501
E09000031,Waltham Forest,ltla,2022-06-06,185495
E09000031,Waltham Forest,ltla,2022-06-05,185483
E09000031,Waltham Forest,ltla,2022-06-04,185482
E09000031,Waltham Forest,ltla,2022-06-03,185471
E09000031,Waltham Forest,ltla,2022-06-02,185465
E09000031,Waltham Forest,ltla,2022-06-01,185463
E09000031,Waltham Forest,ltla,2022-05-31,185450
