areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000193,East Staffordshire,ltla,2022-08-02,90260
E07000193,East Staffordshire,ltla,2022-08-01,90253
E07000193,East Staffordshire,ltla,2022-07-31,90245
E07000193,East Staffordshire,ltla,2022-07-30,90242
E07000193,East Staffordshire,ltla,2022-07-29,90233
E07000193,East Staffordshire,ltla,2022-07-28,90227
E07000193,East Staffordshire,ltla,2022-07-27,90211
E07000193,East Staffordshire,ltla,2022-07-26,90205
E07000193,East Staffordshire,ltla,2022-07-25,90193
E07000193,East Staffordshire,ltla,2022-07-24,90186
E07000193,East Staffordshire,ltla,2022-07-23,90174
E07000193,East Staffordshire,ltla,2022-07-22,90148
E07000193,East Staffordshire,ltla,2022-07-21,90140
E07000193,East Staffordshire,ltla,2022-07-20,90136
E07000193,East Staffordshire,ltla,2022-07-19,90131
E07000193,East Staffordshire,ltla,2022-07-18,90128
E07000193,East Staffordshire,ltla,2022-07-17,90127
E07000193,East Staffordshire,ltla,2022-07-16,90083
E07000193,East Staffordshire,ltla,2022-07-15,90067
E07000193,East Staffordshire,ltla,2022-07-14,90063
E07000193,East Staffordshire,ltla,2022-07-13,90056
E07000193,East Staffordshire,ltla,2022-07-12,90047
E07000193,East Staffordshire,ltla,2022-07-11,90023
E07000193,East Staffordshire,ltla,2022-07-10,90013
E07000193,East Staffordshire,ltla,2022-07-09,89985
E07000193,East Staffordshire,ltla,2022-07-08,89955
E07000193,East Staffordshire,ltla,2022-07-07,89949
E07000193,East Staffordshire,ltla,2022-07-06,89938
E07000193,East Staffordshire,ltla,2022-07-05,89932
E07000193,East Staffordshire,ltla,2022-07-04,89926
E07000193,East Staffordshire,ltla,2022-07-03,89924
E07000193,East Staffordshire,ltla,2022-07-02,89917
E07000193,East Staffordshire,ltla,2022-07-01,89900
E07000193,East Staffordshire,ltla,2022-06-30,89899
E07000193,East Staffordshire,ltla,2022-06-29,89867
E07000193,East Staffordshire,ltla,2022-06-28,89853
E07000193,East Staffordshire,ltla,2022-06-27,89833
E07000193,East Staffordshire,ltla,2022-06-26,89829
E07000193,East Staffordshire,ltla,2022-06-25,89816
E07000193,East Staffordshire,ltla,2022-06-24,89799
E07000193,East Staffordshire,ltla,2022-06-23,89797
E07000193,East Staffordshire,ltla,2022-06-22,89778
E07000193,East Staffordshire,ltla,2022-06-21,89776
E07000193,East Staffordshire,ltla,2022-06-20,89769
E07000193,East Staffordshire,ltla,2022-06-19,89760
E07000193,East Staffordshire,ltla,2022-06-18,89728
E07000193,East Staffordshire,ltla,2022-06-17,89721
E07000193,East Staffordshire,ltla,2022-06-16,89718
E07000193,East Staffordshire,ltla,2022-06-15,89687
E07000193,East Staffordshire,ltla,2022-06-14,89685
E07000193,East Staffordshire,ltla,2022-06-13,89660
E07000193,East Staffordshire,ltla,2022-06-12,89656
E07000193,East Staffordshire,ltla,2022-06-11,89651
E07000193,East Staffordshire,ltla,2022-06-10,89615
E07000193,East Staffordshire,ltla,2022-06-09,89613
E07000193,East Staffordshire,ltla,2022-06-08,89595
E07000193,East Staffordshire,ltla,2022-06-07,89584
E07000193,East Staffordshire,ltla,2022-06-06,89552
E07000193,East Staffordshire,ltla,2022-06-05,89550
E07000193,East Staffordshire,ltla,2022-06-04,89547
E07000193,East Staffordshire,ltla,2022-06-03,89536
E07000193,East Staffordshire,ltla,2022-06-02,89534
E07000193,East Staffordshire,ltla,2022-06-01,89528
E07000193,East Staffordshire,ltla,2022-05-31,89520
E07000193,East Staffordshire,ltla,2022-05-30,89490
E07000193,East Staffordshire,ltla,2022-05-29,89481
E07000193,East Staffordshire,ltla,2022-05-28,89470
E07000193,East Staffordshire,ltla,2022-05-27,89466
E07000193,East Staffordshire,ltla,2022-05-26,89461
E07000193,East Staffordshire,ltla,2022-05-25,89427
E07000193,East Staffordshire,ltla,2022-05-24,89426
E07000193,East Staffordshire,ltla,2022-05-23,89400
E07000193,East Staffordshire,ltla,2022-05-22,89395
E07000193,East Staffordshire,ltla,2022-05-21,89392
E07000193,East Staffordshire,ltla,2022-05-20,89378
E07000193,East Staffordshire,ltla,2022-05-19,89371
E07000193,East Staffordshire,ltla,2022-05-18,89332
E07000193,East Staffordshire,ltla,2022-05-17,89326
E07000193,East Staffordshire,ltla,2022-05-16,89316
E07000193,East Staffordshire,ltla,2022-05-15,89308
E07000193,East Staffordshire,ltla,2022-05-14,89305
E07000193,East Staffordshire,ltla,2022-05-13,89278
E07000193,East Staffordshire,ltla,2022-05-12,89272
E07000193,East Staffordshire,ltla,2022-05-11,89260
E07000193,East Staffordshire,ltla,2022-05-10,89252
E07000193,East Staffordshire,ltla,2022-05-09,89212
E07000193,East Staffordshire,ltla,2022-05-08,89201
E07000193,East Staffordshire,ltla,2022-05-07,89182
E07000193,East Staffordshire,ltla,2022-05-06,89170
E07000193,East Staffordshire,ltla,2022-05-05,89149
E07000193,East Staffordshire,ltla,2022-05-04,89136
E07000193,East Staffordshire,ltla,2022-05-03,89125
E07000193,East Staffordshire,ltla,2022-05-02,89109
E07000193,East Staffordshire,ltla,2022-05-01,89109
E07000193,East Staffordshire,ltla,2022-04-30,89096
E07000193,East Staffordshire,ltla,2022-04-29,89074
E07000193,East Staffordshire,ltla,2022-04-28,89068
E07000193,East Staffordshire,ltla,2022-04-27,89039
E07000193,East Staffordshire,ltla,2022-04-26,89025
E07000193,East Staffordshire,ltla,2022-04-25,88996
E07000193,East Staffordshire,ltla,2022-04-24,88987
E07000193,East Staffordshire,ltla,2022-04-23,88971
E07000193,East Staffordshire,ltla,2022-04-22,88944
E07000193,East Staffordshire,ltla,2022-04-21,88932
E07000193,East Staffordshire,ltla,2022-04-20,88888
E07000193,East Staffordshire,ltla,2022-04-19,88871
E07000193,East Staffordshire,ltla,2022-04-18,88824
E07000193,East Staffordshire,ltla,2022-04-17,88820
E07000193,East Staffordshire,ltla,2022-04-16,88809
E07000193,East Staffordshire,ltla,2022-04-15,88793
E07000193,East Staffordshire,ltla,2022-04-14,88789
E07000193,East Staffordshire,ltla,2022-04-13,88751
E07000193,East Staffordshire,ltla,2022-04-12,88724
E07000193,East Staffordshire,ltla,2022-04-11,88673
E07000193,East Staffordshire,ltla,2022-04-10,88660
E07000193,East Staffordshire,ltla,2022-04-09,88632
E07000193,East Staffordshire,ltla,2022-04-08,88581
E07000193,East Staffordshire,ltla,2022-04-07,88563
E07000193,East Staffordshire,ltla,2022-04-06,88524
E07000193,East Staffordshire,ltla,2022-04-05,88520
E07000193,East Staffordshire,ltla,2022-04-04,88475
E07000193,East Staffordshire,ltla,2022-04-03,88458
E07000193,East Staffordshire,ltla,2022-04-02,88447
E07000193,East Staffordshire,ltla,2022-04-01,88410
E07000193,East Staffordshire,ltla,2022-03-31,88398
E07000193,East Staffordshire,ltla,2022-03-30,88358
E07000193,East Staffordshire,ltla,2022-03-29,88340
E07000193,East Staffordshire,ltla,2022-03-28,88317
E07000193,East Staffordshire,ltla,2022-03-27,88311
E07000193,East Staffordshire,ltla,2022-03-26,88282
E07000193,East Staffordshire,ltla,2022-03-25,88238
E07000193,East Staffordshire,ltla,2022-03-24,88167
E07000193,East Staffordshire,ltla,2022-03-23,88126
E07000193,East Staffordshire,ltla,2022-03-22,88104
E07000193,East Staffordshire,ltla,2022-03-21,88081
E07000193,East Staffordshire,ltla,2022-03-20,88062
E07000193,East Staffordshire,ltla,2022-03-19,88033
E07000193,East Staffordshire,ltla,2022-03-18,88000
