areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000121,Lancaster,ltla,2022-08-02,108957
E07000121,Lancaster,ltla,2022-08-01,108949
E07000121,Lancaster,ltla,2022-07-31,108940
E07000121,Lancaster,ltla,2022-07-30,108938
E07000121,Lancaster,ltla,2022-07-29,108930
E07000121,Lancaster,ltla,2022-07-28,108927
E07000121,Lancaster,ltla,2022-07-27,108905
E07000121,Lancaster,ltla,2022-07-26,108904
E07000121,Lancaster,ltla,2022-07-25,108897
E07000121,Lancaster,ltla,2022-07-24,108888
E07000121,Lancaster,ltla,2022-07-23,108880
E07000121,Lancaster,ltla,2022-07-22,108866
E07000121,Lancaster,ltla,2022-07-21,108852
E07000121,Lancaster,ltla,2022-07-20,108837
E07000121,Lancaster,ltla,2022-07-19,108837
E07000121,Lancaster,ltla,2022-07-18,108836
E07000121,Lancaster,ltla,2022-07-17,108827
E07000121,Lancaster,ltla,2022-07-16,108822
E07000121,Lancaster,ltla,2022-07-15,108805
E07000121,Lancaster,ltla,2022-07-14,108803
E07000121,Lancaster,ltla,2022-07-13,108792
E07000121,Lancaster,ltla,2022-07-12,108785
E07000121,Lancaster,ltla,2022-07-11,108778
E07000121,Lancaster,ltla,2022-07-10,108762
E07000121,Lancaster,ltla,2022-07-09,108751
E07000121,Lancaster,ltla,2022-07-08,108731
E07000121,Lancaster,ltla,2022-07-07,108715
E07000121,Lancaster,ltla,2022-07-06,108705
E07000121,Lancaster,ltla,2022-07-05,108698
E07000121,Lancaster,ltla,2022-07-04,108692
E07000121,Lancaster,ltla,2022-07-03,108681
E07000121,Lancaster,ltla,2022-07-02,108673
E07000121,Lancaster,ltla,2022-07-01,108664
E07000121,Lancaster,ltla,2022-06-30,108647
E07000121,Lancaster,ltla,2022-06-29,108636
E07000121,Lancaster,ltla,2022-06-28,108629
E07000121,Lancaster,ltla,2022-06-27,108612
E07000121,Lancaster,ltla,2022-06-26,108605
E07000121,Lancaster,ltla,2022-06-25,108599
E07000121,Lancaster,ltla,2022-06-24,108570
E07000121,Lancaster,ltla,2022-06-23,108556
E07000121,Lancaster,ltla,2022-06-22,108544
E07000121,Lancaster,ltla,2022-06-21,108540
E07000121,Lancaster,ltla,2022-06-20,108520
E07000121,Lancaster,ltla,2022-06-19,108514
E07000121,Lancaster,ltla,2022-06-18,108508
E07000121,Lancaster,ltla,2022-06-17,108499
E07000121,Lancaster,ltla,2022-06-16,108487
E07000121,Lancaster,ltla,2022-06-15,108478
E07000121,Lancaster,ltla,2022-06-14,108476
E07000121,Lancaster,ltla,2022-06-13,108472
E07000121,Lancaster,ltla,2022-06-12,108466
E07000121,Lancaster,ltla,2022-06-11,108458
E07000121,Lancaster,ltla,2022-06-10,108423
E07000121,Lancaster,ltla,2022-06-09,108413
E07000121,Lancaster,ltla,2022-06-08,108404
E07000121,Lancaster,ltla,2022-06-07,108398
E07000121,Lancaster,ltla,2022-06-06,108394
E07000121,Lancaster,ltla,2022-06-05,108384
E07000121,Lancaster,ltla,2022-06-04,108375
E07000121,Lancaster,ltla,2022-06-03,108364
E07000121,Lancaster,ltla,2022-06-02,108363
E07000121,Lancaster,ltla,2022-06-01,108362
E07000121,Lancaster,ltla,2022-05-31,108361
E07000121,Lancaster,ltla,2022-05-30,108347
E07000121,Lancaster,ltla,2022-05-29,108335
E07000121,Lancaster,ltla,2022-05-28,108330
E07000121,Lancaster,ltla,2022-05-27,108306
E07000121,Lancaster,ltla,2022-05-26,108298
E07000121,Lancaster,ltla,2022-05-25,108293
E07000121,Lancaster,ltla,2022-05-24,108288
E07000121,Lancaster,ltla,2022-05-23,108275
E07000121,Lancaster,ltla,2022-05-22,108265
E07000121,Lancaster,ltla,2022-05-21,108256
E07000121,Lancaster,ltla,2022-05-20,108237
E07000121,Lancaster,ltla,2022-05-19,108222
E07000121,Lancaster,ltla,2022-05-18,108198
E07000121,Lancaster,ltla,2022-05-17,108195
E07000121,Lancaster,ltla,2022-05-16,108181
E07000121,Lancaster,ltla,2022-05-15,108171
E07000121,Lancaster,ltla,2022-05-14,108164
E07000121,Lancaster,ltla,2022-05-13,108150
E07000121,Lancaster,ltla,2022-05-12,108134
E07000121,Lancaster,ltla,2022-05-11,108113
E07000121,Lancaster,ltla,2022-05-10,108108
E07000121,Lancaster,ltla,2022-05-09,108084
E07000121,Lancaster,ltla,2022-05-08,108075
E07000121,Lancaster,ltla,2022-05-07,108069
E07000121,Lancaster,ltla,2022-05-06,108046
E07000121,Lancaster,ltla,2022-05-05,108035
E07000121,Lancaster,ltla,2022-05-04,108019
E07000121,Lancaster,ltla,2022-05-03,108015
E07000121,Lancaster,ltla,2022-05-02,108003
E07000121,Lancaster,ltla,2022-05-01,107996
E07000121,Lancaster,ltla,2022-04-30,107988
E07000121,Lancaster,ltla,2022-04-29,107970
E07000121,Lancaster,ltla,2022-04-28,107958
E07000121,Lancaster,ltla,2022-04-27,107934
E07000121,Lancaster,ltla,2022-04-26,107929
E07000121,Lancaster,ltla,2022-04-25,107924
E07000121,Lancaster,ltla,2022-04-24,107905
E07000121,Lancaster,ltla,2022-04-23,107899
E07000121,Lancaster,ltla,2022-04-22,107884
E07000121,Lancaster,ltla,2022-04-21,107866
E07000121,Lancaster,ltla,2022-04-20,107837
E07000121,Lancaster,ltla,2022-04-19,107817
E07000121,Lancaster,ltla,2022-04-18,107813
E07000121,Lancaster,ltla,2022-04-17,107806
E07000121,Lancaster,ltla,2022-04-16,107796
E07000121,Lancaster,ltla,2022-04-15,107782
E07000121,Lancaster,ltla,2022-04-14,107766
E07000121,Lancaster,ltla,2022-04-13,107739
E07000121,Lancaster,ltla,2022-04-12,107704
E07000121,Lancaster,ltla,2022-04-11,107692
E07000121,Lancaster,ltla,2022-04-10,107679
E07000121,Lancaster,ltla,2022-04-09,107660
E07000121,Lancaster,ltla,2022-04-08,107627
E07000121,Lancaster,ltla,2022-04-07,107616
E07000121,Lancaster,ltla,2022-04-06,107602
E07000121,Lancaster,ltla,2022-04-05,107565
E07000121,Lancaster,ltla,2022-04-04,107545
