areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000074,Maldon,ltla,2022-08-02,52674
E07000074,Maldon,ltla,2022-08-01,52671
E07000074,Maldon,ltla,2022-07-31,52658
E07000074,Maldon,ltla,2022-07-30,52658
E07000074,Maldon,ltla,2022-07-29,52657
E07000074,Maldon,ltla,2022-07-28,52655
E07000074,Maldon,ltla,2022-07-27,52647
E07000074,Maldon,ltla,2022-07-26,52643
E07000074,Maldon,ltla,2022-07-25,52642
E07000074,Maldon,ltla,2022-07-24,52616
E07000074,Maldon,ltla,2022-07-23,52610
E07000074,Maldon,ltla,2022-07-22,52607
E07000074,Maldon,ltla,2022-07-21,52606
E07000074,Maldon,ltla,2022-07-20,52600
E07000074,Maldon,ltla,2022-07-19,52599
E07000074,Maldon,ltla,2022-07-18,52599
E07000074,Maldon,ltla,2022-07-17,52594
E07000074,Maldon,ltla,2022-07-16,52585
E07000074,Maldon,ltla,2022-07-15,52585
E07000074,Maldon,ltla,2022-07-14,52585
E07000074,Maldon,ltla,2022-07-13,52583
E07000074,Maldon,ltla,2022-07-12,52581
E07000074,Maldon,ltla,2022-07-11,52581
E07000074,Maldon,ltla,2022-07-10,52574
E07000074,Maldon,ltla,2022-07-09,52565
E07000074,Maldon,ltla,2022-07-08,52560
E07000074,Maldon,ltla,2022-07-07,52558
E07000074,Maldon,ltla,2022-07-06,52553
E07000074,Maldon,ltla,2022-07-05,52550
E07000074,Maldon,ltla,2022-07-04,52550
E07000074,Maldon,ltla,2022-07-03,52533
E07000074,Maldon,ltla,2022-07-02,52524
E07000074,Maldon,ltla,2022-07-01,52520
E07000074,Maldon,ltla,2022-06-30,52520
E07000074,Maldon,ltla,2022-06-29,52515
E07000074,Maldon,ltla,2022-06-28,52509
E07000074,Maldon,ltla,2022-06-27,52508
E07000074,Maldon,ltla,2022-06-26,52499
E07000074,Maldon,ltla,2022-06-25,52494
E07000074,Maldon,ltla,2022-06-24,52482
E07000074,Maldon,ltla,2022-06-23,52480
E07000074,Maldon,ltla,2022-06-22,52479
E07000074,Maldon,ltla,2022-06-21,52477
E07000074,Maldon,ltla,2022-06-20,52477
E07000074,Maldon,ltla,2022-06-19,52467
E07000074,Maldon,ltla,2022-06-18,52466
E07000074,Maldon,ltla,2022-06-17,52462
E07000074,Maldon,ltla,2022-06-16,52462
E07000074,Maldon,ltla,2022-06-15,52457
E07000074,Maldon,ltla,2022-06-14,52454
E07000074,Maldon,ltla,2022-06-13,52454
E07000074,Maldon,ltla,2022-06-12,52453
E07000074,Maldon,ltla,2022-06-11,52444
E07000074,Maldon,ltla,2022-06-10,52437
E07000074,Maldon,ltla,2022-06-09,52436
