areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E08000022,North Tyneside,ltla,2022-08-02,160850
E08000022,North Tyneside,ltla,2022-08-01,160847
E08000022,North Tyneside,ltla,2022-07-31,160834
E08000022,North Tyneside,ltla,2022-07-30,160829
E08000022,North Tyneside,ltla,2022-07-29,160760
E08000022,North Tyneside,ltla,2022-07-28,160746
E08000022,North Tyneside,ltla,2022-07-27,160730
E08000022,North Tyneside,ltla,2022-07-26,160726
E08000022,North Tyneside,ltla,2022-07-25,160717
E08000022,North Tyneside,ltla,2022-07-24,160683
E08000022,North Tyneside,ltla,2022-07-23,160679
E08000022,North Tyneside,ltla,2022-07-22,160654
E08000022,North Tyneside,ltla,2022-07-21,160643
E08000022,North Tyneside,ltla,2022-07-20,160635
E08000022,North Tyneside,ltla,2022-07-19,160632
E08000022,North Tyneside,ltla,2022-07-18,160628
E08000022,North Tyneside,ltla,2022-07-17,160609
E08000022,North Tyneside,ltla,2022-07-16,160606
E08000022,North Tyneside,ltla,2022-07-15,160569
E08000022,North Tyneside,ltla,2022-07-14,160550
E08000022,North Tyneside,ltla,2022-07-13,160537
E08000022,North Tyneside,ltla,2022-07-12,160530
E08000022,North Tyneside,ltla,2022-07-11,160525
E08000022,North Tyneside,ltla,2022-07-10,160496
E08000022,North Tyneside,ltla,2022-07-09,160494
E08000022,North Tyneside,ltla,2022-07-08,160408
E08000022,North Tyneside,ltla,2022-07-07,160401
E08000022,North Tyneside,ltla,2022-07-06,160393
E08000022,North Tyneside,ltla,2022-07-05,160387
E08000022,North Tyneside,ltla,2022-07-04,160375
E08000022,North Tyneside,ltla,2022-07-03,160357
E08000022,North Tyneside,ltla,2022-07-02,160353
E08000022,North Tyneside,ltla,2022-07-01,160317
E08000022,North Tyneside,ltla,2022-06-30,160283
E08000022,North Tyneside,ltla,2022-06-29,160273
E08000022,North Tyneside,ltla,2022-06-28,160265
E08000022,North Tyneside,ltla,2022-06-27,160258
E08000022,North Tyneside,ltla,2022-06-26,160245
E08000022,North Tyneside,ltla,2022-06-25,160242
E08000022,North Tyneside,ltla,2022-06-24,160173
E08000022,North Tyneside,ltla,2022-06-23,160165
E08000022,North Tyneside,ltla,2022-06-22,160157
E08000022,North Tyneside,ltla,2022-06-21,160149
E08000022,North Tyneside,ltla,2022-06-20,160147
E08000022,North Tyneside,ltla,2022-06-19,160137
E08000022,North Tyneside,ltla,2022-06-18,160124
E08000022,North Tyneside,ltla,2022-06-17,160096
E08000022,North Tyneside,ltla,2022-06-16,160068
E08000022,North Tyneside,ltla,2022-06-15,160066
E08000022,North Tyneside,ltla,2022-06-14,160061
E08000022,North Tyneside,ltla,2022-06-13,160055
E08000022,North Tyneside,ltla,2022-06-12,160044
E08000022,North Tyneside,ltla,2022-06-11,160044
E08000022,North Tyneside,ltla,2022-06-10,159987
E08000022,North Tyneside,ltla,2022-06-09,159980
E08000022,North Tyneside,ltla,2022-06-08,159976
E08000022,North Tyneside,ltla,2022-06-07,159968
E08000022,North Tyneside,ltla,2022-06-06,159951
E08000022,North Tyneside,ltla,2022-06-05,159927
E08000022,North Tyneside,ltla,2022-06-04,159925
E08000022,North Tyneside,ltla,2022-06-03,159898
E08000022,North Tyneside,ltla,2022-06-02,159891
E08000022,North Tyneside,ltla,2022-06-01,159883
E08000022,North Tyneside,ltla,2022-05-31,159870
