areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000031,South Lakeland,ltla,2022-08-02,84953
E07000031,South Lakeland,ltla,2022-08-01,84947
E07000031,South Lakeland,ltla,2022-07-31,84942
E07000031,South Lakeland,ltla,2022-07-30,84936
E07000031,South Lakeland,ltla,2022-07-29,84934
E07000031,South Lakeland,ltla,2022-07-28,84928
E07000031,South Lakeland,ltla,2022-07-27,84921
E07000031,South Lakeland,ltla,2022-07-26,84918
E07000031,South Lakeland,ltla,2022-07-25,84912
E07000031,South Lakeland,ltla,2022-07-24,84909
E07000031,South Lakeland,ltla,2022-07-23,84908
E07000031,South Lakeland,ltla,2022-07-22,84895
E07000031,South Lakeland,ltla,2022-07-21,84884
E07000031,South Lakeland,ltla,2022-07-20,84871
E07000031,South Lakeland,ltla,2022-07-19,84864
E07000031,South Lakeland,ltla,2022-07-18,84858
E07000031,South Lakeland,ltla,2022-07-17,84851
E07000031,South Lakeland,ltla,2022-07-16,84847
E07000031,South Lakeland,ltla,2022-07-15,84844
E07000031,South Lakeland,ltla,2022-07-14,84837
E07000031,South Lakeland,ltla,2022-07-13,84827
E07000031,South Lakeland,ltla,2022-07-12,84817
E07000031,South Lakeland,ltla,2022-07-11,84814
E07000031,South Lakeland,ltla,2022-07-10,84806
E07000031,South Lakeland,ltla,2022-07-09,84805
E07000031,South Lakeland,ltla,2022-07-08,84786
E07000031,South Lakeland,ltla,2022-07-07,84781
E07000031,South Lakeland,ltla,2022-07-06,84765
E07000031,South Lakeland,ltla,2022-07-05,84755
E07000031,South Lakeland,ltla,2022-07-04,84748
E07000031,South Lakeland,ltla,2022-07-03,84740
E07000031,South Lakeland,ltla,2022-07-02,84736
E07000031,South Lakeland,ltla,2022-07-01,84733
E07000031,South Lakeland,ltla,2022-06-30,84717
E07000031,South Lakeland,ltla,2022-06-29,84708
E07000031,South Lakeland,ltla,2022-06-28,84697
E07000031,South Lakeland,ltla,2022-06-27,84692
E07000031,South Lakeland,ltla,2022-06-26,84684
E07000031,South Lakeland,ltla,2022-06-25,84684
E07000031,South Lakeland,ltla,2022-06-24,84676
E07000031,South Lakeland,ltla,2022-06-23,84665
E07000031,South Lakeland,ltla,2022-06-22,84660
E07000031,South Lakeland,ltla,2022-06-21,84655
E07000031,South Lakeland,ltla,2022-06-20,84651
E07000031,South Lakeland,ltla,2022-06-19,84644
E07000031,South Lakeland,ltla,2022-06-18,84641
E07000031,South Lakeland,ltla,2022-06-17,84627
E07000031,South Lakeland,ltla,2022-06-16,84623
E07000031,South Lakeland,ltla,2022-06-15,84616
E07000031,South Lakeland,ltla,2022-06-14,84612
E07000031,South Lakeland,ltla,2022-06-13,84603
E07000031,South Lakeland,ltla,2022-06-12,84597
E07000031,South Lakeland,ltla,2022-06-11,84596
E07000031,South Lakeland,ltla,2022-06-10,84577
E07000031,South Lakeland,ltla,2022-06-09,84571
E07000031,South Lakeland,ltla,2022-06-08,84565
E07000031,South Lakeland,ltla,2022-06-07,84556
E07000031,South Lakeland,ltla,2022-06-06,84548
E07000031,South Lakeland,ltla,2022-06-05,84542
E07000031,South Lakeland,ltla,2022-06-04,84537
E07000031,South Lakeland,ltla,2022-06-03,84535
E07000031,South Lakeland,ltla,2022-06-02,84534
E07000031,South Lakeland,ltla,2022-06-01,84533
E07000031,South Lakeland,ltla,2022-05-31,84528
E07000031,South Lakeland,ltla,2022-05-30,84502
E07000031,South Lakeland,ltla,2022-05-29,84487
