areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000196,South Staffordshire,ltla,2022-08-02,88074
E07000196,South Staffordshire,ltla,2022-08-01,88073
E07000196,South Staffordshire,ltla,2022-07-31,88068
E07000196,South Staffordshire,ltla,2022-07-30,88064
E07000196,South Staffordshire,ltla,2022-07-29,88061
E07000196,South Staffordshire,ltla,2022-07-28,88057
E07000196,South Staffordshire,ltla,2022-07-27,88053
E07000196,South Staffordshire,ltla,2022-07-26,88049
E07000196,South Staffordshire,ltla,2022-07-25,88046
E07000196,South Staffordshire,ltla,2022-07-24,88034
E07000196,South Staffordshire,ltla,2022-07-23,88030
E07000196,South Staffordshire,ltla,2022-07-22,88011
E07000196,South Staffordshire,ltla,2022-07-21,87987
E07000196,South Staffordshire,ltla,2022-07-20,87977
E07000196,South Staffordshire,ltla,2022-07-19,87974
E07000196,South Staffordshire,ltla,2022-07-18,87974
E07000196,South Staffordshire,ltla,2022-07-17,87966
E07000196,South Staffordshire,ltla,2022-07-16,87953
E07000196,South Staffordshire,ltla,2022-07-15,87942
E07000196,South Staffordshire,ltla,2022-07-14,87940
E07000196,South Staffordshire,ltla,2022-07-13,87934
E07000196,South Staffordshire,ltla,2022-07-12,87927
E07000196,South Staffordshire,ltla,2022-07-11,87924
E07000196,South Staffordshire,ltla,2022-07-10,87916
E07000196,South Staffordshire,ltla,2022-07-09,87902
E07000196,South Staffordshire,ltla,2022-07-08,87878
E07000196,South Staffordshire,ltla,2022-07-07,87875
E07000196,South Staffordshire,ltla,2022-07-06,87868
E07000196,South Staffordshire,ltla,2022-07-05,87858
E07000196,South Staffordshire,ltla,2022-07-04,87854
E07000196,South Staffordshire,ltla,2022-07-03,87844
E07000196,South Staffordshire,ltla,2022-07-02,87824
E07000196,South Staffordshire,ltla,2022-07-01,87803
E07000196,South Staffordshire,ltla,2022-06-30,87796
E07000196,South Staffordshire,ltla,2022-06-29,87778
E07000196,South Staffordshire,ltla,2022-06-28,87771
E07000196,South Staffordshire,ltla,2022-06-27,87770
E07000196,South Staffordshire,ltla,2022-06-26,87764
E07000196,South Staffordshire,ltla,2022-06-25,87758
E07000196,South Staffordshire,ltla,2022-06-24,87738
E07000196,South Staffordshire,ltla,2022-06-23,87736
E07000196,South Staffordshire,ltla,2022-06-22,87735
E07000196,South Staffordshire,ltla,2022-06-21,87730
E07000196,South Staffordshire,ltla,2022-06-20,87724
E07000196,South Staffordshire,ltla,2022-06-19,87714
E07000196,South Staffordshire,ltla,2022-06-18,87713
E07000196,South Staffordshire,ltla,2022-06-17,87705
E07000196,South Staffordshire,ltla,2022-06-16,87702
E07000196,South Staffordshire,ltla,2022-06-15,87696
E07000196,South Staffordshire,ltla,2022-06-14,87694
E07000196,South Staffordshire,ltla,2022-06-13,87691
E07000196,South Staffordshire,ltla,2022-06-12,87690
E07000196,South Staffordshire,ltla,2022-06-11,87689
E07000196,South Staffordshire,ltla,2022-06-10,87665
E07000196,South Staffordshire,ltla,2022-06-09,87663
E07000196,South Staffordshire,ltla,2022-06-08,87631
E07000196,South Staffordshire,ltla,2022-06-07,87627
E07000196,South Staffordshire,ltla,2022-06-06,87625
E07000196,South Staffordshire,ltla,2022-06-05,87617
E07000196,South Staffordshire,ltla,2022-06-04,87612
E07000196,South Staffordshire,ltla,2022-06-03,87608
E07000196,South Staffordshire,ltla,2022-06-02,87604
E07000196,South Staffordshire,ltla,2022-06-01,87601
E07000196,South Staffordshire,ltla,2022-05-31,87589
E07000196,South Staffordshire,ltla,2022-05-30,87581
E07000196,South Staffordshire,ltla,2022-05-29,87565
E07000196,South Staffordshire,ltla,2022-05-28,87563
E07000196,South Staffordshire,ltla,2022-05-27,87541
E07000196,South Staffordshire,ltla,2022-05-26,87539
