areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E06000004,Stockton-on-Tees,ltla,2022-08-02,145206
E06000004,Stockton-on-Tees,ltla,2022-08-01,145195
E06000004,Stockton-on-Tees,ltla,2022-07-31,145184
E06000004,Stockton-on-Tees,ltla,2022-07-30,145153
E06000004,Stockton-on-Tees,ltla,2022-07-29,145136
E06000004,Stockton-on-Tees,ltla,2022-07-28,145130
E06000004,Stockton-on-Tees,ltla,2022-07-27,145094
E06000004,Stockton-on-Tees,ltla,2022-07-26,145082
E06000004,Stockton-on-Tees,ltla,2022-07-25,145065
E06000004,Stockton-on-Tees,ltla,2022-07-24,145047
E06000004,Stockton-on-Tees,ltla,2022-07-23,145015
E06000004,Stockton-on-Tees,ltla,2022-07-22,145007
E06000004,Stockton-on-Tees,ltla,2022-07-21,144996
E06000004,Stockton-on-Tees,ltla,2022-07-20,144972
E06000004,Stockton-on-Tees,ltla,2022-07-19,144968
E06000004,Stockton-on-Tees,ltla,2022-07-18,144953
E06000004,Stockton-on-Tees,ltla,2022-07-17,144939
E06000004,Stockton-on-Tees,ltla,2022-07-16,144892
E06000004,Stockton-on-Tees,ltla,2022-07-15,144867
E06000004,Stockton-on-Tees,ltla,2022-07-14,144865
E06000004,Stockton-on-Tees,ltla,2022-07-13,144835
E06000004,Stockton-on-Tees,ltla,2022-07-12,144828
E06000004,Stockton-on-Tees,ltla,2022-07-11,144817
E06000004,Stockton-on-Tees,ltla,2022-07-10,144802
E06000004,Stockton-on-Tees,ltla,2022-07-09,144764
E06000004,Stockton-on-Tees,ltla,2022-07-08,144744
E06000004,Stockton-on-Tees,ltla,2022-07-07,144739
E06000004,Stockton-on-Tees,ltla,2022-07-06,144721
E06000004,Stockton-on-Tees,ltla,2022-07-05,144717
E06000004,Stockton-on-Tees,ltla,2022-07-04,144699
E06000004,Stockton-on-Tees,ltla,2022-07-03,144681
E06000004,Stockton-on-Tees,ltla,2022-07-02,144666
E06000004,Stockton-on-Tees,ltla,2022-07-01,144655
E06000004,Stockton-on-Tees,ltla,2022-06-30,144643
E06000004,Stockton-on-Tees,ltla,2022-06-29,144618
E06000004,Stockton-on-Tees,ltla,2022-06-28,144613
E06000004,Stockton-on-Tees,ltla,2022-06-27,144603
E06000004,Stockton-on-Tees,ltla,2022-06-26,144594
E06000004,Stockton-on-Tees,ltla,2022-06-25,144530
E06000004,Stockton-on-Tees,ltla,2022-06-24,144521
E06000004,Stockton-on-Tees,ltla,2022-06-23,144509
E06000004,Stockton-on-Tees,ltla,2022-06-22,144487
E06000004,Stockton-on-Tees,ltla,2022-06-21,144479
E06000004,Stockton-on-Tees,ltla,2022-06-20,144466
E06000004,Stockton-on-Tees,ltla,2022-06-19,144462
E06000004,Stockton-on-Tees,ltla,2022-06-18,144424
E06000004,Stockton-on-Tees,ltla,2022-06-17,144392
E06000004,Stockton-on-Tees,ltla,2022-06-16,144387
E06000004,Stockton-on-Tees,ltla,2022-06-15,144365
E06000004,Stockton-on-Tees,ltla,2022-06-14,144360
E06000004,Stockton-on-Tees,ltla,2022-06-13,144346
E06000004,Stockton-on-Tees,ltla,2022-06-12,144345
