areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000077,Uttlesford,ltla,2022-08-02,72253
E07000077,Uttlesford,ltla,2022-08-01,72250
E07000077,Uttlesford,ltla,2022-07-31,72244
E07000077,Uttlesford,ltla,2022-07-30,72243
E07000077,Uttlesford,ltla,2022-07-29,72236
E07000077,Uttlesford,ltla,2022-07-28,72232
E07000077,Uttlesford,ltla,2022-07-27,72226
E07000077,Uttlesford,ltla,2022-07-26,72220
E07000077,Uttlesford,ltla,2022-07-25,72212
E07000077,Uttlesford,ltla,2022-07-24,72208
E07000077,Uttlesford,ltla,2022-07-23,72199
E07000077,Uttlesford,ltla,2022-07-22,72189
E07000077,Uttlesford,ltla,2022-07-21,72186
E07000077,Uttlesford,ltla,2022-07-20,72185
E07000077,Uttlesford,ltla,2022-07-19,72181
E07000077,Uttlesford,ltla,2022-07-18,72176
E07000077,Uttlesford,ltla,2022-07-17,72172
E07000077,Uttlesford,ltla,2022-07-16,72157
E07000077,Uttlesford,ltla,2022-07-15,72127
E07000077,Uttlesford,ltla,2022-07-14,72124
E07000077,Uttlesford,ltla,2022-07-13,72117
E07000077,Uttlesford,ltla,2022-07-12,72113
E07000077,Uttlesford,ltla,2022-07-11,72101
E07000077,Uttlesford,ltla,2022-07-10,72099
E07000077,Uttlesford,ltla,2022-07-09,72085
E07000077,Uttlesford,ltla,2022-07-08,72069
E07000077,Uttlesford,ltla,2022-07-07,72062
E07000077,Uttlesford,ltla,2022-07-06,72049
E07000077,Uttlesford,ltla,2022-07-05,72042
E07000077,Uttlesford,ltla,2022-07-04,72039
E07000077,Uttlesford,ltla,2022-07-03,72038
E07000077,Uttlesford,ltla,2022-07-02,72030
E07000077,Uttlesford,ltla,2022-07-01,72009
E07000077,Uttlesford,ltla,2022-06-30,72005
E07000077,Uttlesford,ltla,2022-06-29,72002
E07000077,Uttlesford,ltla,2022-06-28,71998
E07000077,Uttlesford,ltla,2022-06-27,71985
E07000077,Uttlesford,ltla,2022-06-26,71978
E07000077,Uttlesford,ltla,2022-06-25,71975
E07000077,Uttlesford,ltla,2022-06-24,71957
E07000077,Uttlesford,ltla,2022-06-23,71951
E07000077,Uttlesford,ltla,2022-06-22,71950
E07000077,Uttlesford,ltla,2022-06-21,71943
E07000077,Uttlesford,ltla,2022-06-20,71937
E07000077,Uttlesford,ltla,2022-06-19,71937
E07000077,Uttlesford,ltla,2022-06-18,71928
E07000077,Uttlesford,ltla,2022-06-17,71914
E07000077,Uttlesford,ltla,2022-06-16,71914
E07000077,Uttlesford,ltla,2022-06-15,71907
E07000077,Uttlesford,ltla,2022-06-14,71904
E07000077,Uttlesford,ltla,2022-06-13,71896
E07000077,Uttlesford,ltla,2022-06-12,71888
E07000077,Uttlesford,ltla,2022-06-11,71880
E07000077,Uttlesford,ltla,2022-06-10,71862
E07000077,Uttlesford,ltla,2022-06-09,71860
E07000077,Uttlesford,ltla,2022-06-08,71857
E07000077,Uttlesford,ltla,2022-06-07,71853
E07000077,Uttlesford,ltla,2022-06-06,71847
E07000077,Uttlesford,ltla,2022-06-05,71847
E07000077,Uttlesford,ltla,2022-06-04,71843
E07000077,Uttlesford,ltla,2022-06-03,71830
E07000077,Uttlesford,ltla,2022-06-02,71829
E07000077,Uttlesford,ltla,2022-06-01,71827
E07000077,Uttlesford,ltla,2022-05-31,71819
E07000077,Uttlesford,ltla,2022-05-30,71799
E07000077,Uttlesford,ltla,2022-05-29,71790
E07000077,Uttlesford,ltla,2022-05-28,71781
E07000077,Uttlesford,ltla,2022-05-27,71765
E07000077,Uttlesford,ltla,2022-05-26,71760
E07000077,Uttlesford,ltla,2022-05-25,71756
E07000077,Uttlesford,ltla,2022-05-24,71751
E07000077,Uttlesford,ltla,2022-05-23,71747
E07000077,Uttlesford,ltla,2022-05-22,71746
E07000077,Uttlesford,ltla,2022-05-21,71742
E07000077,Uttlesford,ltla,2022-05-20,71724
E07000077,Uttlesford,ltla,2022-05-19,71712
E07000077,Uttlesford,ltla,2022-05-18,71708
E07000077,Uttlesford,ltla,2022-05-17,71706
E07000077,Uttlesford,ltla,2022-05-16,71700
E07000077,Uttlesford,ltla,2022-05-15,71698
E07000077,Uttlesford,ltla,2022-05-14,71683
E07000077,Uttlesford,ltla,2022-05-13,71652
E07000077,Uttlesford,ltla,2022-05-12,71647
E07000077,Uttlesford,ltla,2022-05-11,71641
E07000077,Uttlesford,ltla,2022-05-10,71631
E07000077,Uttlesford,ltla,2022-05-09,71616
E07000077,Uttlesford,ltla,2022-05-08,71614
E07000077,Uttlesford,ltla,2022-05-07,71593
E07000077,Uttlesford,ltla,2022-05-06,71570
E07000077,Uttlesford,ltla,2022-05-05,71560
E07000077,Uttlesford,ltla,2022-05-04,71555
E07000077,Uttlesford,ltla,2022-05-03,71550
E07000077,Uttlesford,ltla,2022-05-02,71476
E07000077,Uttlesford,ltla,2022-05-01,71476
E07000077,Uttlesford,ltla,2022-04-30,71465
E07000077,Uttlesford,ltla,2022-04-29,71416
E07000077,Uttlesford,ltla,2022-04-28,71404
E07000077,Uttlesford,ltla,2022-04-27,71399
E07000077,Uttlesford,ltla,2022-04-26,71393
E07000077,Uttlesford,ltla,2022-04-25,71389
E07000077,Uttlesford,ltla,2022-04-24,71379
E07000077,Uttlesford,ltla,2022-04-23,71347
E07000077,Uttlesford,ltla,2022-04-22,71315
E07000077,Uttlesford,ltla,2022-04-21,71305
E07000077,Uttlesford,ltla,2022-04-20,71298
E07000077,Uttlesford,ltla,2022-04-19,71293
E07000077,Uttlesford,ltla,2022-04-18,71288
E07000077,Uttlesford,ltla,2022-04-17,71278
E07000077,Uttlesford,ltla,2022-04-16,71274
E07000077,Uttlesford,ltla,2022-04-15,71256
E07000077,Uttlesford,ltla,2022-04-14,71249
E07000077,Uttlesford,ltla,2022-04-13,71239
E07000077,Uttlesford,ltla,2022-04-12,71225
E07000077,Uttlesford,ltla,2022-04-11,71215
E07000077,Uttlesford,ltla,2022-04-10,71194
E07000077,Uttlesford,ltla,2022-04-09,71185
E07000077,Uttlesford,ltla,2022-04-08,71160
E07000077,Uttlesford,ltla,2022-04-07,71143
E07000077,Uttlesford,ltla,2022-04-06,71136
E07000077,Uttlesford,ltla,2022-04-05,71126
E07000077,Uttlesford,ltla,2022-04-04,71111
E07000077,Uttlesford,ltla,2022-04-03,71090
E07000077,Uttlesford,ltla,2022-04-02,71081
E07000077,Uttlesford,ltla,2022-04-01,71061
E07000077,Uttlesford,ltla,2022-03-31,71049
E07000077,Uttlesford,ltla,2022-03-30,71040
E07000077,Uttlesford,ltla,2022-03-29,71032
E07000077,Uttlesford,ltla,2022-03-28,71021
E07000077,Uttlesford,ltla,2022-03-27,71006
E07000077,Uttlesford,ltla,2022-03-26,70992
E07000077,Uttlesford,ltla,2022-03-25,70943
E07000077,Uttlesford,ltla,2022-03-24,70937
E07000077,Uttlesford,ltla,2022-03-23,70933
E07000077,Uttlesford,ltla,2022-03-22,70920
E07000077,Uttlesford,ltla,2022-03-21,70877
E07000077,Uttlesford,ltla,2022-03-20,70856
E07000077,Uttlesford,ltla,2022-03-19,70848
E07000077,Uttlesford,ltla,2022-03-18,70820
E07000077,Uttlesford,ltla,2022-03-17,70810
E07000077,Uttlesford,ltla,2022-03-16,70800
E07000077,Uttlesford,ltla,2022-03-15,70784
E07000077,Uttlesford,ltla,2022-03-14,70772
E07000077,Uttlesford,ltla,2022-03-13,70753
E07000077,Uttlesford,ltla,2022-03-12,70734
E07000077,Uttlesford,ltla,2022-03-11,70710
E07000077,Uttlesford,ltla,2022-03-10,70696
E07000077,Uttlesford,ltla,2022-03-09,70685
E07000077,Uttlesford,ltla,2022-03-08,70670
E07000077,Uttlesford,ltla,2022-03-07,70655
E07000077,Uttlesford,ltla,2022-03-06,70648
E07000077,Uttlesford,ltla,2022-03-05,70638
E07000077,Uttlesford,ltla,2022-03-04,70604
E07000077,Uttlesford,ltla,2022-03-03,70591
E07000077,Uttlesford,ltla,2022-03-02,70585
E07000077,Uttlesford,ltla,2022-03-01,70567
E07000077,Uttlesford,ltla,2022-02-28,70557
E07000077,Uttlesford,ltla,2022-02-27,70546
E07000077,Uttlesford,ltla,2022-02-26,70536
E07000077,Uttlesford,ltla,2022-02-25,70479
E07000077,Uttlesford,ltla,2022-02-24,70473
E07000077,Uttlesford,ltla,2022-02-23,70461
E07000077,Uttlesford,ltla,2022-02-22,70445
E07000077,Uttlesford,ltla,2022-02-21,70435
E07000077,Uttlesford,ltla,2022-02-20,70421
E07000077,Uttlesford,ltla,2022-02-19,70421
E07000077,Uttlesford,ltla,2022-02-18,70406
E07000077,Uttlesford,ltla,2022-02-17,70398
E07000077,Uttlesford,ltla,2022-02-16,70377
E07000077,Uttlesford,ltla,2022-02-15,70366
E07000077,Uttlesford,ltla,2022-02-14,70358
