areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E08000025,Birmingham,ltla,2022-08-02,464700
E08000025,Birmingham,ltla,2022-08-01,464648
E08000025,Birmingham,ltla,2022-07-31,464581
E08000025,Birmingham,ltla,2022-07-30,464522
E08000025,Birmingham,ltla,2022-07-29,464446
E08000025,Birmingham,ltla,2022-07-28,464365
E08000025,Birmingham,ltla,2022-07-27,464308
E08000025,Birmingham,ltla,2022-07-26,464177
E08000025,Birmingham,ltla,2022-07-25,464082
E08000025,Birmingham,ltla,2022-07-24,463953
E08000025,Birmingham,ltla,2022-07-23,463926
E08000025,Birmingham,ltla,2022-07-22,463822
E08000025,Birmingham,ltla,2022-07-21,463739
E08000025,Birmingham,ltla,2022-07-20,463643
E08000025,Birmingham,ltla,2022-07-19,463575
E08000025,Birmingham,ltla,2022-07-18,463519
E08000025,Birmingham,ltla,2022-07-17,463452
E08000025,Birmingham,ltla,2022-07-16,463356
E08000025,Birmingham,ltla,2022-07-15,463274
E08000025,Birmingham,ltla,2022-07-14,463190
E08000025,Birmingham,ltla,2022-07-13,463089
E08000025,Birmingham,ltla,2022-07-12,463010
E08000025,Birmingham,ltla,2022-07-11,462923
E08000025,Birmingham,ltla,2022-07-10,462815
E08000025,Birmingham,ltla,2022-07-09,462760
E08000025,Birmingham,ltla,2022-07-08,462623
E08000025,Birmingham,ltla,2022-07-07,462539
E08000025,Birmingham,ltla,2022-07-06,462421
E08000025,Birmingham,ltla,2022-07-05,462328
E08000025,Birmingham,ltla,2022-07-04,462233
E08000025,Birmingham,ltla,2022-07-03,462144
E08000025,Birmingham,ltla,2022-07-02,462011
E08000025,Birmingham,ltla,2022-07-01,461919
E08000025,Birmingham,ltla,2022-06-30,461822
E08000025,Birmingham,ltla,2022-06-29,461719
E08000025,Birmingham,ltla,2022-06-28,461612
E08000025,Birmingham,ltla,2022-06-27,461516
E08000025,Birmingham,ltla,2022-06-26,461395
E08000025,Birmingham,ltla,2022-06-25,461286
E08000025,Birmingham,ltla,2022-06-24,461157
E08000025,Birmingham,ltla,2022-06-23,461047
E08000025,Birmingham,ltla,2022-06-22,460940
E08000025,Birmingham,ltla,2022-06-21,460838
E08000025,Birmingham,ltla,2022-06-20,460747
E08000025,Birmingham,ltla,2022-06-19,460656
E08000025,Birmingham,ltla,2022-06-18,460591
E08000025,Birmingham,ltla,2022-06-17,460460
E08000025,Birmingham,ltla,2022-06-16,460354
E08000025,Birmingham,ltla,2022-06-15,460261
E08000025,Birmingham,ltla,2022-06-14,460144
E08000025,Birmingham,ltla,2022-06-13,460046
E08000025,Birmingham,ltla,2022-06-12,459952
E08000025,Birmingham,ltla,2022-06-11,459834
E08000025,Birmingham,ltla,2022-06-10,459669
E08000025,Birmingham,ltla,2022-06-09,459555
E08000025,Birmingham,ltla,2022-06-08,459420
E08000025,Birmingham,ltla,2022-06-07,459253
E08000025,Birmingham,ltla,2022-06-06,459149
E08000025,Birmingham,ltla,2022-06-05,458989
E08000025,Birmingham,ltla,2022-06-04,458955
E08000025,Birmingham,ltla,2022-06-03,458834
E08000025,Birmingham,ltla,2022-06-02,458816
E08000025,Birmingham,ltla,2022-06-01,458784
E08000025,Birmingham,ltla,2022-05-31,458618
E08000025,Birmingham,ltla,2022-05-30,458490
