areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E06000050,Cheshire West and Chester,ltla,2022-08-02,229112
E06000050,Cheshire West and Chester,ltla,2022-08-01,229088
E06000050,Cheshire West and Chester,ltla,2022-07-31,229066
E06000050,Cheshire West and Chester,ltla,2022-07-30,229057
E06000050,Cheshire West and Chester,ltla,2022-07-29,229007
E06000050,Cheshire West and Chester,ltla,2022-07-28,228957
E06000050,Cheshire West and Chester,ltla,2022-07-27,228932
E06000050,Cheshire West and Chester,ltla,2022-07-26,228901
E06000050,Cheshire West and Chester,ltla,2022-07-25,228858
E06000050,Cheshire West and Chester,ltla,2022-07-24,228819
E06000050,Cheshire West and Chester,ltla,2022-07-23,228811
E06000050,Cheshire West and Chester,ltla,2022-07-22,228772
E06000050,Cheshire West and Chester,ltla,2022-07-21,228725
E06000050,Cheshire West and Chester,ltla,2022-07-20,228693
E06000050,Cheshire West and Chester,ltla,2022-07-19,228655
E06000050,Cheshire West and Chester,ltla,2022-07-18,228621
E06000050,Cheshire West and Chester,ltla,2022-07-17,228575
E06000050,Cheshire West and Chester,ltla,2022-07-16,228571
E06000050,Cheshire West and Chester,ltla,2022-07-15,228538
E06000050,Cheshire West and Chester,ltla,2022-07-14,228469
E06000050,Cheshire West and Chester,ltla,2022-07-13,228423
E06000050,Cheshire West and Chester,ltla,2022-07-12,228383
E06000050,Cheshire West and Chester,ltla,2022-07-11,228338
E06000050,Cheshire West and Chester,ltla,2022-07-10,228279
E06000050,Cheshire West and Chester,ltla,2022-07-09,228261
E06000050,Cheshire West and Chester,ltla,2022-07-08,228217
E06000050,Cheshire West and Chester,ltla,2022-07-07,228129
E06000050,Cheshire West and Chester,ltla,2022-07-06,228105
E06000050,Cheshire West and Chester,ltla,2022-07-05,228060
E06000050,Cheshire West and Chester,ltla,2022-07-04,228021
E06000050,Cheshire West and Chester,ltla,2022-07-03,227949
E06000050,Cheshire West and Chester,ltla,2022-07-02,227944
E06000050,Cheshire West and Chester,ltla,2022-07-01,227917
E06000050,Cheshire West and Chester,ltla,2022-06-30,227837
E06000050,Cheshire West and Chester,ltla,2022-06-29,227806
E06000050,Cheshire West and Chester,ltla,2022-06-28,227759
E06000050,Cheshire West and Chester,ltla,2022-06-27,227692
E06000050,Cheshire West and Chester,ltla,2022-06-26,227648
E06000050,Cheshire West and Chester,ltla,2022-06-25,227645
E06000050,Cheshire West and Chester,ltla,2022-06-24,227586
E06000050,Cheshire West and Chester,ltla,2022-06-23,227507
E06000050,Cheshire West and Chester,ltla,2022-06-22,227485
E06000050,Cheshire West and Chester,ltla,2022-06-21,227448
E06000050,Cheshire West and Chester,ltla,2022-06-20,227403
E06000050,Cheshire West and Chester,ltla,2022-06-19,227349
E06000050,Cheshire West and Chester,ltla,2022-06-18,227318
E06000050,Cheshire West and Chester,ltla,2022-06-17,227290
E06000050,Cheshire West and Chester,ltla,2022-06-16,227223
E06000050,Cheshire West and Chester,ltla,2022-06-15,227170
E06000050,Cheshire West and Chester,ltla,2022-06-14,227125
E06000050,Cheshire West and Chester,ltla,2022-06-13,227076
E06000050,Cheshire West and Chester,ltla,2022-06-12,227035
E06000050,Cheshire West and Chester,ltla,2022-06-11,227024
E06000050,Cheshire West and Chester,ltla,2022-06-10,226948
E06000050,Cheshire West and Chester,ltla,2022-06-09,226870
E06000050,Cheshire West and Chester,ltla,2022-06-08,226849
E06000050,Cheshire West and Chester,ltla,2022-06-07,226814
E06000050,Cheshire West and Chester,ltla,2022-06-06,226773
E06000050,Cheshire West and Chester,ltla,2022-06-05,226715
E06000050,Cheshire West and Chester,ltla,2022-06-04,226712
E06000050,Cheshire West and Chester,ltla,2022-06-03,226683
E06000050,Cheshire West and Chester,ltla,2022-06-02,226664
E06000050,Cheshire West and Chester,ltla,2022-06-01,226636
E06000050,Cheshire West and Chester,ltla,2022-05-31,226572
E06000050,Cheshire West and Chester,ltla,2022-05-30,226455
E06000050,Cheshire West and Chester,ltla,2022-05-29,226404
E06000050,Cheshire West and Chester,ltla,2022-05-28,226390
E06000050,Cheshire West and Chester,ltla,2022-05-27,226355
E06000050,Cheshire West and Chester,ltla,2022-05-26,226302
E06000050,Cheshire West and Chester,ltla,2022-05-25,226247
E06000050,Cheshire West and Chester,ltla,2022-05-24,226183
E06000050,Cheshire West and Chester,ltla,2022-05-23,226106
E06000050,Cheshire West and Chester,ltla,2022-05-22,226070
E06000050,Cheshire West and Chester,ltla,2022-05-21,226053
E06000050,Cheshire West and Chester,ltla,2022-05-20,225972
E06000050,Cheshire West and Chester,ltla,2022-05-19,225864
E06000050,Cheshire West and Chester,ltla,2022-05-18,225793
E06000050,Cheshire West and Chester,ltla,2022-05-17,225708
E06000050,Cheshire West and Chester,ltla,2022-05-16,225613
E06000050,Cheshire West and Chester,ltla,2022-05-15,225557
E06000050,Cheshire West and Chester,ltla,2022-05-14,225547
E06000050,Cheshire West and Chester,ltla,2022-05-13,225482
E06000050,Cheshire West and Chester,ltla,2022-05-12,225381
E06000050,Cheshire West and Chester,ltla,2022-05-11,225313
E06000050,Cheshire West and Chester,ltla,2022-05-10,225248
E06000050,Cheshire West and Chester,ltla,2022-05-09,225147
E06000050,Cheshire West and Chester,ltla,2022-05-08,225092
E06000050,Cheshire West and Chester,ltla,2022-05-07,225080
E06000050,Cheshire West and Chester,ltla,2022-05-06,224984
E06000050,Cheshire West and Chester,ltla,2022-05-05,224888
E06000050,Cheshire West and Chester,ltla,2022-05-04,224810
E06000050,Cheshire West and Chester,ltla,2022-05-03,224728
E06000050,Cheshire West and Chester,ltla,2022-05-02,224648
E06000050,Cheshire West and Chester,ltla,2022-05-01,224615
E06000050,Cheshire West and Chester,ltla,2022-04-30,224611
E06000050,Cheshire West and Chester,ltla,2022-04-29,224512
E06000050,Cheshire West and Chester,ltla,2022-04-28,224420
E06000050,Cheshire West and Chester,ltla,2022-04-27,224332
E06000050,Cheshire West and Chester,ltla,2022-04-26,224229
E06000050,Cheshire West and Chester,ltla,2022-04-25,224127
E06000050,Cheshire West and Chester,ltla,2022-04-24,224040
E06000050,Cheshire West and Chester,ltla,2022-04-23,224017
E06000050,Cheshire West and Chester,ltla,2022-04-22,223923
E06000050,Cheshire West and Chester,ltla,2022-04-21,223794
E06000050,Cheshire West and Chester,ltla,2022-04-20,223722
E06000050,Cheshire West and Chester,ltla,2022-04-19,223612
E06000050,Cheshire West and Chester,ltla,2022-04-18,223480
E06000050,Cheshire West and Chester,ltla,2022-04-17,223440
E06000050,Cheshire West and Chester,ltla,2022-04-16,223435
E06000050,Cheshire West and Chester,ltla,2022-04-15,223380
E06000050,Cheshire West and Chester,ltla,2022-04-14,223313
E06000050,Cheshire West and Chester,ltla,2022-04-13,223222
E06000050,Cheshire West and Chester,ltla,2022-04-12,223098
E06000050,Cheshire West and Chester,ltla,2022-04-11,222979
E06000050,Cheshire West and Chester,ltla,2022-04-10,222870
