areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E09000014,Haringey,ltla,2022-08-02,124937
E09000014,Haringey,ltla,2022-08-01,124923
E09000014,Haringey,ltla,2022-07-31,124897
E09000014,Haringey,ltla,2022-07-30,124887
E09000014,Haringey,ltla,2022-07-29,124873
E09000014,Haringey,ltla,2022-07-28,124852
E09000014,Haringey,ltla,2022-07-27,124834
E09000014,Haringey,ltla,2022-07-26,124792
E09000014,Haringey,ltla,2022-07-25,124779
E09000014,Haringey,ltla,2022-07-24,124749
E09000014,Haringey,ltla,2022-07-23,124727
E09000014,Haringey,ltla,2022-07-22,124704
E09000014,Haringey,ltla,2022-07-21,124671
E09000014,Haringey,ltla,2022-07-20,124643
E09000014,Haringey,ltla,2022-07-19,124621
E09000014,Haringey,ltla,2022-07-18,124600
E09000014,Haringey,ltla,2022-07-17,124571
E09000014,Haringey,ltla,2022-07-16,124564
E09000014,Haringey,ltla,2022-07-15,124529
E09000014,Haringey,ltla,2022-07-14,124492
E09000014,Haringey,ltla,2022-07-13,124475
E09000014,Haringey,ltla,2022-07-12,124438
E09000014,Haringey,ltla,2022-07-11,124430
E09000014,Haringey,ltla,2022-07-10,124399
E09000014,Haringey,ltla,2022-07-09,124385
E09000014,Haringey,ltla,2022-07-08,124363
E09000014,Haringey,ltla,2022-07-07,124333
E09000014,Haringey,ltla,2022-07-06,124309
E09000014,Haringey,ltla,2022-07-05,124274
E09000014,Haringey,ltla,2022-07-04,124240
E09000014,Haringey,ltla,2022-07-03,124199
E09000014,Haringey,ltla,2022-07-02,124180
E09000014,Haringey,ltla,2022-07-01,124143
E09000014,Haringey,ltla,2022-06-30,124105
E09000014,Haringey,ltla,2022-06-29,124076
E09000014,Haringey,ltla,2022-06-28,124052
E09000014,Haringey,ltla,2022-06-27,124030
E09000014,Haringey,ltla,2022-06-26,123986
E09000014,Haringey,ltla,2022-06-25,123974
E09000014,Haringey,ltla,2022-06-24,123947
E09000014,Haringey,ltla,2022-06-23,123900
E09000014,Haringey,ltla,2022-06-22,123862
E09000014,Haringey,ltla,2022-06-21,123831
E09000014,Haringey,ltla,2022-06-20,123817
E09000014,Haringey,ltla,2022-06-19,123768
E09000014,Haringey,ltla,2022-06-18,123758
E09000014,Haringey,ltla,2022-06-17,123733
E09000014,Haringey,ltla,2022-06-16,123700
E09000014,Haringey,ltla,2022-06-15,123671
E09000014,Haringey,ltla,2022-06-14,123644
E09000014,Haringey,ltla,2022-06-13,123624
E09000014,Haringey,ltla,2022-06-12,123562
E09000014,Haringey,ltla,2022-06-11,123542
E09000014,Haringey,ltla,2022-06-10,123501
E09000014,Haringey,ltla,2022-06-09,123450
E09000014,Haringey,ltla,2022-06-08,123431
E09000014,Haringey,ltla,2022-06-07,123396
E09000014,Haringey,ltla,2022-06-06,123367
E09000014,Haringey,ltla,2022-06-05,123309
E09000014,Haringey,ltla,2022-06-04,123300
E09000014,Haringey,ltla,2022-06-03,123275
E09000014,Haringey,ltla,2022-06-02,123274
E09000014,Haringey,ltla,2022-06-01,123273
E09000014,Haringey,ltla,2022-05-31,123247
E09000014,Haringey,ltla,2022-05-30,123209
E09000014,Haringey,ltla,2022-05-29,123130
E09000014,Haringey,ltla,2022-05-28,123113
E09000014,Haringey,ltla,2022-05-27,123085
E09000014,Haringey,ltla,2022-05-26,123042
E09000014,Haringey,ltla,2022-05-25,123012
E09000014,Haringey,ltla,2022-05-24,122991
E09000014,Haringey,ltla,2022-05-23,122968
E09000014,Haringey,ltla,2022-05-22,122920
E09000014,Haringey,ltla,2022-05-21,122883
E09000014,Haringey,ltla,2022-05-20,122851
E09000014,Haringey,ltla,2022-05-19,122803
E09000014,Haringey,ltla,2022-05-18,122752
E09000014,Haringey,ltla,2022-05-17,122723
E09000014,Haringey,ltla,2022-05-16,122687
E09000014,Haringey,ltla,2022-05-15,122638
E09000014,Haringey,ltla,2022-05-14,122623
E09000014,Haringey,ltla,2022-05-13,122585
E09000014,Haringey,ltla,2022-05-12,122528
E09000014,Haringey,ltla,2022-05-11,122460
E09000014,Haringey,ltla,2022-05-10,122432
E09000014,Haringey,ltla,2022-05-09,122407
E09000014,Haringey,ltla,2022-05-08,122343
E09000014,Haringey,ltla,2022-05-07,122324
E09000014,Haringey,ltla,2022-05-06,122297
E09000014,Haringey,ltla,2022-05-05,122238
E09000014,Haringey,ltla,2022-05-04,122172
E09000014,Haringey,ltla,2022-05-03,122123
E09000014,Haringey,ltla,2022-05-02,122087
E09000014,Haringey,ltla,2022-05-01,122070
E09000014,Haringey,ltla,2022-04-30,122044
E09000014,Haringey,ltla,2022-04-29,122003
E09000014,Haringey,ltla,2022-04-28,121914
E09000014,Haringey,ltla,2022-04-27,121835
E09000014,Haringey,ltla,2022-04-26,121795
E09000014,Haringey,ltla,2022-04-25,121757
E09000014,Haringey,ltla,2022-04-24,121683
E09000014,Haringey,ltla,2022-04-23,121663
E09000014,Haringey,ltla,2022-04-22,121628
E09000014,Haringey,ltla,2022-04-21,121545
E09000014,Haringey,ltla,2022-04-20,121453
E09000014,Haringey,ltla,2022-04-19,121404
E09000014,Haringey,ltla,2022-04-18,121361
E09000014,Haringey,ltla,2022-04-17,121346
E09000014,Haringey,ltla,2022-04-16,121342
E09000014,Haringey,ltla,2022-04-15,121310
E09000014,Haringey,ltla,2022-04-14,121296
E09000014,Haringey,ltla,2022-04-13,121179
E09000014,Haringey,ltla,2022-04-12,121129
E09000014,Haringey,ltla,2022-04-11,121079
E09000014,Haringey,ltla,2022-04-10,120977
E09000014,Haringey,ltla,2022-04-09,120936
E09000014,Haringey,ltla,2022-04-08,120884
E09000014,Haringey,ltla,2022-04-07,120786
E09000014,Haringey,ltla,2022-04-06,120717
E09000014,Haringey,ltla,2022-04-05,120672
E09000014,Haringey,ltla,2022-04-04,120612
E09000014,Haringey,ltla,2022-04-03,120550
E09000014,Haringey,ltla,2022-04-02,120531
E09000014,Haringey,ltla,2022-04-01,120477
E09000014,Haringey,ltla,2022-03-31,120385
E09000014,Haringey,ltla,2022-03-30,120291
E09000014,Haringey,ltla,2022-03-29,120213
E09000014,Haringey,ltla,2022-03-28,120169
E09000014,Haringey,ltla,2022-03-27,120068
E09000014,Haringey,ltla,2022-03-26,120041
E09000014,Haringey,ltla,2022-03-25,119972
E09000014,Haringey,ltla,2022-03-24,119842
E09000014,Haringey,ltla,2022-03-23,119712
E09000014,Haringey,ltla,2022-03-22,119656
E09000014,Haringey,ltla,2022-03-21,119602
E09000014,Haringey,ltla,2022-03-20,119469
E09000014,Haringey,ltla,2022-03-19,119440
E09000014,Haringey,ltla,2022-03-18,119359
E09000014,Haringey,ltla,2022-03-17,119240
E09000014,Haringey,ltla,2022-03-16,119132
E09000014,Haringey,ltla,2022-03-15,119061
E09000014,Haringey,ltla,2022-03-14,118994
E09000014,Haringey,ltla,2022-03-13,118867
E09000014,Haringey,ltla,2022-03-12,118812
E09000014,Haringey,ltla,2022-03-11,118732
E09000014,Haringey,ltla,2022-03-10,118597
E09000014,Haringey,ltla,2022-03-09,118430
E09000014,Haringey,ltla,2022-03-08,118344
E09000014,Haringey,ltla,2022-03-07,118262
E09000014,Haringey,ltla,2022-03-06,118170
E09000014,Haringey,ltla,2022-03-05,118109
E09000014,Haringey,ltla,2022-03-04,118029
E09000014,Haringey,ltla,2022-03-03,117908
E09000014,Haringey,ltla,2022-03-02,117803
E09000014,Haringey,ltla,2022-03-01,117725
E09000014,Haringey,ltla,2022-02-28,117636
E09000014,Haringey,ltla,2022-02-27,117486
E09000014,Haringey,ltla,2022-02-26,117446
E09000014,Haringey,ltla,2022-02-25,117369
E09000014,Haringey,ltla,2022-02-24,117218
E09000014,Haringey,ltla,2022-02-23,117140
E09000014,Haringey,ltla,2022-02-22,117035
E09000014,Haringey,ltla,2022-02-21,116886
E09000014,Haringey,ltla,2022-02-20,116739
E09000014,Haringey,ltla,2022-02-19,116678
E09000014,Haringey,ltla,2022-02-18,116553
E09000014,Haringey,ltla,2022-02-17,116473
E09000014,Haringey,ltla,2022-02-16,116280
E09000014,Haringey,ltla,2022-02-15,116158
E09000014,Haringey,ltla,2022-02-14,116001
E09000014,Haringey,ltla,2022-02-13,115835
E09000014,Haringey,ltla,2022-02-12,115779
E09000014,Haringey,ltla,2022-02-11,115579
E09000014,Haringey,ltla,2022-02-10,115349
E09000014,Haringey,ltla,2022-02-09,115154
E09000014,Haringey,ltla,2022-02-08,115058
E09000014,Haringey,ltla,2022-02-07,114900
E09000014,Haringey,ltla,2022-02-06,114664
E09000014,Haringey,ltla,2022-02-05,114603
E09000014,Haringey,ltla,2022-02-04,114438
E09000014,Haringey,ltla,2022-02-03,114249
E09000014,Haringey,ltla,2022-02-02,114005
E09000014,Haringey,ltla,2022-02-01,113849
E09000014,Haringey,ltla,2022-01-31,113704
E09000014,Haringey,ltla,2022-01-30,113455
E09000014,Haringey,ltla,2022-01-29,113251
E09000014,Haringey,ltla,2022-01-28,112979
E09000014,Haringey,ltla,2022-01-27,112714
E09000014,Haringey,ltla,2022-01-26,112480
E09000014,Haringey,ltla,2022-01-25,112278
E09000014,Haringey,ltla,2022-01-24,112099
E09000014,Haringey,ltla,2022-01-23,111796
E09000014,Haringey,ltla,2022-01-22,111464
E09000014,Haringey,ltla,2022-01-21,111147
E09000014,Haringey,ltla,2022-01-20,110775
E09000014,Haringey,ltla,2022-01-19,110361
E09000014,Haringey,ltla,2022-01-18,110140
E09000014,Haringey,ltla,2022-01-17,109937
E09000014,Haringey,ltla,2022-01-16,109622
E09000014,Haringey,ltla,2022-01-15,109500
E09000014,Haringey,ltla,2022-01-14,108849
E09000014,Haringey,ltla,2022-01-13,108350
E09000014,Haringey,ltla,2022-01-12,107773
E09000014,Haringey,ltla,2022-01-11,107384
