areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000098,Hertsmere,ltla,2022-08-02,64457
E07000098,Hertsmere,ltla,2022-08-01,64451
E07000098,Hertsmere,ltla,2022-07-31,64442
E07000098,Hertsmere,ltla,2022-07-30,64440
E07000098,Hertsmere,ltla,2022-07-29,64433
E07000098,Hertsmere,ltla,2022-07-28,64424
E07000098,Hertsmere,ltla,2022-07-27,64415
E07000098,Hertsmere,ltla,2022-07-26,64402
E07000098,Hertsmere,ltla,2022-07-25,64390
E07000098,Hertsmere,ltla,2022-07-24,64372
E07000098,Hertsmere,ltla,2022-07-23,64368
E07000098,Hertsmere,ltla,2022-07-22,64359
E07000098,Hertsmere,ltla,2022-07-21,64352
E07000098,Hertsmere,ltla,2022-07-20,64344
E07000098,Hertsmere,ltla,2022-07-19,64334
E07000098,Hertsmere,ltla,2022-07-18,64333
E07000098,Hertsmere,ltla,2022-07-17,64322
E07000098,Hertsmere,ltla,2022-07-16,64319
E07000098,Hertsmere,ltla,2022-07-15,64306
E07000098,Hertsmere,ltla,2022-07-14,64296
E07000098,Hertsmere,ltla,2022-07-13,64283
E07000098,Hertsmere,ltla,2022-07-12,64271
E07000098,Hertsmere,ltla,2022-07-11,64250
E07000098,Hertsmere,ltla,2022-07-10,64232
E07000098,Hertsmere,ltla,2022-07-09,64227
E07000098,Hertsmere,ltla,2022-07-08,64210
E07000098,Hertsmere,ltla,2022-07-07,64186
E07000098,Hertsmere,ltla,2022-07-06,64169
E07000098,Hertsmere,ltla,2022-07-05,64157
E07000098,Hertsmere,ltla,2022-07-04,64146
E07000098,Hertsmere,ltla,2022-07-03,64139
E07000098,Hertsmere,ltla,2022-07-02,64137
E07000098,Hertsmere,ltla,2022-07-01,64123
E07000098,Hertsmere,ltla,2022-06-30,64113
E07000098,Hertsmere,ltla,2022-06-29,64105
E07000098,Hertsmere,ltla,2022-06-28,64098
E07000098,Hertsmere,ltla,2022-06-27,64089
E07000098,Hertsmere,ltla,2022-06-26,64069
E07000098,Hertsmere,ltla,2022-06-25,64066
E07000098,Hertsmere,ltla,2022-06-24,64050
E07000098,Hertsmere,ltla,2022-06-23,64033
E07000098,Hertsmere,ltla,2022-06-22,64028
E07000098,Hertsmere,ltla,2022-06-21,64023
E07000098,Hertsmere,ltla,2022-06-20,64007
E07000098,Hertsmere,ltla,2022-06-19,63991
E07000098,Hertsmere,ltla,2022-06-18,63984
E07000098,Hertsmere,ltla,2022-06-17,63976
E07000098,Hertsmere,ltla,2022-06-16,63964
E07000098,Hertsmere,ltla,2022-06-15,63948
E07000098,Hertsmere,ltla,2022-06-14,63940
E07000098,Hertsmere,ltla,2022-06-13,63926
E07000098,Hertsmere,ltla,2022-06-12,63919
E07000098,Hertsmere,ltla,2022-06-11,63916
E07000098,Hertsmere,ltla,2022-06-10,63902
E07000098,Hertsmere,ltla,2022-06-09,63884
E07000098,Hertsmere,ltla,2022-06-08,63878
E07000098,Hertsmere,ltla,2022-06-07,63871
E07000098,Hertsmere,ltla,2022-06-06,63852
E07000098,Hertsmere,ltla,2022-06-05,63838
E07000098,Hertsmere,ltla,2022-06-04,63836
E07000098,Hertsmere,ltla,2022-06-03,63817
E07000098,Hertsmere,ltla,2022-06-02,63810
E07000098,Hertsmere,ltla,2022-06-01,63809
E07000098,Hertsmere,ltla,2022-05-31,63794
E07000098,Hertsmere,ltla,2022-05-30,63775
E07000098,Hertsmere,ltla,2022-05-29,63743
E07000098,Hertsmere,ltla,2022-05-28,63737
E07000098,Hertsmere,ltla,2022-05-27,63714
E07000098,Hertsmere,ltla,2022-05-26,63699
E07000098,Hertsmere,ltla,2022-05-25,63679
E07000098,Hertsmere,ltla,2022-05-24,63666
E07000098,Hertsmere,ltla,2022-05-23,63658
E07000098,Hertsmere,ltla,2022-05-22,63639
E07000098,Hertsmere,ltla,2022-05-21,63633
E07000098,Hertsmere,ltla,2022-05-20,63604
E07000098,Hertsmere,ltla,2022-05-19,63572
E07000098,Hertsmere,ltla,2022-05-18,63557
E07000098,Hertsmere,ltla,2022-05-17,63544
E07000098,Hertsmere,ltla,2022-05-16,63526
E07000098,Hertsmere,ltla,2022-05-15,63500
E07000098,Hertsmere,ltla,2022-05-14,63498
E07000098,Hertsmere,ltla,2022-05-13,63468
E07000098,Hertsmere,ltla,2022-05-12,63436
E07000098,Hertsmere,ltla,2022-05-11,63416
E07000098,Hertsmere,ltla,2022-05-10,63402
E07000098,Hertsmere,ltla,2022-05-09,63382
E07000098,Hertsmere,ltla,2022-05-08,63367
E07000098,Hertsmere,ltla,2022-05-07,63365
E07000098,Hertsmere,ltla,2022-05-06,63338
E07000098,Hertsmere,ltla,2022-05-05,63315
E07000098,Hertsmere,ltla,2022-05-04,63269
E07000098,Hertsmere,ltla,2022-05-03,63252
E07000098,Hertsmere,ltla,2022-05-02,63221
E07000098,Hertsmere,ltla,2022-05-01,63219
E07000098,Hertsmere,ltla,2022-04-30,63209
E07000098,Hertsmere,ltla,2022-04-29,63191
E07000098,Hertsmere,ltla,2022-04-28,63171
E07000098,Hertsmere,ltla,2022-04-27,63140
E07000098,Hertsmere,ltla,2022-04-26,63113
E07000098,Hertsmere,ltla,2022-04-25,63085
E07000098,Hertsmere,ltla,2022-04-24,63062
E07000098,Hertsmere,ltla,2022-04-23,63060
E07000098,Hertsmere,ltla,2022-04-22,63029
E07000098,Hertsmere,ltla,2022-04-21,63015
E07000098,Hertsmere,ltla,2022-04-20,62999
E07000098,Hertsmere,ltla,2022-04-19,62955
E07000098,Hertsmere,ltla,2022-04-18,62927
E07000098,Hertsmere,ltla,2022-04-17,62924
E07000098,Hertsmere,ltla,2022-04-16,62923
E07000098,Hertsmere,ltla,2022-04-15,62909
E07000098,Hertsmere,ltla,2022-04-14,62908
E07000098,Hertsmere,ltla,2022-04-13,62886
E07000098,Hertsmere,ltla,2022-04-12,62825
E07000098,Hertsmere,ltla,2022-04-11,62797
E07000098,Hertsmere,ltla,2022-04-10,62771
E07000098,Hertsmere,ltla,2022-04-09,62763
E07000098,Hertsmere,ltla,2022-04-08,62712
E07000098,Hertsmere,ltla,2022-04-07,62673
E07000098,Hertsmere,ltla,2022-04-06,62648
E07000098,Hertsmere,ltla,2022-04-05,62631
E07000098,Hertsmere,ltla,2022-04-04,62615
E07000098,Hertsmere,ltla,2022-04-03,62594
E07000098,Hertsmere,ltla,2022-04-02,62587
E07000098,Hertsmere,ltla,2022-04-01,62567
E07000098,Hertsmere,ltla,2022-03-31,62539
E07000098,Hertsmere,ltla,2022-03-30,62491
E07000098,Hertsmere,ltla,2022-03-29,62461
E07000098,Hertsmere,ltla,2022-03-28,62446
E07000098,Hertsmere,ltla,2022-03-27,62427
E07000098,Hertsmere,ltla,2022-03-26,62425
E07000098,Hertsmere,ltla,2022-03-25,62403
E07000098,Hertsmere,ltla,2022-03-24,62382
E07000098,Hertsmere,ltla,2022-03-23,62356
E07000098,Hertsmere,ltla,2022-03-22,62317
E07000098,Hertsmere,ltla,2022-03-21,62296
E07000098,Hertsmere,ltla,2022-03-20,62277
E07000098,Hertsmere,ltla,2022-03-19,62246
E07000098,Hertsmere,ltla,2022-03-18,62221
E07000098,Hertsmere,ltla,2022-03-17,62206
E07000098,Hertsmere,ltla,2022-03-16,62166
E07000098,Hertsmere,ltla,2022-03-15,62139
E07000098,Hertsmere,ltla,2022-03-14,62117
E07000098,Hertsmere,ltla,2022-03-13,62086
E07000098,Hertsmere,ltla,2022-03-12,62080
E07000098,Hertsmere,ltla,2022-03-11,62049
E07000098,Hertsmere,ltla,2022-03-10,62026
E07000098,Hertsmere,ltla,2022-03-09,62000
E07000098,Hertsmere,ltla,2022-03-08,61932
E07000098,Hertsmere,ltla,2022-03-07,61903
E07000098,Hertsmere,ltla,2022-03-06,61876
E07000098,Hertsmere,ltla,2022-03-05,61867
E07000098,Hertsmere,ltla,2022-03-04,61835
E07000098,Hertsmere,ltla,2022-03-03,61820
E07000098,Hertsmere,ltla,2022-03-02,61773
E07000098,Hertsmere,ltla,2022-03-01,61754
