areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000043,North Devon,ltla,2022-08-02,66362
E07000043,North Devon,ltla,2022-08-01,66351
E07000043,North Devon,ltla,2022-07-31,66347
E07000043,North Devon,ltla,2022-07-30,66339
E07000043,North Devon,ltla,2022-07-29,66337
E07000043,North Devon,ltla,2022-07-28,66337
E07000043,North Devon,ltla,2022-07-27,66334
E07000043,North Devon,ltla,2022-07-26,66321
E07000043,North Devon,ltla,2022-07-25,66317
E07000043,North Devon,ltla,2022-07-24,66313
E07000043,North Devon,ltla,2022-07-23,66301
E07000043,North Devon,ltla,2022-07-22,66292
E07000043,North Devon,ltla,2022-07-21,66289
E07000043,North Devon,ltla,2022-07-20,66279
E07000043,North Devon,ltla,2022-07-19,66268
E07000043,North Devon,ltla,2022-07-18,66249
E07000043,North Devon,ltla,2022-07-17,66249
E07000043,North Devon,ltla,2022-07-16,66239
E07000043,North Devon,ltla,2022-07-15,66234
E07000043,North Devon,ltla,2022-07-14,66231
E07000043,North Devon,ltla,2022-07-13,66216
E07000043,North Devon,ltla,2022-07-12,66201
E07000043,North Devon,ltla,2022-07-11,66184
E07000043,North Devon,ltla,2022-07-10,66183
E07000043,North Devon,ltla,2022-07-09,66172
E07000043,North Devon,ltla,2022-07-08,66165
E07000043,North Devon,ltla,2022-07-07,66162
E07000043,North Devon,ltla,2022-07-06,66154
E07000043,North Devon,ltla,2022-07-05,66142
E07000043,North Devon,ltla,2022-07-04,66129
E07000043,North Devon,ltla,2022-07-03,66121
E07000043,North Devon,ltla,2022-07-02,66104
E07000043,North Devon,ltla,2022-07-01,66100
E07000043,North Devon,ltla,2022-06-30,66099
E07000043,North Devon,ltla,2022-06-29,66086
E07000043,North Devon,ltla,2022-06-28,66069
E07000043,North Devon,ltla,2022-06-27,66049
E07000043,North Devon,ltla,2022-06-26,66049
E07000043,North Devon,ltla,2022-06-25,66032
E07000043,North Devon,ltla,2022-06-24,66017
E07000043,North Devon,ltla,2022-06-23,66016
E07000043,North Devon,ltla,2022-06-22,66008
E07000043,North Devon,ltla,2022-06-21,65992
E07000043,North Devon,ltla,2022-06-20,65971
E07000043,North Devon,ltla,2022-06-19,65969
E07000043,North Devon,ltla,2022-06-18,65943
E07000043,North Devon,ltla,2022-06-17,65933
E07000043,North Devon,ltla,2022-06-16,65926
E07000043,North Devon,ltla,2022-06-15,65911
E07000043,North Devon,ltla,2022-06-14,65900
E07000043,North Devon,ltla,2022-06-13,65873
E07000043,North Devon,ltla,2022-06-12,65866
E07000043,North Devon,ltla,2022-06-11,65850
E07000043,North Devon,ltla,2022-06-10,65844
E07000043,North Devon,ltla,2022-06-09,65835
E07000043,North Devon,ltla,2022-06-08,65822
E07000043,North Devon,ltla,2022-06-07,65812
E07000043,North Devon,ltla,2022-06-06,65792
E07000043,North Devon,ltla,2022-06-05,65784
