areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E08000019,Sheffield,ltla,2022-08-02,318878
E08000019,Sheffield,ltla,2022-08-01,318827
E08000019,Sheffield,ltla,2022-07-31,318780
E08000019,Sheffield,ltla,2022-07-30,318759
E08000019,Sheffield,ltla,2022-07-29,318691
E08000019,Sheffield,ltla,2022-07-28,318628
E08000019,Sheffield,ltla,2022-07-27,318544
E08000019,Sheffield,ltla,2022-07-26,318473
E08000019,Sheffield,ltla,2022-07-25,318378
E08000019,Sheffield,ltla,2022-07-24,318331
E08000019,Sheffield,ltla,2022-07-23,318331
E08000019,Sheffield,ltla,2022-07-22,318282
E08000019,Sheffield,ltla,2022-07-21,318231
E08000019,Sheffield,ltla,2022-07-20,318141
E08000019,Sheffield,ltla,2022-07-19,318073
E08000019,Sheffield,ltla,2022-07-18,318024
E08000019,Sheffield,ltla,2022-07-17,317958
E08000019,Sheffield,ltla,2022-07-16,317955
E08000019,Sheffield,ltla,2022-07-15,317868
E08000019,Sheffield,ltla,2022-07-14,317788
E08000019,Sheffield,ltla,2022-07-13,317686
E08000019,Sheffield,ltla,2022-07-12,317613
E08000019,Sheffield,ltla,2022-07-11,317525
E08000019,Sheffield,ltla,2022-07-10,317473
E08000019,Sheffield,ltla,2022-07-09,317470
E08000019,Sheffield,ltla,2022-07-08,317425
E08000019,Sheffield,ltla,2022-07-07,317354
E08000019,Sheffield,ltla,2022-07-06,317253
E08000019,Sheffield,ltla,2022-07-05,317174
E08000019,Sheffield,ltla,2022-07-04,317084
E08000019,Sheffield,ltla,2022-07-03,317035
E08000019,Sheffield,ltla,2022-07-02,317030
E08000019,Sheffield,ltla,2022-07-01,316956
E08000019,Sheffield,ltla,2022-06-30,316889
E08000019,Sheffield,ltla,2022-06-29,316803
E08000019,Sheffield,ltla,2022-06-28,316726
E08000019,Sheffield,ltla,2022-06-27,316640
E08000019,Sheffield,ltla,2022-06-26,316577
E08000019,Sheffield,ltla,2022-06-25,316560
E08000019,Sheffield,ltla,2022-06-24,316461
E08000019,Sheffield,ltla,2022-06-23,316392
E08000019,Sheffield,ltla,2022-06-22,316316
E08000019,Sheffield,ltla,2022-06-21,316231
E08000019,Sheffield,ltla,2022-06-20,316159
E08000019,Sheffield,ltla,2022-06-19,316108
E08000019,Sheffield,ltla,2022-06-18,316101
E08000019,Sheffield,ltla,2022-06-17,316016
E08000019,Sheffield,ltla,2022-06-16,315933
E08000019,Sheffield,ltla,2022-06-15,315835
E08000019,Sheffield,ltla,2022-06-14,315758
E08000019,Sheffield,ltla,2022-06-13,315639
E08000019,Sheffield,ltla,2022-06-12,315578
E08000019,Sheffield,ltla,2022-06-11,315555
E08000019,Sheffield,ltla,2022-06-10,315483
E08000019,Sheffield,ltla,2022-06-09,315382
E08000019,Sheffield,ltla,2022-06-08,315282
E08000019,Sheffield,ltla,2022-06-07,315178
E08000019,Sheffield,ltla,2022-06-06,315044
E08000019,Sheffield,ltla,2022-06-05,314969
E08000019,Sheffield,ltla,2022-06-04,314962
E08000019,Sheffield,ltla,2022-06-03,314902
E08000019,Sheffield,ltla,2022-06-02,314898
E08000019,Sheffield,ltla,2022-06-01,314874
E08000019,Sheffield,ltla,2022-05-31,314750
E08000019,Sheffield,ltla,2022-05-30,314613
E08000019,Sheffield,ltla,2022-05-29,314519
E08000019,Sheffield,ltla,2022-05-28,314459
E08000019,Sheffield,ltla,2022-05-27,314406
E08000019,Sheffield,ltla,2022-05-26,314311
E08000019,Sheffield,ltla,2022-05-25,314180
E08000019,Sheffield,ltla,2022-05-24,314083
E08000019,Sheffield,ltla,2022-05-23,313969
E08000019,Sheffield,ltla,2022-05-22,313860
E08000019,Sheffield,ltla,2022-05-21,313796
E08000019,Sheffield,ltla,2022-05-20,313698
E08000019,Sheffield,ltla,2022-05-19,313560
E08000019,Sheffield,ltla,2022-05-18,313366
E08000019,Sheffield,ltla,2022-05-17,313244
E08000019,Sheffield,ltla,2022-05-16,313098
E08000019,Sheffield,ltla,2022-05-15,312987
E08000019,Sheffield,ltla,2022-05-14,312945
E08000019,Sheffield,ltla,2022-05-13,312849
E08000019,Sheffield,ltla,2022-05-12,312770
E08000019,Sheffield,ltla,2022-05-11,312574
E08000019,Sheffield,ltla,2022-05-10,312443
E08000019,Sheffield,ltla,2022-05-09,312289
E08000019,Sheffield,ltla,2022-05-08,312185
E08000019,Sheffield,ltla,2022-05-07,312124
E08000019,Sheffield,ltla,2022-05-06,311995
E08000019,Sheffield,ltla,2022-05-05,311881
E08000019,Sheffield,ltla,2022-05-04,311745
E08000019,Sheffield,ltla,2022-05-03,311620
E08000019,Sheffield,ltla,2022-05-02,311493
E08000019,Sheffield,ltla,2022-05-01,311490
E08000019,Sheffield,ltla,2022-04-30,311483
E08000019,Sheffield,ltla,2022-04-29,311330
E08000019,Sheffield,ltla,2022-04-28,311226
E08000019,Sheffield,ltla,2022-04-27,311028
E08000019,Sheffield,ltla,2022-04-26,310909
E08000019,Sheffield,ltla,2022-04-25,310752
E08000019,Sheffield,ltla,2022-04-24,310637
E08000019,Sheffield,ltla,2022-04-23,310550
E08000019,Sheffield,ltla,2022-04-22,310418
E08000019,Sheffield,ltla,2022-04-21,310294
E08000019,Sheffield,ltla,2022-04-20,310119
E08000019,Sheffield,ltla,2022-04-19,309982
E08000019,Sheffield,ltla,2022-04-18,309832
E08000019,Sheffield,ltla,2022-04-17,309781
E08000019,Sheffield,ltla,2022-04-16,309729
E08000019,Sheffield,ltla,2022-04-15,309690
E08000019,Sheffield,ltla,2022-04-14,309665
E08000019,Sheffield,ltla,2022-04-13,309460
E08000019,Sheffield,ltla,2022-04-12,309326
E08000019,Sheffield,ltla,2022-04-11,309170
E08000019,Sheffield,ltla,2022-04-10,308997
E08000019,Sheffield,ltla,2022-04-09,308936
E08000019,Sheffield,ltla,2022-04-08,308792
E08000019,Sheffield,ltla,2022-04-07,308631
E08000019,Sheffield,ltla,2022-04-06,308462
E08000019,Sheffield,ltla,2022-04-05,308342
E08000019,Sheffield,ltla,2022-04-04,308193
E08000019,Sheffield,ltla,2022-04-03,308050
E08000019,Sheffield,ltla,2022-04-02,307951
E08000019,Sheffield,ltla,2022-04-01,307840
E08000019,Sheffield,ltla,2022-03-31,307675
E08000019,Sheffield,ltla,2022-03-30,307524
E08000019,Sheffield,ltla,2022-03-29,307423
E08000019,Sheffield,ltla,2022-03-28,307341
E08000019,Sheffield,ltla,2022-03-27,307234
E08000019,Sheffield,ltla,2022-03-26,307146
E08000019,Sheffield,ltla,2022-03-25,307044
E08000019,Sheffield,ltla,2022-03-24,306883
E08000019,Sheffield,ltla,2022-03-23,306732
E08000019,Sheffield,ltla,2022-03-22,306581
E08000019,Sheffield,ltla,2022-03-21,306409
E08000019,Sheffield,ltla,2022-03-20,306256
E08000019,Sheffield,ltla,2022-03-19,306145
E08000019,Sheffield,ltla,2022-03-18,306074
E08000019,Sheffield,ltla,2022-03-17,305899
E08000019,Sheffield,ltla,2022-03-16,305708
E08000019,Sheffield,ltla,2022-03-15,305565
E08000019,Sheffield,ltla,2022-03-14,305402
E08000019,Sheffield,ltla,2022-03-13,305218
E08000019,Sheffield,ltla,2022-03-12,305078
E08000019,Sheffield,ltla,2022-03-11,305000
E08000019,Sheffield,ltla,2022-03-10,304840
E08000019,Sheffield,ltla,2022-03-09,304706
E08000019,Sheffield,ltla,2022-03-08,304543
E08000019,Sheffield,ltla,2022-03-07,304363
E08000019,Sheffield,ltla,2022-03-06,304231
E08000019,Sheffield,ltla,2022-03-05,304060
E08000019,Sheffield,ltla,2022-03-04,303936
E08000019,Sheffield,ltla,2022-03-03,303784
E08000019,Sheffield,ltla,2022-03-02,303596
E08000019,Sheffield,ltla,2022-03-01,303393
E08000019,Sheffield,ltla,2022-02-28,303219
E08000019,Sheffield,ltla,2022-02-27,303040
E08000019,Sheffield,ltla,2022-02-26,302887
E08000019,Sheffield,ltla,2022-02-25,302781
E08000019,Sheffield,ltla,2022-02-24,302584
E08000019,Sheffield,ltla,2022-02-23,302318
E08000019,Sheffield,ltla,2022-02-22,302142
E08000019,Sheffield,ltla,2022-02-21,302028
E08000019,Sheffield,ltla,2022-02-20,301802
E08000019,Sheffield,ltla,2022-02-19,301640
E08000019,Sheffield,ltla,2022-02-18,301555
E08000019,Sheffield,ltla,2022-02-17,301303
E08000019,Sheffield,ltla,2022-02-16,300939
E08000019,Sheffield,ltla,2022-02-15,300692
E08000019,Sheffield,ltla,2022-02-14,300514
E08000019,Sheffield,ltla,2022-02-13,300242
E08000019,Sheffield,ltla,2022-02-12,300058
E08000019,Sheffield,ltla,2022-02-11,299894
E08000019,Sheffield,ltla,2022-02-10,299568
E08000019,Sheffield,ltla,2022-02-09,299276
E08000019,Sheffield,ltla,2022-02-08,299097
E08000019,Sheffield,ltla,2022-02-07,298881
E08000019,Sheffield,ltla,2022-02-06,298597
E08000019,Sheffield,ltla,2022-02-05,298452
E08000019,Sheffield,ltla,2022-02-04,298269
E08000019,Sheffield,ltla,2022-02-03,297992
E08000019,Sheffield,ltla,2022-02-02,297625
E08000019,Sheffield,ltla,2022-02-01,297394
E08000019,Sheffield,ltla,2022-01-31,297187
E08000019,Sheffield,ltla,2022-01-30,296902
E08000019,Sheffield,ltla,2022-01-29,296588
E08000019,Sheffield,ltla,2022-01-28,296108
E08000019,Sheffield,ltla,2022-01-27,295777
E08000019,Sheffield,ltla,2022-01-26,295284
E08000019,Sheffield,ltla,2022-01-25,294853
E08000019,Sheffield,ltla,2022-01-24,294489
E08000019,Sheffield,ltla,2022-01-23,294106
E08000019,Sheffield,ltla,2022-01-22,293612
E08000019,Sheffield,ltla,2022-01-21,293085
E08000019,Sheffield,ltla,2022-01-20,292534
