areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E08000007,Stockport,ltla,2022-08-02,183968
E08000007,Stockport,ltla,2022-08-01,183941
E08000007,Stockport,ltla,2022-07-31,183921
E08000007,Stockport,ltla,2022-07-30,183893
E08000007,Stockport,ltla,2022-07-29,183843
E08000007,Stockport,ltla,2022-07-28,183804
E08000007,Stockport,ltla,2022-07-27,183767
E08000007,Stockport,ltla,2022-07-26,183727
E08000007,Stockport,ltla,2022-07-25,183693
E08000007,Stockport,ltla,2022-07-24,183676
E08000007,Stockport,ltla,2022-07-23,183646
E08000007,Stockport,ltla,2022-07-22,183631
E08000007,Stockport,ltla,2022-07-21,183596
E08000007,Stockport,ltla,2022-07-20,183573
E08000007,Stockport,ltla,2022-07-19,183539
E08000007,Stockport,ltla,2022-07-18,183501
E08000007,Stockport,ltla,2022-07-17,183477
E08000007,Stockport,ltla,2022-07-16,183454
E08000007,Stockport,ltla,2022-07-15,183412
E08000007,Stockport,ltla,2022-07-14,183374
E08000007,Stockport,ltla,2022-07-13,183350
E08000007,Stockport,ltla,2022-07-12,183319
E08000007,Stockport,ltla,2022-07-11,183261
E08000007,Stockport,ltla,2022-07-10,183241
E08000007,Stockport,ltla,2022-07-09,183214
E08000007,Stockport,ltla,2022-07-08,183179
E08000007,Stockport,ltla,2022-07-07,183121
E08000007,Stockport,ltla,2022-07-06,183093
E08000007,Stockport,ltla,2022-07-05,183050
E08000007,Stockport,ltla,2022-07-04,182984
E08000007,Stockport,ltla,2022-07-03,182946
E08000007,Stockport,ltla,2022-07-02,182925
E08000007,Stockport,ltla,2022-07-01,182877
E08000007,Stockport,ltla,2022-06-30,182837
E08000007,Stockport,ltla,2022-06-29,182812
E08000007,Stockport,ltla,2022-06-28,182765
E08000007,Stockport,ltla,2022-06-27,182702
E08000007,Stockport,ltla,2022-06-26,182685
E08000007,Stockport,ltla,2022-06-25,182650
E08000007,Stockport,ltla,2022-06-24,182603
E08000007,Stockport,ltla,2022-06-23,182551
E08000007,Stockport,ltla,2022-06-22,182526
E08000007,Stockport,ltla,2022-06-21,182486
E08000007,Stockport,ltla,2022-06-20,182426
E08000007,Stockport,ltla,2022-06-19,182405
E08000007,Stockport,ltla,2022-06-18,182387
E08000007,Stockport,ltla,2022-06-17,182341
E08000007,Stockport,ltla,2022-06-16,182303
E08000007,Stockport,ltla,2022-06-15,182270
E08000007,Stockport,ltla,2022-06-14,182249
E08000007,Stockport,ltla,2022-06-13,182197
E08000007,Stockport,ltla,2022-06-12,182161
E08000007,Stockport,ltla,2022-06-11,182131
E08000007,Stockport,ltla,2022-06-10,182071
E08000007,Stockport,ltla,2022-06-09,182002
E08000007,Stockport,ltla,2022-06-08,181978
E08000007,Stockport,ltla,2022-06-07,181923
E08000007,Stockport,ltla,2022-06-06,181873
E08000007,Stockport,ltla,2022-06-05,181856
E08000007,Stockport,ltla,2022-06-04,181819
E08000007,Stockport,ltla,2022-06-03,181808
E08000007,Stockport,ltla,2022-06-02,181807
E08000007,Stockport,ltla,2022-06-01,181805
E08000007,Stockport,ltla,2022-05-31,181733
E08000007,Stockport,ltla,2022-05-30,181671
E08000007,Stockport,ltla,2022-05-29,181642
E08000007,Stockport,ltla,2022-05-28,181621
E08000007,Stockport,ltla,2022-05-27,181567
E08000007,Stockport,ltla,2022-05-26,181503
E08000007,Stockport,ltla,2022-05-25,181464
E08000007,Stockport,ltla,2022-05-24,181408
E08000007,Stockport,ltla,2022-05-23,181339
E08000007,Stockport,ltla,2022-05-22,181313
E08000007,Stockport,ltla,2022-05-21,181281
E08000007,Stockport,ltla,2022-05-20,181191
E08000007,Stockport,ltla,2022-05-19,181102
E08000007,Stockport,ltla,2022-05-18,181048
E08000007,Stockport,ltla,2022-05-17,180969
E08000007,Stockport,ltla,2022-05-16,180900
E08000007,Stockport,ltla,2022-05-15,180852
E08000007,Stockport,ltla,2022-05-14,180813
E08000007,Stockport,ltla,2022-05-13,180731
E08000007,Stockport,ltla,2022-05-12,180647
E08000007,Stockport,ltla,2022-05-11,180572
E08000007,Stockport,ltla,2022-05-10,180503
E08000007,Stockport,ltla,2022-05-09,180415
E08000007,Stockport,ltla,2022-05-08,180351
E08000007,Stockport,ltla,2022-05-07,180319
E08000007,Stockport,ltla,2022-05-06,180218
E08000007,Stockport,ltla,2022-05-05,180109
E08000007,Stockport,ltla,2022-05-04,180034
E08000007,Stockport,ltla,2022-05-03,179959
E08000007,Stockport,ltla,2022-05-02,179923
E08000007,Stockport,ltla,2022-05-01,179922
E08000007,Stockport,ltla,2022-04-30,179914
E08000007,Stockport,ltla,2022-04-29,179817
E08000007,Stockport,ltla,2022-04-28,179740
E08000007,Stockport,ltla,2022-04-27,179646
E08000007,Stockport,ltla,2022-04-26,179550
E08000007,Stockport,ltla,2022-04-25,179451
E08000007,Stockport,ltla,2022-04-24,179392
E08000007,Stockport,ltla,2022-04-23,179360
E08000007,Stockport,ltla,2022-04-22,179272
E08000007,Stockport,ltla,2022-04-21,179176
E08000007,Stockport,ltla,2022-04-20,179083
E08000007,Stockport,ltla,2022-04-19,178975
E08000007,Stockport,ltla,2022-04-18,178900
E08000007,Stockport,ltla,2022-04-17,178885
