,LAD20CD,LAD20NM,1981,1991,2001,2011,2021
0,E07000223,Adur,1368.05695879045,1379.25378279112,1417.5036550142,1454.44604248136,1533
1,E07000026,Allerdale,75.8716618972488,77.0454329919199,75.2694802931239,77.6250730386711,77
2,E07000032,Amber Valley,410.777812814221,421.556228405966,438.799432937044,460.781975746492,475
3,E07000224,Arun,523.396406734747,585.34909987366,636.925814240567,676.578976900437,746
4,E07000170,Ashfield,965.980607549784,989.100760235893,1016.75731871947,1090.71807561467,1153
5,E07000105,Ashford,145.896470170019,159.022157800354,176.80668089061,203.156227545446,229
6,E07000200,Babergh,121.856324439074,134.122970984151,140.565360526224,147.779152528498,155
7,E09000002,Barking and Dagenham,4126.71636044331,3979.96182941794,4541.30206558802,5149.73227962582,6064
8,E09000003,Barnet,3344.56652148808,3383.37173132088,3625.33091612335,4107.405260313,4487
9,E08000016,Barnsley,680.395748601545,671.382676912679,662.633980556561,702.633664521681,743
10,E07000027,Barrow-in-Furness,932.602112273756,938.738412598158,924.0523716544,886.900796050174,865
11,E07000066,Basildon,1381.79652912246,1464.75032045163,1506.0317633476,1586.32194252779,1705
12,E07000084,Basingstoke and Deane,203.35789016465,228.444323973463,240.714587855925,264.747075892142,292
13,E07000171,Bassetlaw,158.544178118865,163.026751351082,168.874949377025,176.955810670782,185
14,E06000022,Bath and North East Somerset,445.410615169599,458.80837958752,488.735064846451,508.895317605656,559
15,E06000055,Bedford,275.551512337529,280.624892686565,310.473245422727,330.554763750917,389
16,E09000004,Bexley,3538.47245883021,3559.27195171876,3603.74324841857,3829.69837433804,4069
17,E08000025,Birmingham,3720.69358515141,3588.76990730091,3648.71586519646,4007.02114184484,4275
19,E06000008,Blackburn with Darwen,1028.31587021363,997.007052147062,1003.26881576037,1076.38840741748,1130
20,E06000009,Blackpool,4180.44845415518,4188.8508756585,4080.30764907128,4074.02734084867,4046
22,E07000033,Bolsover,438.81954436563,439.312263658459,447.613648199672,473.172681896058,501
23,E08000001,Bolton,1861.53314596011,1849.77284156566,1867.30599610994,1979.98029934409,2117
24,E07000136,Boston,143.422435623773,146.221820033922,153.158469332867,177.569980489471,194
25,E06000058,"Bournemouth, Christchurch and Poole",1817.84301977971,2006.64403859811,2138.49439224138,2337.80320984561,2470
26,E06000036,Bracknell Forest,742.565432150683,877.17341519761,1002.10907781098,1034.92914431047,1139
27,E08000032,Bradford,1239.55671597351,1248.14249888856,1276.31238167598,1425.82945185534,1491
28,E07000067,Braintree,182.104890258896,194.346026919057,216.075352304588,240.448096223704,254
29,E07000143,Breckland,73.4470661936157,82.1129572464318,93.032286458959,99.9841546748919,108
30,E09000005,Brent,5810.79830883237,5620.84262334514,6093.36114940189,7197.98595627757,7859
31,E07000068,Brentwood,469.782353006483,461.044342464706,447.055688817109,480.662416954614,503
33,E06000043,Brighton and Hove,2737.45640329771,2763.94339943814,2991.72673725841,3300.23867270451,3346
35,E07000144,Broadland,176.556576175458,192.536694314577,214.673740764154,225.783020354634,239
36,E09000006,Bromley,1961.77245981219,1935.68219027712,1968.46654224332,2060.79159356462,2198
37,E07000234,Bromsgrove,400.878653296977,421.923192501765,404.842364141506,431.569758545484,457
38,E07000095,Broxbourne,1543.03276298447,1583.31097814634,1692.46260851985,1819.69278141292,1924
39,E07000172,Broxtowe,1278.3571309968,1337.55894275701,1342.92730611781,1366.89767275206,1385
41,E07000117,Burnley,826.271186440678,823.334899353113,808.942575259296,786.554515557804,856
42,E08000002,Bury,1764.03875311179,1777.18971570594,1815.84831752134,1860.64001351291,1949
44,E08000033,Calderdale,522.94093210038,526.389105639948,528.642095522374,560.021848506762,568
45,E07000008,Cambridge,2142.41136145851,2258.85156883461,2674.7831642055,3043.4900120396,3580
47,E09000007,Camden,7397.11183047501,7826.25066005464,9092.54540028009,10117.2257042496,9647
48,E07000192,Cannock Chase,1072.59531581783,1126.14331442335,1167.87627166988,1235.53386365797,1274
49,E07000106,Canterbury,370.212267038399,401.444392694992,438.159872985684,489.534339144026,510
51,E07000028,Carlisle,95.8338602378567,96.8528366019392,97.026197420025,103.558047799237,106
53,E07000069,Castle Point,1910.03615118582,1937.61402173548,1938.80040740036,1970.09412739095,2006
54,E06000056,Central Bedfordshire,290.191356103834,305.648293609711,326.49601622657,355.446684115223,411
56,E07000130,Charnwood,476.386042847937,508.187638733297,549.973373241218,595.24961421661,659
57,E07000070,Chelmsford,405.616749646207,449.931544092511,463.67586083525,496.844061634522,536
58,E07000078,Cheltenham,1959.24122405094,2212.95344460158,2360.88428001485,2483.72717888407,2550
59,E07000177,Cherwell,180.130494437833,200.140841864751,223.843787144663,240.966638550381,273
60,E06000049,Cheshire East,278.72324244955,290.88760677792,301.638168119437,317.335753860072,342
61,E06000050,Cheshire West and Chester,334.25226492925,337.967410844378,349.981310142185,358.262672555104,388
62,E07000034,Chesterfield,1453.20980325644,1505.30323221554,1496.88348032564,1571.70721069974,1569
63,E07000225,Chichester,121.609809680755,128.922246751059,135.399013069025,144.740209423923,158
64,E07000118,Chorley,445.442986907816,475.946700124579,495.442444400386,528.476214994708,581
66,E07000071,Colchester,402.146217871398,434.200556388489,474.691209262945,527.304684393793,587
68,E07000029,Copeland,97.650762380275,97.430745128736,94.7153769373817,96.4837143503724,92
69,E06000052,Cornwall,117.553443806685,131.542985623594,140.775987324768,150.129143561598,161
70,E07000079,Cotswold,59.6252100213975,63.515210761614,69.024757063872,71.1715565893778,78
71,E06000047,County Durham,225.378843271037,222.171994469915,221.704759564736,230.581324234472,235
72,E08000026,Coventry,3144.96294569085,2984.48889384523,3050.06133476616,3213.33346850637,3501
73,E07000163,Craven,39.4169093436565,42.3743029167697,45.5380855301663,47.0609478726683,48
74,E07000226,Crawley,1613.10263702689,1948.89606880863,2217.8688090796,2370.34451014095,2635
75,E09000008,Croydon,3657.19452367766,3624.86660107042,3822.37217116224,4201.45059412385,4519
77,E07000096,Dacorum,605.078394514972,622.374416759304,648.527884952978,681.708009258431,730
78,E06000005,Darlington,492.303189369544,500.845917441901,495.447845050002,534.56108253126,546
81,E06000015,Derby,2748.00688443453,2804.03582674087,2841.27738811832,3187.85714926484,3350
83,E07000035,Derbyshire Dales,82.8773380314909,85.2599006012058,87.6601304781114,89.7448727266119,90
85,E08000017,Doncaster,505.142195580894,508.540044619215,505.033041881218,532.3918885421,542
86,E06000059,Dorset,114.162954806644,128.44421354701,138.944194498106,146.591456480037,152
87,E07000108,Dover,315.309387168494,327.318726990951,331.596677722531,354.14074870163,369
88,E08000027,Dudley,3047.45687965503,3109.63633542401,3115.15908793937,3194.46826407944,3302
89,E09000009,Ealing,5017.37411419024,4955.79953332949,5418.29305179466,6093.52494670737,6609
90,E07000009,East Cambridgeshire,82.0131248023142,92.7641619810651,112.396090196933,128.696148850121,135
91,E07000040,East Devon,127.54742684052,142.308461785695,154.163713497633,162.67596353549,185
92,E07000085,East Hampshire,173.849570639205,201.116775444547,212.41477176084,224.731376141438,244
93,E07000242,East Hertfordshire,223.430343967818,243.484183871364,271.024314150896,289.459383038012,316
94,E07000137,East Lindsey,58.2796931717098,66.1980836023548,73.8334722306179,77.2034576933813,81
97,E06000011,East Riding of Yorkshire,111.378797622382,121.487387685626,130.684844183471,139.032741439057,142
98,E07000193,East Staffordshire,244.105649299216,250.943574198333,268.211531180911,293.526841956328,320
99,E07000244,East Suffolk,152.572221644633,170.279741380916,180.39719119038,189.971416895792,195
101,E07000061,Eastbourne,1677.8868471406,1843.12127079016,2030.5469696455,2251.10107220089,2303
102,E07000086,Eastleigh,1156.20717867378,1330.11509368616,1457.63167008819,1571.04387413478,1712
103,E07000030,Eden,19.8027787931353,21.2759094913353,23.2372831268982,24.5353745311105,26
104,E07000207,Elmbridge,1168.95645870746,1204.37906289484,1282.79904852381,1376.87357381147,1460
105,E09000010,Enfield,3181.76812738257,3185.02222810627,3384.79679192686,3866.1438658964,4083
108,E07000072,Epping Forest,341.691441666012,342.27848967592,356.674440873645,367.742803351896,398
109,E07000208,Epsom and Ewell,2011.1269564605,1966.20245661602,1967.72830507579,2203.73598126727,2374
110,E07000036,Erewash,925.457515773496,967.809023251826,1004.24062369732,1022.35608651273,1030
112,E07000041,Exeter,1969.57455403652,2086.30110773286,2361.74600812195,2504.05034762826,2781
113,E07000087,Fareham,1172.49608431747,1336.81334146771,1454.41175876432,1502.71976641926,1542
114,E07000010,Fenland,122.880364944509,136.199053454459,152.819049201555,174.328786044913,188
116,E07000112,Folkestone and Hythe,236.853533414957,256.320026000151,269.622689614788,302.501113691825,308
117,E07000080,Forest of Dean,136.23828465412,143.279519134835,152.062522663438,155.848398399626,165
118,E07000119,Fylde,409.04081777988,428.485902615249,441.871749345493,457.200897539732,491
119,E08000037,Gateshead,1481.91185696691,1402.2008007638,1342.92685565666,1406.59874904365,1378
120,E07000173,Gedling,898.045285239332,917.91498203476,931.700417647024,946.335982904059,978
121,E07000081,Gloucester,2341.72564298572,2505.56062436811,2709.71321480531,3000.7151135551,3267
123,E07000088,Gosport,3025.07330453699,2958.23217832708,3011.71296150329,3256.2190623325,3228
124,E07000109,Gravesham,963.004792345178,933.96180670605,966.88392503576,1027.56608668245,1080
125,E07000145,Great Yarmouth,459.641268468088,503.252173374286,520.91567984708,558.055511254963,573
127,E09000011,Greenwich,4436.02967597387,4389.04271733846,4531.92703599585,5380.50347699266,6111
128,E07000209,Guildford,437.410101682678,451.694176120792,478.701042442156,506.339065541017,530
130,E09000012,Hackney,9427.06364209199,9517.32829237555,10650.2835538752,12931.6320100819,13611
131,E06000006,Halton,1540.95645136816,1564.36194426179,1494.71448080521,1590.03085326994,1621
132,E07000164,Hambleton,56.0820904286911,60.571677667312,64.141536315857,67.9806024207012,69
133,E09000013,Hammersmith and Fulham,8816.16728137287,9053.06794281708,10073.947633127,11125.2476605602,11168
135,E07000131,Harborough,102.49129515107,114.240264307027,129.363703677919,144.275921828547,165
136,E09000014,Haringey,6844.89630480308,6829.8317908532,7313.01087617374,8610.61946902655,8924
137,E07000073,Harlow,2591.86126092494,2443.81571751823,2579.22123001254,2683.35412716657,3055
138,E07000165,Harrogate,101.847358631836,105.712986176635,115.706581437326,120.700703099237,124
139,E09000015,Harrow,3887.06912780271,3965.16362987842,4098.18783501273,4737.11222740738,5178
140,E07000089,Hart,350.177687965995,375.913409053956,387.963672682507,422.888068195015,462
141,E06000001,Hartlepool,1008.0454986822,964.702241855799,945.474140230694,981.977656134959,985
142,E07000062,Hastings,2470.86028037226,2712.43552008484,2853.59493356513,3029.05413795765,3057
143,E07000090,Havant,2082.48865287669,2147.37805206221,2096.37430257799,2165.08494644875,2228
144,E09000016,Havering,2134.41620172399,2042.76879145763,1996.10836754385,2111.66457190262,2332
147,E07000098,Hertsmere,863.537569144907,866.128340067359,934.012471298806,989.15040512933,1066
148,E07000037,High Peak,150.579632539252,157.828169245541,165.870557975959,168.585977049144,169
149,E09000017,Hillingdon,1955.5263239773,2001.66977228178,2100.25720715893,2367.55041294885,2644
150,E07000132,Hinckley and Bosworth,293.215367407047,323.526305912802,336.77662186894,353.379873106365,382
151,E07000227,Horsham,189.206166493204,204.726307128685,230.2355346349,247.607531662124,277
152,E09000018,Hounslow,3554.82570564732,3652.37264754443,3794.27047967578,4537.96093119,5150
153,E07000011,Huntingdonshire,135.868749558584,158.992292887915,173.208074369658,187.058584645808,200
154,E07000120,Hyndburn,1080.20518720935,1073.74000945121,1116.31156129933,1105.84673967386,1126
156,E07000202,Ipswich,3024.56605702888,2960.17696875205,2963.08763901614,3375.97254352084,3536
158,E06000046,Isle of Wight,302.615534522258,328.162113564527,349.625665434646,364.219194811236,370
160,E09000019,Islington,10601.8306636155,11083.9951541257,11831.9423879391,13872.9977116704,14578
161,E09000020,Kensington and Chelsea,10383.9586924783,11415.1620379917,13109.0343706954,13085.8566279271,11828
163,E07000146,King's Lynn and West Norfolk,82.8990226202801,90.6286696198683,94.0193775379945,102.430500560463,107
165,E09000021,Kingston upon Thames,3522.23471723838,3569.47124610499,3952.59706972487,4295.84023317668,4509
166,E08000034,Kirklees,907.055559199866,913.292225510804,951.094060089349,1034.03829528509,1061
167,E08000011,Knowsley,1999.89132973102,1758.27339127539,1739.3948222085,1686.62037775635,1786
168,E09000022,Lambeth,9107.40065131998,9133.17740449358,9928.89943335907,11306.1838095131,11848
170,E07000121,Lancaster,209.176946421216,218.467310424627,236.213722469116,244.077106317077,252
