Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi,cumFirstDose,cumSecondDose,cumThirdDose
2020-03-01,41.1,31.3,68.4,19.7,28.7,0.0,,,,,,,
2020-03-02,38.3,31.3,77.9,11.0,28.9,0.0,,,,,,,
2020-03-03,39.2,33.5,81.0,13.6,29.2,0.0,,,,,,,
2020-03-04,38.7,34.1,83.7,6.0,29.4,0.0,,,,,,,
2020-03-05,38.4,35.0,86.8,9.1,29.1,0.0,,,,,,,
2020-03-06,37.9,30.0,75.1,6.3,29.3,0.0,,,,,,,
2020-03-07,45.4,39.9,80.3,16.0,29.5,0.0,,,,,,,
2020-03-08,47.4,40.1,76.8,19.5,29.2,0.0,,,,,,,
2020-03-09,44.2,38.5,80.4,17.6,29.4,0.0,,,,,,,
2020-03-10,52.4,47.3,83.6,23.5,29.2,0.0,,,,,,,
2020-03-11,48.1,40.2,74.7,18.4,29.3,0.0,,,,,,,
2020-03-12,41.8,31.6,68.0,26.0,29.3,0.0,193.7113058498016,,,,,,
2020-03-13,43.4,36.8,78.4,12.7,29.6,0.0,72.00389104569676,,,,,,
2020-03-14,46.3,41.9,84.4,13.8,29.5,0.0,43.586648670842784,,,,,,
2020-03-15,46.0,41.0,81.8,15.6,29.3,0.0,16.138699093189327,,,,,,
2020-03-16,43.6,34.8,72.6,12.1,29.8,0.0,5.778356734065618,,,,,,
2020-03-17,49.1,43.4,81.5,18.0,29.9,0.0,4.168830645841706,,,,,,
2020-03-18,46.2,43.7,91.8,9.7,29.9,0.0,3.204663320592663,,,,,,
2020-03-19,41.9,35.1,77.3,5.0,30.0,0.0,2.607530715521896,,,,,,
2020-03-20,41.8,34.7,76.8,12.9,30.1,0.0,5.091408001476808,,,,,,
2020-03-21,40.3,30.8,70.7,13.8,30.0,0.0,4.411315114812366,,,,,,
2020-03-22,39.7,31.6,74.7,11.1,30.0,0.0,2.114706205073202,,,,,,
2020-03-23,40.8,29.2,67.6,8.1,30.0,0.0,2.7779493607750263,,,,,,
2020-03-24,47.3,34.9,63.2,10.2,29.9,0.0,1.8015103913913129,,,,,,
2020-03-25,47.6,27.1,45.9,6.4,29.9,0.0,1.7560257523412746,,,,,,
2020-03-26,42.3,28.2,60.2,7.1,29.9,0.0,2.717049422272161,,,,,,
2020-03-27,41.3,31.9,72.6,10.0,30.0,0.0,2.65375162459285,,,,,,
2020-03-28,42.2,34.3,74.0,15.3,30.1,0.0,2.3743570211513494,,,,,,
2020-03-29,38.7,27.2,63.8,14.5,30.4,0.0,2.1461823312750186,,,,,,
2020-03-30,40.4,33.5,77.3,9.1,30.3,0.0,4.2473239317779985,,,,,,
2020-03-31,42.1,33.2,71.4,7.4,30.1,0.0,1.5123536635224673,,,,,,
2020-04-01,42.4,35.2,76.1,9.5,29.9,0.0,5.2887358276149214,,,,,,
2020-04-02,46.8,38.1,73.1,14.3,29.6,0.0,4.2202342905612245,,,,,,
2020-04-03,45.4,35.0,67.7,8.7,29.7,0.0,3.2728442938589533,,,,,,
2020-04-04,48.5,37.5,66.6,9.7,29.7,0.0,2.6954786394680297,,,,,,
2020-04-05,54.8,36.0,52.3,13.6,29.5,0.0,11.132660514681222,,,,,,
2020-04-06,53.8,39.8,60.1,14.6,29.6,0.0,13.009393685064035,,,,,,
2020-04-07,51.6,35.5,56.7,6.6,30.0,0.0,33.223506833764624,,,,,,
2020-04-08,58.9,40.0,50.9,3.2,29.9,0.0,34.28040151725772,,,,,,
2020-04-09,54.1,45.0,71.7,9.8,29.9,0.0,41.27745595111958,,,,,,
2020-04-10,56.9,44.5,68.0,8.7,29.9,0.0,39.52601139527549,,,,,,
2020-04-11,61.1,46.0,59.4,6.8,29.8,0.0,505.643465112922,,,,,,
2020-04-12,55.6,46.3,72.8,7.8,29.6,0.0,3.7998872273720963,,,,,,
2020-04-13,43.7,30.4,60.5,15.5,30.0,0.0,2.2038762894617587,,,,,,
2020-04-14,44.5,28.2,54.0,3.7,30.0,0.0,6.06703306766676,,,,,,
2020-04-15,52.3,31.4,48.2,5.0,29.8,0.0,1.8082062198168016,,,,,,
2020-04-16,53.5,35.9,53.4,7.0,29.7,0.0,3.2359742642562206,,,,,,
2020-04-17,47.8,39.6,74.9,15.0,29.7,0.0,1.1599613047152444,,,,,,
2020-04-18,44.1,38.8,83.0,10.2,29.8,0.0,2.805066387226069,,,,,,
2020-04-19,47.8,35.9,68.3,10.8,29.8,0.0,2.44649768650573,,,,,,
2020-04-20,48.7,35.5,65.0,15.4,29.8,0.0,3.277975254809804,,,,,,
2020-04-21,51.1,38.5,65.2,16.5,29.8,0.0,4.821759865434171,,,,,,
2020-04-22,52.1,40.5,68.0,12.0,29.8,0.0,4.185302043588093,,,,,,
2020-04-23,53.4,41.8,68.2,8.5,29.8,0.0,1.5728963202883164,,,,,,
2020-04-24,53.1,37.1,58.5,6.3,29.7,0.0,2.8656144616068566,,,,,,
2020-04-25,50.0,39.6,70.7,7.0,29.6,0.0,1.82204234539072,,,,,,
2020-04-26,56.0,42.3,63.1,6.6,29.5,0.0,1.4491983028188495,,,,,,
2020-04-27,51.2,40.0,65.9,5.9,29.4,0.0,1.723382146335568,,,,,,
2020-04-28,45.0,41.8,88.3,10.0,29.4,0.0,1.4715478440307257,,,,,,
2020-05-01,47.6,40.2,77.0,13.1,29.1,0.0,1.174747620507938,,,,,,
2020-05-02,49.7,39.4,69.8,11.1,29.5,0.0,1.0165655238100881,,,,,,
2020-05-03,49.5,42.9,78.6,3.7,29.7,0.0,1.6540001183345705,,,,,,
2020-05-04,49.7,43.9,81.1,9.1,29.8,0.0,1.3052429232981029,,,,,,
2020-05-05,47.6,36.8,68.2,12.2,29.9,0.0,1.615064931673609,,,,,,
2020-05-06,49.5,35.3,62.3,6.8,30.0,0.0,1.3453345299330373,,,,,,
2020-05-07,56.5,41.6,61.1,4.5,29.8,0.0,1.4162912303016837,,,,,,
2020-05-08,61.6,48.5,63.9,5.5,29.7,0.0,1.037556440950794,,,,,,
2020-05-09,63.0,48.5,61.7,4.8,29.6,0.0,1.2019672759213238,,,,,,
2020-05-10,48.5,40.7,75.0,14.3,29.6,0.0,1.1300571191457094,,,,,,
2020-05-11,42.6,30.4,62.7,11.8,29.9,0.0,1.0417635503663427,,,,,,
2020-05-12,43.6,34.0,70.3,10.3,29.8,0.0,1.0612644764092092,,,,,,
2020-05-13,44.3,31.1,61.6,9.3,29.8,0.0,1.106562086069386,,,,,,
2020-05-14,45.8,30.5,58.7,6.1,29.9,0.0,1.0590661109330817,,,,,,
2020-05-15,48.7,37.3,67.0,10.0,29.9,0.0,1.006348084691254,,,,,,
2020-05-16,51.2,38.1,63.2,11.0,29.9,0.0,1.027866047798324,,,,,,
2020-05-17,55.0,41.5,60.9,10.7,29.9,0.0,1.1590053431247849,,,,,,
2020-05-18,57.8,46.3,66.5,12.7,29.8,0.0,1.0501414660101025,,,,,,
2020-05-19,62.8,52.2,69.9,9.4,29.8,0.0,1.093046962914575,,,,,,
2020-05-20,67.1,50.9,60.8,6.5,29.8,0.0,0.9921927445901784,,,,,,
2020-05-21,64.3,46.0,52.6,8.0,29.7,0.0,1.0796543177527234,,,,,,
2020-05-22,60.7,42.9,53.9,21.3,29.5,0.0,1.0021547806016318,,,,,,
2020-05-23,55.6,40.4,58.1,21.8,29.7,0.0,1.0352775325463228,,,,,,
2020-05-24,58.3,46.9,66.8,14.5,30.0,0.0,1.0322456604417265,,,,,,
2020-05-25,60.3,39.3,50.7,9.3,30.2,0.0,1.0525502543337013,,,,,,
2020-05-26,62.1,46.7,57.8,7.6,30.2,0.0,1.0609127053129797,,,,,,
2020-05-27,61.0,45.4,59.6,7.5,30.3,0.0,1.0790527488849904,,,,,,
2020-05-28,60.4,43.8,60.6,7.0,30.2,0.0,1.0303843817303122,,,,,,
2020-05-29,61.9,39.4,45.6,9.3,30.0,0.0,1.0779824114867695,,,,,,
2020-05-30,58.0,44.5,63.4,9.5,29.9,0.0,1.0991388543199578,,,,,,
2020-05-31,61.3,44.7,58.8,10.4,29.9,0.0,1.1833462231647105,,,,,,
2020-06-01,61.6,44.6,55.8,8.5,29.9,0.0,1.0468301871164087,,,,,,
2020-06-02,61.7,42.0,53.4,5.2,29.8,0.0,1.0696097113438434,,,,,,
2020-06-03,53.7,47.9,81.7,8.0,29.5,0.0,1.0409983373808382,,,,,,
2020-06-04,50.8,43.8,77.6,8.5,29.3,0.0,1.0657759359143475,,,,,,
2020-06-05,50.4,39.6,68.0,16.0,29.1,0.0,1.0163090706539226,,,,,,
2020-06-06,50.4,41.1,71.4,17.7,29.1,0.0,1.0136755990439508,,,,,,
2020-06-07,51.1,46.9,86.2,8.9,29.5,0.0,1.0388122472785557,,,,,,
2020-06-08,50.9,41.9,71.7,6.1,29.8,0.0,1.0251343824471564,,,,,,
2020-06-09,54.2,43.1,67.2,6.6,29.8,0.0,1.015759741791059,,,,,,
2020-06-10,53.3,47.6,82.4,6.4,29.6,0.0,1.0265199838923114,,,,,,
2020-06-11,52.8,50.1,91.4,12.2,29.6,0.0,1.0100601166411465,,,,,,
2020-06-12,55.2,54.4,97.6,10.8,29.4,0.0,1.0309866599767938,,,,,,
2020-06-13,62.5,54.0,77.4,8.9,29.4,0.0,1.0460542576479115,,,,,,
2020-06-14,60.4,55.7,85.4,7.1,29.6,0.0,1.0318249562022808,,,,,,
2020-06-15,61.0,55.5,84.0,5.6,29.7,0.0,1.0203253377674084,,,,,,
2020-06-16,60.2,56.1,87.7,5.7,29.6,0.0,1.0499315664419877,,,,,,
2020-06-17,58.9,56.4,92.5,5.4,29.6,0.0,1.0200347366753522,,,,,,
2020-06-18,55.5,54.0,93.6,6.9,29.5,0.0,1.0331815565800069,,,,,,
2020-06-19,56.8,51.5,83.7,11.5,29.5,0.0,1.0129309853209794,,,,,,
2020-06-20,59.8,52.1,76.7,11.1,29.7,0.0,1.0012339827504613,,,,,,
2020-06-21,59.3,51.0,74.2,14.6,29.6,0.0,1.0099914931648757,,,,,,
2020-06-22,61.2,47.9,63.8,12.4,29.8,0.0,1.0373435970596596,,,,,,
2020-06-23,67.3,53.9,63.2,8.4,29.8,0.0,1.0230990503865582,,,,,,
2020-06-24,71.8,58.0,63.7,8.1,29.8,0.0,1.017798270978606,,,,,,
2020-06-25,72.7,57.5,61.2,9.5,29.7,0.0,1.0175667529852914,,,,,,
2020-06-26,70.9,58.0,65.2,8.1,29.4,0.0,1.0152789145185437,,,,,,
2020-06-27,61.6,53.8,76.5,14.7,29.2,0.0,1.001188584132177,,,,,,
2020-06-28,57.0,47.3,71.5,18.9,29.3,0.0,1.003866237686684,,,,,,
2020-06-29,55.0,46.7,73.8,20.5,29.4,0.0,1.0068787406280413,,,,,,
2020-06-30,59.8,50.3,72.0,12.6,29.3,0.0,1.0199701207828369,,,,,,
2020-07-01,60.8,53.6,76.9,10.0,29.3,0.0,1.0206966300052394,,,,,,
2020-07-02,57.2,53.0,85.6,7.1,29.5,0.0,1.018057797025949,,,,,,
2020-07-03,57.5,51.5,80.6,16.2,29.6,0.0,1.014998809432556,,,,,,
2020-07-04,63.1,57.1,81.4,16.6,29.4,0.0,1.0006628128202866,,,,,,
2020-07-05,60.6,48.2,65.3,25.3,29.4,0.0,1.0015103001410175,,,,,,
2020-07-06,57.1,45.5,66.5,16.9,29.7,0.0,1.0310242653068291,,,,,,
2020-07-07,54.9,50.4,85.6,7.9,29.7,0.0,1.0176648288713963,,,,,,
2020-07-08,56.1,54.8,95.4,8.0,29.6,0.0,1.0170373224284095,,,,,,
2020-07-09,55.6,54.6,95.8,9.4,29.5,0.0,1.031299413362327,,,,,,
2020-07-10,55.5,48.4,78.8,11.2,29.7,0.0,1.0003974998075584,,,,,,
2020-07-11,55.5,45.6,71.5,11.3,30.0,0.0,1.0013815418417011,,,,,,
2020-07-12,57.9,44.8,64.5,5.7,30.0,0.0,1.0176906265372587,,,,,,
2020-07-13,61.1,52.6,74.0,11.4,29.8,0.0,1.0019320808408956,,,,,,
2020-07-14,58.1,49.5,73.9,9.8,29.7,0.0,1.0166957863587045,,,,,,
2020-07-15,56.7,52.6,85.6,10.3,29.6,0.0,1.016704279753882,,,,,,
2020-07-16,61.8,55.9,80.8,10.9,29.8,0.0,1.001638817811322,,,,,,
2020-07-17,66.6,55.6,70.0,11.1,29.8,0.0,1.0151925845698138,,,,,,
2020-07-18,63.0,55.9,78.4,11.9,29.7,0.0,0.9996335013845544,,,,,,
2020-07-19,58.3,47.5,69.8,7.4,29.7,0.0,1.0013560780281177,,,,,,
2020-07-20,55.1,44.6,69.2,8.5,29.9,0.0,1.002664442790116,,,,,,
2020-07-21,57.2,44.9,65.5,6.8,29.9,0.0,1.0171620440679459,,,,,,
2020-07-22,62.8,48.6,61.6,9.6,29.8,0.0,1.075716339733191,,,,,,
2020-07-23,61.5,53.4,75.7,10.8,29.6,0.0,1.0170394573644,,,,,,
2020-07-24,64.4,55.8,76.0,8.3,29.5,0.0,1.0022362150720407,,,,,,
2020-07-25,62.8,57.8,84.9,12.4,29.3,0.0,1.0012796524091336,,,,,,
2020-07-26,61.2,52.5,73.9,13.5,29.4,0.0,1.002686261651216,,,,,,
2020-07-27,60.5,55.2,83.3,15.8,29.3,0.0,1.002730941468788,,,,,,
2020-07-28,57.0,46.7,70.1,16.7,29.6,0.0,1.0028034587900403,,,,,,
2020-07-29,59.7,48.3,67.5,10.9,29.8,0.0,1.0176344544414122,,,,,,
2020-07-30,68.2,50.9,56.1,6.5,29.7,0.0,1.0025254317087902,,,,,,
2020-07-31,74.2,55.2,55.1,11.5,29.5,0.0,1.0013235632635455,,,,,,
2020-08-01,63.6,54.5,72.6,12.3,29.6,0.0,1.001173717855666,,,,,,
2020-08-02,60.1,48.7,67.5,10.4,29.6,0.0,1.0021450357911712,,,,,,
2020-08-03,58.1,46.5,66.8,8.4,29.7,0.0,1.0164429077619153,,,,,,
2020-08-04,58.1,47.9,69.7,12.9,29.6,0.0,1.001388856880038,,,,,,
2020-08-05,66.6,57.6,74.1,17.5,29.5,0.0,1.0161491133079132,,,,,,
2020-08-06,68.2,61.4,79.6,9.7,29.6,0.0,1.0018828494191407,,,,,,
2020-08-07,73.3,60.2,67.1,6.6,29.7,0.0,1.0011564585383976,,,,,,
2020-08-08,69.3,59.4,71.9,9.6,29.8,0.0,1.0155547401989369,,,,,,
2020-08-09,63.0,58.0,84.8,11.1,29.8,0.0,1.0021237249316035,,,,,,
2020-08-10,70.0,60.3,73.3,9.8,29.7,0.0,1.060720915020436,,,,,,
2020-08-11,72.3,62.6,74.5,6.5,29.6,0.0,1.0022501762702642,,,,,,
2020-08-12,75.9,63.0,66.4,7.4,29.6,0.0,1.0013986301637423,,,,,,
2020-08-13,66.2,61.1,83.6,9.0,29.6,0.0,1.0165972436454185,,,,,,
2020-08-14,65.3,58.1,79.7,9.6,29.6,0.0,1.00083938426881,,,,,,
2020-08-15,62.6,55.9,80.1,10.8,29.7,0.0,1.0166925427139233,,,,,,
2020-08-16,60.6,60.2,98.8,7.8,29.5,0.0,1.0464514458532528,,,,,,
2020-08-17,62.7,58.2,86.5,5.3,29.4,0.0,1.0313527703323555,,,,,,
2020-08-18,64.3,58.5,82.8,10.6,29.4,0.0,1.017247483982606,,,,,,
2020-08-19,64.2,61.7,92.1,9.7,29.2,0.0,1.0021238490595468,,,,,,
2020-08-20,66.2,52.5,63.3,13.9,29.2,0.0,1.0017645287521493,,,,,,
2020-08-21,64.5,54.5,70.5,21.5,29.1,0.0,1.0013961608646875,,,,,,
2020-08-22,62.3,53.7,73.7,18.2,29.4,0.0,1.0012346354225832,,,,,,
2020-08-23,60.1,53.9,80.7,14.4,29.6,0.0,1.0025160379078604,,,,,,
2020-08-24,60.3,51.0,72.2,9.2,29.6,0.0,1.0024496686171358,,,,,,
2020-08-25,61.3,56.9,86.6,21.0,29.1,0.0,1.0176415129148997,,,,,,
2020-08-26,60.2,53.6,78.7,17.9,29.5,0.0,1.0026114471738352,,,,,,
2020-08-27,55.4,52.4,90.0,5.6,29.5,0.0,1.001964598260727,,,,,,
2020-08-28,53.7,51.7,93.1,9.2,29.3,0.0,1.001741522744558,,,,,,
2020-08-29,52.1,46.0,80.5,13.1,29.5,0.0,1.0014882410076589,,,,,,
2020-08-30,53.4,44.2,70.8,7.9,29.8,0.0,1.0031599346423237,,,,,,
2020-09-01,56.9,44.5,65.1,3.8,29.8,0.0,1.0628649727965456,,,,,,
2020-09-02,57.9,50.4,78.0,10.0,29.7,0.0,1.0476273278124992,,,,,,
2020-09-03,62.7,55.8,79.5,16.3,29.6,0.0,1.0180113198741556,,,,,,
2020-09-04,57.3,47.8,72.3,13.3,29.7,0.0,1.0904081915133377,,,,,,
2020-09-05,55.0,46.4,74.6,12.5,29.8,0.0,1.0750464173030878,,,,,,
2020-09-06,56.3,49.9,80.3,8.4,29.8,0.0,1.2580675417616365,,,,,,
2020-09-07,57.5,53.0,86.3,11.2,29.8,0.0,1.1423900582986593,,,,,,
2020-09-08,66.8,60.8,81.1,12.3,29.8,0.0,1.0596081613038464,,,,,,
2020-09-09,61.1,52.1,74.0,12.7,29.9,0.0,1.0588275231759479,,,,,,
2020-09-10,53.8,45.8,75.2,6.8,29.9,0.0,1.0437750943409834,,,,,,
2020-09-11,57.1,47.1,70.5,12.8,29.6,0.0,1.0293980493757369,,,,,,
2020-09-12,59.3,48.5,69.0,13.1,29.7,0.0,1.0430217431584934,,,,,,
2020-09-13,63.1,54.3,74.0,13.0,29.8,0.0,1.0850565403206385,,,,,,
2020-09-14,65.5,53.9,68.1,4.7,29.8,0.0,1.0712510588380055,,,,,,
2020-09-15,66.8,56.1,70.6,4.0,29.8,0.0,1.0843614644104216,,,,,,
2020-09-16,60.3,55.4,84.5,8.8,29.9,0.0,1.0573520710983528,,,,,,
2020-09-17,56.8,48.0,74.4,9.7,30.1,0.0,1.106900587058097,,,,,,
2020-09-18,55.3,47.0,75.7,12.0,29.9,0.0,1.0528371012216131,,,,,,
2020-09-19,58.1,51.5,79.7,13.3,29.8,0.0,1.1292353902908892,,,,,,
2020-09-20,57.2,50.5,78.7,9.8,29.8,0.0,1.1435479423154522,,,,,,
2020-09-21,57.6,50.9,79.3,4.3,29.7,0.0,1.091492233968274,,,,,,
2020-09-22,62.0,52.9,75.5,9.2,29.4,0.0,1.127425572086323,,,,,,
2020-09-23,55.9,51.9,87.0,11.2,29.1,0.0,1.1394060326720292,,,,,,
2020-09-24,48.4,41.9,79.1,10.3,29.0,0.0,1.0776097006896177,,,,,,
2020-09-25,49.4,39.5,69.6,17.8,29.3,0.0,1.0751875023132684,,,,,,
