Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,doctors,nonwhite,PopulationDensity,latitude,longitude
2020-03-01,45.9,62.0,15.1,29.2,1.0000000148529775,,,,,257300.0,145600.0,0.8,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121990273544,-0.07781756646299023
2020-03-02,44.0,73.9,8.7,29.2,1.0000000148529775,,,,,228200.0,122500.0,0.6524,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121999890278,-0.0778176476381535
2020-03-03,43.6,71.5,9.5,29.6,1.0000000148529775,,,,,181900.0,93000.0,0.5238,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.641219893322514,-0.07781771016229024
2020-03-04,42.9,80.9,7.1,29.7,1.0000000148529775,,,,,167900.0,83200.0,0.4905,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121997006313,-0.07781762254802975
2020-03-05,43.8,88.5,10.2,29.4,10.551506458568813,,,,,205000.0,98400.0,0.1952,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121991352364,-0.07781759437368485
2020-03-06,44.1,67.9,7.2,29.6,1.0000000297059557,,,,,235300.0,102700.0,0.7714,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121994198981,-0.07781754424037586
2020-03-07,47.3,76.7,10.5,29.9,11.076263144973296,,,,,225100.0,125100.0,0.6,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.641219951019536,-0.07781762944818918
2020-03-08,51.0,73.3,14.7,29.7,11.109151461575044,,,,,246600.0,150100.0,0.5619,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121999108126,-0.07781758168895694
2020-03-09,47.0,75.3,13.1,29.8,32.307795039964965,,,,,217000.0,126300.0,0.5905,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121993163441,-0.07781763082294464
2020-03-10,56.2,82.9,17.1,29.6,15.876778699075697,,,,,187900.0,98500.0,0.8714,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.64121984796276,-0.07781760375960153
2020-03-11,53.3,75.9,13.8,29.8,44.683444457871744,,,,,,,,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.641220124132154,-0.07781760933066478
2020-03-12,47.1,60.7,19.1,29.8,38.153053769539405,,,,,184200.0,96700.0,0.9824,0.1160314150064338,0.1396217366543776,0.099,0.412491179,4083.0,51.641220043314604,-0.07781754714232336
