Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,doctors,nonwhite,PopulationDensity,latitude,longitude
2020-03-01,43.6,69.8,18.5,28.9,,,,,,257300.0,145600.0,0.8,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805378017401,-2.7226936882128188
2020-03-02,40.4,80.3,9.7,29.1,,,,,,228200.0,122500.0,0.6524,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805371829524,-2.722693798132618
2020-03-03,42.0,84.9,13.2,29.4,,,,,,181900.0,93000.0,0.5238,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805387085016,-2.7226938058441377
2020-03-04,41.2,85.3,5.2,29.6,,,,,,167900.0,83200.0,0.4905,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382260374,-2.7226939152510767
2020-03-05,40.4,82.1,8.2,29.4,,,,,,205000.0,98400.0,0.1952,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053800913796,-2.7226939593143835
2020-03-06,40.3,85.0,5.7,29.6,,,,,,235300.0,102700.0,0.7714,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382770798,-2.722693813457065
2020-03-07,48.6,83.4,13.7,29.7,,,,,,225100.0,125100.0,0.6,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805385895569,-2.7226939767618843
2020-03-08,48.4,80.9,14.0,29.4,,,,,,246600.0,150100.0,0.5619,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053736150746,-2.7226938951078896
2020-03-09,47.1,83.8,18.2,29.6,,,,,,217000.0,126300.0,0.5905,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382432976,-2.722693900406524
2020-03-10,53.1,81.7,16.9,29.4,,,,,,187900.0,98500.0,0.8714,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382747462,-2.7226938166955907
2020-03-11,48.5,77.2,16.8,29.5,,,,,,,,,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805384444452,-2.722693805897411
2020-03-12,44.5,69.9,23.9,29.5,97.35565294718029,,,,,184200.0,96700.0,0.9824,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.3480537841347,-2.722693747131914
2020-03-13,46.0,82.1,13.8,29.9,45.37743125741979,,,,,195200.0,104200.0,0.9273,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805372984205,-2.722693803138581
2020-03-14,48.4,85.7,12.8,29.7,1.0000000594119127,,,,,192200.0,125800.0,0.8773,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805383197794,-2.7226937396575495
2020-03-15,47.9,80.7,15.1,29.6,16.138697894650587,,,,,201000.0,141400.0,0.2826,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805381722128,-2.722693764538246
2020-03-16,47.0,72.5,11.6,30.0,16.017691291029934,,,,,159400.0,112700.0,1.2087,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805369283075,-2.7226938200990585
2020-03-17,53.7,80.0,15.5,30.0,1.0000001039708517,,,,,109500.0,77300.0,0.9,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382905888,-2.72269396396843
2020-03-18,46.3,86.4,9.8,30.1,1.0000001039708517,,,,,87000.0,62100.0,0.5522,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382842215,-2.7226938709207498
2020-03-19,45.2,75.1,7.0,30.3,3.8131782563846564,,,,,80900.0,58500.0,0.2818,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805389379957,-2.72269369181812
2020-03-20,44.3,69.8,14.3,30.4,1.0000001188238323,,,,,64200.0,46900.0,1.0955,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805397505999,-2.7226938491171597
2020-03-21,42.7,68.0,14.4,30.3,1.0000001188238323,,,,,51500.0,37000.0,1.2652,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805388970324,-2.7226939187954136
2020-03-22,43.2,71.0,10.9,30.3,1.0000001188238323,,,,,36400.0,23600.0,1.1,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053860218656,-2.722693809366419
2020-03-23,44.7,69.2,9.2,30.2,5.9577412236539935,,,,,28000.0,17600.0,1.4542,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053851421845,-2.7226935771161984
2020-03-24,51.4,70.7,11.6,30.1,3.329387955492277,,,,,22600.0,14200.0,1.5667,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805394843956,-2.722693832022611
2020-03-25,52.1,65.5,5.4,30.1,2.3860462725699647,,,,,14800.0,8900.0,1.6913,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382065969,-2.722693696525607
2020-03-26,49.7,53.4,5.6,30.2,4.653879635324683,,,,,14600.0,8600.0,1.575,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053907002736,-2.7226937516179084
2020-03-27,47.8,56.0,9.9,30.3,4.764715481445425,,,,,13100.0,7800.0,1.45,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805391144571,-2.7226936208231827
2020-03-28,45.4,66.7,14.4,30.4,1.897149654571224,,,,,11400.0,7000.0,1.0542,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053810739,-2.722693811553064
2020-03-29,41.5,59.6,12.8,30.7,5.775757190348258,,,,,10000.0,5800.0,0.9958,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805370352449,-2.7226937931485793
2020-03-30,45.1,67.7,8.2,30.6,4.7173311482029785,,,,,5700.0,2900.0,0.6625,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053744150285,-2.7226938226697692
2020-03-31,44.9,74.3,7.7,30.4,4.7204707671055335,,,,,5500.0,2700.0,1.1667,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805380496842,-2.722693771160835
2020-04-01,46.4,78.4,11.1,30.1,8.165989896880998,,,,,4400.0,2200.0,0.9458,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805400989382,-2.7226937814028016
2020-04-02,48.8,81.5,16.2,29.9,11.457464129539517,,,,,4700.0,2300.0,1.028,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053593682366,-2.7226938152313673
2020-04-03,48.8,71.7,9.7,29.9,10.007972376372855,,,,,5400.0,2600.0,1.484,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805386882856,-2.7226937292402154
2020-04-04,50.6,74.2,9.8,29.9,15.972173852131533,,,,,5500.0,2700.0,1.932,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053732430614,-2.7226937551415262
2020-04-05,56.4,59.9,14.6,29.7,32.63036413148466,,,,,5300.0,2500.0,2.116,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805372676815,-2.7226937705825485
2020-04-06,53.7,69.1,12.4,29.9,21.26904270141777,,,,,3300.0,1900.0,1.5923,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053688390245,-2.7226938083484775
2020-04-07,51.6,68.6,7.7,30.3,45.58839927673785,,,,,4200.0,2500.0,1.8038,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805381882466,-2.722693791161246
2020-04-08,55.9,67.4,4.7,30.2,79.30694194767862,,,,,4300.0,2200.0,1.6423,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053956305854,-2.722693736013229
2020-04-09,55.9,76.2,6.9,30.2,110.29578538925051,,,,,4500.0,2800.0,1.9577,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805379772374,-2.722693854744611
2020-04-10,58.3,75.8,7.9,30.1,168.74512552312234,,,,,3600.0,1800.0,2.1192,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805396037365,-2.722693780731061
2020-04-11,57.5,82.7,5.9,30.1,133.6764455848773,,,,,3700.0,2500.0,1.8577,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805381440062,-2.7226939076184404
2020-04-12,54.5,85.0,8.7,29.9,3.4960370778485306,,,,,3300.0,1700.0,1.8115,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805387766354,-2.7226939056586077
2020-04-13,46.3,61.2,14.8,30.3,2.3146766103998684,,,,,3000.0,1800.0,1.6654,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053975358695,-2.7226937812652694
2020-04-14,45.3,65.1,4.8,30.3,4.79672417125566,,,,,1900.0,1000.0,2.2654,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805366048893,-2.722693675108662
2020-04-15,50.8,65.9,4.5,30.1,2.6142382719868817,,,,,2700.0,1300.0,2.2077,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053761377074,-2.722693735919159
2020-04-16,55.0,61.5,8.2,29.9,2.6398560271145053,,,,,2800.0,1600.0,1.5115,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.3480537870182,-2.7226937982737405
2020-04-17,52.3,68.8,13.4,30.0,4.19178299897046,,,,,3100.0,1700.0,0.6692,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805396670031,-2.722693632310238
2020-04-18,46.4,80.8,7.3,30.0,1.8310287106283505,,,,,3200.0,1900.0,1.0038,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053816577504,-2.722693756283736
2020-04-19,51.7,62.7,10.7,30.1,1.5384519524036722,,,,,2300.0,1100.0,2.2038,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805366494378,-2.722693652644683
2020-04-20,50.9,60.9,16.0,30.1,2.8110651777803146,,,,,3100.0,1900.0,2.1071,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.3480537150864,-2.722693752125731
2020-04-21,54.3,60.8,19.0,30.1,1.927044933441357,,,,,3300.0,2300.0,2.1536,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805391701349,-2.722693962554741
2020-04-22,56.0,62.6,13.5,30.1,2.458985954294139,,,,,3900.0,2200.0,2.1964,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053912576546,-2.7226938250563526
2020-04-23,55.7,66.5,6.6,30.1,2.2840218534959145,,,,,2900.0,1800.0,2.2536,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805390537381,-2.722693706455269
2020-04-24,57.1,61.9,5.9,29.9,1.206401123876848,,,,,4500.0,2800.0,2.2107,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053759066765,-2.7226937415020562
2020-04-25,55.3,69.3,6.8,29.9,1.0238420362896514,,,,,3500.0,2300.0,2.2536,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053844537134,-2.7226937495812455
2020-04-26,55.1,75.0,6.3,29.8,1.2268840861431538,,,,,3900.0,2400.0,2.2929,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805385491624,-2.722693841194199
2020-04-27,52.3,64.4,8.2,29.7,1.2323111528261663,,,,,3300.0,2100.0,1.2964,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805392212156,-2.7226938730348555
2020-04-28,48.0,79.6,7.9,29.6,1.7373940148422866,,,,,4300.0,2800.0,0.3464,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053752224764,-2.7226937832551674
2020-05-01,51.3,73.0,14.8,29.4,1.1888096754640072,,,,,4900.0,2600.0,1.5964,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805395429888,-2.722693870353833
2020-05-02,51.1,74.9,11.0,29.7,1.1115146097028326,,,,,3800.0,1900.0,2.1143,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805380943824,-2.7226937657716634
2020-05-03,51.7,74.9,4.1,29.9,1.0014108451846615,,,,,4700.0,1800.0,1.1393,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805394515341,-2.7226938366598303
2020-05-04,54.9,68.3,11.3,30.0,1.0204041549590626,,,,,2700.0,900.0,2.2179,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805385911431,-2.722693837634021
2020-05-05,51.8,61.3,14.3,30.1,0.9670873990960858,,,,,3100.0,1800.0,2.4464,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805382992396,-2.7226937728593903
2020-05-06,52.4,61.2,7.2,30.2,1.0776547401296628,,,,,4400.0,1900.0,2.5786,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805366350527,-2.7226937504123034
2020-05-07,57.8,63.5,6.1,30.1,1.0439781912269788,,,,,4500.0,2100.0,2.4759,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805372889818,-2.7226937906546054
2020-05-08,58.0,76.8,4.5,30.0,1.0075424072117818,,,,,4600.0,1600.0,2.3207,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805379460397,-2.722693860624624
2020-05-09,60.9,71.2,4.8,29.8,0.9002480471938934,,,,,3700.0,1500.0,2.4241,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805374667527,-2.7226937400347815
2020-05-10,49.9,67.7,15.7,29.9,1.1266938881296054,,,,,3900.0,1400.0,1.3033,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805376991235,-2.7226937189036864
2020-05-11,45.5,56.2,12.3,30.2,1.0427546821450553,,,,,3500.0,1300.0,1.7483,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805369899683,-2.7226937843871526
2020-05-12,49.3,69.3,13.7,30.1,1.1628588817837506,,,,,3300.0,1300.0,2.1033,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.348053879351426,-2.722693692041799
2020-05-13,48.0,55.7,10.4,30.0,1.0480508942839741,,,,,4400.0,1900.0,2.0828,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805378829167,-2.722693652378246
2020-05-14,47.6,61.8,7.7,30.2,0.9503773471710144,,,,,4400.0,1700.0,2.58,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805371361794,-2.7226937355977348
2020-05-15,51.6,68.0,11.2,30.2,1.1713377610837297,,,,,5100.0,1800.0,2.32,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.3480538794842,-2.7226938138137062
2020-05-16,54.1,63.8,10.8,30.1,1.0602994347537018,,,,,3300.0,900.0,1.89,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805380827249,-2.722693812288126
2020-05-17,56.6,67.4,7.7,30.1,1.1024193369550606,,,,,4300.0,1500.0,2.3967,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805369407793,-2.7226938057960153
2020-05-18,58.4,71.2,10.1,30.1,1.171910994277268,,,,,4500.0,1200.0,2.8833,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805363745262,-2.7226936785073916
2020-05-19,61.0,72.3,7.9,30.1,1.10034044571896,,,,,3400.0,1300.0,3.0467,0.1564101732303899,0.1757287255417143,0.1,0.016038491999999998,1621.0,53.34805390841834,-2.7226936230673027
