Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,doctors,nonwhite,PopulationDensity,latitude,longitude
2020-03-01,45.9,62.0,15.1,29.2,,,,,,257300.0,145600.0,0.8,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601487789764,-0.3398848698386456
2020-03-02,44.0,73.9,8.7,29.2,,,,,,228200.0,122500.0,0.6524,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601191802316,-0.33988467663987687
2020-03-03,43.6,71.5,9.5,29.6,1.0000000148529775,,,,,181900.0,93000.0,0.5238,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260131354058,-0.3398848634158867
2020-03-04,42.9,80.9,7.1,29.7,1.0000000148529775,,,,,167900.0,83200.0,0.4905,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260135954098,-0.33988473808254266
2020-03-05,43.8,88.5,10.2,29.4,1.0000000148529775,,,,,205000.0,98400.0,0.1952,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260134311067,-0.33988466582636867
2020-03-06,44.1,67.9,7.2,29.6,1.0000000148529775,,,,,235300.0,102700.0,0.7714,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260141168164,-0.33988476563867426
2020-03-07,47.3,76.7,10.5,29.9,1.0000000148529775,,,,,225100.0,125100.0,0.6,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260150087728,-0.33988472303994266
2020-03-08,51.0,73.3,14.7,29.7,32.68830194118309,,,,,246600.0,150100.0,0.5619,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260135209852,-0.3398847182198703
2020-03-09,47.0,75.3,13.1,29.8,5.094374118739051,,,,,217000.0,126300.0,0.5905,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260139635814,-0.33988470989176134
2020-03-10,56.2,82.9,17.1,29.6,10.377261193892881,,,,,187900.0,98500.0,0.8714,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260140462355,-0.3398847048282857
2020-03-11,53.3,75.9,13.8,29.8,8.364534437251875,,,,,,,,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260149687573,-0.3398847670139488
2020-03-12,47.1,60.7,19.1,29.8,4.138410055892325,,,,,184200.0,96700.0,0.9824,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260130289186,-0.3398847821141365
2020-03-13,48.1,63.9,12.2,30.0,4.688365889130568,,,,,195200.0,104200.0,0.9273,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260137327428,-0.33988472465662345
2020-03-14,50.1,78.0,9.3,29.9,2.9335203714402267,,,,,192200.0,125800.0,0.8773,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.5926015580599,-0.3398849081958522
2020-03-15,51.0,77.5,12.3,29.8,4.04725180343942,,,,,201000.0,141400.0,0.2826,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601353267526,-0.3398847444487819
2020-03-16,48.5,65.1,7.0,30.1,3.6065968721797512,,,,,159400.0,112700.0,1.2087,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260141847039,-0.3398848053893418
2020-03-17,50.3,73.6,10.0,30.3,4.334894360866359,,,,,109500.0,77300.0,0.9,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260156888205,-0.33988480140950933
2020-03-18,54.3,77.6,11.6,30.2,2.5489616787734035,,,,,87000.0,62100.0,0.5522,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260130482912,-0.33988488803756656
2020-03-19,46.4,88.8,7.9,30.3,2.9659307818944267,,,,,80900.0,58500.0,0.2818,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260149690578,-0.33988467289281027
2020-03-20,46.2,69.4,12.8,30.4,3.708643452315141,,,,,64200.0,46900.0,1.0955,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260133435163,-0.3398848428216739
2020-03-21,45.2,63.6,15.7,30.3,3.3701153756268587,,,,,51500.0,37000.0,1.2652,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260116810306,-0.33988485204617847
2020-03-22,44.7,65.5,13.7,30.3,4.577382845468182,,,,,36400.0,23600.0,1.1,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260150498163,-0.3398846703892482
2020-03-23,44.5,60.3,12.0,30.3,6.3915656062517305,,,,,28000.0,17600.0,1.4542,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601404770356,-0.33988459922496356
2020-03-24,47.8,51.2,6.9,30.3,8.07586823934676,,,,,22600.0,14200.0,1.5667,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260153222439,-0.3398847534934441
2020-03-25,45.3,56.0,7.3,30.2,10.127621652932964,,,,,14800.0,8900.0,1.6913,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260150166498,-0.3398847438823344
2020-03-26,44.5,58.9,8.7,30.2,18.013099330433477,,,,,14600.0,8600.0,1.575,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260133674354,-0.3398846585820391
2020-03-27,46.5,59.1,8.3,30.2,15.861292135621419,,,,,13100.0,7800.0,1.45,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260142538315,-0.3398847927773175
2020-03-28,45.9,63.0,10.1,30.4,19.217916887815,,,,,11400.0,7000.0,1.0542,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260136002098,-0.339884816256987
2020-03-29,42.0,55.2,11.2,30.6,39.14777164908904,,,,,10000.0,5800.0,0.9958,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260138007447,-0.3398847990148935
2020-03-30,43.2,67.4,7.4,30.5,62.17366121485778,,,,,5700.0,2900.0,0.6625,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601563062956,-0.3398846766134633
2020-03-31,43.7,67.0,9.2,30.4,78.03101807288384,,,,,5500.0,2700.0,1.1667,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260141204434,-0.3398848674758991
2020-04-01,43.3,61.9,4.6,30.2,191.62736792087287,,,,,4400.0,2200.0,0.9458,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260128274708,-0.33988474940605967
2020-04-02,50.7,60.1,9.3,30.0,227.3402260171304,,,,,4700.0,2300.0,1.028,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260148384572,-0.3398847448223088
2020-04-03,51.3,55.0,5.6,30.0,4.685428956351954,,,,,5400.0,2600.0,1.484,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260127199101,-0.33988472386375806
2020-04-04,51.9,60.9,7.0,30.1,2.1885880671847717,,,,,5500.0,2700.0,1.932,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.59260142726002,-0.3398847665092968
2020-04-05,58.7,47.0,11.0,29.9,3.3414360068811053,,,,,5300.0,2500.0,2.116,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601592083376,-0.33988467396445393
2020-04-06,59.0,55.7,8.3,30.0,1.9035259870753118,,,,,3300.0,1900.0,1.5923,0.1345475381655957,0.1608126221274809,0.139,0.647288715,5178.0,51.592601374715535,-0.3398847603873178
