Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,41.7,69.2,17.1,28.8,,,,,,257300.0,145600.0,0.8,0.1612945039751123,0.1886979377274565,1924.0
2020-03-02,40.0,79.6,7.8,28.9,,,,,,228200.0,122500.0,0.6524,0.1612945039751123,0.1886979377274565,1924.0
2020-03-03,38.8,82.4,8.8,29.2,,,,,,181900.0,93000.0,0.5238,0.1612945039751123,0.1886979377274565,1924.0
2020-03-04,38.8,87.2,6.8,29.4,,,,,,167900.0,83200.0,0.4905,0.1612945039751123,0.1886979377274565,1924.0
2020-03-05,40.4,94.8,12.6,29.0,,,,,,205000.0,98400.0,0.1952,0.1612945039751123,0.1886979377274565,1924.0
2020-03-06,39.9,76.2,7.0,29.3,,,,,,235300.0,102700.0,0.7714,0.1612945039751123,0.1886979377274565,1924.0
2020-03-07,43.2,83.5,12.3,29.6,,,,,,225100.0,125100.0,0.6,0.1612945039751123,0.1886979377274565,1924.0
2020-03-08,48.7,76.2,17.6,29.3,,,,,,246600.0,150100.0,0.5619,0.1612945039751123,0.1886979377274565,1924.0
2020-03-09,43.2,82.1,12.6,29.4,,,,,,217000.0,126300.0,0.5905,0.1612945039751123,0.1886979377274565,1924.0
2020-03-10,53.8,86.4,17.2,29.3,1.0000000148529775,,,,,187900.0,98500.0,0.8714,0.1612945039751123,0.1886979377274565,1924.0
2020-03-11,49.9,77.9,15.2,29.4,89.75485978917374,,,,,,,,0.1612945039751123,0.1886979377274565,1924.0
2020-03-12,44.3,65.1,19.7,29.4,38.854795946182215,,,,,184200.0,96700.0,0.9824,0.1612945039751123,0.1886979377274565,1924.0
2020-03-13,44.6,72.7,10.5,29.6,19.92337205382559,,,,,195200.0,104200.0,0.9273,0.1612945039751123,0.1886979377274565,1924.0
2020-03-14,47.0,85.4,11.9,29.6,18.520639547119785,,,,,192200.0,125800.0,0.8773,0.1612945039751123,0.1886979377274565,1924.0
2020-03-15,47.6,87.0,13.7,29.4,1.0000000891178715,,,,,201000.0,141400.0,0.2826,0.1612945039751123,0.1886979377274565,1924.0
2020-03-16,43.1,79.1,5.9,29.7,5.094374118739051,,,,,159400.0,112700.0,1.2087,0.1612945039751123,0.1886979377274565,1924.0
2020-03-17,47.1,83.0,15.0,29.9,7.751627879239341,,,,,109500.0,77300.0,0.9,0.1612945039751123,0.1886979377274565,1924.0
2020-03-18,51.1,88.0,12.8,29.9,2.6737576987747653,,,,,87000.0,62100.0,0.5522,0.1612945039751123,0.1886979377274565,1924.0
2020-03-19,43.5,93.0,8.6,29.9,2.3076706276425027,,,,,80900.0,58500.0,0.2818,0.1612945039751123,0.1886979377274565,1924.0
2020-03-20,42.7,81.4,13.0,30.0,5.644607425069075,,,,,64200.0,46900.0,1.0955,0.1612945039751123,0.1886979377274565,1924.0
2020-03-21,41.1,70.3,13.3,29.9,4.22253255284527,,,,,51500.0,37000.0,1.2652,0.1612945039751123,0.1886979377274565,1924.0
2020-03-22,40.6,70.8,12.0,29.9,2.3803785334314425,,,,,36400.0,23600.0,1.1,0.1612945039751123,0.1886979377274565,1924.0
2020-03-23,41.8,66.8,12.0,29.9,1.4455152694467284,,,,,28000.0,17600.0,1.4542,0.1612945039751123,0.1886979377274565,1924.0
2020-03-24,44.3,61.7,10.4,29.9,2.6311967448924616,,,,,22600.0,14200.0,1.5667,0.1612945039751123,0.1886979377274565,1924.0
2020-03-25,42.4,61.7,7.3,29.9,3.8444521631464417,,,,,14800.0,8900.0,1.6913,0.1612945039751123,0.1886979377274565,1924.0
2020-03-26,41.4,65.3,9.6,29.8,1.7689856522389935,,,,,14600.0,8600.0,1.575,0.1612945039751123,0.1886979377274565,1924.0
2020-03-27,42.5,71.6,10.8,29.9,3.387878951645838,,,,,13100.0,7800.0,1.45,0.1612945039751123,0.1886979377274565,1924.0
2020-03-28,42.1,73.8,15.2,30.0,2.8110077078628364,,,,,11400.0,7000.0,1.0542,0.1612945039751123,0.1886979377274565,1924.0
2020-03-29,38.7,64.8,16.1,30.2,4.127119550671151,,,,,10000.0,5800.0,0.9958,0.1612945039751123,0.1886979377274565,1924.0
2020-03-30,40.5,78.4,9.6,30.1,5.3547162841939375,,,,,5700.0,2900.0,0.6625,0.1612945039751123,0.1886979377274565,1924.0
2020-03-31,41.1,73.4,8.2,30.1,6.4788703048004015,,,,,5500.0,2700.0,1.1667,0.1612945039751123,0.1886979377274565,1924.0
2020-04-01,38.1,75.5,3.8,29.8,6.3131415434532485,,,,,4400.0,2200.0,0.9458,0.1612945039751123,0.1886979377274565,1924.0
2020-04-02,47.0,70.2,7.3,29.6,9.947221467480244,,,,,4700.0,2300.0,1.028,0.1612945039751123,0.1886979377274565,1924.0
2020-04-03,47.5,63.6,5.4,29.7,9.9679885043064,,,,,5400.0,2600.0,1.484,0.1612945039751123,0.1886979377274565,1924.0
2020-04-04,48.6,68.2,8.8,29.7,15.076947237576864,,,,,5500.0,2700.0,1.932,0.1612945039751123,0.1886979377274565,1924.0
2020-04-05,55.3,57.8,13.1,29.6,24.06525093002785,,,,,5300.0,2500.0,2.116,0.1612945039751123,0.1886979377274565,1924.0
2020-04-06,55.1,60.8,8.4,29.6,40.4434452009896,,,,,3300.0,1900.0,1.5923,0.1612945039751123,0.1886979377274565,1924.0
2020-04-07,52.2,62.1,8.1,30.0,152.04049678920862,,,,,4200.0,2500.0,1.8038,0.1612945039751123,0.1886979377274565,1924.0
2020-04-08,56.4,65.5,6.2,29.9,185.51937599026127,,,,,4300.0,2200.0,1.6423,0.1612945039751123,0.1886979377274565,1924.0
2020-04-09,57.4,60.6,8.6,29.9,240.49188615721343,,,,,4500.0,2800.0,1.9577,0.1612945039751123,0.1886979377274565,1924.0
2020-04-10,55.7,67.2,10.5,29.9,2.132488272423716,,,,,3600.0,1800.0,2.1192,0.1612945039751123,0.1886979377274565,1924.0
2020-04-11,59.4,61.1,7.0,29.8,1.9346124581174544,,,,,3700.0,2500.0,1.8577,0.1612945039751123,0.1886979377274565,1924.0
2020-04-12,59.1,65.2,7.1,29.6,4.809469922260639,,,,,3300.0,1700.0,1.8115,0.1612945039751123,0.1886979377274565,1924.0
2020-04-13,44.7,68.2,14.3,29.9,1.2974311630845397,,,,,3000.0,1800.0,1.6654,0.1612945039751123,0.1886979377274565,1924.0
2020-04-14,43.9,61.4,6.6,30.0,4.209971391365653,,,,,1900.0,1000.0,2.2654,0.1612945039751123,0.1886979377274565,1924.0
2020-04-15,47.0,67.1,5.5,29.8,2.1195254193032267,,,,,2700.0,1300.0,2.2077,0.1612945039751123,0.1886979377274565,1924.0
2020-04-16,52.7,63.9,7.6,29.6,1.807735870993804,,,,,2800.0,1600.0,1.5115,0.1612945039751123,0.1886979377274565,1924.0
2020-04-17,50.0,73.4,13.3,29.7,2.49676461338676,,,,,3100.0,1700.0,0.6692,0.1612945039751123,0.1886979377274565,1924.0
2020-04-18,48.2,82.8,7.6,29.7,2.989845892828144,,,,,3200.0,1900.0,1.0038,0.1612945039751123,0.1886979377274565,1924.0
2020-04-19,50.1,70.1,10.2,29.8,2.1559681076185293,,,,,2300.0,1100.0,2.2038,0.1612945039751123,0.1886979377274565,1924.0
2020-04-20,51.2,63.6,16.3,29.7,1.9732163558767883,,,,,3100.0,1900.0,2.1071,0.1612945039751123,0.1886979377274565,1924.0
2020-04-21,52.7,60.9,14.3,29.7,2.2084756781753327,,,,,3300.0,2300.0,2.1536,0.1612945039751123,0.1886979377274565,1924.0
2020-04-22,54.9,61.9,11.6,29.7,2.098125119073877,,,,,3900.0,2200.0,2.1964,0.1612945039751123,0.1886979377274565,1924.0
2020-04-23,55.5,65.2,6.6,29.7,1.5242597384703218,,,,,2900.0,1800.0,2.2536,0.1612945039751123,0.1886979377274565,1924.0
2020-04-24,53.0,69.6,6.0,29.6,1.2084820149274569,,,,,4500.0,2800.0,2.2107,0.1612945039751123,0.1886979377274565,1924.0
2020-04-25,47.9,77.3,6.5,29.6,1.3177305391118228,,,,,3500.0,2300.0,2.2536,0.1612945039751123,0.1886979377274565,1924.0
2020-04-26,52.4,67.2,5.9,29.5,1.2042505091716875,,,,,3900.0,2400.0,2.2929,0.1612945039751123,0.1886979377274565,1924.0
2020-04-27,52.8,73.3,6.3,29.4,1.5703063030949231,,,,,3300.0,2100.0,1.2964,0.1612945039751123,0.1886979377274565,1924.0
2020-04-28,45.5,89.4,10.0,29.3,1.4481902473315924,,,,,4300.0,2800.0,0.3464,0.1612945039751123,0.1886979377274565,1924.0
2020-05-01,49.5,77.2,10.4,29.1,1.0364934937200792,,,,,4900.0,2600.0,1.5964,0.1612945039751123,0.1886979377274565,1924.0
2020-05-02,50.4,70.4,6.8,29.4,0.9975469134471914,,,,,3800.0,1900.0,2.1143,0.1612945039751123,0.1886979377274565,1924.0
2020-05-03,51.1,73.9,4.3,29.6,0.9294361900517208,,,,,4700.0,1800.0,1.1393,0.1612945039751123,0.1886979377274565,1924.0
2020-05-04,51.0,76.0,8.2,29.7,1.446320584552803,,,,,2700.0,900.0,2.2179,0.1612945039751123,0.1886979377274565,1924.0
2020-05-05,47.8,69.7,13.0,29.8,1.192385098318969,,,,,3100.0,1800.0,2.4464,0.1612945039751123,0.1886979377274565,1924.0
2020-05-06,49.6,69.5,8.2,29.9,1.0536962136343049,,,,,4400.0,1900.0,2.5786,0.1612945039751123,0.1886979377274565,1924.0
2020-05-07,55.2,70.1,6.0,29.8,0.9589061139625098,,,,,4500.0,2100.0,2.4759,0.1612945039751123,0.1886979377274565,1924.0
2020-05-08,61.4,61.4,5.6,29.7,0.9550824583716532,,,,,4600.0,1600.0,2.3207,0.1612945039751123,0.1886979377274565,1924.0
2020-05-09,61.9,55.3,6.0,29.5,0.9923208960016844,,,,,3700.0,1500.0,2.4241,0.1612945039751123,0.1886979377274565,1924.0
