Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,41.1,68.4,19.7,28.7,,,,,,257300.0,145600.0,0.8,0.165457134,0.199638336,320.0
2020-03-02,38.3,77.9,11.0,28.9,,,,,,228200.0,122500.0,0.6524,0.165457134,0.199638336,320.0
2020-03-03,39.2,81.0,13.6,29.2,,,,,,181900.0,93000.0,0.5238,0.165457134,0.199638336,320.0
2020-03-04,38.7,83.7,6.0,29.4,,,,,,167900.0,83200.0,0.4905,0.165457134,0.199638336,320.0
2020-03-05,38.4,86.8,9.1,29.1,,,,,,205000.0,98400.0,0.1952,0.165457134,0.199638336,320.0
2020-03-06,37.9,75.1,6.3,29.3,,,,,,235300.0,102700.0,0.7714,0.165457134,0.199638336,320.0
2020-03-07,45.4,80.3,16.0,29.5,,,,,,225100.0,125100.0,0.6,0.165457134,0.199638336,320.0
2020-03-08,47.4,76.8,19.5,29.2,,,,,,246600.0,150100.0,0.5619,0.165457134,0.199638336,320.0
2020-03-09,44.2,80.4,17.6,29.4,1.0000000148529775,,,,,217000.0,126300.0,0.5905,0.165457134,0.199638336,320.0
2020-03-10,52.4,83.6,23.5,29.2,1.0000000148529775,,,,,187900.0,98500.0,0.8714,0.165457134,0.199638336,320.0
2020-03-11,48.1,74.7,18.4,29.3,86.17329210314129,,,,,,,,0.165457134,0.199638336,320.0
2020-03-12,41.8,68.0,26.0,29.3,1.0000000594119127,,,,,184200.0,96700.0,0.9824,0.165457134,0.199638336,320.0
2020-03-13,43.4,78.4,12.7,29.6,1.0000000594119127,,,,,195200.0,104200.0,0.9273,0.165457134,0.199638336,320.0
2020-03-14,46.3,84.4,13.8,29.5,17.296841298518167,,,,,192200.0,125800.0,0.8773,0.165457134,0.199638336,320.0
2020-03-15,46.0,81.8,15.6,29.3,7.369026568069817,,,,,201000.0,141400.0,0.2826,0.165457134,0.199638336,320.0
2020-03-16,43.6,72.6,12.1,29.8,3.2505427254329784,,,,,159400.0,112700.0,1.2087,0.165457134,0.199638336,320.0
