Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,39.5,70.7,21.1,28.2,1.0000000148529775,,,,,257300.0,145600.0,0.8,0.138200657,0.168109223,1472.0
2020-03-02,36.6,83.7,11.3,28.4,1.0000000148529775,,,,,228200.0,122500.0,0.6524,0.138200657,0.168109223,1472.0
2020-03-03,37.5,90.0,12.6,28.7,27.28095765530682,,,,,181900.0,93000.0,0.5238,0.138200657,0.168109223,1472.0
2020-03-04,38.7,82.3,4.9,29.0,1.0000000297059557,,,,,167900.0,83200.0,0.4905,0.138200657,0.168109223,1472.0
2020-03-05,36.6,85.0,5.9,28.8,1.0000000297059557,,,,,205000.0,98400.0,0.1952,0.138200657,0.168109223,1472.0
2020-03-06,36.9,77.6,6.3,28.9,12.252711941110029,,,,,235300.0,102700.0,0.7714,0.138200657,0.168109223,1472.0
2020-03-07,45.1,82.7,15.2,29.0,1.0000000594119127,,,,,225100.0,125100.0,0.6,0.138200657,0.168109223,1472.0
2020-03-08,44.8,82.7,17.5,28.8,6.230681420597621,,,,,246600.0,150100.0,0.5619,0.138200657,0.168109223,1472.0
2020-03-09,42.4,88.0,15.3,28.9,1.0000000891178715,,,,,217000.0,126300.0,0.5905,0.138200657,0.168109223,1472.0
2020-03-10,48.7,88.2,23.7,28.7,5.296708771557654,,,,,187900.0,98500.0,0.8714,0.138200657,0.168109223,1472.0
2020-03-11,44.5,82.0,16.3,28.8,2.2423401539988608,,,,,,,,0.138200657,0.168109223,1472.0
2020-03-12,40.0,75.5,25.0,28.8,1.000000148529795,,,,,184200.0,96700.0,0.9824,0.138200657,0.168109223,1472.0
2020-03-13,41.0,83.3,12.2,29.2,1.000000148529795,,,,,195200.0,104200.0,0.9273,0.138200657,0.168109223,1472.0
2020-03-14,43.6,88.9,11.9,29.1,3.3703754999580067,,,,,192200.0,125800.0,0.8773,0.138200657,0.168109223,1472.0
2020-03-15,45.0,82.8,17.7,28.9,2.242206242385487,,,,,201000.0,141400.0,0.2826,0.138200657,0.168109223,1472.0
2020-03-16,43.7,74.9,12.3,29.3,4.581815893280059,,,,,159400.0,112700.0,1.2087,0.138200657,0.168109223,1472.0
2020-03-17,49.5,82.7,16.9,29.4,5.708616091394366,,,,,109500.0,77300.0,0.9,0.138200657,0.168109223,1472.0
2020-03-18,43.6,84.4,13.6,29.4,7.97587722339911,,,,,87000.0,62100.0,0.5522,0.138200657,0.168109223,1472.0
2020-03-19,40.9,73.1,4.3,29.6,10.514500181891163,,,,,80900.0,58500.0,0.2818,0.138200657,0.168109223,1472.0
2020-03-20,39.3,80.0,10.7,29.7,9.453109110986455,,,,,64200.0,46900.0,1.0955,0.138200657,0.168109223,1472.0
2020-03-21,38.7,77.5,13.0,29.7,18.64795440738093,,,,,51500.0,37000.0,1.2652,0.138200657,0.168109223,1472.0
2020-03-22,39.7,73.0,9.9,29.6,31.942464094453328,,,,,36400.0,23600.0,1.1,0.138200657,0.168109223,1472.0
2020-03-23,40.4,72.3,9.2,29.6,41.82519827023074,,,,,28000.0,17600.0,1.4542,0.138200657,0.168109223,1472.0
2020-03-24,51.2,67.2,10.0,29.4,37.31707383147222,,,,,22600.0,14200.0,1.5667,0.138200657,0.168109223,1472.0
2020-03-25,55.9,53.2,6.3,29.5,98.4898079180185,,,,,14800.0,8900.0,1.6913,0.138200657,0.168109223,1472.0
2020-03-26,50.2,47.7,6.8,29.5,148.4873550059327,,,,,14600.0,8600.0,1.575,0.138200657,0.168109223,1472.0
2020-03-27,45.8,62.7,10.2,29.6,277.2938210014718,,,,,13100.0,7800.0,1.45,0.138200657,0.168109223,1472.0
2020-03-28,44.3,71.1,17.1,29.8,398.9638296934294,,,,,11400.0,7000.0,1.0542,0.138200657,0.168109223,1472.0
2020-03-29,38.6,66.9,16.1,30.1,929.7351001119752,,,,,10000.0,5800.0,0.9958,0.138200657,0.168109223,1472.0
2020-03-30,44.3,69.1,14.9,29.9,12.466025560373168,,,,,5700.0,2900.0,0.6625,0.138200657,0.168109223,1472.0
2020-03-31,42.6,79.3,5.8,29.8,7.476815943393918,,,,,5500.0,2700.0,1.1667,0.138200657,0.168109223,1472.0
2020-04-01,44.4,66.3,13.0,29.4,8.250139908145888,,,,,4400.0,2200.0,0.9458,0.138200657,0.168109223,1472.0
2020-04-02,47.6,75.7,25.4,29.1,5.503177075048908,,,,,4700.0,2300.0,1.028,0.138200657,0.168109223,1472.0
2020-04-03,43.9,72.2,13.8,29.2,3.630739109170472,,,,,5400.0,2600.0,1.484,0.138200657,0.168109223,1472.0
2020-04-04,48.6,68.5,10.8,29.3,6.719040575416166,,,,,5500.0,2700.0,1.932,0.138200657,0.168109223,1472.0
2020-04-05,55.7,53.9,14.1,29.1,6.282170808183352,,,,,5300.0,2500.0,2.116,0.138200657,0.168109223,1472.0
2020-04-06,53.0,58.9,16.8,29.2,5.860626893780648,,,,,3300.0,1900.0,1.5923,0.138200657,0.168109223,1472.0
2020-04-07,54.1,50.6,8.9,29.6,4.211697287852961,,,,,4200.0,2500.0,1.8038,0.138200657,0.168109223,1472.0
2020-04-08,59.3,51.9,7.1,29.5,4.043280386716991,,,,,4300.0,2200.0,1.6423,0.138200657,0.168109223,1472.0
2020-04-09,45.2,52.6,9.4,29.1,3.413619561041981,,,,,4500.0,2800.0,1.9577,0.138200657,0.168109223,1472.0
2020-04-10,43.3,65.9,6.6,29.3,2.695939249000632,,,,,3600.0,1800.0,2.1192,0.138200657,0.168109223,1472.0
2020-04-11,47.3,68.0,12.5,29.1,2.1444220128390974,,,,,3700.0,2500.0,1.8577,0.138200657,0.168109223,1472.0
2020-04-12,42.4,47.4,8.6,29.6,1.3587943972178531,,,,,3300.0,1700.0,1.8115,0.138200657,0.168109223,1472.0
2020-04-13,50.3,86.2,11.8,29.2,1.3938144026704546,,,,,3000.0,1800.0,1.6654,0.138200657,0.168109223,1472.0
2020-04-14,45.2,55.5,6.1,29.6,2.4728416921977203,,,,,1900.0,1000.0,2.2654,0.138200657,0.168109223,1472.0
2020-04-15,55.2,49.8,11.3,29.4,2.5979448133725134,,,,,2700.0,1300.0,2.2077,0.138200657,0.168109223,1472.0
2020-04-16,48.3,50.8,5.2,29.7,1.7916121205835982,,,,,2800.0,1600.0,1.5115,0.138200657,0.168109223,1472.0
2020-04-17,55.5,66.6,9.6,29.4,1.408112617590458,,,,,3100.0,1700.0,0.6692,0.138200657,0.168109223,1472.0
2020-04-18,49.5,72.0,9.9,29.3,1.8695058123628905,,,,,3200.0,1900.0,1.0038,0.138200657,0.168109223,1472.0
2020-04-19,53.9,43.9,5.0,29.4,1.2727829068003518,,,,,2300.0,1100.0,2.2038,0.138200657,0.168109223,1472.0
2020-04-20,49.6,69.5,9.2,29.4,1.5137642115269472,,,,,3100.0,1900.0,2.1071,0.138200657,0.168109223,1472.0
2020-04-21,54.6,53.2,18.2,29.5,1.7772468546990212,,,,,3300.0,2300.0,2.1536,0.138200657,0.168109223,1472.0
2020-04-22,56.3,60.5,14.3,29.5,1.3448268499524954,,,,,3900.0,2200.0,2.1964,0.138200657,0.168109223,1472.0
2020-04-23,56.1,32.1,6.7,29.6,1.4515145816806894,,,,,2900.0,1800.0,2.2536,0.138200657,0.168109223,1472.0
2020-04-24,50.9,67.8,8.8,29.7,0.9268507034478296,,,,,4500.0,2800.0,2.2107,0.138200657,0.168109223,1472.0
2020-04-25,48.4,62.2,8.3,29.7,0.925649089339168,,,,,3500.0,2300.0,2.2536,0.138200657,0.168109223,1472.0
2020-04-26,49.3,57.1,4.5,29.5,1.1095895713797246,,,,,3900.0,2400.0,2.2929,0.138200657,0.168109223,1472.0
2020-04-27,47.7,70.9,7.0,29.1,1.0740069527706062,,,,,3300.0,2100.0,1.2964,0.138200657,0.168109223,1472.0
2020-04-28,45.5,75.7,9.5,29.0,1.1114215673681838,,,,,4300.0,2800.0,0.3464,0.138200657,0.168109223,1472.0
2020-05-01,45.8,87.0,7.8,28.6,0.8755797472810924,,,,,4900.0,2600.0,1.5964,0.138200657,0.168109223,1472.0
2020-05-02,45.6,69.2,11.7,29.4,0.7538647168016842,,,,,3800.0,1900.0,2.1143,0.138200657,0.168109223,1472.0
2020-05-03,44.0,84.0,13.1,29.1,0.8232654980998628,,,,,4700.0,1800.0,1.1393,0.138200657,0.168109223,1472.0
2020-05-04,43.3,77.2,24.3,28.7,0.9027423381342196,,,,,2700.0,900.0,2.2179,0.138200657,0.168109223,1472.0
2020-05-05,47.9,66.5,12.6,29.5,0.8991486614675023,,,,,3100.0,1800.0,2.4464,0.138200657,0.168109223,1472.0
2020-05-06,52.1,53.4,6.6,29.6,1.0161950212321182,,,,,4400.0,1900.0,2.5786,0.138200657,0.168109223,1472.0
2020-05-07,65.3,40.2,7.6,29.4,0.8797783462339461,,,,,4500.0,2100.0,2.4759,0.138200657,0.168109223,1472.0
2020-05-08,43.8,96.7,11.7,28.8,0.738308652706195,,,,,4600.0,1600.0,2.3207,0.138200657,0.168109223,1472.0
2020-05-09,55.4,67.8,11.7,28.6,0.8596764540713642,,,,,3700.0,1500.0,2.4241,0.138200657,0.168109223,1472.0
2020-05-10,54.1,71.1,13.4,28.6,0.9464073899072494,,,,,3900.0,1400.0,1.3033,0.138200657,0.168109223,1472.0
2020-05-11,51.5,72.7,10.1,29.0,0.8565863225324819,,,,,3500.0,1300.0,1.7483,0.138200657,0.168109223,1472.0
2020-05-12,47.1,64.8,10.1,29.4,0.9962922621240368,,,,,3300.0,1300.0,2.1033,0.138200657,0.168109223,1472.0
2020-05-13,43.8,57.8,11.5,29.4,0.9393323739262756,,,,,4400.0,1900.0,2.0828,0.138200657,0.168109223,1472.0
2020-05-14,48.3,75.4,4.6,29.1,0.9014602092623034,,,,,4400.0,1700.0,2.58,0.138200657,0.168109223,1472.0
2020-05-15,47.7,87.3,6.1,28.8,0.9676948652335948,,,,,5100.0,1800.0,2.32,0.138200657,0.168109223,1472.0
2020-05-16,53.2,74.0,7.3,28.7,0.9951308362301384,,,,,3300.0,900.0,1.89,0.138200657,0.168109223,1472.0
2020-05-17,49.2,81.1,6.7,29.0,0.9776700824720712,,,,,4300.0,1500.0,2.3967,0.138200657,0.168109223,1472.0
2020-05-18,53.7,59.9,11.6,29.1,0.9771921690111616,,,,,4500.0,1200.0,2.8833,0.138200657,0.168109223,1472.0
2020-05-19,58.3,81.2,20.8,29.4,1.0340746649527386,,,,,3400.0,1300.0,3.0467,0.138200657,0.168109223,1472.0
2020-05-20,69.9,56.5,7.9,29.4,1.1363200468044663,,,,,6800.0,2400.0,2.9533,0.138200657,0.168109223,1472.0
2020-05-21,50.6,92.0,9.6,28.4,0.9973588019310964,,,,,4400.0,1700.0,2.7933,0.138200657,0.168109223,1472.0
2020-05-22,60.5,48.1,24.1,29.0,0.9047781516555868,,,,,5000.0,1400.0,2.4067,0.138200657,0.168109223,1472.0
2020-05-23,48.8,74.5,14.9,28.8,0.8828450459936128,,,,,4500.0,1400.0,2.2133,0.138200657,0.168109223,1472.0
2020-05-24,52.9,62.6,11.8,28.8,0.9093620916883736,,,,,5400.0,1500.0,2.2067,0.138200657,0.168109223,1472.0
2020-05-25,50.6,76.0,15.6,29.1,0.9369647568517568,,,,,4100.0,1200.0,2.9367,0.138200657,0.168109223,1472.0
2020-05-26,59.9,73.5,10.2,29.9,0.9343112902468866,,,,,4000.0,1500.0,2.94,0.138200657,0.168109223,1472.0
2020-05-27,63.6,42.9,7.0,29.9,0.991006788790004,,,,,5100.0,1800.0,2.5633,0.138200657,0.168109223,1472.0
2020-05-28,58.5,69.9,4.7,29.5,0.9726832345115934,,,,,5500.0,1800.0,3.0867,0.138200657,0.168109223,1472.0
2020-05-29,62.4,67.9,4.0,29.6,0.9089519395433104,,,,,6400.0,1900.0,3.1467,0.138200657,0.168109223,1472.0
2020-05-30,61.5,55.3,10.5,29.6,0.9681443840126736,,,,,5300.0,1700.0,2.9267,0.138200657,0.168109223,1472.0
2020-05-31,56.8,76.4,8.2,29.4,0.9650891016062276,,,,,6300.0,1900.0,2.9467,0.138200657,0.168109223,1472.0
2020-06-01,61.6,63.0,8.0,29.3,0.935377068886012,,,,,6000.0,1700.0,2.9233,0.138200657,0.168109223,1472.0
2020-06-02,61.6,69.9,9.7,29.3,1.019927591115607,,,,,5400.0,1900.0,2.7871,0.138200657,0.168109223,1472.0
2020-06-03,49.4,94.8,18.3,29.2,1.03431681188753,,,,,6800.0,2100.0,0.7968,0.138200657,0.168109223,1472.0
2020-06-04,48.9,76.5,4.2,28.9,1.0124477677548582,,,,,7700.0,2700.0,1.2742,0.138200657,0.168109223,1472.0
2020-06-05,48.1,73.9,15.3,28.6,0.9891329504230612,,,,,10200.0,3200.0,1.7517,0.138200657,0.168109223,1472.0
2020-06-06,61.6,70.1,5.1,29.5,1.046947028703613,,,,,8700.0,2500.0,1.0531,0.138200657,0.168109223,1472.0
2020-06-07,61.7,71.1,8.9,29.4,1.0690310193440942,,,,,10700.0,3200.0,1.7813,0.138200657,0.168109223,1472.0
2020-06-08,63.1,58.4,7.6,29.4,1.1327025081080309,,,,,4800.0,1700.0,1.6065,0.138200657,0.168109223,1472.0
2020-06-09,54.7,64.8,7.0,29.4,1.145087302971482,,,,,3300.0,1300.0,2.3115,0.138200657,0.168109223,1472.0
2020-06-10,52.4,88.9,5.8,29.2,1.0613152561763102,,,,,4000.0,1400.0,1.0238,0.138200657,0.168109223,1472.0
2020-06-11,50.9,90.5,17.5,29.4,1.2233355547561344,,,,,4100.0,1700.0,1.1344,0.138200657,0.168109223,1472.0
2020-06-12,53.8,99.3,14.1,29.1,1.0439486160728275,,,,,4700.0,1700.0,1.25,0.138200657,0.168109223,1472.0
2020-06-13,67.1,71.3,7.5,29.5,1.0169855467105149,,,,,4100.0,1600.0,2.2875,0.138200657,0.168109223,1472.0
2020-06-14,56.5,74.1,13.8,29.4,1.103432348690374,,,,,5900.0,1900.0,1.7438,0.138200657,0.168109223,1472.0
2020-06-15,62.3,54.6,6.6,29.4,1.071213671813985,,,,,5000.0,1600.0,2.0844,0.138200657,0.168109223,1472.0
