Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,41.0,73.4,22.6,28.8,,,,,,257300.0,145600.0,0.8,0.200143242,0.225817139,557.0
2020-03-02,39.5,76.7,13.0,29.0,,,,,,228200.0,122500.0,0.6524,0.200143242,0.225817139,557.0
2020-03-03,40.6,81.1,11.8,29.3,,,,,,181900.0,93000.0,0.5238,0.200143242,0.225817139,557.0
2020-03-04,39.4,76.0,4.4,29.6,,,,,,167900.0,83200.0,0.4905,0.200143242,0.225817139,557.0
2020-03-05,37.1,81.5,5.4,29.4,,,,,,205000.0,98400.0,0.1952,0.200143242,0.225817139,557.0
2020-03-06,40.2,71.8,5.7,29.6,,,,,,235300.0,102700.0,0.7714,0.200143242,0.225817139,557.0
2020-03-07,48.5,77.6,19.0,29.6,,,,,,225100.0,125100.0,0.6,0.200143242,0.225817139,557.0
2020-03-08,46.1,74.1,18.4,29.3,,,,,,246600.0,150100.0,0.5619,0.200143242,0.225817139,557.0
2020-03-09,44.6,78.0,16.4,29.5,,,,,,217000.0,126300.0,0.5905,0.200143242,0.225817139,557.0
2020-03-10,50.2,75.1,20.4,29.3,1.0000000148529775,,,,,187900.0,98500.0,0.8714,0.200143242,0.225817139,557.0
2020-03-11,47.2,76.1,20.4,29.4,1.0000000148529775,,,,,,,,0.200143242,0.225817139,557.0
2020-03-12,42.2,72.4,27.1,29.3,1.0000000148529775,,,,,184200.0,96700.0,0.9824,0.200143242,0.225817139,557.0
2020-03-13,41.2,76.3,10.4,29.9,1.0000000148529775,,,,,195200.0,104200.0,0.9273,0.200143242,0.225817139,557.0
2020-03-14,46.7,83.1,16.4,29.6,1.0000000148529775,,,,,192200.0,125800.0,0.8773,0.200143242,0.225817139,557.0
2020-03-15,46.5,74.6,17.0,29.4,1.0000000148529775,,,,,201000.0,141400.0,0.2826,0.200143242,0.225817139,557.0
2020-03-16,44.7,70.7,14.4,29.9,15.330308017155843,,,,,159400.0,112700.0,1.2087,0.200143242,0.225817139,557.0
2020-03-17,52.7,75.8,19.4,29.9,1.0000000297059557,,,,,109500.0,77300.0,0.9,0.200143242,0.225817139,557.0
2020-03-18,44.7,67.0,7.9,30.1,7.137110278427905,,,,,87000.0,62100.0,0.5522,0.200143242,0.225817139,557.0
2020-03-19,41.9,73.7,6.2,30.2,1.000000044558934,,,,,80900.0,58500.0,0.2818,0.200143242,0.225817139,557.0
2020-03-20,40.2,76.1,11.1,30.4,4.483454703342861,,,,,64200.0,46900.0,1.0955,0.200143242,0.225817139,557.0
2020-03-21,41.7,65.7,12.3,30.3,6.524339617140417,,,,,51500.0,37000.0,1.2652,0.200143242,0.225817139,557.0
2020-03-22,42.8,66.2,8.8,30.3,3.7607556603804,,,,,36400.0,23600.0,1.1,0.200143242,0.225817139,557.0
2020-03-23,44.9,64.5,15.4,30.1,3.2680752088320864,,,,,28000.0,17600.0,1.4542,0.200143242,0.225817139,557.0
2020-03-24,49.8,67.8,15.6,30.0,3.796335922497196,,,,,22600.0,14200.0,1.5667,0.200143242,0.225817139,557.0
2020-03-25,55.6,57.8,8.8,30.1,5.266676383142516,,,,,14800.0,8900.0,1.6913,0.200143242,0.225817139,557.0
2020-03-26,48.9,64.9,8.0,30.2,6.382894685059771,,,,,14600.0,8600.0,1.575,0.200143242,0.225817139,557.0
2020-03-27,52.0,73.7,4.2,30.4,6.125202149413056,,,,,13100.0,7800.0,1.45,0.200143242,0.225817139,557.0
2020-03-28,55.2,74.4,24.9,29.7,4.433367824193178,,,,,11400.0,7000.0,1.0542,0.200143242,0.225817139,557.0
2020-03-29,55.7,76.5,21.6,29.9,4.847304244919742,,,,,10000.0,5800.0,0.9958,0.200143242,0.225817139,557.0
2020-03-30,47.1,61.2,20.3,30.5,6.134812496922033,,,,,5700.0,2900.0,0.6625,0.200143242,0.225817139,557.0
2020-03-31,45.0,74.6,5.3,30.4,9.376959715582856,,,,,5500.0,2700.0,1.1667,0.200143242,0.225817139,557.0
2020-04-01,47.0,61.9,11.0,30.0,8.071069957711082,,,,,4400.0,2200.0,0.9458,0.200143242,0.225817139,557.0
2020-04-02,51.6,60.7,21.6,29.7,22.47029153011292,,,,,4700.0,2300.0,1.028,0.200143242,0.225817139,557.0
2020-04-03,46.3,64.1,12.9,29.8,23.84413937954483,,,,,5400.0,2600.0,1.484,0.200143242,0.225817139,557.0
2020-04-04,52.1,56.8,18.8,29.9,22.52945737036826,,,,,5500.0,2700.0,1.932,0.200143242,0.225817139,557.0
2020-04-05,38.2,41.1,22.3,29.9,39.51718550444115,,,,,5300.0,2500.0,2.116,0.200143242,0.225817139,557.0
2020-04-06,54.5,57.0,19.4,29.8,84.67650152165544,,,,,3300.0,1900.0,1.5923,0.200143242,0.225817139,557.0
2020-04-07,54.3,54.8,11.8,30.2,1.0000020794211435,,,,,4200.0,2500.0,1.8038,0.200143242,0.225817139,557.0
2020-04-08,58.8,54.5,10.1,30.1,212.76395796940065,,,,,4300.0,2200.0,1.6423,0.200143242,0.225817139,557.0
2020-04-09,49.6,84.2,9.8,30.2,403.437553527903,,,,,4500.0,2800.0,1.9577,0.200143242,0.225817139,557.0
2020-04-10,44.8,59.9,6.6,29.9,11.762078571140052,,,,,3600.0,1800.0,2.1192,0.200143242,0.225817139,557.0
2020-04-11,38.6,66.9,7.1,30.0,3.116949330363961,,,,,3700.0,2500.0,1.8577,0.200143242,0.225817139,557.0
2020-04-12,40.6,60.1,6.7,30.2,6.336012217784955,,,,,3300.0,1700.0,1.8115,0.200143242,0.225817139,557.0
2020-04-13,41.8,57.4,16.4,30.3,1.513803797184693,,,,,3000.0,1800.0,1.6654,0.200143242,0.225817139,557.0
2020-04-14,48.7,54.0,8.5,30.2,3.2390309270048707,,,,,1900.0,1000.0,2.2654,0.200143242,0.225817139,557.0
2020-04-15,58.5,45.1,6.5,30.0,2.4325152037172506,,,,,2700.0,1300.0,2.2077,0.200143242,0.225817139,557.0
2020-04-16,53.3,67.9,17.2,29.9,1.908327360804908,,,,,2800.0,1600.0,1.5115,0.200143242,0.225817139,557.0
2020-04-17,48.2,72.9,10.7,30.1,2.479662245211917,,,,,3100.0,1700.0,0.6692,0.200143242,0.225817139,557.0
2020-04-18,52.9,45.3,6.5,30.1,3.378128029294033,,,,,3200.0,1900.0,1.0038,0.200143242,0.225817139,557.0
2020-04-19,50.7,59.4,5.4,30.0,2.7008130770998715,,,,,2300.0,1100.0,2.2038,0.200143242,0.225817139,557.0
2020-04-20,50.9,61.7,16.3,30.1,3.86922883667162,,,,,3100.0,1900.0,2.1071,0.200143242,0.225817139,557.0
2020-04-21,51.8,69.7,15.6,30.1,3.1600694729485337,,,,,3300.0,2300.0,2.1536,0.200143242,0.225817139,557.0
2020-04-22,54.1,71.1,16.5,30.1,1.9245168957744463,,,,,3900.0,2200.0,2.1964,0.200143242,0.225817139,557.0
2020-04-23,52.3,68.7,9.5,30.1,2.318901821380031,,,,,2900.0,1800.0,2.2536,0.200143242,0.225817139,557.0
2020-04-24,47.5,81.5,2.3,29.9,1.1887503146819487,,,,,4500.0,2800.0,2.2107,0.200143242,0.225817139,557.0
2020-04-25,49.8,58.1,9.4,30.3,1.0717626257534485,,,,,3500.0,2300.0,2.2536,0.200143242,0.225817139,557.0
2020-04-26,48.3,66.3,8.8,30.0,1.5794907638439353,,,,,3900.0,2400.0,2.2929,0.200143242,0.225817139,557.0
2020-04-27,50.3,63.4,10.0,29.6,1.715682502801463,,,,,3300.0,2100.0,1.2964,0.200143242,0.225817139,557.0
2020-04-28,46.2,71.1,8.3,29.6,1.612970684394918,,,,,4300.0,2800.0,0.3464,0.200143242,0.225817139,557.0
2020-05-01,51.7,70.0,9.3,29.2,1.1942323366786858,,,,,4900.0,2600.0,1.5964,0.200143242,0.225817139,557.0
2020-05-02,48.8,58.4,6.9,29.9,1.1995807341570277,,,,,3800.0,1900.0,2.1143,0.200143242,0.225817139,557.0
2020-05-03,44.4,81.9,15.1,29.5,1.161519117461668,,,,,4700.0,1800.0,1.1393,0.200143242,0.225817139,557.0
2020-05-04,49.8,76.5,11.0,30.1,1.5241691003265003,,,,,2700.0,900.0,2.2179,0.200143242,0.225817139,557.0
2020-05-05,50.0,60.7,9.0,30.1,1.0793651739598271,,,,,3100.0,1800.0,2.4464,0.200143242,0.225817139,557.0
2020-05-06,53.7,58.7,5.2,30.2,1.1479856621841824,,,,,4400.0,1900.0,2.5786,0.200143242,0.225817139,557.0
2020-05-07,60.3,55.3,8.6,30.0,0.9833260149277776,,,,,4500.0,2100.0,2.4759,0.200143242,0.225817139,557.0
2020-05-08,41.5,84.4,10.6,29.5,1.013219238992857,,,,,4600.0,1600.0,2.3207,0.200143242,0.225817139,557.0
2020-05-09,58.0,65.2,13.8,29.2,1.0281155006406495,,,,,3700.0,1500.0,2.4241,0.200143242,0.225817139,557.0
2020-05-10,54.4,73.5,12.3,29.2,0.9519671542003684,,,,,3900.0,1400.0,1.3033,0.200143242,0.225817139,557.0
2020-05-11,45.2,58.0,16.2,30.1,0.954690375188454,,,,,3500.0,1300.0,1.7483,0.200143242,0.225817139,557.0
2020-05-12,51.1,52.7,9.9,29.9,1.0384886414676828,,,,,3300.0,1300.0,2.1033,0.200143242,0.225817139,557.0
2020-05-13,43.8,64.8,13.0,30.0,0.9309755791417916,,,,,4400.0,1900.0,2.0828,0.200143242,0.225817139,557.0
2020-05-14,53.9,46.9,8.9,30.1,0.8806116589500348,,,,,4400.0,1700.0,2.58,0.200143242,0.225817139,557.0
2020-05-15,53.2,58.3,7.0,30.1,1.042076042358396,,,,,5100.0,1800.0,2.32,0.200143242,0.225817139,557.0
2020-05-16,52.4,80.2,8.6,29.3,0.9930832817979866,,,,,3300.0,900.0,1.89,0.200143242,0.225817139,557.0
2020-05-17,50.6,76.6,4.2,29.5,1.055713034662628,,,,,4300.0,1500.0,2.3967,0.200143242,0.225817139,557.0
2020-05-18,58.3,71.3,17.6,30.0,1.0896639061595466,,,,,4500.0,1200.0,2.8833,0.200143242,0.225817139,557.0
2020-05-19,61.6,73.6,12.0,30.0,0.9891690448539364,,,,,3400.0,1300.0,3.0467,0.200143242,0.225817139,557.0
2020-05-20,68.4,57.4,8.8,30.0,1.084274458940625,,,,,6800.0,2400.0,2.9533,0.200143242,0.225817139,557.0
2020-05-21,64.1,56.1,10.4,29.9,1.0173494177734586,,,,,4400.0,1700.0,2.7933,0.200143242,0.225817139,557.0
2020-05-22,61.4,53.4,27.7,29.6,0.9787629490044504,,,,,5000.0,1400.0,2.4067,0.200143242,0.225817139,557.0
2020-05-23,55.9,57.8,30.8,29.7,1.0504363073832956,,,,,4500.0,1400.0,2.2133,0.200143242,0.225817139,557.0
2020-05-24,52.9,62.4,11.8,29.4,1.0419008147953115,,,,,5400.0,1500.0,2.2067,0.200143242,0.225817139,557.0
2020-05-25,64.9,49.1,11.1,30.4,1.1189156675727148,,,,,4100.0,1200.0,2.9367,0.200143242,0.225817139,557.0
2020-05-26,64.3,59.7,8.6,30.4,1.0623692592699374,,,,,4000.0,1500.0,2.94,0.200143242,0.225817139,557.0
2020-05-27,58.1,58.2,10.1,30.5,1.0654141532965609,,,,,5100.0,1800.0,2.5633,0.200143242,0.225817139,557.0
2020-05-28,64.0,58.6,8.4,30.4,1.0161994924384228,,,,,5500.0,1800.0,3.0867,0.200143242,0.225817139,557.0
2020-05-29,67.8,45.0,9.5,30.2,1.0092736282044876,,,,,6400.0,1900.0,3.1467,0.200143242,0.225817139,557.0
2020-05-30,60.6,65.4,7.2,30.2,1.0560905832749037,,,,,5300.0,1700.0,2.9267,0.200143242,0.225817139,557.0
2020-05-31,61.4,67.3,8.3,30.0,1.1552818987305806,,,,,6300.0,1900.0,2.9467,0.200143242,0.225817139,557.0
2020-06-01,63.0,58.0,11.8,30.2,1.0649382222647543,,,,,6000.0,1700.0,2.9233,0.200143242,0.225817139,557.0
2020-06-02,67.4,42.2,5.1,30.0,1.050918040339348,,,,,5400.0,1900.0,2.7871,0.200143242,0.225817139,557.0
2020-06-03,51.1,85.8,18.6,29.8,1.0225278708371026,,,,,6800.0,2100.0,0.7968,0.200143242,0.225817139,557.0
2020-06-04,51.7,71.9,7.4,29.5,1.0094565032912932,,,,,7700.0,2700.0,1.2742,0.200143242,0.225817139,557.0
2020-06-05,50.0,67.6,13.2,29.2,1.0225226524670046,,,,,10200.0,3200.0,1.7517,0.200143242,0.225817139,557.0
2020-06-06,52.2,74.2,22.9,29.2,1.0129384354745592,,,,,8700.0,2500.0,1.0531,0.200143242,0.225817139,557.0
2020-06-07,50.5,84.3,14.7,29.7,1.0288407348454875,,,,,10700.0,3200.0,1.7813,0.200143242,0.225817139,557.0
2020-06-08,50.2,68.8,8.2,30.0,1.024490307213071,,,,,4800.0,1700.0,1.6065,0.200143242,0.225817139,557.0
2020-06-09,55.5,69.1,5.6,30.0,1.011898369349662,,,,,3300.0,1300.0,2.3115,0.200143242,0.225817139,557.0
2020-06-10,52.8,88.4,6.9,29.8,1.0124934311963352,,,,,4000.0,1400.0,1.0238,0.200143242,0.225817139,557.0
2020-06-11,51.9,89.0,19.9,30.0,1.0029626873420985,,,,,4100.0,1700.0,1.1344,0.200143242,0.225817139,557.0
2020-06-12,53.8,95.0,14.8,29.8,1.003389886932008,,,,,4700.0,1700.0,1.25,0.200143242,0.225817139,557.0
2020-06-13,60.0,90.0,8.5,29.7,1.0277067491943934,,,,,4100.0,1600.0,2.2875,0.200143242,0.225817139,557.0
2020-06-14,58.3,88.5,6.9,29.9,1.0076756135601446,,,,,5900.0,1900.0,1.7438,0.200143242,0.225817139,557.0
2020-06-15,61.9,84.6,5.7,29.9,1.0170206070063,,,,,5000.0,1600.0,2.0844,0.200143242,0.225817139,557.0
2020-06-16,61.5,86.2,8.4,29.8,1.004948526719748,,,,,4500.0,1300.0,2.0469,0.200143242,0.225817139,557.0
2020-06-17,58.8,88.2,8.0,29.8,0.9982013952515104,,,,,5600.0,1800.0,1.7844,0.200143242,0.225817139,557.0
2020-06-18,55.1,86.1,14.0,29.8,1.0014595803580288,,,,,5800.0,2100.0,0.7969,0.200143242,0.225817139,557.0
2020-06-19,60.9,84.9,8.3,29.7,1.0117948883042225,,,,,7000.0,2300.0,1.3813,0.200143242,0.225817139,557.0
