Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,43.6,69.8,18.5,28.9,1.0000000148529775,,,,,257300.0,145600.0,0.8,0.169171658,0.192296513,1750.0
2020-03-02,40.4,80.3,9.7,29.1,51.4623246134796,,,,,228200.0,122500.0,0.6524,0.169171658,0.192296513,1750.0
2020-03-03,42.0,84.9,13.2,29.4,1.000000044558934,,,,,181900.0,93000.0,0.5238,0.169171658,0.192296513,1750.0
2020-03-04,41.2,85.3,5.2,29.6,10.506490332632088,,,,,167900.0,83200.0,0.4905,0.169171658,0.192296513,1750.0
2020-03-05,40.4,82.1,8.2,29.4,1.0000000594119127,,,,,205000.0,98400.0,0.1952,0.169171658,0.192296513,1750.0
2020-03-06,40.3,85.0,5.7,29.6,1.0000000594119127,,,,,235300.0,102700.0,0.7714,0.169171658,0.192296513,1750.0
2020-03-07,48.6,83.4,13.7,29.7,1.0000000594119127,,,,,225100.0,125100.0,0.6,0.169171658,0.192296513,1750.0
2020-03-08,48.4,80.9,14.0,29.4,1.0000000594119127,,,,,246600.0,150100.0,0.5619,0.169171658,0.192296513,1750.0
2020-03-09,47.1,83.8,18.2,29.6,1.0000000594119127,,,,,217000.0,126300.0,0.5905,0.169171658,0.192296513,1750.0
2020-03-10,53.1,81.7,16.9,29.4,1.0000000594119127,,,,,187900.0,98500.0,0.8714,0.169171658,0.192296513,1750.0
2020-03-11,48.5,77.2,16.8,29.5,3.4846799006785285,,,,,,,,0.169171658,0.192296513,1750.0
2020-03-12,44.5,69.9,23.9,29.5,1.000000074264892,,,,,184200.0,96700.0,0.9824,0.169171658,0.192296513,1750.0
2020-03-13,46.0,82.1,13.8,29.9,3.1749276086722125,,,,,195200.0,104200.0,0.9273,0.169171658,0.192296513,1750.0
2020-03-14,48.4,85.7,12.8,29.7,3.031750228845061,,,,,192200.0,125800.0,0.8773,0.169171658,0.192296513,1750.0
2020-03-15,47.9,80.7,15.1,29.6,1.0000001039708517,,,,,201000.0,141400.0,0.2826,0.169171658,0.192296513,1750.0
2020-03-16,47.0,72.5,11.6,30.0,3.3878769388420347,,,,,159400.0,112700.0,1.2087,0.169171658,0.192296513,1750.0
2020-03-17,53.7,80.0,15.5,30.0,5.70861524349479,,,,,109500.0,77300.0,0.9,0.169171658,0.192296513,1750.0
2020-03-18,46.3,86.4,9.8,30.1,1.0000001485297951,,,,,87000.0,62100.0,0.5522,0.169171658,0.192296513,1750.0
2020-03-19,45.2,75.1,7.0,30.3,4.676055600917418,,,,,80900.0,58500.0,0.2818,0.169171658,0.192296513,1750.0
2020-03-20,44.3,69.8,14.3,30.4,16.027743117053554,,,,,64200.0,46900.0,1.0955,0.169171658,0.192296513,1750.0
