Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2020/3/1,41.7,69.2,17.1,28.8,,,,,,0.8,257300,145600,0.161294504,0.188697938,1924
2020/3/2,40,79.6,7.8,28.9,,,,,,0.6524,228200,122500,0.161294504,0.188697938,1924
2020/3/3,38.8,82.4,8.8,29.2,,,,,,0.5238,181900,93000,0.161294504,0.188697938,1924
2020/3/4,38.8,87.2,6.8,29.4,,,,,,0.4905,167900,83200,0.161294504,0.188697938,1924
2020/3/5,40.4,94.8,12.6,29,,,,,,0.1952,205000,98400,0.161294504,0.188697938,1924
2020/3/6,39.9,76.2,7,29.3,,,,,,0.7714,235300,102700,0.161294504,0.188697938,1924
2020/3/7,43.2,83.5,12.3,29.6,,,,,,0.6,225100,125100,0.161294504,0.188697938,1924
2020/3/8,48.7,76.2,17.6,29.3,,,,,,0.5619,246600,150100,0.161294504,0.188697938,1924
2020/3/9,43.2,82.1,12.6,29.4,,,,,,0.5905,217000,126300,0.161294504,0.188697938,1924
2020/3/10,53.8,86.4,17.2,29.3,1.000000015,,,,,0.8714,187900,98500,0.161294504,0.188697938,1924
2020/3/11,49.9,77.9,15.2,29.4,89.75485979,,,,,,175700,88600,0.161294504,0.188697938,1924
2020/3/12,44.3,65.1,19.7,29.4,38.85479595,,,,,0.9824,184200,96700,0.161294504,0.188697938,1924
2020/3/13,44.6,72.7,10.5,29.6,19.92337205,,,,,0.9273,195200,104200,0.161294504,0.188697938,1924
2020/3/14,47,85.4,11.9,29.6,18.52063955,,,,,0.8773,192200,125800,0.161294504,0.188697938,1924
2020/3/15,47.6,87,13.7,29.4,1.000000089,,,,,0.2826,201000,141400,0.161294504,0.188697938,1924
2020/3/16,43.1,79.1,5.9,29.7,5.094374119,,,,,1.2087,159400,112700,0.161294504,0.188697938,1924
2020/3/17,47.1,83,15,29.9,7.751627879,,,,,0.9,109500,77300,0.161294504,0.188697938,1924
