Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2020-03-01,42.8,71.7,15.0,29.0,,,,,,0.8,257300.0,145600.0,0.170619934,0.198417557,952.0
2020-03-02,41.4,81.9,8.3,29.0,,,,,,0.6524,228200.0,122500.0,0.170619934,0.198417557,952.0
2020-03-03,40.4,77.7,9.5,29.4,,,,,,0.5238,181900.0,93000.0,0.170619934,0.198417557,952.0
2020-03-04,39.3,93.0,6.1,29.5,,,,,,0.4905,167900.0,83200.0,0.170619934,0.198417557,952.0
2020-03-05,41.4,95.1,10.8,29.1,,,,,,0.1952,205000.0,98400.0,0.170619934,0.198417557,952.0
2020-03-06,38.8,82.6,4.8,29.4,,,,,,0.7714,235300.0,102700.0,0.170619934,0.198417557,952.0
2020-03-07,44.5,87.0,11.3,29.7,,,,,,0.6,225100.0,125100.0,0.170619934,0.198417557,952.0
2020-03-08,48.4,82.5,17.1,29.5,,,,,,0.5619,246600.0,150100.0,0.170619934,0.198417557,952.0
2020-03-09,45.1,82.5,12.3,29.6,,,,,,0.5905,217000.0,126300.0,0.170619934,0.198417557,952.0
2020-03-10,53.8,91.0,15.5,29.5,,,,,,0.8714,187900.0,98500.0,0.170619934,0.198417557,952.0
2020-03-11,50.6,85.5,13.1,29.6,,,,,,,175700.0,88600.0,0.170619934,0.198417557,952.0
2020-03-12,44.4,69.3,17.0,29.6,1.0000000148529775,,,,,0.9824,184200.0,96700.0,0.170619934,0.198417557,952.0
2020-03-13,45.8,54.8,11.0,29.8,1.0000000148529775,,,,,0.9273,195200.0,104200.0,0.170619934,0.198417557,952.0
2020-03-14,47.9,86.3,10.0,29.7,1.0000000148529775,,,,,0.8773,192200.0,125800.0,0.170619934,0.198417557,952.0
2020-03-15,47.8,86.4,13.0,29.6,38.84674289425961,,,,,0.2826,201000.0,141400.0,0.170619934,0.198417557,952.0
2020-03-16,42.5,79.0,5.0,29.9,1.0000000297059557,,,,,1.2087,159400.0,112700.0,0.170619934,0.198417557,952.0
2020-03-17,47.2,84.8,11.0,30.1,1.0000000297059557,,,,,0.9,109500.0,77300.0,0.170619934,0.198417557,952.0
2020-03-18,51.9,85.3,11.4,30.0,10.553538844757355,,,,,0.5522,87000.0,62100.0,0.170619934,0.198417557,952.0
2020-03-19,44.9,96.6,7.3,30.1,6.626356000260973,,,,,0.2818,80900.0,58500.0,0.170619934,0.198417557,952.0
2020-03-20,44.5,71.8,12.3,30.1,7.137110596449943,,,,,1.0955,64200.0,46900.0,0.170619934,0.198417557,952.0
2020-03-21,43.3,66.5,14.6,30.1,7.276818119223268,,,,,1.2652,51500.0,37000.0,0.170619934,0.198417557,952.0
2020-03-22,43.4,66.2,12.2,30.1,3.3223035501346936,,,,,1.1,36400.0,23600.0,0.170619934,0.198417557,952.0
2020-03-23,41.6,60.3,7.9,30.1,1.0000001782357593,,,,,1.4542,28000.0,17600.0,0.170619934,0.198417557,952.0
2020-03-24,44.0,59.8,6.6,30.1,1.9556463937244497,,,,,1.5667,22600.0,14200.0,0.170619934,0.198417557,952.0
2020-03-25,41.5,59.5,4.5,30.0,4.939288987121059,,,,,1.6913,14800.0,8900.0,0.170619934,0.198417557,952.0
2020-03-26,40.6,61.1,7.1,30.0,3.269490500288226,,,,,1.575,14600.0,8600.0,0.170619934,0.198417557,952.0
2020-03-27,44.3,62.5,8.7,30.0,2.6410297963006686,,,,,1.45,13100.0,7800.0,0.170619934,0.198417557,952.0
2020-03-28,44.5,66.8,13.5,30.1,2.153477718647717,,,,,1.0542,11400.0,7000.0,0.170619934,0.198417557,952.0
2020-03-29,40.7,56.4,15.7,30.4,6.027111899215996,,,,,0.9958,10000.0,5800.0,0.170619934,0.198417557,952.0
2020-03-30,41.3,72.8,8.4,30.3,3.7375688961702433,,,,,0.6625,5700.0,2900.0,0.170619934,0.198417557,952.0
2020-03-31,42.0,70.8,9.0,30.2,2.971444722871317,,,,,1.1667,5500.0,2700.0,0.170619934,0.198417557,952.0
2020-04-01,38.2,71.8,3.8,30.0,5.665766284393803,,,,,0.9458,4400.0,2200.0,0.170619934,0.198417557,952.0
2020-04-02,47.4,69.6,7.9,29.8,5.943340408774755,,,,,1.028,4700.0,2300.0,0.170619934,0.198417557,952.0
2020-04-03,47.2,71.1,5.6,29.8,15.22997536121196,,,,,1.484,5400.0,2600.0,0.170619934,0.198417557,952.0
2020-04-04,46.6,71.8,6.4,29.9,21.876848447055703,,,,,1.932,5500.0,2700.0,0.170619934,0.198417557,952.0
2020-04-05,53.2,59.2,9.2,29.7,7.80420077616985,,,,,2.116,5300.0,2500.0,0.170619934,0.198417557,952.0
2020-04-06,54.7,67.9,8.8,29.8,53.85689271195297,,,,,1.5923,3300.0,1900.0,0.170619934,0.198417557,952.0
2020-04-07,50.0,69.2,3.6,30.1,35.85998878711997,,,,,1.8038,4200.0,2500.0,0.170619934,0.198417557,952.0
2020-04-08,56.0,68.5,3.5,30.0,1.0000016338301707,,,,,1.6423,4300.0,2200.0,0.170619934,0.198417557,952.0
2020-04-09,57.3,66.7,5.1,30.0,165.77148290559592,,,,,1.9577,4500.0,2800.0,0.170619934,0.198417557,952.0
2020-04-10,58.3,63.2,6.2,30.0,293.15575603989964,,,,,2.1192,3600.0,1800.0,0.170619934,0.198417557,952.0
2020-04-11,60.2,61.9,4.1,29.9,404.7150248531932,,,,,1.8577,3700.0,2500.0,0.170619934,0.198417557,952.0
2020-04-12,59.0,59.9,4.8,29.7,9.318289193332255,,,,,1.8115,3300.0,1700.0,0.170619934,0.198417557,952.0
2020-04-13,48.3,61.8,14.8,30.0,4.909478963540189,,,,,1.6654,3000.0,1800.0,0.170619934,0.198417557,952.0
2020-04-14,42.9,63.8,5.4,30.1,5.667418595130916,,,,,2.2654,1900.0,1000.0,0.170619934,0.198417557,952.0
2020-04-15,47.3,64.4,5.7,30.0,1.6306805102089776,,,,,2.2077,2700.0,1300.0,0.170619934,0.198417557,952.0
2020-04-16,51.1,68.4,4.3,29.8,1.910956919242412,,,,,1.5115,2800.0,1600.0,0.170619934,0.198417557,952.0
2020-04-17,50.0,80.9,10.8,29.8,6.6655485502559255,,,,,0.6692,3100.0,1700.0,0.170619934,0.198417557,952.0
2020-04-18,47.8,87.8,5.8,29.8,2.965948283441574,,,,,1.0038,3200.0,1900.0,0.170619934,0.198417557,952.0
2020-04-19,50.5,69.5,7.6,29.9,1.005442450670912,,,,,2.2038,2300.0,1100.0,0.170619934,0.198417557,952.0
2020-04-20,52.5,57.7,13.5,29.8,3.1525350773955885,,,,,2.1071,3100.0,1900.0,0.170619934,0.198417557,952.0
2020-04-21,55.1,53.0,12.2,29.8,2.4566362276617166,,,,,2.1536,3300.0,2300.0,0.170619934,0.198417557,952.0
2020-04-22,55.1,58.2,8.4,29.9,1.8617967822966788,,,,,2.1964,3900.0,2200.0,0.170619934,0.198417557,952.0
2020-04-23,57.6,58.7,5.1,29.9,2.304788970646288,,,,,2.2536,2900.0,1800.0,0.170619934,0.198417557,952.0
2020-04-24,56.2,60.2,4.0,29.8,1.0947586696285592,,,,,2.2107,4500.0,2800.0,0.170619934,0.198417557,952.0
2020-04-25,51.8,69.5,6.7,29.7,1.5427915709649576,,,,,2.2536,3500.0,2300.0,0.170619934,0.198417557,952.0
2020-04-26,51.5,67.1,3.8,29.7,1.4582512294874024,,,,,2.2929,3900.0,2400.0,0.170619934,0.198417557,952.0
2020-04-27,52.4,74.3,4.4,29.5,1.3504864768284122,,,,,1.2964,3300.0,2100.0,0.170619934,0.198417557,952.0
2020-04-28,47.0,93.3,8.7,29.4,0.9788993343085975,,,,,0.3464,4300.0,2800.0,0.170619934,0.198417557,952.0
2020-05-01,49.9,76.3,11.2,29.3,1.3084725447936332,,,,,1.5964,4900.0,2600.0,0.170619934,0.198417557,952.0
2020-05-02,51.3,67.0,7.8,29.6,1.20535227946296,,,,,2.1143,3800.0,1900.0,0.170619934,0.198417557,952.0
2020-05-03,51.5,78.0,4.5,29.8,1.0610965372953527,,,,,1.1393,4700.0,1800.0,0.170619934,0.198417557,952.0
2020-05-04,54.7,69.1,10.3,29.9,1.1821975883821056,,,,,2.2179,2700.0,900.0,0.170619934,0.198417557,952.0
2020-05-05,50.5,63.9,14.2,29.9,1.0392204663727678,,,,,2.4464,3100.0,1800.0,0.170619934,0.198417557,952.0
2020-05-06,52.1,65.1,7.3,30.0,0.9991789812497874,,,,,2.5786,4400.0,1900.0,0.170619934,0.198417557,952.0
2020-05-07,54.9,65.7,5.3,30.0,1.2573372503361409,,,,,2.4759,4500.0,2100.0,0.170619934,0.198417557,952.0
2020-05-08,59.1,61.7,3.2,29.8,0.9291225429523022,,,,,2.3207,4600.0,1600.0,0.170619934,0.198417557,952.0
2020-05-09,60.4,59.7,6.3,29.7,1.0851749830429709,,,,,2.4241,3700.0,1500.0,0.170619934,0.198417557,952.0
2020-05-10,52.0,71.7,10.6,29.6,1.058325955935607,,,,,1.3033,3900.0,1400.0,0.170619934,0.198417557,952.0
2020-05-11,46.0,53.5,15.0,29.9,1.0567071301492834,,,,,1.7483,3500.0,1300.0,0.170619934,0.198417557,952.0
2020-05-12,46.2,59.5,5.0,29.9,1.0488806831475486,,,,,2.1033,3300.0,1300.0,0.170619934,0.198417557,952.0
2020-05-13,48.0,59.8,8.9,29.8,1.000138152773068,,,,,2.0828,4400.0,1900.0,0.170619934,0.198417557,952.0
2020-05-14,46.4,59.9,8.6,30.0,1.0713345200607125,,,,,2.58,4400.0,1700.0,0.170619934,0.198417557,952.0
2020-05-15,48.8,66.8,4.4,30.0,1.0378975334819056,,,,,2.32,5100.0,1800.0,0.170619934,0.198417557,952.0
2020-05-16,51.5,66.0,5.3,30.0,1.0364007306363794,,,,,1.89,3300.0,900.0,0.170619934,0.198417557,952.0
2020-05-17,55.5,64.6,7.1,30.0,1.0927436463585185,,,,,2.3967,4300.0,1500.0,0.170619934,0.198417557,952.0
2020-05-18,59.6,61.5,9.5,30.0,0.9926114690159712,,,,,2.8833,4500.0,1200.0,0.170619934,0.198417557,952.0
2020-05-19,62.2,68.6,6.5,30.0,1.0695258536954817,,,,,3.0467,3400.0,1300.0,0.170619934,0.198417557,952.0
2020-05-20,63.9,61.7,5.2,29.9,1.060817710539226,,,,,2.9533,6800.0,2400.0,0.170619934,0.198417557,952.0
2020-05-21,64.4,60.0,4.8,29.9,1.0389929191819032,,,,,2.7933,4400.0,1700.0,0.170619934,0.198417557,952.0
2020-05-22,62.3,57.1,15.8,29.8,0.9824694480241738,,,,,2.4067,5000.0,1400.0,0.170619934,0.198417557,952.0
2020-05-23,56.3,63.3,16.3,30.0,1.0145698189411791,,,,,2.2133,4500.0,1400.0,0.170619934,0.198417557,952.0
2020-05-24,59.5,64.8,9.5,30.2,1.0436713722484403,,,,,2.2067,5400.0,1500.0,0.170619934,0.198417557,952.0
2020-05-25,61.1,62.1,4.7,30.3,1.0191432505608808,,,,,2.9367,4100.0,1200.0,0.170619934,0.198417557,952.0
2020-05-26,63.8,59.5,3.9,30.3,1.0286236115888543,,,,,2.94,4000.0,1500.0,0.170619934,0.198417557,952.0
2020-05-27,65.0,61.2,4.2,30.3,1.0323788397195388,,,,,2.5633,5100.0,1800.0,0.170619934,0.198417557,952.0
2020-05-28,61.1,58.6,9.3,30.3,1.029246855261131,,,,,3.0867,5500.0,1800.0,0.170619934,0.198417557,952.0
2020-05-29,61.0,53.1,8.5,30.1,1.0032786614061098,,,,,3.1467,6400.0,1900.0,0.170619934,0.198417557,952.0
2020-05-30,61.4,57.0,9.5,30.0,0.9962537254423264,,,,,2.9267,5300.0,1700.0,0.170619934,0.198417557,952.0
2020-05-31,63.7,51.8,10.3,29.9,0.9991850190189808,,,,,2.9467,6300.0,1900.0,0.170619934,0.198417557,952.0
2020-06-01,64.3,54.2,7.9,29.9,1.0768755256229166,,,,,2.9233,6000.0,1700.0,0.170619934,0.198417557,952.0
2020-06-02,63.3,53.2,5.2,29.9,1.0285206281606842,,,,,2.7871,5400.0,1900.0,0.170619934,0.198417557,952.0
2020-06-03,57.0,73.0,5.8,29.6,1.0133737448473916,,,,,0.7968,6800.0,2100.0,0.170619934,0.198417557,952.0
2020-06-04,53.5,73.9,9.0,29.4,1.0391648810470635,,,,,1.2742,7700.0,2700.0,0.170619934,0.198417557,952.0
2020-06-05,56.0,57.8,12.1,29.2,1.0022919944297577,,,,,1.7517,10200.0,3200.0,0.170619934,0.198417557,952.0
2020-06-06,50.3,76.8,12.4,29.3,0.9995533090467454,,,,,1.0531,8700.0,2500.0,0.170619934,0.198417557,952.0
2020-06-07,54.6,76.3,6.8,29.6,1.0111288675824666,,,,,1.7813,10700.0,3200.0,0.170619934,0.198417557,952.0
2020-06-08,55.6,66.8,7.0,29.8,1.0264332181158795,,,,,1.6065,4800.0,1700.0,0.170619934,0.198417557,952.0
2020-06-09,57.3,63.4,6.1,29.9,1.0165944319280844,,,,,2.3115,3300.0,1300.0,0.170619934,0.198417557,952.0
2020-06-10,54.7,83.2,6.0,29.8,1.01265504055325,,,,,1.0238,4000.0,1400.0,0.170619934,0.198417557,952.0
2020-06-11,56.9,83.6,11.3,29.6,1.0105910294672549,,,,,1.1344,4100.0,1700.0,0.170619934,0.198417557,952.0
2020-06-12,60.2,83.3,10.4,29.4,1.0018912592758835,,,,,1.25,4700.0,1700.0,0.170619934,0.198417557,952.0
2020-06-13,61.8,72.5,9.4,29.5,1.0180660785603342,,,,,2.2875,4100.0,1600.0,0.170619934,0.198417557,952.0
2020-06-14,60.3,77.3,6.7,29.7,1.003016139555604,,,,,1.7438,5900.0,1900.0,0.170619934,0.198417557,952.0
2020-06-15,61.1,73.5,3.8,29.8,1.0061248440920405,,,,,2.0844,5000.0,1600.0,0.170619934,0.198417557,952.0
2020-06-16,61.9,73.3,4.4,29.7,1.037899855497606,,,,,2.0469,4500.0,1300.0,0.170619934,0.198417557,952.0
2020-06-17,59.6,79.5,3.5,29.7,1.052263964961734,,,,,1.7844,5600.0,1800.0,0.170619934,0.198417557,952.0
2020-06-18,58.8,91.4,5.8,29.6,1.0044067079954768,,,,,0.7969,5800.0,2100.0,0.170619934,0.198417557,952.0
2020-06-19,58.9,83.7,11.9,29.7,0.9983943552312884,,,,,1.3813,7000.0,2300.0,0.170619934,0.198417557,952.0
2020-06-20,60.8,78.4,9.1,29.9,1.0475779924814013,,,,,2.1813,5900.0,1800.0,0.170619934,0.198417557,952.0
2020-06-21,62.3,72.2,11.7,29.8,1.01050492986949,,,,,2.1219,8200.0,2500.0,0.170619934,0.198417557,952.0
2020-06-22,60.4,67.8,9.1,30.0,1.0085674358338954,,,,,3.2406,6800.0,2100.0,0.170619934,0.198417557,952.0
2020-06-23,66.8,64.3,7.1,30.0,1.0088676659150544,,,,,3.025,6200.0,1900.0,0.170619934,0.198417557,952.0
2020-06-24,72.4,59.0,8.0,29.9,1.0032780421958232,,,,,2.8219,6600.0,2300.0,0.170619934,0.198417557,952.0
2020-06-25,76.1,52.5,7.3,29.8,1.0030333830198366,,,,,2.9875,7100.0,2700.0,0.170619934,0.198417557,952.0
2020-06-26,71.1,63.8,8.7,29.6,1.0321957028064457,,,,,2.975,7200.0,2700.0,0.170619934,0.198417557,952.0
2020-06-27,61.3,81.9,15.7,29.5,1.0012488067119354,,,,,1.5969,7200.0,2700.0,0.170619934,0.198417557,952.0
