areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000043,Brighton and Hove,ltla,2022-08-02,223300
E06000043,Brighton and Hove,ltla,2022-08-01,223298
E06000043,Brighton and Hove,ltla,2022-07-31,223286
E06000043,Brighton and Hove,ltla,2022-07-30,223280
E06000043,Brighton and Hove,ltla,2022-07-29,223278
E06000043,Brighton and Hove,ltla,2022-07-28,223272
E06000043,Brighton and Hove,ltla,2022-07-27,223268
E06000043,Brighton and Hove,ltla,2022-07-26,223267
E06000043,Brighton and Hove,ltla,2022-07-25,223258
E06000043,Brighton and Hove,ltla,2022-07-24,223243
E06000043,Brighton and Hove,ltla,2022-07-23,223228
E06000043,Brighton and Hove,ltla,2022-07-22,223225
E06000043,Brighton and Hove,ltla,2022-07-21,223220
E06000043,Brighton and Hove,ltla,2022-07-20,223218
E06000043,Brighton and Hove,ltla,2022-07-19,223215
E06000043,Brighton and Hove,ltla,2022-07-18,223214
E06000043,Brighton and Hove,ltla,2022-07-17,223211
E06000043,Brighton and Hove,ltla,2022-07-16,223209
E06000043,Brighton and Hove,ltla,2022-07-15,223198
E06000043,Brighton and Hove,ltla,2022-07-14,223192
E06000043,Brighton and Hove,ltla,2022-07-13,223177
E06000043,Brighton and Hove,ltla,2022-07-12,223173
E06000043,Brighton and Hove,ltla,2022-07-11,223169
E06000043,Brighton and Hove,ltla,2022-07-10,223167
E06000043,Brighton and Hove,ltla,2022-07-09,223166
E06000043,Brighton and Hove,ltla,2022-07-08,223160
E06000043,Brighton and Hove,ltla,2022-07-07,223159
E06000043,Brighton and Hove,ltla,2022-07-06,223155
E06000043,Brighton and Hove,ltla,2022-07-05,223154
E06000043,Brighton and Hove,ltla,2022-07-04,223152
E06000043,Brighton and Hove,ltla,2022-07-03,223151
E06000043,Brighton and Hove,ltla,2022-07-02,223147
E06000043,Brighton and Hove,ltla,2022-07-01,223140
E06000043,Brighton and Hove,ltla,2022-06-30,223132
E06000043,Brighton and Hove,ltla,2022-06-29,223128
E06000043,Brighton and Hove,ltla,2022-06-28,223120
E06000043,Brighton and Hove,ltla,2022-06-27,223119
E06000043,Brighton and Hove,ltla,2022-06-26,223111
