areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000050,Cheshire West and Chester,ltla,2022-08-02,286561
E06000050,Cheshire West and Chester,ltla,2022-08-01,286551
E06000050,Cheshire West and Chester,ltla,2022-07-31,286548
E06000050,Cheshire West and Chester,ltla,2022-07-30,286548
E06000050,Cheshire West and Chester,ltla,2022-07-29,286540
E06000050,Cheshire West and Chester,ltla,2022-07-28,286531
E06000050,Cheshire West and Chester,ltla,2022-07-27,286529
E06000050,Cheshire West and Chester,ltla,2022-07-26,286520
E06000050,Cheshire West and Chester,ltla,2022-07-25,286515
E06000050,Cheshire West and Chester,ltla,2022-07-24,286508
E06000050,Cheshire West and Chester,ltla,2022-07-23,286502
E06000050,Cheshire West and Chester,ltla,2022-07-22,286497
E06000050,Cheshire West and Chester,ltla,2022-07-21,286491
E06000050,Cheshire West and Chester,ltla,2022-07-20,286490
E06000050,Cheshire West and Chester,ltla,2022-07-19,286484
E06000050,Cheshire West and Chester,ltla,2022-07-18,286478
E06000050,Cheshire West and Chester,ltla,2022-07-17,286475
E06000050,Cheshire West and Chester,ltla,2022-07-16,286475
E06000050,Cheshire West and Chester,ltla,2022-07-15,286465
E06000050,Cheshire West and Chester,ltla,2022-07-14,286462
E06000050,Cheshire West and Chester,ltla,2022-07-13,286456
E06000050,Cheshire West and Chester,ltla,2022-07-12,286456
E06000050,Cheshire West and Chester,ltla,2022-07-11,286451
E06000050,Cheshire West and Chester,ltla,2022-07-10,286436
E06000050,Cheshire West and Chester,ltla,2022-07-09,286434
E06000050,Cheshire West and Chester,ltla,2022-07-08,286426
E06000050,Cheshire West and Chester,ltla,2022-07-07,286414
E06000050,Cheshire West and Chester,ltla,2022-07-06,286409
E06000050,Cheshire West and Chester,ltla,2022-07-05,286400
E06000050,Cheshire West and Chester,ltla,2022-07-04,286390
E06000050,Cheshire West and Chester,ltla,2022-07-03,286380
E06000050,Cheshire West and Chester,ltla,2022-07-02,286379
E06000050,Cheshire West and Chester,ltla,2022-07-01,286364
E06000050,Cheshire West and Chester,ltla,2022-06-30,286348
E06000050,Cheshire West and Chester,ltla,2022-06-29,286341
E06000050,Cheshire West and Chester,ltla,2022-06-28,286330
E06000050,Cheshire West and Chester,ltla,2022-06-27,286320
E06000050,Cheshire West and Chester,ltla,2022-06-26,286316
E06000050,Cheshire West and Chester,ltla,2022-06-25,286316
E06000050,Cheshire West and Chester,ltla,2022-06-24,286303
