areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000052,Cornwall and Isles of Scilly,ltla,2022-08-02,464440
E06000052,Cornwall and Isles of Scilly,ltla,2022-08-01,464433
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-31,464428
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-30,464420
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-29,464417
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-28,464405
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-27,464397
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-26,464392
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-25,464382
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-24,464368
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-23,464352
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-22,464339
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-21,464333
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-20,464322
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-19,464308
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-18,464299
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-17,464296
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-16,464291
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-15,464282
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-14,464279
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-13,464269
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-12,464266
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-11,464250
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-10,464237
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-09,464219
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-08,464195
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-07,464186
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-06,464171
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-05,464155
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-04,464147
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-03,464136
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-02,464127
E06000052,Cornwall and Isles of Scilly,ltla,2022-07-01,464115
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-30,464107
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-29,464101
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-28,464093
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-27,464080
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-26,464075
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-25,464069
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-24,464051
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-23,464044
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-22,464039
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-21,464032
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-20,464014
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-19,463999
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-18,463995
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-17,463984
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-16,463976
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-15,463963
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-14,463956
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-13,463953
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-12,463948
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-11,463929
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-10,463916
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-09,463914
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-08,463904
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-07,463879
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-06,463867
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-05,463860
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-04,463860
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-03,463851
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-02,463846
E06000052,Cornwall and Isles of Scilly,ltla,2022-06-01,463843
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-31,463829
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-30,463820
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-29,463804
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-28,463801
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-27,463774
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-26,463769
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-25,463754
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-24,463732
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-23,463725
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-22,463701
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-21,463684
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-20,463666
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-19,463661
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-18,463649
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-17,463628
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-16,463621
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-15,463612
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-14,463596
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-13,463564
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-12,463557
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-11,463548
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-10,463530
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-09,463506
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-08,463491
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-07,463481
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-06,463454
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-05,463431
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-04,463419
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-03,463391
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-02,463359
E06000052,Cornwall and Isles of Scilly,ltla,2022-05-01,463335
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-30,463322
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-29,463279
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-28,463269
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-27,463252
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-26,463233
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-25,463215
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-24,463199
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-23,463168
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-22,463122
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-21,463080
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-20,463046
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-19,463004
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-18,462957
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-17,462935
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-16,462924
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-15,462912
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-14,462895
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-13,462867
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-12,462824
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-11,462795
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-10,462748
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-09,462725
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-08,462672
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-07,462651
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-06,462639
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-05,462604
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-04,462592
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-03,462579
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-02,462572
E06000052,Cornwall and Isles of Scilly,ltla,2022-04-01,462537
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-31,462522
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-30,462492
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-29,462466
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-28,462439
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-27,462408
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-26,462399
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-25,462369
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-24,462356
E06000052,Cornwall and Isles of Scilly,ltla,2022-03-23,462340
