areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000207,Elmbridge,ltla,2022-08-02,112632
E07000207,Elmbridge,ltla,2022-08-01,112626
E07000207,Elmbridge,ltla,2022-07-31,112623
E07000207,Elmbridge,ltla,2022-07-30,112623
E07000207,Elmbridge,ltla,2022-07-29,112619
E07000207,Elmbridge,ltla,2022-07-28,112616
E07000207,Elmbridge,ltla,2022-07-27,112609
E07000207,Elmbridge,ltla,2022-07-26,112603
E07000207,Elmbridge,ltla,2022-07-25,112602
E07000207,Elmbridge,ltla,2022-07-24,112599
E07000207,Elmbridge,ltla,2022-07-23,112599
E07000207,Elmbridge,ltla,2022-07-22,112596
E07000207,Elmbridge,ltla,2022-07-21,112589
E07000207,Elmbridge,ltla,2022-07-20,112589
E07000207,Elmbridge,ltla,2022-07-19,112580
E07000207,Elmbridge,ltla,2022-07-18,112579
E07000207,Elmbridge,ltla,2022-07-17,112575
E07000207,Elmbridge,ltla,2022-07-16,112575
E07000207,Elmbridge,ltla,2022-07-15,112571
E07000207,Elmbridge,ltla,2022-07-14,112571
E07000207,Elmbridge,ltla,2022-07-13,112569
E07000207,Elmbridge,ltla,2022-07-12,112565
E07000207,Elmbridge,ltla,2022-07-11,112561
E07000207,Elmbridge,ltla,2022-07-10,112550
E07000207,Elmbridge,ltla,2022-07-09,112550
E07000207,Elmbridge,ltla,2022-07-08,112546
E07000207,Elmbridge,ltla,2022-07-07,112545
E07000207,Elmbridge,ltla,2022-07-06,112543
E07000207,Elmbridge,ltla,2022-07-05,112540
E07000207,Elmbridge,ltla,2022-07-04,112531
E07000207,Elmbridge,ltla,2022-07-03,112520
E07000207,Elmbridge,ltla,2022-07-02,112520
E07000207,Elmbridge,ltla,2022-07-01,112512
E07000207,Elmbridge,ltla,2022-06-30,112510
E07000207,Elmbridge,ltla,2022-06-29,112508
E07000207,Elmbridge,ltla,2022-06-28,112505
E07000207,Elmbridge,ltla,2022-06-27,112495
E07000207,Elmbridge,ltla,2022-06-26,112493
E07000207,Elmbridge,ltla,2022-06-25,112493
E07000207,Elmbridge,ltla,2022-06-24,112480
E07000207,Elmbridge,ltla,2022-06-23,112474
E07000207,Elmbridge,ltla,2022-06-22,112468
E07000207,Elmbridge,ltla,2022-06-21,112466
E07000207,Elmbridge,ltla,2022-06-20,112462
E07000207,Elmbridge,ltla,2022-06-19,112456
