areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E09000013,Hammersmith and Fulham,ltla,2022-08-02,144685
E09000013,Hammersmith and Fulham,ltla,2022-08-01,144680
E09000013,Hammersmith and Fulham,ltla,2022-07-31,144674
E09000013,Hammersmith and Fulham,ltla,2022-07-30,144673
E09000013,Hammersmith and Fulham,ltla,2022-07-29,144665
E09000013,Hammersmith and Fulham,ltla,2022-07-28,144659
E09000013,Hammersmith and Fulham,ltla,2022-07-27,144654
E09000013,Hammersmith and Fulham,ltla,2022-07-26,144648
E09000013,Hammersmith and Fulham,ltla,2022-07-25,144641
E09000013,Hammersmith and Fulham,ltla,2022-07-24,144639
E09000013,Hammersmith and Fulham,ltla,2022-07-23,144637
E09000013,Hammersmith and Fulham,ltla,2022-07-22,144636
E09000013,Hammersmith and Fulham,ltla,2022-07-21,144632
E09000013,Hammersmith and Fulham,ltla,2022-07-20,144631
E09000013,Hammersmith and Fulham,ltla,2022-07-19,144623
E09000013,Hammersmith and Fulham,ltla,2022-07-18,144623
E09000013,Hammersmith and Fulham,ltla,2022-07-17,144619
E09000013,Hammersmith and Fulham,ltla,2022-07-16,144619
E09000013,Hammersmith and Fulham,ltla,2022-07-15,144613
E09000013,Hammersmith and Fulham,ltla,2022-07-14,144610
E09000013,Hammersmith and Fulham,ltla,2022-07-13,144601
E09000013,Hammersmith and Fulham,ltla,2022-07-12,144595
E09000013,Hammersmith and Fulham,ltla,2022-07-11,144590
E09000013,Hammersmith and Fulham,ltla,2022-07-10,144576
E09000013,Hammersmith and Fulham,ltla,2022-07-09,144576
E09000013,Hammersmith and Fulham,ltla,2022-07-08,144571
E09000013,Hammersmith and Fulham,ltla,2022-07-07,144562
E09000013,Hammersmith and Fulham,ltla,2022-07-06,144555
E09000013,Hammersmith and Fulham,ltla,2022-07-05,144548
E09000013,Hammersmith and Fulham,ltla,2022-07-04,144540
E09000013,Hammersmith and Fulham,ltla,2022-07-03,144534
E09000013,Hammersmith and Fulham,ltla,2022-07-02,144530
E09000013,Hammersmith and Fulham,ltla,2022-07-01,144520
E09000013,Hammersmith and Fulham,ltla,2022-06-30,144516
E09000013,Hammersmith and Fulham,ltla,2022-06-29,144508
