areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000025,South Gloucestershire,ltla,2022-08-02,235724
E06000025,South Gloucestershire,ltla,2022-08-01,235720
E06000025,South Gloucestershire,ltla,2022-07-31,235720
E06000025,South Gloucestershire,ltla,2022-07-30,235720
E06000025,South Gloucestershire,ltla,2022-07-29,235713
E06000025,South Gloucestershire,ltla,2022-07-28,235707
E06000025,South Gloucestershire,ltla,2022-07-27,235697
E06000025,South Gloucestershire,ltla,2022-07-26,235692
E06000025,South Gloucestershire,ltla,2022-07-25,235684
E06000025,South Gloucestershire,ltla,2022-07-24,235680
E06000025,South Gloucestershire,ltla,2022-07-23,235679
E06000025,South Gloucestershire,ltla,2022-07-22,235671
E06000025,South Gloucestershire,ltla,2022-07-21,235668
E06000025,South Gloucestershire,ltla,2022-07-20,235661
E06000025,South Gloucestershire,ltla,2022-07-19,235659
E06000025,South Gloucestershire,ltla,2022-07-18,235659
E06000025,South Gloucestershire,ltla,2022-07-17,235656
E06000025,South Gloucestershire,ltla,2022-07-16,235655
E06000025,South Gloucestershire,ltla,2022-07-15,235652
E06000025,South Gloucestershire,ltla,2022-07-14,235647
E06000025,South Gloucestershire,ltla,2022-07-13,235634
E06000025,South Gloucestershire,ltla,2022-07-12,235632
E06000025,South Gloucestershire,ltla,2022-07-11,235626
E06000025,South Gloucestershire,ltla,2022-07-10,235622
E06000025,South Gloucestershire,ltla,2022-07-09,235619
E06000025,South Gloucestershire,ltla,2022-07-08,235606
E06000025,South Gloucestershire,ltla,2022-07-07,235600
E06000025,South Gloucestershire,ltla,2022-07-06,235594
E06000025,South Gloucestershire,ltla,2022-07-05,235591
E06000025,South Gloucestershire,ltla,2022-07-04,235585
E06000025,South Gloucestershire,ltla,2022-07-03,235585
E06000025,South Gloucestershire,ltla,2022-07-02,235583
E06000025,South Gloucestershire,ltla,2022-07-01,235570
E06000025,South Gloucestershire,ltla,2022-06-30,235560
E06000025,South Gloucestershire,ltla,2022-06-29,235553
E06000025,South Gloucestershire,ltla,2022-06-28,235550
E06000025,South Gloucestershire,ltla,2022-06-27,235537
E06000025,South Gloucestershire,ltla,2022-06-26,235536
E06000025,South Gloucestershire,ltla,2022-06-25,235535
E06000025,South Gloucestershire,ltla,2022-06-24,235520
E06000025,South Gloucestershire,ltla,2022-06-23,235512
E06000025,South Gloucestershire,ltla,2022-06-22,235505
E06000025,South Gloucestershire,ltla,2022-06-21,235501
E06000025,South Gloucestershire,ltla,2022-06-20,235489
E06000025,South Gloucestershire,ltla,2022-06-19,235488
E06000025,South Gloucestershire,ltla,2022-06-18,235488
E06000025,South Gloucestershire,ltla,2022-06-17,235475
E06000025,South Gloucestershire,ltla,2022-06-16,235469
E06000025,South Gloucestershire,ltla,2022-06-15,235463
E06000025,South Gloucestershire,ltla,2022-06-14,235460
E06000025,South Gloucestershire,ltla,2022-06-13,235448
E06000025,South Gloucestershire,ltla,2022-06-12,235445
E06000025,South Gloucestershire,ltla,2022-06-11,235443
E06000025,South Gloucestershire,ltla,2022-06-10,235432
E06000025,South Gloucestershire,ltla,2022-06-09,235431
E06000025,South Gloucestershire,ltla,2022-06-08,235423
E06000025,South Gloucestershire,ltla,2022-06-07,235417
E06000025,South Gloucestershire,ltla,2022-06-06,235407
E06000025,South Gloucestershire,ltla,2022-06-05,235407
E06000025,South Gloucestershire,ltla,2022-06-04,235404
E06000025,South Gloucestershire,ltla,2022-06-03,235399
E06000025,South Gloucestershire,ltla,2022-06-02,235395
E06000025,South Gloucestershire,ltla,2022-06-01,235391
E06000025,South Gloucestershire,ltla,2022-05-31,235389
E06000025,South Gloucestershire,ltla,2022-05-30,235382
E06000025,South Gloucestershire,ltla,2022-05-29,235366
E06000025,South Gloucestershire,ltla,2022-05-28,235364
E06000025,South Gloucestershire,ltla,2022-05-27,235357
E06000025,South Gloucestershire,ltla,2022-05-26,235345
E06000025,South Gloucestershire,ltla,2022-05-25,235336
E06000025,South Gloucestershire,ltla,2022-05-24,235326
E06000025,South Gloucestershire,ltla,2022-05-23,235317
E06000025,South Gloucestershire,ltla,2022-05-22,235311
E06000025,South Gloucestershire,ltla,2022-05-21,235309
E06000025,South Gloucestershire,ltla,2022-05-20,235296
E06000025,South Gloucestershire,ltla,2022-05-19,235277
E06000025,South Gloucestershire,ltla,2022-05-18,235265
E06000025,South Gloucestershire,ltla,2022-05-17,235253
E06000025,South Gloucestershire,ltla,2022-05-16,235229
E06000025,South Gloucestershire,ltla,2022-05-15,235227
E06000025,South Gloucestershire,ltla,2022-05-14,235224
E06000025,South Gloucestershire,ltla,2022-05-13,235204
E06000025,South Gloucestershire,ltla,2022-05-12,235196
E06000025,South Gloucestershire,ltla,2022-05-11,235181
E06000025,South Gloucestershire,ltla,2022-05-10,235166
E06000025,South Gloucestershire,ltla,2022-05-09,235144
E06000025,South Gloucestershire,ltla,2022-05-08,235138
E06000025,South Gloucestershire,ltla,2022-05-07,235133
E06000025,South Gloucestershire,ltla,2022-05-06,235121
E06000025,South Gloucestershire,ltla,2022-05-05,235111
E06000025,South Gloucestershire,ltla,2022-05-04,235093
E06000025,South Gloucestershire,ltla,2022-05-03,235066
E06000025,South Gloucestershire,ltla,2022-05-02,235062
E06000025,South Gloucestershire,ltla,2022-05-01,235053
E06000025,South Gloucestershire,ltla,2022-04-30,235047
E06000025,South Gloucestershire,ltla,2022-04-29,235001
E06000025,South Gloucestershire,ltla,2022-04-28,234984
E06000025,South Gloucestershire,ltla,2022-04-27,234940
E06000025,South Gloucestershire,ltla,2022-04-26,234911
E06000025,South Gloucestershire,ltla,2022-04-25,234899
E06000025,South Gloucestershire,ltla,2022-04-24,234891
E06000025,South Gloucestershire,ltla,2022-04-23,234880
E06000025,South Gloucestershire,ltla,2022-04-22,234854
E06000025,South Gloucestershire,ltla,2022-04-21,234822
E06000025,South Gloucestershire,ltla,2022-04-20,234779
E06000025,South Gloucestershire,ltla,2022-04-19,234757
E06000025,South Gloucestershire,ltla,2022-04-18,234720
E06000025,South Gloucestershire,ltla,2022-04-17,234716
E06000025,South Gloucestershire,ltla,2022-04-16,234714
E06000025,South Gloucestershire,ltla,2022-04-15,234686
E06000025,South Gloucestershire,ltla,2022-04-14,234669
E06000025,South Gloucestershire,ltla,2022-04-13,234653
E06000025,South Gloucestershire,ltla,2022-04-12,234613
E06000025,South Gloucestershire,ltla,2022-04-11,234588
E06000025,South Gloucestershire,ltla,2022-04-10,234563
E06000025,South Gloucestershire,ltla,2022-04-09,234548
E06000025,South Gloucestershire,ltla,2022-04-08,234501
E06000025,South Gloucestershire,ltla,2022-04-07,234490
E06000025,South Gloucestershire,ltla,2022-04-06,234474
E06000025,South Gloucestershire,ltla,2022-04-05,234455
E06000025,South Gloucestershire,ltla,2022-04-04,234442
E06000025,South Gloucestershire,ltla,2022-04-03,234431
E06000025,South Gloucestershire,ltla,2022-04-02,234425
E06000025,South Gloucestershire,ltla,2022-04-01,234395
E06000025,South Gloucestershire,ltla,2022-03-31,234379
E06000025,South Gloucestershire,ltla,2022-03-30,234366
E06000025,South Gloucestershire,ltla,2022-03-29,234353
E06000025,South Gloucestershire,ltla,2022-03-28,234343
E06000025,South Gloucestershire,ltla,2022-03-27,234337
E06000025,South Gloucestershire,ltla,2022-03-26,234334
E06000025,South Gloucestershire,ltla,2022-03-25,234302
E06000025,South Gloucestershire,ltla,2022-03-24,234284
E06000025,South Gloucestershire,ltla,2022-03-23,234256
E06000025,South Gloucestershire,ltla,2022-03-22,234244
E06000025,South Gloucestershire,ltla,2022-03-21,234230
E06000025,South Gloucestershire,ltla,2022-03-20,234225
E06000025,South Gloucestershire,ltla,2022-03-19,234220
E06000025,South Gloucestershire,ltla,2022-03-18,234197
E06000025,South Gloucestershire,ltla,2022-03-17,234186
E06000025,South Gloucestershire,ltla,2022-03-16,234157
E06000025,South Gloucestershire,ltla,2022-03-15,234137
E06000025,South Gloucestershire,ltla,2022-03-14,234125
E06000025,South Gloucestershire,ltla,2022-03-13,234096
E06000025,South Gloucestershire,ltla,2022-03-12,234093
E06000025,South Gloucestershire,ltla,2022-03-11,234067
E06000025,South Gloucestershire,ltla,2022-03-10,234044
E06000025,South Gloucestershire,ltla,2022-03-09,234025
E06000025,South Gloucestershire,ltla,2022-03-08,234013
E06000025,South Gloucestershire,ltla,2022-03-07,233987
E06000025,South Gloucestershire,ltla,2022-03-06,233972
E06000025,South Gloucestershire,ltla,2022-03-05,233968
E06000025,South Gloucestershire,ltla,2022-03-04,233949
E06000025,South Gloucestershire,ltla,2022-03-03,233923
E06000025,South Gloucestershire,ltla,2022-03-02,233902
E06000025,South Gloucestershire,ltla,2022-03-01,233889
E06000025,South Gloucestershire,ltla,2022-02-28,233872
E06000025,South Gloucestershire,ltla,2022-02-27,233859
E06000025,South Gloucestershire,ltla,2022-02-26,233844
E06000025,South Gloucestershire,ltla,2022-02-25,233823
E06000025,South Gloucestershire,ltla,2022-02-24,233787
E06000025,South Gloucestershire,ltla,2022-02-23,233739
E06000025,South Gloucestershire,ltla,2022-02-22,233686
E06000025,South Gloucestershire,ltla,2022-02-21,233656
E06000025,South Gloucestershire,ltla,2022-02-20,233635
E06000025,South Gloucestershire,ltla,2022-02-19,233605
