areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000189,South Somerset,ltla,2022-08-02,141875
E07000189,South Somerset,ltla,2022-08-01,141869
E07000189,South Somerset,ltla,2022-07-31,141867
E07000189,South Somerset,ltla,2022-07-30,141866
E07000189,South Somerset,ltla,2022-07-29,141860
E07000189,South Somerset,ltla,2022-07-28,141856
E07000189,South Somerset,ltla,2022-07-27,141852
E07000189,South Somerset,ltla,2022-07-26,141847
E07000189,South Somerset,ltla,2022-07-25,141846
E07000189,South Somerset,ltla,2022-07-24,141845
E07000189,South Somerset,ltla,2022-07-23,141837
E07000189,South Somerset,ltla,2022-07-22,141833
E07000189,South Somerset,ltla,2022-07-21,141831
E07000189,South Somerset,ltla,2022-07-20,141829
E07000189,South Somerset,ltla,2022-07-19,141826
E07000189,South Somerset,ltla,2022-07-18,141824
E07000189,South Somerset,ltla,2022-07-17,141822
E07000189,South Somerset,ltla,2022-07-16,141822
E07000189,South Somerset,ltla,2022-07-15,141811
E07000189,South Somerset,ltla,2022-07-14,141811
E07000189,South Somerset,ltla,2022-07-13,141809
E07000189,South Somerset,ltla,2022-07-12,141798
E07000189,South Somerset,ltla,2022-07-11,141795
E07000189,South Somerset,ltla,2022-07-10,141793
E07000189,South Somerset,ltla,2022-07-09,141791
E07000189,South Somerset,ltla,2022-07-08,141791
E07000189,South Somerset,ltla,2022-07-07,141790
E07000189,South Somerset,ltla,2022-07-06,141788
E07000189,South Somerset,ltla,2022-07-05,141784
E07000189,South Somerset,ltla,2022-07-04,141783
E07000189,South Somerset,ltla,2022-07-03,141783
E07000189,South Somerset,ltla,2022-07-02,141783
E07000189,South Somerset,ltla,2022-07-01,141782
E07000189,South Somerset,ltla,2022-06-30,141780
E07000189,South Somerset,ltla,2022-06-29,141778
E07000189,South Somerset,ltla,2022-06-28,141776
E07000189,South Somerset,ltla,2022-06-27,141775
E07000189,South Somerset,ltla,2022-06-26,141775
E07000189,South Somerset,ltla,2022-06-25,141775
E07000189,South Somerset,ltla,2022-06-24,141775
E07000189,South Somerset,ltla,2022-06-23,141771
E07000189,South Somerset,ltla,2022-06-22,141771
E07000189,South Somerset,ltla,2022-06-21,141769
E07000189,South Somerset,ltla,2022-06-20,141769
E07000189,South Somerset,ltla,2022-06-19,141769
E07000189,South Somerset,ltla,2022-06-18,141769
E07000189,South Somerset,ltla,2022-06-17,141764
E07000189,South Somerset,ltla,2022-06-16,141764
E07000189,South Somerset,ltla,2022-06-15,141762
E07000189,South Somerset,ltla,2022-06-14,141751
E07000189,South Somerset,ltla,2022-06-13,141749
E07000189,South Somerset,ltla,2022-06-12,141748
E07000189,South Somerset,ltla,2022-06-11,141748
E07000189,South Somerset,ltla,2022-06-10,141739
E07000189,South Somerset,ltla,2022-06-09,141737
E07000189,South Somerset,ltla,2022-06-08,141735
E07000189,South Somerset,ltla,2022-06-07,141730
