areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E09000028,Southwark,ltla,2022-08-02,234873
E09000028,Southwark,ltla,2022-08-01,234866
E09000028,Southwark,ltla,2022-07-31,234860
E09000028,Southwark,ltla,2022-07-30,234851
E09000028,Southwark,ltla,2022-07-29,234839
E09000028,Southwark,ltla,2022-07-28,234836
E09000028,Southwark,ltla,2022-07-27,234822
E09000028,Southwark,ltla,2022-07-26,234816
E09000028,Southwark,ltla,2022-07-25,234800
E09000028,Southwark,ltla,2022-07-24,234793
E09000028,Southwark,ltla,2022-07-23,234789
E09000028,Southwark,ltla,2022-07-22,234769
E09000028,Southwark,ltla,2022-07-21,234769
E09000028,Southwark,ltla,2022-07-20,234766
E09000028,Southwark,ltla,2022-07-19,234757
E09000028,Southwark,ltla,2022-07-18,234748
E09000028,Southwark,ltla,2022-07-17,234742
E09000028,Southwark,ltla,2022-07-16,234738
E09000028,Southwark,ltla,2022-07-15,234721
E09000028,Southwark,ltla,2022-07-14,234715
E09000028,Southwark,ltla,2022-07-13,234705
E09000028,Southwark,ltla,2022-07-12,234681
E09000028,Southwark,ltla,2022-07-11,234667
E09000028,Southwark,ltla,2022-07-10,234663
E09000028,Southwark,ltla,2022-07-09,234660
E09000028,Southwark,ltla,2022-07-08,234648
E09000028,Southwark,ltla,2022-07-07,234643
E09000028,Southwark,ltla,2022-07-06,234626
E09000028,Southwark,ltla,2022-07-05,234622
E09000028,Southwark,ltla,2022-07-04,234617
E09000028,Southwark,ltla,2022-07-03,234610
E09000028,Southwark,ltla,2022-07-02,234605
E09000028,Southwark,ltla,2022-07-01,234595
E09000028,Southwark,ltla,2022-06-30,234589
E09000028,Southwark,ltla,2022-06-29,234583
E09000028,Southwark,ltla,2022-06-28,234571
E09000028,Southwark,ltla,2022-06-27,234557
E09000028,Southwark,ltla,2022-06-26,234543
E09000028,Southwark,ltla,2022-06-25,234536
E09000028,Southwark,ltla,2022-06-24,234523
E09000028,Southwark,ltla,2022-06-23,234512
E09000028,Southwark,ltla,2022-06-22,234506
E09000028,Southwark,ltla,2022-06-21,234499
E09000028,Southwark,ltla,2022-06-20,234481
E09000028,Southwark,ltla,2022-06-19,234471
E09000028,Southwark,ltla,2022-06-18,234464
E09000028,Southwark,ltla,2022-06-17,234444
E09000028,Southwark,ltla,2022-06-16,234435
E09000028,Southwark,ltla,2022-06-15,234427
E09000028,Southwark,ltla,2022-06-14,234424
E09000028,Southwark,ltla,2022-06-13,234415
E09000028,Southwark,ltla,2022-06-12,234404
E09000028,Southwark,ltla,2022-06-11,234399
E09000028,Southwark,ltla,2022-06-10,234374
E09000028,Southwark,ltla,2022-06-09,234368
E09000028,Southwark,ltla,2022-06-08,234355
E09000028,Southwark,ltla,2022-06-07,234342
E09000028,Southwark,ltla,2022-06-06,234326
E09000028,Southwark,ltla,2022-06-05,234317
E09000028,Southwark,ltla,2022-06-04,234314
E09000028,Southwark,ltla,2022-06-03,234291
E09000028,Southwark,ltla,2022-06-02,234290
E09000028,Southwark,ltla,2022-06-01,234285
E09000028,Southwark,ltla,2022-05-31,234268
E09000028,Southwark,ltla,2022-05-30,234263
E09000028,Southwark,ltla,2022-05-29,234249
E09000028,Southwark,ltla,2022-05-28,234247
E09000028,Southwark,ltla,2022-05-27,234222
E09000028,Southwark,ltla,2022-05-26,234200
E09000028,Southwark,ltla,2022-05-25,234194
E09000028,Southwark,ltla,2022-05-24,234170
E09000028,Southwark,ltla,2022-05-23,234164
E09000028,Southwark,ltla,2022-05-22,234156
E09000028,Southwark,ltla,2022-05-21,234154
E09000028,Southwark,ltla,2022-05-20,234122
E09000028,Southwark,ltla,2022-05-19,234107
E09000028,Southwark,ltla,2022-05-18,234099
E09000028,Southwark,ltla,2022-05-17,234078
E09000028,Southwark,ltla,2022-05-16,234076
E09000028,Southwark,ltla,2022-05-15,234057
E09000028,Southwark,ltla,2022-05-14,234051
E09000028,Southwark,ltla,2022-05-13,234000
E09000028,Southwark,ltla,2022-05-12,233986
E09000028,Southwark,ltla,2022-05-11,233973
E09000028,Southwark,ltla,2022-05-10,233950
E09000028,Southwark,ltla,2022-05-09,233936
E09000028,Southwark,ltla,2022-05-08,233916
E09000028,Southwark,ltla,2022-05-07,233904
E09000028,Southwark,ltla,2022-05-06,233863
E09000028,Southwark,ltla,2022-05-05,233840
E09000028,Southwark,ltla,2022-05-04,233821
E09000028,Southwark,ltla,2022-05-03,233799
E09000028,Southwark,ltla,2022-05-02,233788
E09000028,Southwark,ltla,2022-05-01,233783
E09000028,Southwark,ltla,2022-04-30,233777
E09000028,Southwark,ltla,2022-04-29,233749
E09000028,Southwark,ltla,2022-04-28,233729
E09000028,Southwark,ltla,2022-04-27,233717
E09000028,Southwark,ltla,2022-04-26,233698
