date,areaCode,areaName,PCAresult
2020-12-08,E07000032,Amber Valley,104758.78525474711
2020-12-09,E07000032,Amber Valley,104743.48835475623
2020-12-10,E07000032,Amber Valley,104713.23150123026
2020-12-11,E07000032,Amber Valley,104694.51850487356
2020-12-12,E07000032,Amber Valley,104678.90206434402
2020-12-13,E07000032,Amber Valley,104650.5972658842
2020-12-14,E07000032,Amber Valley,104629.61267392263
2020-12-15,E07000032,Amber Valley,104597.40376533051
2020-12-16,E07000032,Amber Valley,104580.3232835013
2020-12-17,E07000032,Amber Valley,104550.55444374184
2020-12-18,E07000032,Amber Valley,104525.17772788132
2020-12-19,E07000032,Amber Valley,104327.0441386628
2020-12-20,E07000032,Amber Valley,104112.8060951482
2020-12-21,E07000032,Amber Valley,104085.96533798805
2020-12-22,E07000032,Amber Valley,104064.0047184934
2020-12-23,E07000032,Amber Valley,104041.55608523221
2020-12-24,E07000032,Amber Valley,104032.28382366778
2020-12-25,E07000032,Amber Valley,104032.28382366778
2020-12-26,E07000032,Amber Valley,104032.28382366778
2020-12-27,E07000032,Amber Valley,104027.89169976882
2020-12-28,E07000032,Amber Valley,104023.49957586992
2020-12-29,E07000032,Amber Valley,103959.8545011566
2020-12-30,E07000032,Amber Valley,103906.59137693456
2020-12-31,E07000032,Amber Valley,103794.74919480973
2021-01-01,E07000032,Amber Valley,103785.96494701183
2021-01-02,E07000032,Amber Valley,103752.78001088658
2021-01-03,E07000032,Amber Valley,103743.99576308874
2021-01-04,E07000032,Amber Valley,103695.9907688534
2021-01-05,E07000032,Amber Valley,103661.45246096232
2021-01-06,E07000032,Amber Valley,103602.22315009641
2021-01-07,E07000032,Amber Valley,103292.54951337463
2021-01-08,E07000032,Amber Valley,102909.7260294218
2021-01-09,E07000032,Amber Valley,102585.02840143946
2021-01-10,E07000032,Amber Valley,102232.31070370182
2021-01-11,E07000032,Amber Valley,102118.60349609613
2021-01-12,E07000032,Amber Valley,101988.13534719989
2021-01-13,E07000032,Amber Valley,101612.51581426863
2021-01-14,E07000032,Amber Valley,101242.11336545863
2021-01-15,E07000032,Amber Valley,101078.7798209758
2021-01-16,E07000032,Amber Valley,100774.41029796061
2021-01-17,E07000032,Amber Valley,100456.05684894336
2021-01-18,E07000032,Amber Valley,100331.12532470703
2021-01-19,E07000032,Amber Valley,100244.25887426149
2021-01-20,E07000032,Amber Valley,100078.33419363512
2021-01-21,E07000032,Amber Valley,99791.87011267137
2021-01-22,E07000032,Amber Valley,99643.51392764076
2021-01-23,E07000032,Amber Valley,99303.85634612328
2021-01-24,E07000032,Amber Valley,98995.91965943137
2021-01-25,E07000032,Amber Valley,98873.91621779435
2021-01-26,E07000032,Amber Valley,98716.77578496588
2021-01-27,E07000032,Amber Valley,98509.36993418296
2021-01-28,E07000032,Amber Valley,98150.19180200354
2021-01-29,E07000032,Amber Valley,97533.3424010867
2021-01-30,E07000032,Amber Valley,96737.8799616133
2021-01-31,E07000032,Amber Valley,96203.8244277818
2021-02-01,E07000032,Amber Valley,95963.55318141227
2021-02-02,E07000032,Amber Valley,95422.3459143104
2021-02-03,E07000032,Amber Valley,94567.83380908462
2021-02-04,E07000032,Amber Valley,93923.48716401326
2021-02-05,E07000032,Amber Valley,93081.49494348992
2021-02-06,E07000032,Amber Valley,92352.89039003356
2021-02-07,E07000032,Amber Valley,91544.7395926299
2021-02-08,E07000032,Amber Valley,91276.16354780056
2021-02-09,E07000032,Amber Valley,90983.67482841037
2021-02-10,E07000032,Amber Valley,90689.234053954
2021-02-11,E07000032,Amber Valley,89809.34523286775
2021-02-12,E07000032,Amber Valley,89652.52434057793
2021-02-13,E07000032,Amber Valley,89105.94892204404
2021-02-14,E07000032,Amber Valley,88917.89514869514
2021-02-15,E07000032,Amber Valley,88869.56437988981
2021-02-16,E07000032,Amber Valley,88786.43356634873
2021-02-17,E07000032,Amber Valley,88042.02669321794
2021-02-18,E07000032,Amber Valley,87414.70831222451
2021-02-19,E07000032,Amber Valley,87117.33945516884
2021-02-20,E07000032,Amber Valley,86915.23213214964
2021-02-21,E07000032,Amber Valley,86769.26379820054
2021-02-22,E07000032,Amber Valley,86702.37110034932
2021-02-23,E07000032,Amber Valley,86363.78839592451
2021-02-24,E07000032,Amber Valley,86026.785988276
2021-02-25,E07000032,Amber Valley,85495.38562831348
2021-02-26,E07000032,Amber Valley,84801.36042861379
2021-02-27,E07000032,Amber Valley,84079.85539067657
2021-02-28,E07000032,Amber Valley,83814.49215715106
2021-03-01,E07000032,Amber Valley,83737.11307330616
2021-03-02,E07000032,Amber Valley,83286.2717409238
2021-03-03,E07000032,Amber Valley,82914.40160913687
2021-03-04,E07000032,Amber Valley,82473.51266526179
2021-03-05,E07000032,Amber Valley,81766.00960733222
2021-03-06,E07000032,Amber Valley,81110.28199237661
2021-03-07,E07000032,Amber Valley,80873.65376738334
2021-03-08,E07000032,Amber Valley,80710.05913414444
2021-03-09,E07000032,Amber Valley,80539.12688849024
2021-03-10,E07000032,Amber Valley,80303.050714989
2021-03-11,E07000032,Amber Valley,80155.10733411378
2021-03-12,E07000032,Amber Valley,79582.44649497376
2021-03-13,E07000032,Amber Valley,79074.16866118394
2021-03-14,E07000032,Amber Valley,78411.07420792173
2021-03-15,E07000032,Amber Valley,78250.31439366537
2021-03-16,E07000032,Amber Valley,77741.4963283578
2021-03-17,E07000032,Amber Valley,76304.22187243954
2021-03-18,E07000032,Amber Valley,75436.09330973586
