date,areaCode,areaName,PCAresult
2020-12-08,E07000224,Arun,134539.42822123625
2020-12-09,E07000224,Arun,134535.4466060411
2020-12-10,E07000224,Arun,134530.035501956
2020-12-11,E07000224,Arun,134525.27053898925
2020-12-12,E07000224,Arun,134520.98207231922
2020-12-13,E07000224,Arun,134519.07608713256
2020-12-14,E07000224,Arun,134512.4051389791
2020-12-15,E07000224,Arun,134374.22121294404
2020-12-16,E07000224,Arun,134233.17830912894
2020-12-17,E07000224,Arun,134081.17599049048
2020-12-18,E07000224,Arun,134067.8340941836
2020-12-19,E07000224,Arun,134059.7336571402
2020-12-20,E07000224,Arun,134054.9686941735
2020-12-21,E07000224,Arun,134043.53278305335
2020-12-22,E07000224,Arun,134021.61395340646
2020-12-23,E07000224,Arun,133983.4942496726
2020-12-24,E07000224,Arun,133946.32753853212
2020-12-25,E07000224,Arun,133946.32753853212
2020-12-26,E07000224,Arun,133945.3745459388
2020-12-27,E07000224,Arun,133932.03264963196
2020-12-28,E07000224,Arun,133927.2676866652
2020-12-29,E07000224,Arun,133889.59204105966
2020-12-30,E07000224,Arun,133812.84369912688
2020-12-31,E07000224,Arun,133761.48686757107
2021-01-01,E07000224,Arun,133752.4334379343
2021-01-02,E07000224,Arun,133739.88234337847
2021-01-03,E07000224,Arun,133696.76315551926
2021-01-04,E07000224,Arun,133630.29564912315
2021-01-05,E07000224,Arun,133377.38530302988
2021-01-06,E07000224,Arun,133064.9203738319
2021-01-07,E07000224,Arun,132512.76027719793
2021-01-08,E07000224,Arun,132181.50549048453
2021-01-09,E07000224,Arun,131734.7290630068
2021-01-10,E07000224,Arun,131677.82392071254
2021-01-11,E07000224,Arun,131499.8238427266
2021-01-12,E07000224,Arun,131119.68456646663
2021-01-13,E07000224,Arun,130478.32055114544
2021-01-14,E07000224,Arun,129697.8196171958
2021-01-15,E07000224,Arun,128819.94379390324
2021-01-16,E07000224,Arun,128402.05654172142
2021-01-17,E07000224,Arun,128165.06823745345
2021-01-18,E07000224,Arun,127909.97307391194
2021-01-19,E07000224,Arun,127269.08555488734
2021-01-20,E07000224,Arun,126536.71074690163
2021-01-21,E07000224,Arun,125766.21623518216
2021-01-22,E07000224,Arun,124813.22364183704
2021-01-23,E07000224,Arun,124130.71130018024
2021-01-24,E07000224,Arun,123902.77642554905
2021-01-25,E07000224,Arun,123236.63460280086
2021-01-26,E07000224,Arun,122432.30885401755
2021-01-27,E07000224,Arun,121601.77580891734
2021-01-28,E07000224,Arun,120988.04857880305
2021-01-29,E07000224,Arun,120237.56691154382
2021-01-30,E07000224,Arun,119563.15500693044
2021-01-31,E07000224,Arun,119208.1652659094
2021-02-01,E07000224,Arun,118880.47302045196
2021-02-02,E07000224,Arun,118326.61467889676
2021-02-03,E07000224,Arun,117595.56716157297
2021-02-04,E07000224,Arun,116849.03467134033
2021-02-05,E07000224,Arun,115974.97081842119
2021-02-06,E07000224,Arun,115221.4605285602
2021-02-07,E07000224,Arun,114571.51957989881
2021-02-08,E07000224,Arun,114049.10999392401
2021-02-09,E07000224,Arun,113449.67765270993
2021-02-10,E07000224,Arun,112970.15273343565
2021-02-11,E07000224,Arun,112342.67944103424
2021-02-12,E07000224,Arun,111770.85144685867
2021-02-13,E07000224,Arun,111098.99166855038
2021-02-14,E07000224,Arun,110778.78615718645
2021-02-15,E07000224,Arun,110198.07437819584
2021-02-16,E07000224,Arun,109426.45722906131
