date,areaCode,areaName,PCAresult
2020-12-08,E09000002,Barking and Dagenham,126658.27127433248
2020-12-09,E09000002,Barking and Dagenham,126658.27127433248
2020-12-10,E09000002,Barking and Dagenham,126656.45018335634
2020-12-11,E09000002,Barking and Dagenham,126655.23612270568
2020-12-12,E09000002,Barking and Dagenham,126650.9869104282
2020-12-13,E09000002,Barking and Dagenham,126650.9869104282
2020-12-14,E09000002,Barking and Dagenham,126650.9869104282
2020-12-15,E09000002,Barking and Dagenham,126540.50739121373
2020-12-16,E09000002,Barking and Dagenham,126222.42350072807
2020-12-17,E09000002,Barking and Dagenham,125876.41621527613
2020-12-18,E09000002,Barking and Dagenham,125775.04215094195
2020-12-19,E09000002,Barking and Dagenham,125759.86639280806
2020-12-20,E09000002,Barking and Dagenham,125739.22736174606
2020-12-21,E09000002,Barking and Dagenham,125705.23366352619
2020-12-22,E09000002,Barking and Dagenham,125674.27511693313
2020-12-23,E09000002,Barking and Dagenham,125630.5689335076
2020-12-24,E09000002,Barking and Dagenham,125608.71584179484
2020-12-25,E09000002,Barking and Dagenham,125608.71584179484
2020-12-26,E09000002,Barking and Dagenham,125599.0033565892
2020-12-27,E09000002,Barking and Dagenham,125581.39947715394
2020-12-28,E09000002,Barking and Dagenham,125579.57838617788
2020-12-29,E09000002,Barking and Dagenham,125480.02541281973
2020-12-30,E09000002,Barking and Dagenham,125309.97135033007
2020-12-31,E09000002,Barking and Dagenham,125122.3134084051
2021-01-01,E09000002,Barking and Dagenham,125116.2431051516
2021-01-02,E09000002,Barking and Dagenham,125100.11803113039
2021-01-03,E09000002,Barking and Dagenham,125098.21136876385
2021-01-04,E09000002,Barking and Dagenham,125055.02664427324
2021-01-05,E09000002,Barking and Dagenham,124796.60036810349
2021-01-06,E09000002,Barking and Dagenham,124329.8721182472
2021-01-07,E09000002,Barking and Dagenham,123811.79773943637
2021-01-08,E09000002,Barking and Dagenham,123561.3323677028
2021-01-09,E09000002,Barking and Dagenham,123488.15447369027
2021-01-10,E09000002,Barking and Dagenham,123445.2344939631
2021-01-11,E09000002,Barking and Dagenham,123292.37251514016
2021-01-12,E09000002,Barking and Dagenham,123136.38178270805
2021-01-13,E09000002,Barking and Dagenham,122912.40365383626
2021-01-14,E09000002,Barking and Dagenham,122592.08687660606
2021-01-15,E09000002,Barking and Dagenham,122243.13804150975
2021-01-16,E09000002,Barking and Dagenham,121991.57077264164
2021-01-17,E09000002,Barking and Dagenham,121651.02676011785
2021-01-18,E09000002,Barking and Dagenham,121494.32736478598
2021-01-19,E09000002,Barking and Dagenham,121071.74868694895
2021-01-20,E09000002,Barking and Dagenham,120592.02358713804
2021-01-21,E09000002,Barking and Dagenham,120047.78213005865
2021-01-22,E09000002,Barking and Dagenham,119409.01508500498
2021-01-23,E09000002,Barking and Dagenham,119128.56707469127
2021-01-24,E09000002,Barking and Dagenham,119009.58913092186
2021-01-25,E09000002,Barking and Dagenham,118607.73505553733
2021-01-26,E09000002,Barking and Dagenham,118023.07928083064
2021-01-27,E09000002,Barking and Dagenham,117447.00750206943
2021-01-28,E09000002,Barking and Dagenham,116838.85671804685
2021-01-29,E09000002,Barking and Dagenham,115892.32529803856
2021-01-30,E09000002,Barking and Dagenham,115371.594911459
2021-01-31,E09000002,Barking and Dagenham,115183.76582675311
2021-02-01,E09000002,Barking and Dagenham,115040.33552718848
