date,areaCode,areaName,PCAresult
2020-12-08,E06000056,Central Bedfordshire,228765.62457904176
2020-12-09,E06000056,Central Bedfordshire,228754.7815144119
2020-12-10,E06000056,Central Bedfordshire,228740.32409490546
2020-12-11,E06000056,Central Bedfordshire,228727.4156846317
2020-12-12,E06000056,Central Bedfordshire,228713.47460153626
2020-12-13,E06000056,Central Bedfordshire,228698.50084561878
2020-12-14,E06000056,Central Bedfordshire,228679.39639841378
2020-12-15,E06000056,Central Bedfordshire,228393.8623631609
2020-12-16,E06000056,Central Bedfordshire,227967.36848771985
2020-12-17,E06000056,Central Bedfordshire,227740.18046690372
2020-12-18,E06000056,Central Bedfordshire,227678.7364340012
2020-12-19,E06000056,Central Bedfordshire,227627.10279290657
2020-12-20,E06000056,Central Bedfordshire,227570.8221241135
2020-12-21,E06000056,Central Bedfordshire,227521.7701650737
2020-12-22,E06000056,Central Bedfordshire,227461.35880499304
2020-12-23,E06000056,Central Bedfordshire,227408.69249107657
2020-12-24,E06000056,Central Bedfordshire,227390.62071669352
2020-12-25,E06000056,Central Bedfordshire,227390.62071669352
2020-12-26,E06000056,Central Bedfordshire,227390.1043802825
2020-12-27,E06000056,Central Bedfordshire,227389.07170746065
2020-12-28,E06000056,Central Bedfordshire,227388.03903463876
2020-12-29,E06000056,Central Bedfordshire,227346.2157853522
2020-12-30,E06000056,Central Bedfordshire,227290.90298755516
2020-12-31,E06000056,Central Bedfordshire,227240.7535538675
2021-01-01,E06000056,Central Bedfordshire,227235.59018975805
2021-01-02,E06000056,Central Bedfordshire,227222.9075467771
2021-01-03,E06000056,Central Bedfordshire,227215.75931975714
2021-01-04,E06000056,Central Bedfordshire,227173.80646681887
2021-01-05,E06000056,Central Bedfordshire,226697.88240123988
2021-01-06,E06000056,Central Bedfordshire,226092.62655013712
2021-01-07,E06000056,Central Bedfordshire,225498.9139256955
2021-01-08,E06000056,Central Bedfordshire,225202.259859406
2021-01-09,E06000056,Central Bedfordshire,224995.99810504282
2021-01-10,E06000056,Central Bedfordshire,224844.85474299922
2021-01-11,E06000056,Central Bedfordshire,224609.27573595624
2021-01-12,E06000056,Central Bedfordshire,224329.0012284536
2021-01-13,E06000056,Central Bedfordshire,224021.19992570413
2021-01-14,E06000056,Central Bedfordshire,223406.6143121196
2021-01-15,E06000056,Central Bedfordshire,222723.29115405356
2021-01-16,E06000056,Central Bedfordshire,221953.3039616819
2021-01-17,E06000056,Central Bedfordshire,221374.8618968636
2021-01-18,E06000056,Central Bedfordshire,220982.4462245449
2021-01-19,E06000056,Central Bedfordshire,220216.71932711237
2021-01-20,E06000056,Central Bedfordshire,219353.77589986316
2021-01-21,E06000056,Central Bedfordshire,217457.12697790048
2021-01-22,E06000056,Central Bedfordshire,215875.44326661478
2021-01-23,E06000056,Central Bedfordshire,214908.3451689135
2021-01-24,E06000056,Central Bedfordshire,214482.36762988335
2021-01-25,E06000056,Central Bedfordshire,213987.94311549
2021-01-26,E06000056,Central Bedfordshire,213536.8908596161
2021-01-27,E06000056,Central Bedfordshire,213031.2522287411
2021-01-28,E06000056,Central Bedfordshire,212248.34094518828
2021-01-29,E06000056,Central Bedfordshire,211178.20133259046
2021-01-30,E06000056,Central Bedfordshire,210213.39434782567
2021-01-31,E06000056,Central Bedfordshire,209692.26562462226
2021-02-01,E06000056,Central Bedfordshire,209145.48104633827
2021-02-02,E06000056,Central Bedfordshire,208723.13354309226
2021-02-03,E06000056,Central Bedfordshire,208244.95690563825
2021-02-04,E06000056,Central Bedfordshire,207351.27474193225
2021-02-05,E06000056,Central Bedfordshire,205824.04780199585
2021-02-06,E06000056,Central Bedfordshire,204210.15682775393
2021-02-07,E06000056,Central Bedfordshire,203748.40679180934
2021-02-08,E06000056,Central Bedfordshire,203296.28842310281
2021-02-09,E06000056,Central Bedfordshire,202136.46724046711
2021-02-10,E06000056,Central Bedfordshire,201311.18293120587
2021-02-11,E06000056,Central Bedfordshire,200295.61193450587
2021-02-12,E06000056,Central Bedfordshire,199046.78648371
2021-02-13,E06000056,Central Bedfordshire,198259.38913792546
2021-02-14,E06000056,Central Bedfordshire,197694.08125067328
2021-02-15,E06000056,Central Bedfordshire,197318.55939535663
2021-02-16,E06000056,Central Bedfordshire,196697.72862392245
2021-02-17,E06000056,Central Bedfordshire,195394.14015175131
2021-02-18,E06000056,Central Bedfordshire,194128.92153945702
2021-02-19,E06000056,Central Bedfordshire,193153.7543864624
2021-02-20,E06000056,Central Bedfordshire,192456.0386107156
2021-02-21,E06000056,Central Bedfordshire,192226.26890784482
2021-02-22,E06000056,Central Bedfordshire,191864.79998017199
2021-02-23,E06000056,Central Bedfordshire,191404.70871981286
2021-02-24,E06000056,Central Bedfordshire,190163.06077965614
2021-02-25,E06000056,Central Bedfordshire,188653.8052940704
2021-02-26,E06000056,Central Bedfordshire,186909.4871378527
2021-02-27,E06000056,Central Bedfordshire,186592.33850239636
2021-02-28,E06000056,Central Bedfordshire,186317.69249629992
2021-03-01,E06000056,Central Bedfordshire,185947.0288886037
2021-03-02,E06000056,Central Bedfordshire,185375.50947239075
2021-03-03,E06000056,Central Bedfordshire,184466.9321461829
2021-03-04,E06000056,Central Bedfordshire,182990.70027540272
2021-03-05,E06000056,Central Bedfordshire,181088.44590106574
2021-03-06,E06000056,Central Bedfordshire,180463.86909290747
2021-03-07,E06000056,Central Bedfordshire,180104.97976909357
2021-03-08,E06000056,Central Bedfordshire,179611.29320201208
2021-03-09,E06000056,Central Bedfordshire,179185.45471295374
2021-03-10,E06000056,Central Bedfordshire,178378.96028808845
2021-03-11,E06000056,Central Bedfordshire,177804.51099812274
2021-03-12,E06000056,Central Bedfordshire,176961.97126632798
2021-03-13,E06000056,Central Bedfordshire,175807.2915323069
2021-03-14,E06000056,Central Bedfordshire,175028.47542183506
2021-03-15,E06000056,Central Bedfordshire,173506.0168004657
2021-03-16,E06000056,Central Bedfordshire,172081.6913807952
2021-03-17,E06000056,Central Bedfordshire,170600.68080046907
2021-03-18,E06000056,Central Bedfordshire,168745.42456404405
2021-03-19,E06000056,Central Bedfordshire,166891.1048368
2021-03-20,E06000056,Central Bedfordshire,164386.63916363785
2021-03-21,E06000056,Central Bedfordshire,163053.69376418882
2021-03-22,E06000056,Central Bedfordshire,161286.13121203653
2021-03-23,E06000056,Central Bedfordshire,159500.59626087468
2021-03-24,E06000056,Central Bedfordshire,158029.44538215286
2021-03-25,E06000056,Central Bedfordshire,156645.7423942341
2021-03-26,E06000056,Central Bedfordshire,154897.0972519336
2021-03-27,E06000056,Central Bedfordshire,153271.95059729408
2021-03-28,E06000056,Central Bedfordshire,152416.067735085
2021-03-29,E06000056,Central Bedfordshire,151565.88025430375
2021-03-30,E06000056,Central Bedfordshire,150068.60139283634
2021-03-31,E06000056,Central Bedfordshire,149213.8598258599
2021-04-01,E06000056,Central Bedfordshire,148038.47392472514
2021-04-02,E06000056,Central Bedfordshire,146972.57533640164
2021-04-03,E06000056,Central Bedfordshire,146267.4859440985
2021-04-04,E06000056,Central Bedfordshire,146035.08033720413
2021-04-05,E06000056,Central Bedfordshire,145759.83241091302
2021-04-06,E06000056,Central Bedfordshire,145208.46485097558
2021-04-07,E06000056,Central Bedfordshire,143987.84311927948
2021-04-08,E06000056,Central Bedfordshire,142569.05910566976
2021-04-09,E06000056,Central Bedfordshire,141177.0879336857
2021-04-10,E06000056,Central Bedfordshire,139414.89750934415
2021-04-11,E06000056,Central Bedfordshire,138762.12113820907
2021-04-12,E06000056,Central Bedfordshire,138215.23756230762
2021-04-13,E06000056,Central Bedfordshire,137017.2739872589
2021-04-14,E06000056,Central Bedfordshire,136040.08267451168
2021-04-15,E06000056,Central Bedfordshire,134922.66531249665
2021-04-16,E06000056,Central Bedfordshire,133379.33124576372
2021-04-17,E06000056,Central Bedfordshire,132435.62962977786
2021-04-18,E06000056,Central Bedfordshire,131848.29611210732
2021-04-19,E06000056,Central Bedfordshire,130906.29407984199
2021-04-20,E06000056,Central Bedfordshire,130011.21178095107
2021-04-21,E06000056,Central Bedfordshire,128962.50589153114
2021-04-22,E06000056,Central Bedfordshire,127219.04149441858
2021-04-23,E06000056,Central Bedfordshire,125707.37530519905
2021-04-24,E06000056,Central Bedfordshire,123562.58167854266
2021-04-25,E06000056,Central Bedfordshire,122875.35491889641
2021-04-26,E06000056,Central Bedfordshire,121437.42772814234
2021-04-27,E06000056,Central Bedfordshire,120165.56418916142
2021-04-28,E06000056,Central Bedfordshire,118785.73929757036
2021-04-29,E06000056,Central Bedfordshire,117161.52517419348
2021-04-30,E06000056,Central Bedfordshire,115645.81085461554
2021-05-01,E06000056,Central Bedfordshire,114423.81128125428
2021-05-02,E06000056,Central Bedfordshire,113539.37121805025
2021-05-03,E06000056,Central Bedfordshire,112904.2285005468
2021-05-04,E06000056,Central Bedfordshire,111740.60422524164
2021-05-05,E06000056,Central Bedfordshire,110159.3299177222
2021-05-06,E06000056,Central Bedfordshire,108612.84322239387
2021-05-07,E06000056,Central Bedfordshire,105618.42700538269
