date,areaCode,areaName,PCAresult
2020-12-08,E09000008,Croydon,261890.956643143
2020-12-09,E09000008,Croydon,261820.63061562358
2020-12-10,E09000008,Croydon,261738.4898154809
2020-12-11,E09000008,Croydon,261642.28380983433
2020-12-12,E09000008,Croydon,261624.8429550095
2020-12-13,E09000008,Croydon,261623.1551303491
2020-12-14,E09000008,Croydon,261523.46115413625
2020-12-15,E09000008,Croydon,261399.1247374818
2020-12-16,E09000008,Croydon,261125.1345342661
2020-12-17,E09000008,Croydon,260860.70867079316
2020-12-18,E09000008,Croydon,260608.66018816343
2020-12-19,E09000008,Croydon,260558.02544834954
2020-12-20,E09000008,Croydon,260421.31165085183
2020-12-21,E09000008,Croydon,260306.53957394004
2020-12-22,E09000008,Croydon,260022.98503098177
2020-12-23,E09000008,Croydon,259815.94520596453
2020-12-24,E09000008,Croydon,259660.66533720173
2020-12-25,E09000008,Croydon,259660.66533720173
2020-12-26,E09000008,Croydon,259657.2896878807
2020-12-27,E09000008,Croydon,259649.9757810187
2020-12-28,E09000008,Croydon,259572.98363014281
2020-12-29,E09000008,Croydon,259232.28071713453
2020-12-30,E09000008,Croydon,258830.59047186532
2020-12-31,E09000008,Croydon,258527.58431359453
2021-01-01,E09000008,Croydon,258505.64259300852
2021-01-02,E09000008,Croydon,258482.5766579756
2021-01-03,E09000008,Croydon,258466.82462980482
2021-01-04,E09000008,Croydon,258280.74569397012
2021-01-05,E09000008,Croydon,257923.30491141995
2021-01-06,E09000008,Croydon,257322.97679270184
2021-01-07,E09000008,Croydon,256542.9650351787
2021-01-08,E09000008,Croydon,255775.7829494608
2021-01-09,E09000008,Croydon,255287.3407210294
2021-01-10,E09000008,Croydon,254857.63338799129
2021-01-11,E09000008,Croydon,254459.34283988675
2021-01-12,E09000008,Croydon,254095.029419508
2021-01-13,E09000008,Croydon,253297.37731248172
2021-01-14,E09000008,Croydon,252267.4763238027
2021-01-15,E09000008,Croydon,251093.76726328718
2021-01-16,E09000008,Croydon,250228.59014592046
2021-01-17,E09000008,Croydon,249890.68825009122
2021-01-18,E09000008,Croydon,249540.1883389018
2021-01-19,E09000008,Croydon,248299.4336128316
2021-01-20,E09000008,Croydon,247189.21100779192
2021-01-21,E09000008,Croydon,245902.53803221823
2021-01-22,E09000008,Croydon,244647.8123860068
2021-01-23,E09000008,Croydon,243746.96831226663
2021-01-24,E09000008,Croydon,243305.9977928971
2021-01-25,E09000008,Croydon,242857.0374352065
2021-01-26,E09000008,Croydon,242192.2611654605
2021-01-27,E09000008,Croydon,241498.2292682664
2021-01-28,E09000008,Croydon,240225.2755165193
2021-01-29,E09000008,Croydon,238719.0629939049
2021-01-30,E09000008,Croydon,237748.7914626079
2021-01-31,E09000008,Croydon,237101.5703729189
2021-02-01,E09000008,Croydon,236232.3446807529
2021-02-02,E09000008,Croydon,235432.6557614084
2021-02-03,E09000008,Croydon,234488.94114169094
2021-02-04,E09000008,Croydon,233469.6163859561
2021-02-05,E09000008,Croydon,231969.59656173733
2021-02-06,E09000008,Croydon,231294.694346022
2021-02-07,E09000008,Croydon,230925.51203434815
2021-02-08,E09000008,Croydon,230302.03180915766
2021-02-09,E09000008,Croydon,229087.03772601485
2021-02-10,E09000008,Croydon,228050.73943631913
2021-02-11,E09000008,Croydon,226547.1223262693
2021-02-12,E09000008,Croydon,225434.59508856488
2021-02-13,E09000008,Croydon,224702.64279613626
2021-02-14,E09000008,Croydon,224225.66434868323
2021-02-15,E09000008,Croydon,223216.2348844661
2021-02-16,E09000008,Croydon,221637.78987914204
2021-02-17,E09000008,Croydon,220015.47245457413
2021-02-18,E09000008,Croydon,218378.9935351528
2021-02-19,E09000008,Croydon,217113.71069387347
2021-02-20,E09000008,Croydon,216083.89788646012
2021-02-21,E09000008,Croydon,215815.08548245818
2021-02-22,E09000008,Croydon,215245.16836540823
2021-02-23,E09000008,Croydon,213970.2098651343
2021-02-24,E09000008,Croydon,212390.31470355566
2021-02-25,E09000008,Croydon,210349.668459507
2021-02-26,E09000008,Croydon,208851.92912797336
2021-02-27,E09000008,Croydon,208044.0447656933
2021-02-28,E09000008,Croydon,207849.0453577836
2021-03-01,E09000008,Croydon,207136.46843118747
2021-03-02,E09000008,Croydon,205694.6539599269
2021-03-03,E09000008,Croydon,204049.16920887312
2021-03-04,E09000008,Croydon,202355.42158220868
2021-03-05,E09000008,Croydon,201058.87535897395
2021-03-06,E09000008,Croydon,200510.56800874145
2021-03-07,E09000008,Croydon,200098.8571247939
2021-03-08,E09000008,Croydon,199398.6706049564
2021-03-09,E09000008,Croydon,198423.4658646702
2021-03-10,E09000008,Croydon,197393.940917473
2021-03-11,E09000008,Croydon,196567.6287648678
2021-03-12,E09000008,Croydon,195539.94704929614
2021-03-13,E09000008,Croydon,194724.4539001444
2021-03-14,E09000008,Croydon,193855.4578604363
2021-03-15,E09000008,Croydon,192502.31886141739
2021-03-16,E09000008,Croydon,190538.52120092945
2021-03-17,E09000008,Croydon,188483.8878147325
2021-03-18,E09000008,Croydon,186552.11372724726
2021-03-19,E09000008,Croydon,184631.6880935148
2021-03-20,E09000008,Croydon,183127.52641112747
2021-03-21,E09000008,Croydon,182251.44411302844
2021-03-22,E09000008,Croydon,181057.90629574974
2021-03-23,E09000008,Croydon,179559.39145517995
2021-03-24,E09000008,Croydon,177633.96227696378
2021-03-25,E09000008,Croydon,176004.2465821309
2021-03-26,E09000008,Croydon,174085.55286077212
2021-03-27,E09000008,Croydon,172992.45218270386
2021-03-28,E09000008,Croydon,172452.02735951438
2021-03-29,E09000008,Croydon,171179.98300370778
2021-03-30,E09000008,Croydon,169535.76355807073
2021-03-31,E09000008,Croydon,167361.12489218108
2021-04-01,E09000008,Croydon,165031.83809745967
2021-04-02,E09000008,Croydon,164084.76466636008
2021-04-03,E09000008,Croydon,163576.8476787907
2021-04-04,E09000008,Croydon,163448.69634776894
2021-04-05,E09000008,Croydon,163338.4401665207
2021-04-06,E09000008,Croydon,162532.9655540851
2021-04-07,E09000008,Croydon,160843.96099335758
2021-04-08,E09000008,Croydon,158961.32300184364
2021-04-09,E09000008,Croydon,157066.49711006903
2021-04-10,E09000008,Croydon,155016.1326334232
2021-04-11,E09000008,Croydon,154350.61109871735
2021-04-12,E09000008,Croydon,153486.78264233758
2021-04-13,E09000008,Croydon,152394.14508120893
2021-04-14,E09000008,Croydon,150698.35524619705
2021-04-15,E09000008,Croydon,148504.94089061453
2021-04-16,E09000008,Croydon,146832.00747018305
2021-04-17,E09000008,Croydon,145844.4613228435
2021-04-18,E09000008,Croydon,145187.12320715134
2021-04-19,E09000008,Croydon,143927.36996277337
2021-04-20,E09000008,Croydon,142424.30214110258
2021-04-21,E09000008,Croydon,140219.82719782265
2021-04-22,E09000008,Croydon,137894.92895345646
2021-04-23,E09000008,Croydon,135870.9909508049
2021-04-24,E09000008,Croydon,134810.18630750946
2021-04-25,E09000008,Croydon,134097.432557702
2021-04-26,E09000008,Croydon,133175.31047496243
2021-04-27,E09000008,Croydon,131454.208280011
2021-04-28,E09000008,Croydon,129709.813595685
2021-04-29,E09000008,Croydon,127569.66957019547
2021-04-30,E09000008,Croydon,125272.27800117516
2021-05-01,E09000008,Croydon,124392.16206020367
2021-05-02,E09000008,Croydon,123953.71270790562
2021-05-03,E09000008,Croydon,123509.00943763426
2021-05-04,E09000008,Croydon,121873.520073632
2021-05-05,E09000008,Croydon,120282.91802805547
2021-05-06,E09000008,Croydon,117789.58730145462
2021-05-07,E09000008,Croydon,115273.79624746414
2021-05-08,E09000008,Croydon,113786.57164121052
2021-05-09,E09000008,Croydon,113370.67671739284
2021-05-10,E09000008,Croydon,112625.38114464414
2021-05-11,E09000008,Croydon,110760.34662482503
2021-05-12,E09000008,Croydon,109056.84488974864
2021-05-13,E09000008,Croydon,106980.902426915
2021-05-14,E09000008,Croydon,104494.79843374317
2021-05-15,E09000008,Croydon,103752.34696973256
2021-05-16,E09000008,Croydon,103229.28665975208
2021-05-17,E09000008,Croydon,101713.39098599114
2021-05-18,E09000008,Croydon,100298.87930136237
2021-05-19,E09000008,Croydon,98801.58705487258
2021-05-20,E09000008,Croydon,96293.82219321564
2021-05-21,E09000008,Croydon,93284.31591635986
2021-05-22,E09000008,Croydon,91868.887723861
2021-05-23,E09000008,Croydon,90728.73546592589
2021-05-24,E09000008,Croydon,89163.04358900129
2021-05-25,E09000008,Croydon,87348.42909430436
2021-05-26,E09000008,Croydon,85437.68174532441
2021-05-27,E09000008,Croydon,83393.07791193257
2021-05-28,E09000008,Croydon,80908.28460780997
2021-05-29,E09000008,Croydon,79549.02495595095
2021-05-30,E09000008,Croydon,78438.60757811384
2021-05-31,E09000008,Croydon,77651.42320064908
2021-06-01,E09000008,Croydon,76448.60069778474
2021-06-02,E09000008,Croydon,74708.6748154285
2021-06-03,E09000008,Croydon,72853.73608379893
2021-06-04,E09000008,Croydon,70461.8904672147
2021-06-05,E09000008,Croydon,68917.96185806098
2021-06-06,E09000008,Croydon,67983.19266228056
2021-06-07,E09000008,Croydon,66744.79038231503
2021-06-08,E09000008,Croydon,65429.01188820457
2021-06-09,E09000008,Croydon,63796.73165249389
2021-06-10,E09000008,Croydon,62173.63880518648
2021-06-11,E09000008,Croydon,60434.40389003079
2021-06-12,E09000008,Croydon,59097.927415092
2021-06-13,E09000008,Croydon,58004.43546968914
2021-06-14,E09000008,Croydon,56761.90244561925
2021-06-15,E09000008,Croydon,55641.71612541845
2021-06-16,E09000008,Croydon,54134.27379297982
2021-06-17,E09000008,Croydon,52568.962069325586
2021-06-18,E09000008,Croydon,50755.97127754555
2021-06-19,E09000008,Croydon,49338.636543559835
2021-06-20,E09000008,Croydon,48232.74727541916
2021-06-21,E09000008,Croydon,47157.06722219487
2021-06-22,E09000008,Croydon,45828.32068904263
2021-06-23,E09000008,Croydon,44448.40896378363
2021-06-24,E09000008,Croydon,43282.78183285352
2021-06-25,E09000008,Croydon,41939.723407850106
2021-06-26,E09000008,Croydon,40817.800257444134
2021-06-27,E09000008,Croydon,39923.431542236984
2021-06-28,E09000008,Croydon,39070.18934457552
2021-06-29,E09000008,Croydon,38219.7692059562
2021-06-30,E09000008,Croydon,37006.10474592424
2021-07-01,E09000008,Croydon,36175.25063998569
2021-07-02,E09000008,Croydon,35179.46095402346
2021-07-03,E09000008,Croydon,34485.4269548671
2021-07-04,E09000008,Croydon,33713.12618755098
2021-07-05,E09000008,Croydon,32967.693243719914
2021-07-06,E09000008,Croydon,32292.666492726225
2021-07-07,E09000008,Croydon,31268.556823037445
2021-07-08,E09000008,Croydon,30223.830149720594
2021-07-09,E09000008,Croydon,29004.233705549053
2021-07-10,E09000008,Croydon,28158.920218766827
