date,areaCode,areaName,PCAresult
2020-12-08,E06000046,Isle of Wight,116797.65055950268
2020-12-09,E06000046,Isle of Wight,116797.65055950268
2020-12-10,E06000046,Isle of Wight,116797.18795761796
2020-12-11,E06000046,Isle of Wight,116797.18795761796
2020-12-12,E06000046,Isle of Wight,116796.72535573329
2020-12-13,E06000046,Isle of Wight,116796.72535573329
2020-12-14,E06000046,Isle of Wight,116796.26275384857
2020-12-15,E06000046,Isle of Wight,116738.43751826225
2020-12-16,E06000046,Isle of Wight,116627.41306593655
2020-12-17,E06000046,Isle of Wight,116526.10325318931
2020-12-18,E06000046,Isle of Wight,116258.2567619535
2020-12-19,E06000046,Isle of Wight,116120.8640022004
2020-12-20,E06000046,Isle of Wight,116002.90052160432
2020-12-21,E06000046,Isle of Wight,116001.97531783492
2020-12-22,E06000046,Isle of Wight,115635.13202327535
2020-12-23,E06000046,Isle of Wight,115197.5106403581
2020-12-24,E06000046,Isle of Wight,115134.13418215547
2020-12-25,E06000046,Isle of Wight,115134.13418215547
2020-12-26,E06000046,Isle of Wight,115134.13418215547
2020-12-27,E06000046,Isle of Wight,115134.13418215547
2020-12-28,E06000046,Isle of Wight,115133.6715802708
2020-12-29,E06000046,Isle of Wight,115069.36991829883
2020-12-30,E06000046,Isle of Wight,114855.6478475718
2020-12-31,E06000046,Isle of Wight,114687.07365832769
2021-01-01,E06000046,Isle of Wight,114685.68585267365
2021-01-02,E06000046,Isle of Wight,114683.83544513489
2021-01-03,E06000046,Isle of Wight,114682.2605362641
2021-01-04,E06000046,Isle of Wight,114679.02232307124
2021-01-05,E06000046,Isle of Wight,114575.70300269384
2021-01-06,E06000046,Isle of Wight,114369.00690343072
2021-01-07,E06000046,Isle of Wight,113681.59967515145
2021-01-08,E06000046,Isle of Wight,112622.97803680715
2021-01-09,E06000046,Isle of Wight,111853.90979665695
2021-01-10,E06000046,Isle of Wight,111514.04181311133
2021-01-11,E06000046,Isle of Wight,111206.68705846011
2021-01-12,E06000046,Isle of Wight,110626.17915168189
2021-01-13,E06000046,Isle of Wight,109910.20697582627
2021-01-14,E06000046,Isle of Wight,109514.49526119916
2021-01-15,E06000046,Isle of Wight,109090.28933293789
2021-01-16,E06000046,Isle of Wight,108895.5339394832
2021-01-17,E06000046,Isle of Wight,108756.29077219137
2021-01-18,E06000046,Isle of Wight,108595.30531631905
2021-01-19,E06000046,Isle of Wight,108529.1532468083
2021-01-20,E06000046,Isle of Wight,108484.28086399332
2021-01-21,E06000046,Isle of Wight,107648.35925835754
2021-01-22,E06000046,Isle of Wight,106578.82370095301
2021-01-23,E06000046,Isle of Wight,105957.08676792892
2021-01-24,E06000046,Isle of Wight,105854.3891495276
2021-01-25,E06000046,Isle of Wight,105439.24815574344
2021-01-26,E06000046,Isle of Wight,105088.13332526332
2021-01-27,E06000046,Isle of Wight,104637.09648769008
2021-01-28,E06000046,Isle of Wight,104328.07842871679
2021-01-29,E06000046,Isle of Wight,103732.24720123537
2021-01-30,E06000046,Isle of Wight,103065.43015755102
2021-01-31,E06000046,Isle of Wight,102506.66453935328
2021-02-01,E06000046,Isle of Wight,101643.07521608725
2021-02-02,E06000046,Isle of Wight,100829.0726899344
2021-02-03,E06000046,Isle of Wight,100011.00545458481
2021-02-04,E06000046,Isle of Wight,99065.99819961326
