date,areaCode,areaName,PCAresult
2020-12-08,E07000091,New Forest,152976.52643290345
2020-12-09,E07000091,New Forest,152972.87362633142
2020-12-10,E07000091,New Forest,152971.31297302438
2020-12-11,E07000091,New Forest,152970.39064858822
2020-12-12,E07000091,New Forest,152966.70135084333
2020-12-13,E07000091,New Forest,152965.317864189
2020-12-14,E07000091,New Forest,152964.39553975282
2020-12-15,E07000091,New Forest,152946.87137546472
2020-12-16,E07000091,New Forest,152820.512927703
2020-12-17,E07000091,New Forest,152670.2808735126
2020-12-18,E07000091,New Forest,152394.43552934402
2020-12-19,E07000091,New Forest,151957.25374657745
2020-12-20,E07000091,New Forest,151741.42982850285
2020-12-21,E07000091,New Forest,151679.17292905823
2020-12-22,E07000091,New Forest,151343.4468342755
2020-12-23,E07000091,New Forest,151005.25975819273
2020-12-24,E07000091,New Forest,150959.60469860001
2020-12-25,E07000091,New Forest,150959.60469860001
2020-12-26,E07000091,New Forest,150959.1435363819
2020-12-27,E07000091,New Forest,150958.2212119457
2020-12-28,E07000091,New Forest,150958.2212119457
2020-12-29,E07000091,New Forest,150936.54658769464
2020-12-30,E07000091,New Forest,150794.61545343
2020-12-31,E07000091,New Forest,150651.32282895435
2021-01-01,E07000091,New Forest,150530.95949002815
2021-01-02,E07000091,New Forest,150502.82859472354
2021-01-03,E07000091,New Forest,150489.27772374573
2021-01-04,E07000091,New Forest,150468.80941949628
2021-01-05,E07000091,New Forest,150391.69378937126
2021-01-06,E07000091,New Forest,150140.69726818573
2021-01-07,E07000091,New Forest,149547.3293643875
2021-01-08,E07000091,New Forest,148732.1241484613
2021-01-09,E07000091,New Forest,147719.16601303234
2021-01-10,E07000091,New Forest,147397.78301660757
2021-01-11,E07000091,New Forest,147023.3219401096
2021-01-12,E07000091,New Forest,146641.69328134152
2021-01-13,E07000091,New Forest,146260.24178922622
2021-01-14,E07000091,New Forest,145848.46041962857
2021-01-15,E07000091,New Forest,145343.3691117635
2021-01-16,E07000091,New Forest,144897.00057580767
2021-01-17,E07000091,New Forest,144791.50125677366
2021-01-18,E07000091,New Forest,144565.99293211874
2021-01-19,E07000091,New Forest,144327.3948987042
2021-01-20,E07000091,New Forest,144154.56589582644
2021-01-21,E07000091,New Forest,143466.00236289413
2021-01-22,E07000091,New Forest,142633.1433969908
2021-01-23,E07000091,New Forest,142143.85028357807
2021-01-24,E07000091,New Forest,141521.28128913205
2021-01-25,E07000091,New Forest,141190.62797874853
2021-01-26,E07000091,New Forest,140831.6666064077
2021-01-27,E07000091,New Forest,140469.29993188748
2021-01-28,E07000091,New Forest,139928.87629988074
2021-01-29,E07000091,New Forest,138596.60329281527
2021-01-30,E07000091,New Forest,137505.56646711714
2021-01-31,E07000091,New Forest,136497.6795161583
2021-02-01,E07000091,New Forest,135991.9982207192
2021-02-02,E07000091,New Forest,135138.94309600804
2021-02-03,E07000091,New Forest,134150.8157826879
2021-02-04,E07000091,New Forest,133363.25754307196
2021-02-05,E07000091,New Forest,132150.7917339257
2021-02-06,E07000091,New Forest,131467.1018222968
2021-02-07,E07000091,New Forest,130691.9949625698
2021-02-08,E07000091,New Forest,130340.05785241336
2021-02-09,E07000091,New Forest,129933.63326278033
2021-02-10,E07000091,New Forest,129566.40746168648
2021-02-11,E07000091,New Forest,128447.91191612145
2021-02-12,E07000091,New Forest,127537.6141887488
2021-02-13,E07000091,New Forest,126979.89190040338
2021-02-14,E07000091,New Forest,126879.35853685586
2021-02-15,E07000091,New Forest,126466.28601478685
2021-02-16,E07000091,New Forest,125671.10167528859
2021-02-17,E07000091,New Forest,124970.12325364035
2021-02-18,E07000091,New Forest,124103.19677121304
2021-02-19,E07000091,New Forest,123707.41540376935
2021-02-20,E07000091,New Forest,123520.363354476
2021-02-21,E07000091,New Forest,123466.86853717547
2021-02-22,E07000091,New Forest,123078.96077400664
2021-02-23,E07000091,New Forest,122415.57214629385
2021-02-24,E07000091,New Forest,121576.06176375273
2021-02-25,E07000091,New Forest,120454.16356061422
2021-02-26,E07000091,New Forest,119623.04505927644
2021-02-27,E07000091,New Forest,119330.81417768744
2021-02-28,E07000091,New Forest,119231.87795861975
2021-03-01,E07000091,New Forest,118943.08622577715
2021-03-02,E07000091,New Forest,118212.92789227098
2021-03-03,E07000091,New Forest,117721.79913042294
2021-03-04,E07000091,New Forest,117487.74502605543
2021-03-05,E07000091,New Forest,116114.05754104168
2021-03-06,E07000091,New Forest,115891.993654345
2021-03-07,E07000091,New Forest,115787.77099305256
2021-03-08,E07000091,New Forest,115516.2194289326
2021-03-09,E07000091,New Forest,115019.74657683972
2021-03-10,E07000091,New Forest,114325.9431599122
2021-03-11,E07000091,New Forest,113867.11426557295
2021-03-12,E07000091,New Forest,112654.26345447
2021-03-13,E07000091,New Forest,111890.01876396971
2021-03-14,E07000091,New Forest,111386.57294188127
2021-03-15,E07000091,New Forest,110580.47196305176
2021-03-16,E07000091,New Forest,109850.19991149193
2021-03-17,E07000091,New Forest,108772.02804693725
2021-03-18,E07000091,New Forest,107464.92933251878
2021-03-19,E07000091,New Forest,105382.25730694334
2021-03-20,E07000091,New Forest,103791.16727161637
2021-03-21,E07000091,New Forest,102976.03079350099
2021-03-22,E07000091,New Forest,102364.88455890461
2021-03-23,E07000091,New Forest,101936.34322835336
2021-03-24,E07000091,New Forest,101012.5316764282
2021-03-25,E07000091,New Forest,100213.88494198279
2021-03-26,E07000091,New Forest,98817.34775856268
2021-03-27,E07000091,New Forest,97823.41997062434
2021-03-28,E07000091,New Forest,97074.64644886856
2021-03-29,E07000091,New Forest,96116.02084973024
2021-03-30,E07000091,New Forest,94903.91786295934
2021-03-31,E07000091,New Forest,93978.01204647297
2021-04-01,E07000091,New Forest,92801.92309302837
2021-04-02,E07000091,New Forest,92426.80941995337
2021-04-03,E07000091,New Forest,92004.53503739287
2021-04-04,E07000091,New Forest,91928.75106842356
2021-04-05,E07000091,New Forest,91842.46984195651
2021-04-06,E07000091,New Forest,91626.77973216333
2021-04-07,E07000091,New Forest,91335.7223906284
2021-04-08,E07000091,New Forest,90607.64807148873
2021-04-09,E07000091,New Forest,89702.18729110838
2021-04-10,E07000091,New Forest,89173.70810081885
2021-04-11,E07000091,New Forest,89054.90594850932
2021-04-12,E07000091,New Forest,88300.03895613279
2021-04-13,E07000091,New Forest,87802.59302072451
2021-04-14,E07000091,New Forest,86690.00642250494
2021-04-15,E07000091,New Forest,85532.17494100815
2021-04-16,E07000091,New Forest,83732.80094794149
2021-04-17,E07000091,New Forest,82260.98199976436
2021-04-18,E07000091,New Forest,81048.36762520592
2021-04-19,E07000091,New Forest,80435.88392887492
2021-04-20,E07000091,New Forest,79772.37443156654
2021-04-21,E07000091,New Forest,78363.0008663008
2021-04-22,E07000091,New Forest,77251.46880086981
2021-04-23,E07000091,New Forest,76318.10665064584
2021-04-24,E07000091,New Forest,75388.14980260129
2021-04-25,E07000091,New Forest,74457.55938158807
2021-04-26,E07000091,New Forest,73922.59271828392
2021-04-27,E07000091,New Forest,73569.82848950369
2021-04-28,E07000091,New Forest,72212.2497856574
2021-04-29,E07000091,New Forest,69991.26036243852
2021-04-30,E07000091,New Forest,68789.54093705441
2021-05-01,E07000091,New Forest,68516.62101552504
2021-05-02,E07000091,New Forest,68382.06372084812
2021-05-03,E07000091,New Forest,67926.87758796701
2021-05-04,E07000091,New Forest,67240.2541367431
2021-05-05,E07000091,New Forest,66353.33345097036
2021-05-06,E07000091,New Forest,64491.715781488594
2021-05-07,E07000091,New Forest,63735.275752371526
2021-05-08,E07000091,New Forest,62633.365689598664
2021-05-09,E07000091,New Forest,62497.95640822542
2021-05-10,E07000091,New Forest,61801.824445373655
2021-05-11,E07000091,New Forest,61110.78505086263
2021-05-12,E07000091,New Forest,59644.63141805919
2021-05-13,E07000091,New Forest,58006.27124361332
2021-05-14,E07000091,New Forest,57338.94097859827
2021-05-15,E07000091,New Forest,56028.85743239583
2021-05-16,E07000091,New Forest,55812.054608484315
2021-05-17,E07000091,New Forest,55124.81134063092
2021-05-18,E07000091,New Forest,54335.488856938944
2021-05-19,E07000091,New Forest,52987.14680362248
2021-05-20,E07000091,New Forest,51614.44671351568
2021-05-21,E07000091,New Forest,49847.728499249715
2021-05-22,E07000091,New Forest,47808.77153932924
2021-05-23,E07000091,New Forest,47612.29898879329
2021-05-24,E07000091,New Forest,46853.014248119696
2021-05-25,E07000091,New Forest,46181.86141038799
2021-05-26,E07000091,New Forest,45169.87055769554
2021-05-27,E07000091,New Forest,44159.76402296403
2021-05-28,E07000091,New Forest,41624.8913173717
2021-05-29,E07000091,New Forest,39448.62331249518
2021-05-30,E07000091,New Forest,39216.120349630495
2021-05-31,E07000091,New Forest,38607.2508574024
2021-06-01,E07000091,New Forest,37677.69012304788
2021-06-02,E07000091,New Forest,36596.20447284352
2021-06-03,E07000091,New Forest,35853.01461190746
2021-06-04,E07000091,New Forest,34922.334807603336
2021-06-05,E07000091,New Forest,33333.262942404086
2021-06-06,E07000091,New Forest,32998.981693521084
2021-06-07,E07000091,New Forest,32297.50352912828
2021-06-08,E07000091,New Forest,31771.01843660463
2021-06-09,E07000091,New Forest,31045.307781656382
2021-06-10,E07000091,New Forest,30578.18674080488
2021-06-11,E07000091,New Forest,29674.983101989466
2021-06-12,E07000091,New Forest,28549.13754023261
2021-06-13,E07000091,New Forest,28325.461708040064
2021-06-14,E07000091,New Forest,27950.42714611862
2021-06-15,E07000091,New Forest,27643.746132178185
2021-06-16,E07000091,New Forest,27336.028870667004
2021-06-17,E07000091,New Forest,27025.36006868651
2021-06-18,E07000091,New Forest,26263.39296015045
2021-06-19,E07000091,New Forest,25688.14757413631
2021-06-20,E07000091,New Forest,25606.287580168115
2021-06-21,E07000091,New Forest,25378.850307480883
2021-06-22,E07000091,New Forest,25241.158483160507
2021-06-23,E07000091,New Forest,24734.349467506225
2021-06-24,E07000091,New Forest,24371.06237476514
2021-06-25,E07000091,New Forest,24068.847018314198
