date,areaCode,areaName,PCAresult
2020-12-08,E07000038,North East Derbyshire,86549.1137764232
2020-12-09,E07000038,North East Derbyshire,86515.70543289582
2020-12-10,E07000038,North East Derbyshire,86492.79685447704
2020-12-11,E07000038,North East Derbyshire,86467.50196580631
2020-12-12,E07000038,North East Derbyshire,86464.63839350398
2020-12-13,E07000038,North East Derbyshire,86462.72934530242
2020-12-14,E07000038,North East Derbyshire,86443.6388632868
2020-12-15,E07000038,North East Derbyshire,86418.34397461603
2020-12-16,E07000038,North East Derbyshire,86389.23098954215
2020-12-17,E07000038,North East Derbyshire,86358.68621831715
2020-12-18,E07000038,North East Derbyshire,86251.30225697914
2020-12-19,E07000038,North East Derbyshire,86079.01065678793
2020-12-20,E07000038,North East Derbyshire,85889.06036073227
2020-12-21,E07000038,North East Derbyshire,85848.01582439862
2020-12-22,E07000038,North East Derbyshire,85824.15272187906
2020-12-23,E07000038,North East Derbyshire,85786.92628194859
2020-12-24,E07000038,North East Derbyshire,85773.08568248723
2020-12-25,E07000038,North East Derbyshire,85773.08568248723
2020-12-26,E07000038,North East Derbyshire,85773.08568248723
2020-12-27,E07000038,North East Derbyshire,85772.60842043682
2020-12-28,E07000038,North East Derbyshire,85772.60842043682
2020-12-29,E07000038,North East Derbyshire,85762.58591737863
2020-12-30,E07000038,North East Derbyshire,85707.04755287121
2020-12-31,E07000038,North East Derbyshire,85621.91894123956
2021-01-01,E07000038,North East Derbyshire,85462.99067845933
2021-01-02,E07000038,North East Derbyshire,85319.28416335591
2021-01-03,E07000038,North East Derbyshire,85286.90503471997
2021-01-04,E07000038,North East Derbyshire,85224.8508392661
2021-01-05,E07000038,North East Derbyshire,85168.90230682174
2021-01-06,E07000038,North East Derbyshire,85095.3938221585
2021-01-07,E07000038,North East Derbyshire,84997.25127421418
2021-01-08,E07000038,North East Derbyshire,84719.81137195308
2021-01-09,E07000038,North East Derbyshire,84193.49766411519
2021-01-10,E07000038,North East Derbyshire,83742.78884753036
2021-01-11,E07000038,North East Derbyshire,83666.5522481941
2021-01-12,E07000038,North East Derbyshire,83468.56318807247
2021-01-13,E07000038,North East Derbyshire,83012.90325867523
2021-01-14,E07000038,North East Derbyshire,82811.02141135979
2021-01-15,E07000038,North East Derbyshire,82528.30631086622
2021-01-16,E07000038,North East Derbyshire,82160.46259874098
2021-01-17,E07000038,North East Derbyshire,81873.62810645593
2021-01-18,E07000038,North East Derbyshire,81643.11053611702
2021-01-19,E07000038,North East Derbyshire,81029.95413009073
2021-01-20,E07000038,North East Derbyshire,80620.94055290552
2021-01-21,E07000038,North East Derbyshire,80479.67098598978
2021-01-22,E07000038,North East Derbyshire,79849.68507947348
2021-01-23,E07000038,North East Derbyshire,79314.97561637338
2021-01-24,E07000038,North East Derbyshire,78769.11315945223
2021-01-25,E07000038,North East Derbyshire,78677.00158372677
2021-01-26,E07000038,North East Derbyshire,78452.68842004293
2021-01-27,E07000038,North East Derbyshire,78331.94112129396
2021-01-28,E07000038,North East Derbyshire,77820.31620327466
2021-01-29,E07000038,North East Derbyshire,77313.9411678097
2021-01-30,E07000038,North East Derbyshire,76627.4623726852
2021-01-31,E07000038,North East Derbyshire,76171.14921457559
2021-02-01,E07000038,North East Derbyshire,75881.92841203857
2021-02-02,E07000038,North East Derbyshire,75539.85685063447
2021-02-03,E07000038,North East Derbyshire,75078.11784330853
2021-02-04,E07000038,North East Derbyshire,74763.85280955344
2021-02-05,E07000038,North East Derbyshire,74504.52354952904
2021-02-06,E07000038,North East Derbyshire,74058.88612319005
2021-02-07,E07000038,North East Derbyshire,73845.0727246148
2021-02-08,E07000038,North East Derbyshire,73699.03053719513
2021-02-09,E07000038,North East Derbyshire,73664.1397695809
2021-02-10,E07000038,North East Derbyshire,73392.67640655395
2021-02-11,E07000038,North East Derbyshire,73218.07318690144
2021-02-12,E07000038,North East Derbyshire,73130.20633169383
2021-02-13,E07000038,North East Derbyshire,72798.10663541223
2021-02-14,E07000038,North East Derbyshire,72719.73438327671
2021-02-15,E07000038,North East Derbyshire,72523.05178057987
2021-02-16,E07000038,North East Derbyshire,72187.61124994558
2021-02-17,E07000038,North East Derbyshire,71396.40951404268
2021-02-18,E07000038,North East Derbyshire,70958.63235288192
2021-02-19,E07000038,North East Derbyshire,70757.22776761686
2021-02-20,E07000038,North East Derbyshire,70106.14105501198
2021-02-21,E07000038,North East Derbyshire,69953.06526556276
2021-02-22,E07000038,North East Derbyshire,69659.57315742719
2021-02-23,E07000038,North East Derbyshire,69386.77928412045
2021-02-24,E07000038,North East Derbyshire,68891.60534818642
2021-02-25,E07000038,North East Derbyshire,68417.07900914553
2021-02-26,E07000038,North East Derbyshire,68171.91569682579
2021-02-27,E07000038,North East Derbyshire,67549.59003597072
2021-02-28,E07000038,North East Derbyshire,67326.80740208371
2021-03-01,E07000038,North East Derbyshire,67184.49849137348
2021-03-02,E07000038,North East Derbyshire,67046.43430118109
2021-03-03,E07000038,North East Derbyshire,66853.88501422771
2021-03-04,E07000038,North East Derbyshire,66748.73038488309
2021-03-05,E07000038,North East Derbyshire,66534.15741727258
2021-03-06,E07000038,North East Derbyshire,66136.7234580231
2021-03-07,E07000038,North East Derbyshire,66037.87957565645
2021-03-08,E07000038,North East Derbyshire,65890.64613063526
2021-03-09,E07000038,North East Derbyshire,65736.58163532731
2021-03-10,E07000038,North East Derbyshire,65534.8365084644
2021-03-11,E07000038,North East Derbyshire,65451.41186106581
2021-03-12,E07000038,North East Derbyshire,65213.477105841106
2021-03-13,E07000038,North East Derbyshire,64553.117330310284
2021-03-14,E07000038,North East Derbyshire,64418.75350447196
2021-03-15,E07000038,North East Derbyshire,64134.20151434173
2021-03-16,E07000038,North East Derbyshire,63545.81082759756
2021-03-17,E07000038,North East Derbyshire,62934.154564659075
2021-03-18,E07000038,North East Derbyshire,62036.07144514675
2021-03-19,E07000038,North East Derbyshire,61365.571427929295
2021-03-20,E07000038,North East Derbyshire,60259.22229273547
2021-03-21,E07000038,North East Derbyshire,59980.52277593624
2021-03-22,E07000038,North East Derbyshire,59750.096352565706
2021-03-23,E07000038,North East Derbyshire,59506.70156636669
2021-03-24,E07000038,North East Derbyshire,59100.10467956313
2021-03-25,E07000038,North East Derbyshire,58752.0489822476
2021-03-26,E07000038,North East Derbyshire,58220.92214487312
2021-03-27,E07000038,North East Derbyshire,57259.20325590111
2021-03-28,E07000038,North East Derbyshire,56592.00483340626
2021-03-29,E07000038,North East Derbyshire,56350.17435248867
2021-03-30,E07000038,North East Derbyshire,55849.50619724302
2021-03-31,E07000038,North East Derbyshire,55453.74454611505
2021-04-01,E07000038,North East Derbyshire,54901.76248907384
2021-04-02,E07000038,North East Derbyshire,54148.531555623566
2021-04-03,E07000038,North East Derbyshire,53513.02104308665
2021-04-04,E07000038,North East Derbyshire,53257.269344336346
2021-04-05,E07000038,North East Derbyshire,53059.36762955475
2021-04-06,E07000038,North East Derbyshire,52574.855488280686
2021-04-07,E07000038,North East Derbyshire,51568.06926913878
2021-04-08,E07000038,North East Derbyshire,50685.50791013042
2021-04-09,E07000038,North East Derbyshire,49942.08806191583
2021-04-10,E07000038,North East Derbyshire,49244.021632746335
2021-04-11,E07000038,North East Derbyshire,48752.39866642638
2021-04-12,E07000038,North East Derbyshire,48622.26689997711
2021-04-13,E07000038,North East Derbyshire,48481.801206178265
2021-04-14,E07000038,North East Derbyshire,47880.01299368584
2021-04-15,E07000038,North East Derbyshire,47538.157901397106
2021-04-16,E07000038,North East Derbyshire,46801.074122417966
2021-04-17,E07000038,North East Derbyshire,46141.743548619954
2021-04-18,E07000038,North East Derbyshire,45558.30270528558
2021-04-19,E07000038,North East Derbyshire,45368.146055858866
2021-04-20,E07000038,North East Derbyshire,45068.06848385834
2021-04-21,E07000038,North East Derbyshire,44675.962886423455
2021-04-22,E07000038,North East Derbyshire,43987.17625372796
2021-04-23,E07000038,North East Derbyshire,43328.20900498016
2021-04-24,E07000038,North East Derbyshire,42144.757334774564
2021-04-25,E07000038,North East Derbyshire,41759.22959794801
2021-04-26,E07000038,North East Derbyshire,41334.790445361345
2021-04-27,E07000038,North East Derbyshire,40885.45644313795
2021-04-28,E07000038,North East Derbyshire,40431.22449168429
2021-04-29,E07000038,North East Derbyshire,39867.65268780434
2021-04-30,E07000038,North East Derbyshire,39632.10550565479
2021-05-01,E07000038,North East Derbyshire,39337.59683717718
2021-05-02,E07000038,North East Derbyshire,39253.68479882521
2021-05-03,E07000038,North East Derbyshire,39029.485565562165
2021-05-04,E07000038,North East Derbyshire,38097.06614376439
2021-05-05,E07000038,North East Derbyshire,37444.621053237766
2021-05-06,E07000038,North East Derbyshire,37232.40400917018
2021-05-07,E07000038,North East Derbyshire,36949.768657339424
2021-05-08,E07000038,North East Derbyshire,35859.333718426955
2021-05-09,E07000038,North East Derbyshire,35519.07878227416
2021-05-10,E07000038,North East Derbyshire,35426.89884303274
2021-05-11,E07000038,North East Derbyshire,34576.09629630334
2021-05-12,E07000038,North East Derbyshire,33619.47323038816
2021-05-13,E07000038,North East Derbyshire,33002.758231753236
2021-05-14,E07000038,North East Derbyshire,32652.221275589087
2021-05-15,E07000038,North East Derbyshire,31270.57546129333
2021-05-16,E07000038,North East Derbyshire,30289.203138853085
2021-05-17,E07000038,North East Derbyshire,30057.461391977904
2021-05-18,E07000038,North East Derbyshire,29369.96982498103
2021-05-19,E07000038,North East Derbyshire,28751.678729644464
2021-05-20,E07000038,North East Derbyshire,28047.74884169108
2021-05-21,E07000038,North East Derbyshire,27637.10724730733
2021-05-22,E07000038,North East Derbyshire,26377.703816976136
2021-05-23,E07000038,North East Derbyshire,25673.746074539496
2021-05-24,E07000038,North East Derbyshire,25322.21281583933
2021-05-25,E07000038,North East Derbyshire,24552.40389590158
2021-05-26,E07000038,North East Derbyshire,23825.726209416283
2021-05-27,E07000038,North East Derbyshire,23125.947362786617
2021-05-28,E07000038,North East Derbyshire,22698.594863091126
2021-05-29,E07000038,North East Derbyshire,21882.727394636942
2021-05-30,E07000038,North East Derbyshire,21391.131013397688
2021-05-31,E07000038,North East Derbyshire,21135.923670811186
2021-06-01,E07000038,North East Derbyshire,20755.245777504948
2021-06-02,E07000038,North East Derbyshire,20245.404565802208
2021-06-03,E07000038,North East Derbyshire,19319.984564275983
2021-06-04,E07000038,North East Derbyshire,18692.716630371
2021-06-05,E07000038,North East Derbyshire,17752.531086024308
2021-06-06,E07000038,North East Derbyshire,17380.314785849816
2021-06-07,E07000038,North East Derbyshire,17152.574698717042
2021-06-08,E07000038,North East Derbyshire,16829.23155052219
2021-06-09,E07000038,North East Derbyshire,15745.783370752517
2021-06-10,E07000038,North East Derbyshire,15475.810021910356
2021-06-11,E07000038,North East Derbyshire,15207.931816834795
2021-06-12,E07000038,North East Derbyshire,14452.266474001975
2021-06-13,E07000038,North East Derbyshire,13957.996417653696
2021-06-14,E07000038,North East Derbyshire,13552.01857780457
2021-06-15,E07000038,North East Derbyshire,13408.313325524361
2021-06-16,E07000038,North East Derbyshire,13233.279680128853
2021-06-17,E07000038,North East Derbyshire,12993.475116332713
2021-06-18,E07000038,North East Derbyshire,12797.143177557382
2021-06-19,E07000038,North East Derbyshire,12483.871907533225
2021-06-20,E07000038,North East Derbyshire,12224.821152865416
2021-06-21,E07000038,North East Derbyshire,12124.61511068674
2021-06-22,E07000038,North East Derbyshire,11940.921122045049
2021-06-23,E07000038,North East Derbyshire,11580.197951016067
2021-06-24,E07000038,North East Derbyshire,11352.655351174537
2021-06-25,E07000038,North East Derbyshire,11196.341266067164
2021-06-26,E07000038,North East Derbyshire,10743.566423022192
2021-06-27,E07000038,North East Derbyshire,10593.08582284239
2021-06-28,E07000038,North East Derbyshire,10410.457356802504
2021-06-29,E07000038,North East Derbyshire,10327.198547162945
2021-06-30,E07000038,North East Derbyshire,10128.520807168346
2021-07-01,E07000038,North East Derbyshire,9984.58895029042
2021-07-02,E07000038,North East Derbyshire,9615.08137011212
2021-07-03,E07000038,North East Derbyshire,9214.339482285994
2021-07-04,E07000038,North East Derbyshire,9076.915859677274
2021-07-05,E07000038,North East Derbyshire,9031.845610746259
2021-07-06,E07000038,North East Derbyshire,8969.791415292404
2021-07-07,E07000038,North East Derbyshire,8800.186151338983
2021-07-08,E07000038,North East Derbyshire,8655.299770360276
2021-07-09,E07000038,North East Derbyshire,8544.605354799209
2021-07-10,E07000038,North East Derbyshire,8278.295656327371
2021-07-11,E07000038,North East Derbyshire,8154.888599842016
2021-07-12,E07000038,North East Derbyshire,7731.220408016858
2021-07-13,E07000038,North East Derbyshire,7315.969498662469
2021-07-14,E07000038,North East Derbyshire,7074.152078567634
2021-07-15,E07000038,North East Derbyshire,6966.673168632965
2021-07-16,E07000038,North East Derbyshire,6855.655937054316
2021-07-17,E07000038,North East Derbyshire,6648.134290474243
2021-07-18,E07000038,North East Derbyshire,6548.258254717058
2021-07-19,E07000038,North East Derbyshire,6464.9994450774975
2021-07-20,E07000038,North East Derbyshire,6416.135152598326
2021-07-21,E07000038,North East Derbyshire,6117.154752731827
2021-07-22,E07000038,North East Derbyshire,5991.084143461118
2021-07-23,E07000038,North East Derbyshire,5774.5983260207395
2021-07-24,E07000038,North East Derbyshire,5554.414676452066
2021-07-25,E07000038,North East Derbyshire,5532.482142763291
2021-07-26,E07000038,North East Derbyshire,5498.2395394099685
2021-07-27,E07000038,North East Derbyshire,5020.582501277671
2021-07-28,E07000038,North East Derbyshire,4725.38135787818
2021-07-29,E07000038,North East Derbyshire,4662.396691178513
2021-07-30,E07000038,North East Derbyshire,4647.825639988349
2021-07-31,E07000038,North East Derbyshire,4509.87411739355
2021-08-01,E07000038,North East Derbyshire,4404.757464855872
2021-08-02,E07000038,North East Derbyshire,4283.384785298423
2021-08-03,E07000038,North East Derbyshire,4255.286684890688
2021-08-04,E07000038,North East Derbyshire,4143.637745228837
2021-08-05,E07000038,North East Derbyshire,4061.208130963722
2021-08-06,E07000038,North East Derbyshire,3813.0609754874627
2021-08-07,E07000038,North East Derbyshire,3580.567256254243
2021-08-08,E07000038,North East Derbyshire,3398.6228053298
2021-08-09,E07000038,North East Derbyshire,3350.7877277420616
2021-08-10,E07000038,North East Derbyshire,3315.0120623661915
2021-08-11,E07000038,North East Derbyshire,2746.962606095983
2021-08-12,E07000038,North East Derbyshire,2645.719752348621
2021-08-13,E07000038,North East Derbyshire,2607.924497126003
2021-08-14,E07000038,North East Derbyshire,2478.5130535025587
2021-08-15,E07000038,North East Derbyshire,2252.980777733961
2021-08-16,E07000038,North East Derbyshire,2193.5394971297783
2021-08-17,E07000038,North East Derbyshire,2095.1842685397305
2021-08-18,E07000038,North East Derbyshire,1991.8298148480567
