date,areaCode,areaName,PCAresult
2020-12-08,E07000139,North Kesteven,100328.62522613072
2020-12-09,E07000139,North Kesteven,100297.56644315457
2020-12-10,E07000139,North Kesteven,100268.41896990004
2020-12-11,E07000139,North Kesteven,100242.13846122788
2020-12-12,E07000139,North Kesteven,100210.1240233909
2020-12-13,E07000139,North Kesteven,100184.32134214917
2020-12-14,E07000139,North Kesteven,100145.61732028656
2020-12-15,E07000139,North Kesteven,100083.49975433426
2020-12-16,E07000139,North Kesteven,100013.25912206504
2020-12-17,E07000139,North Kesteven,99921.99408285816
2020-12-18,E07000139,North Kesteven,99838.37428253774
2020-12-19,E07000139,North Kesteven,99721.30656208914
2020-12-20,E07000139,North Kesteven,99529.2199350673
2020-12-21,E07000139,North Kesteven,99301.2962507653
2020-12-22,E07000139,North Kesteven,99243.00130425619
2020-12-23,E07000139,North Kesteven,99220.54341502726
2020-12-24,E07000139,North Kesteven,99219.5877601665
2020-12-25,E07000139,North Kesteven,99219.5877601665
2020-12-26,E07000139,North Kesteven,99219.5877601665
2020-12-27,E07000139,North Kesteven,99201.90814524156
2020-12-28,E07000139,North Kesteven,99184.70635774711
2020-12-29,E07000139,North Kesteven,99152.23604834832
2020-12-30,E07000139,North Kesteven,99102.0731816892
2020-12-31,E07000139,North Kesteven,99072.57395352068
2021-01-01,E07000139,North Kesteven,99071.61829865986
2021-01-02,E07000139,North Kesteven,99046.40657502947
2021-01-03,E07000139,North Kesteven,99016.2471708058
2021-01-04,E07000139,North Kesteven,98952.8312086118
2021-01-05,E07000139,North Kesteven,98852.82233200363
2021-01-06,E07000139,North Kesteven,98740.55033496104
2021-01-07,E07000139,North Kesteven,98497.21460713632
2021-01-08,E07000139,North Kesteven,98255.23412962591
2021-01-09,E07000139,North Kesteven,97767.31154031002
2021-01-10,E07000139,North Kesteven,97475.23741458426
2021-01-11,E07000139,North Kesteven,97208.87479578792
2021-01-12,E07000139,North Kesteven,97048.63320031376
2021-01-13,E07000139,North Kesteven,96771.32388439104
2021-01-14,E07000139,North Kesteven,96605.17895346279
2021-01-15,E07000139,North Kesteven,96206.50147021776
2021-01-16,E07000139,North Kesteven,95935.71233203141
2021-01-17,E07000139,North Kesteven,95776.11797027696
2021-01-18,E07000139,North Kesteven,95564.27101231931
2021-01-19,E07000139,North Kesteven,95369.62584185619
2021-01-20,E07000139,North Kesteven,95066.51384469171
2021-01-21,E07000139,North Kesteven,94588.03918056953
2021-01-22,E07000139,North Kesteven,94129.80267481352
2021-01-23,E07000139,North Kesteven,93572.17806353381
2021-01-24,E07000139,North Kesteven,93331.49205346273
2021-01-25,E07000139,North Kesteven,93105.00185145193
2021-01-26,E07000139,North Kesteven,92968.3432063568
2021-01-27,E07000139,North Kesteven,92832.8878543887
2021-01-28,E07000139,North Kesteven,92361.04199141722
2021-01-29,E07000139,North Kesteven,91897.25841188767
2021-01-30,E07000139,North Kesteven,91371.30942586633
2021-01-31,E07000139,North Kesteven,90643.33511786367
2021-02-01,E07000139,North Kesteven,90240.18778145577
2021-02-02,E07000139,North Kesteven,89611.50589789789
2021-02-03,E07000139,North Kesteven,89181.09200651957
2021-02-04,E07000139,North Kesteven,88805.87590790381
2021-02-05,E07000139,North Kesteven,88177.46361848072
2021-02-06,E07000139,North Kesteven,87822.74625883276
2021-02-07,E07000139,North Kesteven,87252.4983366358
2021-02-08,E07000139,North Kesteven,86926.45062281202
2021-02-09,E07000139,North Kesteven,86619.31620847754
2021-02-10,E07000139,North Kesteven,86298.6028283651
2021-02-11,E07000139,North Kesteven,85988.90987058937
2021-02-12,E07000139,North Kesteven,85700.28916029078
2021-02-13,E07000139,North Kesteven,85219.25595272731
2021-02-14,E07000139,North Kesteven,84962.18479517075
2021-02-15,E07000139,North Kesteven,84488.01057792216
2021-02-16,E07000139,North Kesteven,84207.35646998657
2021-02-17,E07000139,North Kesteven,83711.28042291639
