date,areaCode,areaName,PCAresult
2020-12-08,E06000024,North Somerset,181130.3319717316
2020-12-09,E06000024,North Somerset,181127.45326512575
2020-12-10,E06000024,North Somerset,181122.6554207828
2020-12-11,E06000024,North Somerset,181116.89800757114
2020-12-12,E06000024,North Somerset,181067.480210838
2020-12-13,E06000024,North Somerset,181067.480210838
2020-12-14,E06000024,North Somerset,181064.43869869746
2020-12-15,E06000024,North Somerset,180904.67048207475
2020-12-16,E06000024,North Somerset,180349.08010715267
2020-12-17,E06000024,North Somerset,180222.89680093114
2020-12-18,E06000024,North Somerset,180195.06930374156
2020-12-19,E06000024,North Somerset,179912.4762719375
2020-12-20,E06000024,North Somerset,179506.57864051772
2020-12-21,E06000024,North Somerset,179177.44651858628
2020-12-22,E06000024,North Somerset,178920.2820618002
2020-12-23,E06000024,North Somerset,178685.66747342638
2020-12-24,E06000024,North Somerset,178661.67825171124
2020-12-25,E06000024,North Somerset,178661.67825171124
2020-12-26,E06000024,North Somerset,178661.1984672769
2020-12-27,E06000024,North Somerset,178660.71868284265
2020-12-28,E06000024,North Somerset,178629.36988907828
2020-12-29,E06000024,North Somerset,178583.31058338523
2020-12-30,E06000024,North Somerset,178274.32940769452
2020-12-31,E06000024,North Somerset,178039.86899268557
2021-01-01,E06000024,North Somerset,177924.72072845302
2021-01-02,E06000024,North Somerset,177776.29590054913
2021-01-03,E06000024,North Somerset,177581.38580610606
2021-01-04,E06000024,North Somerset,177521.36095879955
2021-01-05,E06000024,North Somerset,177137.23509482207
2021-01-06,E06000024,North Somerset,176207.37268867754
2021-01-07,E06000024,North Somerset,175592.60983220767
2021-01-08,E06000024,North Somerset,174939.55415976405
2021-01-09,E06000024,North Somerset,173797.14946827185
2021-01-10,E06000024,North Somerset,173251.76443368362
2021-01-11,E06000024,North Somerset,172945.57323151926
2021-01-12,E06000024,North Somerset,172128.570222139
2021-01-13,E06000024,North Somerset,170881.23307329914
2021-01-14,E06000024,North Somerset,170563.49492741426
2021-01-15,E06000024,North Somerset,169987.41936301225
2021-01-16,E06000024,North Somerset,169276.12107197402
2021-01-17,E06000024,North Somerset,168434.9985334536
2021-01-18,E06000024,North Somerset,168131.77477097456
2021-01-19,E06000024,North Somerset,167591.84584467995
2021-01-20,E06000024,North Somerset,167172.35144356496
2021-01-21,E06000024,North Somerset,166524.95943615638
2021-01-22,E06000024,North Somerset,165405.17912574322
2021-01-23,E06000024,North Somerset,164709.483063835
2021-01-24,E06000024,North Somerset,164613.68035033945
2021-01-25,E06000024,North Somerset,164453.10673821307
2021-01-26,E06000024,North Somerset,164285.49916510686
2021-01-27,E06000024,North Somerset,164109.8980621522
2021-01-28,E06000024,North Somerset,163052.44453678
2021-01-29,E06000024,North Somerset,162475.5722090441
2021-01-30,E06000024,North Somerset,161766.12520407586
2021-01-31,E06000024,North Somerset,160690.58541139532
2021-02-01,E06000024,North Somerset,160010.08827801992
2021-02-02,E06000024,North Somerset,159366.2003028466
2021-02-03,E06000024,North Somerset,158637.69019736187
2021-02-04,E06000024,North Somerset,157885.85935664029
2021-02-05,E06000024,North Somerset,156798.8133697063
2021-02-06,E06000024,North Somerset,156457.03541477848
2021-02-07,E06000024,North Somerset,155785.8169911895
2021-02-08,E06000024,North Somerset,154965.85676079706
2021-02-09,E06000024,North Somerset,154858.2222419786
2021-02-10,E06000024,North Somerset,154490.54455976826
2021-02-11,E06000024,North Somerset,152810.94753213134
2021-02-12,E06000024,North Somerset,151911.65143237446
2021-02-13,E06000024,North Somerset,150477.90339988357
2021-02-14,E06000024,North Somerset,149669.30382254938
2021-02-15,E06000024,North Somerset,149195.5851481885
2021-02-16,E06000024,North Somerset,148675.16457816554
2021-02-17,E06000024,North Somerset,148286.37638084596
2021-02-18,E06000024,North Somerset,147524.62424036895
2021-02-19,E06000024,North Somerset,146939.90392397976
2021-02-20,E06000024,North Somerset,146211.58252053906
2021-02-21,E06000024,North Somerset,146163.75825047374
2021-02-22,E06000024,North Somerset,146080.94303969247
2021-02-23,E06000024,North Somerset,145349.6726665969
2021-02-24,E06000024,North Somerset,144481.62056887624
2021-02-25,E06000024,North Somerset,142820.7080319769
2021-02-26,E06000024,North Somerset,142205.8883673914
2021-02-27,E06000024,North Somerset,141642.95447906866
2021-02-28,E06000024,North Somerset,141469.6141835692
2021-03-01,E06000024,North Somerset,141369.08147739788
2021-03-02,E06000024,North Somerset,141234.69949982298
2021-03-03,E06000024,North Somerset,140701.2211640367
2021-03-04,E06000024,North Somerset,140024.96078396938
2021-03-05,E06000024,North Somerset,138698.15828321868
2021-03-06,E06000024,North Somerset,137695.75048524476
2021-03-07,E06000024,North Somerset,136892.26573115325
