date,areaCode,areaName,PCAresult
2020-12-08,E08000005,Rochdale,159394.73362433387
2020-12-09,E08000005,Rochdale,159388.75588492368
2020-12-10,E08000005,Rochdale,159383.32080554758
2020-12-11,E08000005,Rochdale,159377.07597563855
2020-12-12,E08000005,Rochdale,159372.86400109789
2020-12-13,E08000005,Rochdale,159371.64089626234
2020-12-14,E08000005,Rochdale,159367.02404645536
2020-12-15,E08000005,Rochdale,159335.5497644828
2020-12-16,E08000005,Rochdale,159175.46505445012
2020-12-17,E08000005,Rochdale,158993.67394305705
2020-12-18,E08000005,Rochdale,158850.4116940786
2020-12-19,E08000005,Rochdale,158823.82135241214
2020-12-20,E08000005,Rochdale,158652.34078166526
2020-12-21,E08000005,Rochdale,158451.9614443484
2020-12-22,E08000005,Rochdale,158261.48777241126
2020-12-23,E08000005,Rochdale,158230.55615047272
2020-12-24,E08000005,Rochdale,158219.70294979247
2020-12-25,E08000005,Rochdale,158219.70294979247
2020-12-26,E08000005,Rochdale,158219.70294979247
2020-12-27,E08000005,Rochdale,158216.44698958847
2020-12-28,E08000005,Rochdale,158212.64836935038
2020-12-29,E08000005,Rochdale,158007.92775176142
2020-12-30,E08000005,Rochdale,157750.97398614007
2020-12-31,E08000005,Rochdale,157514.50351704354
2021-01-01,E08000005,Rochdale,157505.8209564994
2021-01-02,E08000005,Rochdale,157467.29209408475
2021-01-03,E08000005,Rochdale,157460.78017367667
2021-01-04,E08000005,Rochdale,157426.98050872856
2021-01-05,E08000005,Rochdale,157321.36953934366
2021-01-06,E08000005,Rochdale,157012.70832938096
2021-01-07,E08000005,Rochdale,156328.78498734688
2021-01-08,E08000005,Rochdale,155458.46216314868
2021-01-09,E08000005,Rochdale,154934.75283514982
2021-01-10,E08000005,Rochdale,154492.61421489282
2021-01-11,E08000005,Rochdale,153930.74698533086
2021-01-12,E08000005,Rochdale,153525.5071271952
2021-01-13,E08000005,Rochdale,153122.16445812286
2021-01-14,E08000005,Rochdale,152390.60149921777
