date,areaCode,areaName,PCAresult
2020-12-08,E07000188,Sedgemoor,101735.29216896842
2020-12-09,E07000188,Sedgemoor,101734.29315297984
2020-12-10,E07000188,Sedgemoor,101733.79364498553
2020-12-11,E07000188,Sedgemoor,101733.29413699123
2020-12-12,E07000188,Sedgemoor,101705.32168931012
2020-12-13,E07000188,Sedgemoor,101703.82316532722
2020-12-14,E07000188,Sedgemoor,101703.32365733289
2020-12-15,E07000188,Sedgemoor,101644.38171400494
2020-12-16,E07000188,Sedgemoor,101525.99831935464
2020-12-17,E07000188,Sedgemoor,101398.62378080684
2020-12-18,E07000188,Sedgemoor,101258.76154240145
2020-12-19,E07000188,Sedgemoor,101249.27089050962
2020-12-20,E07000188,Sedgemoor,101229.29057073744
2020-12-21,E07000188,Sedgemoor,101216.30336288548
2020-12-22,E07000188,Sedgemoor,101209.80975895953
2020-12-23,E07000188,Sedgemoor,101205.81369500511
2020-12-24,E07000188,Sedgemoor,101205.31418701082
2020-12-25,E07000188,Sedgemoor,101204.81467901649
2020-12-26,E07000188,Sedgemoor,101204.81467901649
2020-12-27,E07000188,Sedgemoor,101204.3151710222
2020-12-28,E07000188,Sedgemoor,101202.31713904496
2020-12-29,E07000188,Sedgemoor,101146.87175167713
2020-12-30,E07000188,Sedgemoor,100974.88548917636
2020-12-31,E07000188,Sedgemoor,100738.1186998758
2021-01-01,E07000188,Sedgemoor,100603.75104940773
2021-01-02,E07000188,Sedgemoor,100551.64670554019
2021-01-03,E07000188,Sedgemoor,100543.4990651715
2021-01-04,E07000188,Sedgemoor,100520.9975754275
2021-01-05,E07000188,Sedgemoor,100369.5328949949
2021-01-06,E07000188,Sedgemoor,100166.05288499717
2021-01-07,E07000188,Sedgemoor,99744.33019271752
2021-01-08,E07000188,Sedgemoor,99290.12519142234
2021-01-09,E07000188,Sedgemoor,99131.84709845741
2021-01-10,E07000188,Sedgemoor,99091.46223276302
2021-01-11,E07000188,Sedgemoor,99043.57540653947
2021-01-12,E07000188,Sedgemoor,98926.5350234123
2021-01-13,E07000188,Sedgemoor,98773.71854776984
2021-01-14,E07000188,Sedgemoor,98632.35778538151
2021-01-15,E07000188,Sedgemoor,98235.24892990901
2021-01-16,E07000188,Sedgemoor,97936.23212439498
2021-01-17,E07000188,Sedgemoor,97604.09227879699
2021-01-18,E07000188,Sedgemoor,97383.30974531418
2021-01-19,E07000188,Sedgemoor,96871.8135591458
2021-01-20,E07000188,Sedgemoor,96266.25435758832
2021-01-21,E07000188,Sedgemoor,95799.21438291307
2021-01-22,E07000188,Sedgemoor,95227.27772943383
2021-01-23,E07000188,Sedgemoor,94812.53058170083
2021-01-24,E07000188,Sedgemoor,94694.14718705056
2021-01-25,E07000188,Sedgemoor,94488.84940139117
2021-01-26,E07000188,Sedgemoor,94258.07670802227
2021-01-27,E07000188,Sedgemoor,94036.2951585508
2021-01-28,E07000188,Sedgemoor,93583.24140771617
2021-01-29,E07000188,Sedgemoor,92790.21119583443
2021-01-30,E07000188,Sedgemoor,92019.192306317
2021-01-31,E07000188,Sedgemoor,91583.12182728876
2021-02-01,E07000188,Sedgemoor,91055.1418773083
2021-02-02,E07000188,Sedgemoor,90273.10084130133
2021-02-03,E07000188,Sedgemoor,89587.96435618949
2021-02-04,E07000188,Sedgemoor,88812.60540718313
2021-02-05,E07000188,Sedgemoor,88399.51229589287
2021-02-06,E07000188,Sedgemoor,87824.07908645346
2021-02-07,E07000188,Sedgemoor,87535.70746127961
2021-02-08,E07000188,Sedgemoor,87039.19651494043
2021-02-09,E07000188,Sedgemoor,86876.85641679131
2021-02-10,E07000188,Sedgemoor,86757.8180016869
2021-02-11,E07000188,Sedgemoor,86141.64659040407
2021-02-12,E07000188,Sedgemoor,85514.10903709714
2021-02-13,E07000188,Sedgemoor,85126.3353210566
2021-02-14,E07000188,Sedgemoor,85074.8859976432
2021-02-15,E07000188,Sedgemoor,84916.04245545418
2021-02-16,E07000188,Sedgemoor,84519.77710351048
2021-02-17,E07000188,Sedgemoor,84125.01027554969
2021-02-18,E07000188,Sedgemoor,83543.27194525901
2021-02-19,E07000188,Sedgemoor,82774.71762509824
2021-02-20,E07000188,Sedgemoor,82190.48175483603
2021-02-21,E07000188,Sedgemoor,82095.57523591809
2021-02-22,E07000188,Sedgemoor,82014.03289100144
2021-02-23,E07000188,Sedgemoor,81448.34475775827
2021-02-24,E07000188,Sedgemoor,80841.57442713714
2021-02-25,E07000188,Sedgemoor,80450.71409190075
