date,areaCode,areaName,PCAresult
2020-12-08,E07000012,South Cambridgeshire,134214.04760397048
2020-12-09,E07000012,South Cambridgeshire,134190.31832217186
2020-12-10,E07000012,South Cambridgeshire,134152.74695932394
2020-12-11,E07000012,South Cambridgeshire,134096.38991505207
2020-12-12,E07000012,South Cambridgeshire,134061.784712429
2020-12-13,E07000012,South Cambridgeshire,133990.59686703302
2020-12-14,E07000012,South Cambridgeshire,133922.3751818618
2020-12-15,E07000012,South Cambridgeshire,133855.63657680305
2020-12-16,E07000012,South Cambridgeshire,133804.22313290596
2020-12-17,E07000012,South Cambridgeshire,133719.19320646074
2020-12-18,E07000012,South Cambridgeshire,133646.5222809523
2020-12-19,E07000012,South Cambridgeshire,133569.89647514408
2020-12-20,E07000012,South Cambridgeshire,133508.59583049756
2020-12-21,E07000012,South Cambridgeshire,133437.90234513898
2020-12-22,E07000012,South Cambridgeshire,133370.17502000526
2020-12-23,E07000012,South Cambridgeshire,133292.06613408466
2020-12-24,E07000012,South Cambridgeshire,133263.24370849653
2020-12-25,E07000012,South Cambridgeshire,133262.7493484591
2020-12-26,E07000012,South Cambridgeshire,133262.25498842163
2020-12-27,E07000012,South Cambridgeshire,133261.76062838413
2020-12-28,E07000012,South Cambridgeshire,133260.27754827173
2020-12-29,E07000012,South Cambridgeshire,133248.1595503364
2020-12-30,E07000012,South Cambridgeshire,133201.23739022494
2020-12-31,E07000012,South Cambridgeshire,133136.38974707414
2021-01-01,E07000012,South Cambridgeshire,133092.61666636105
2021-01-02,E07000012,South Cambridgeshire,133005.90968159522
2021-01-03,E07000012,South Cambridgeshire,132900.48376692302
2021-01-04,E07000012,South Cambridgeshire,132790.08087611725
2021-01-05,E07000012,South Cambridgeshire,132678.04536178446
2021-01-06,E07000012,South Cambridgeshire,132545.5705207763
2021-01-07,E07000012,South Cambridgeshire,132370.38175699254
2021-01-08,E07000012,South Cambridgeshire,132197.29953061955
2021-01-09,E07000012,South Cambridgeshire,132046.6902843295
2021-01-10,E07000012,South Cambridgeshire,131949.04799991133
2021-01-11,E07000012,South Cambridgeshire,131817.29487290778
2021-01-12,E07000012,South Cambridgeshire,131677.03381164573
2021-01-13,E07000012,South Cambridgeshire,131512.30810554617
2021-01-14,E07000012,South Cambridgeshire,131320.34686759222
2021-01-15,E07000012,South Cambridgeshire,130724.49347902338
2021-01-16,E07000012,South Cambridgeshire,130158.64650932568
2021-01-17,E07000012,South Cambridgeshire,129840.77300523098
2021-01-18,E07000012,South Cambridgeshire,129547.16887276586
2021-01-19,E07000012,South Cambridgeshire,128865.44638109155
2021-01-20,E07000012,South Cambridgeshire,127512.08387170052
2021-01-21,E07000012,South Cambridgeshire,126543.48301487758
2021-01-22,E07000012,South Cambridgeshire,125210.1939938148
2021-01-23,E07000012,South Cambridgeshire,123609.20283544356
2021-01-24,E07000012,South Cambridgeshire,123057.99139366196
2021-01-25,E07000012,South Cambridgeshire,122848.23319435901
2021-01-26,E07000012,South Cambridgeshire,122623.49465051715
2021-01-27,E07000012,South Cambridgeshire,122390.75675705931
2021-01-28,E07000012,South Cambridgeshire,121120.94109400107
2021-01-29,E07000012,South Cambridgeshire,119945.93874451617
2021-01-30,E07000012,South Cambridgeshire,118974.22218405372
2021-01-31,E07000012,South Cambridgeshire,118184.62539058918
2021-02-01,E07000012,South Cambridgeshire,117709.32541330108
2021-02-02,E07000012,South Cambridgeshire,117520.6751521948
2021-02-03,E07000012,South Cambridgeshire,117162.25177099275
2021-02-04,E07000012,South Cambridgeshire,116848.18360378318
2021-02-05,E07000012,South Cambridgeshire,116609.60297889213
2021-02-06,E07000012,South Cambridgeshire,116006.679006384
2021-02-07,E07000012,South Cambridgeshire,115934.50244091307
2021-02-08,E07000012,South Cambridgeshire,115869.93654921226
2021-02-09,E07000012,South Cambridgeshire,115661.85670322983
2021-02-10,E07000012,South Cambridgeshire,115465.14713810926
2021-02-11,E07000012,South Cambridgeshire,114830.28503637346
2021-02-12,E07000012,South Cambridgeshire,114020.56902478724
2021-02-13,E07000012,South Cambridgeshire,113359.11529464931
2021-02-14,E07000012,South Cambridgeshire,113199.43700254578
2021-02-15,E07000012,South Cambridgeshire,112975.42146770831
2021-02-16,E07000012,South Cambridgeshire,112828.10217654155
2021-02-17,E07000012,South Cambridgeshire,112343.67506961207
2021-02-18,E07000012,South Cambridgeshire,111882.48288444383
2021-02-19,E07000012,South Cambridgeshire,111657.89388401672
2021-02-20,E07000012,South Cambridgeshire,111369.68198217037
2021-02-21,E07000012,South Cambridgeshire,111284.00815227297
2021-02-22,E07000012,South Cambridgeshire,111127.640837017
2021-02-23,E07000012,South Cambridgeshire,110532.26945445113
2021-02-24,E07000012,South Cambridgeshire,109817.69921902647
2021-02-25,E07000012,South Cambridgeshire,108826.03400558127
2021-02-26,E07000012,South Cambridgeshire,108031.61844708756
2021-02-27,E07000012,South Cambridgeshire,107584.45126214199
2021-02-28,E07000012,South Cambridgeshire,107366.13939878733
2021-03-01,E07000012,South Cambridgeshire,107214.01369662596
2021-03-02,E07000012,South Cambridgeshire,107051.2988064351
2021-03-03,E07000012,South Cambridgeshire,106302.15674414617
2021-03-04,E07000012,South Cambridgeshire,105631.07783798447
2021-03-05,E07000012,South Cambridgeshire,105173.23498676738
2021-03-06,E07000012,South Cambridgeshire,104251.0348306042
2021-03-07,E07000012,South Cambridgeshire,103981.35654814566
2021-03-08,E07000012,South Cambridgeshire,103669.52914081149
2021-03-09,E07000012,South Cambridgeshire,103458.11490491213
2021-03-10,E07000012,South Cambridgeshire,103043.98834558
2021-03-11,E07000012,South Cambridgeshire,102827.73432292727
2021-03-12,E07000012,South Cambridgeshire,102405.65595954713
2021-03-13,E07000012,South Cambridgeshire,101924.63627039678
2021-03-14,E07000012,South Cambridgeshire,101596.78908731068
2021-03-15,E07000012,South Cambridgeshire,100987.18637227922
2021-03-16,E07000012,South Cambridgeshire,100486.34286549172
2021-03-17,E07000012,South Cambridgeshire,99971.82291624477
2021-03-18,E07000012,South Cambridgeshire,98795.98268509949
2021-03-19,E07000012,South Cambridgeshire,98144.32599112412
2021-03-20,E07000012,South Cambridgeshire,96960.75025086313
2021-03-21,E07000012,South Cambridgeshire,96244.87616815467
2021-03-22,E07000012,South Cambridgeshire,95787.99732894335
2021-03-23,E07000012,South Cambridgeshire,95019.17361974213
2021-03-24,E07000012,South Cambridgeshire,94491.73479820756
2021-03-25,E07000012,South Cambridgeshire,94032.7586648456
2021-03-26,E07000012,South Cambridgeshire,93648.90054911023
2021-03-27,E07000012,South Cambridgeshire,92898.74635367711
2021-03-28,E07000012,South Cambridgeshire,92726.27594999736
2021-03-29,E07000012,South Cambridgeshire,92555.06677458252
2021-03-30,E07000012,South Cambridgeshire,92122.87281493633
2021-03-31,E07000012,South Cambridgeshire,91602.4182977537
2021-04-01,E07000012,South Cambridgeshire,91285.55473411287
2021-04-02,E07000012,South Cambridgeshire,90684.71739403006
2021-04-03,E07000012,South Cambridgeshire,90205.35782513037
2021-04-04,E07000012,South Cambridgeshire,90062.82651323367
2021-04-05,E07000012,South Cambridgeshire,89862.88398047248
2021-04-06,E07000012,South Cambridgeshire,89544.76785625635
2021-04-07,E07000012,South Cambridgeshire,87975.74072710985
2021-04-08,E07000012,South Cambridgeshire,86348.28215183532
2021-04-09,E07000012,South Cambridgeshire,84827.62009003443
2021-04-10,E07000012,South Cambridgeshire,83395.8271880974
2021-04-11,E07000012,South Cambridgeshire,82895.7588951069
2021-04-12,E07000012,South Cambridgeshire,82663.06874587174
2021-04-13,E07000012,South Cambridgeshire,81867.27451685093
2021-04-14,E07000012,South Cambridgeshire,80927.66356037412
2021-04-15,E07000012,South Cambridgeshire,79552.45007533122
2021-04-16,E07000012,South Cambridgeshire,77995.36908398129
2021-04-17,E07000012,South Cambridgeshire,76830.93200907552
2021-04-18,E07000012,South Cambridgeshire,76297.86642891991
2021-04-19,E07000012,South Cambridgeshire,75747.05439989884
2021-04-20,E07000012,South Cambridgeshire,74759.00114109452
2021-04-21,E07000012,South Cambridgeshire,73279.41223162724
2021-04-22,E07000012,South Cambridgeshire,72160.26947599582
2021-04-23,E07000012,South Cambridgeshire,71532.45474378478
2021-04-24,E07000012,South Cambridgeshire,70015.6527384721
2021-04-25,E07000012,South Cambridgeshire,69700.50698160054
2021-04-26,E07000012,South Cambridgeshire,69347.28812915376
2021-04-27,E07000012,South Cambridgeshire,68936.38367708222
2021-04-28,E07000012,South Cambridgeshire,67541.54772530017
2021-04-29,E07000012,South Cambridgeshire,66834.02117305527
2021-04-30,E07000012,South Cambridgeshire,66056.33275624772
2021-05-01,E07000012,South Cambridgeshire,65374.543910365166
2021-05-02,E07000012,South Cambridgeshire,65139.44741746038
2021-05-03,E07000012,South Cambridgeshire,64835.97840096987
2021-05-04,E07000012,South Cambridgeshire,64402.32840582982
2021-05-05,E07000012,South Cambridgeshire,63331.33940395647
2021-05-06,E07000012,South Cambridgeshire,62476.765547960036
2021-05-07,E07000012,South Cambridgeshire,61422.49145720374
2021-05-08,E07000012,South Cambridgeshire,60594.406710988056
2021-05-09,E07000012,South Cambridgeshire,60259.05894409771
2021-05-10,E07000012,South Cambridgeshire,59975.76852455668
2021-05-11,E07000012,South Cambridgeshire,58451.731125735576
2021-05-12,E07000012,South Cambridgeshire,57279.52387095543
2021-05-13,E07000012,South Cambridgeshire,56162.79172090894
2021-05-14,E07000012,South Cambridgeshire,55742.85897147256
2021-05-15,E07000012,South Cambridgeshire,54689.59946000113
2021-05-16,E07000012,South Cambridgeshire,54224.9369905357
2021-05-17,E07000012,South Cambridgeshire,53599.51754295956
2021-05-18,E07000012,South Cambridgeshire,52537.12554358626
2021-05-19,E07000012,South Cambridgeshire,51234.5983050018
2021-05-20,E07000012,South Cambridgeshire,49907.279461111095
2021-05-21,E07000012,South Cambridgeshire,49210.46454089631
2021-05-22,E07000012,South Cambridgeshire,48118.49191539709
2021-05-23,E07000012,South Cambridgeshire,47531.639923433584
2021-05-24,E07000012,South Cambridgeshire,47035.83904795204
2021-05-25,E07000012,South Cambridgeshire,46244.84973627128
2021-05-26,E07000012,South Cambridgeshire,44732.48591226116
2021-05-27,E07000012,South Cambridgeshire,43686.17966593235
2021-05-28,E07000012,South Cambridgeshire,43077.746397459
2021-05-29,E07000012,South Cambridgeshire,42142.399172146266
2021-05-30,E07000012,South Cambridgeshire,41679.09883244725
2021-05-31,E07000012,South Cambridgeshire,41280.9946388668
2021-06-01,E07000012,South Cambridgeshire,40470.88608682872
2021-06-02,E07000012,South Cambridgeshire,39718.42477731183
2021-06-03,E07000012,South Cambridgeshire,39003.35928415919
2021-06-04,E07000012,South Cambridgeshire,38336.577882229685
2021-06-05,E07000012,South Cambridgeshire,36711.41717777879
2021-06-06,E07000012,South Cambridgeshire,36163.70299624308
2021-06-07,E07000012,South Cambridgeshire,35522.902695022385
2021-06-08,E07000012,South Cambridgeshire,34872.87145053899
2021-06-09,E07000012,South Cambridgeshire,34066.38033486772
2021-06-10,E07000012,South Cambridgeshire,33511.864966808185
2021-06-11,E07000012,South Cambridgeshire,32954.267270867946
2021-06-12,E07000012,South Cambridgeshire,32299.492680562667
2021-06-13,E07000012,South Cambridgeshire,31993.71136998901
2021-06-14,E07000012,South Cambridgeshire,31580.437745942767
2021-06-15,E07000012,South Cambridgeshire,31163.093019145264
2021-06-16,E07000012,South Cambridgeshire,30688.770236918223
2021-06-17,E07000012,South Cambridgeshire,30282.166057339626
2021-06-18,E07000012,South Cambridgeshire,29791.490461202033
2021-06-19,E07000012,South Cambridgeshire,29153.43504392909
2021-06-20,E07000012,South Cambridgeshire,28843.606098469063
2021-06-21,E07000012,South Cambridgeshire,28402.627181008927
2021-06-22,E07000012,South Cambridgeshire,27887.108692856556
2021-06-23,E07000012,South Cambridgeshire,27387.363996109918
2021-06-24,E07000012,South Cambridgeshire,26775.546722926738
2021-06-25,E07000012,South Cambridgeshire,26128.659576496928
2021-06-26,E07000012,South Cambridgeshire,25404.419928909647
2021-06-27,E07000012,South Cambridgeshire,24900.418873688788
2021-06-28,E07000012,South Cambridgeshire,24453.074634730787
2021-06-29,E07000012,South Cambridgeshire,24023.02058825413
2021-06-30,E07000012,South Cambridgeshire,23572.100846786583
2021-07-01,E07000012,South Cambridgeshire,23087.479960303568
2021-07-02,E07000012,South Cambridgeshire,22543.141636562817
2021-07-03,E07000012,South Cambridgeshire,21863.943149868566
2021-07-04,E07000012,South Cambridgeshire,21531.592527616827
2021-07-05,E07000012,South Cambridgeshire,21104.628846344563
2021-07-06,E07000012,South Cambridgeshire,20858.63230011665
2021-07-07,E07000012,South Cambridgeshire,20526.407088780863
2021-07-08,E07000012,South Cambridgeshire,20171.22813156355
2021-07-09,E07000012,South Cambridgeshire,19754.24685176799
2021-07-10,E07000012,South Cambridgeshire,19125.16481360206
2021-07-11,E07000012,South Cambridgeshire,18771.4300586188
2021-07-12,E07000012,South Cambridgeshire,18373.401284245614
2021-07-13,E07000012,South Cambridgeshire,18070.371133964345
