date,areaCode,areaName,PCAresult
2020-12-08,E08000008,Tameside,173389.49161721056
2020-12-09,E08000008,Tameside,173377.85352498505
2020-12-10,E08000008,Tameside,173364.09941599116
2020-12-11,E08000008,Tameside,173349.81630280532
2020-12-12,E08000008,Tameside,173340.82323154013
2020-12-13,E08000008,Tameside,173336.5911980036
2020-12-14,E08000008,Tameside,173317.93500386833
2020-12-15,E08000008,Tameside,173301.53587391414
2020-12-16,E08000008,Tameside,173081.470130013
2020-12-17,E08000008,Tameside,172817.8849949494
2020-12-18,E08000008,Tameside,172657.5967247521
2020-12-19,E08000008,Tameside,172277.24271065372
2020-12-20,E08000008,Tameside,172250.26349685813
2020-12-21,E08000008,Tameside,172161.77874936964
2020-12-22,E08000008,Tameside,171680.38493458586
2020-12-23,E08000008,Tameside,171175.18593115895
2020-12-24,E08000008,Tameside,171155.61277605232
2020-12-25,E08000008,Tameside,171154.02576347615
2020-12-26,E08000008,Tameside,171153.49675928405
2020-12-27,E08000008,Tameside,171149.2647257475
2020-12-28,E08000008,Tameside,171137.62663352193
2020-12-29,E08000008,Tameside,170967.67524045467
2020-12-30,E08000008,Tameside,170160.6620582989
2020-12-31,E08000008,Tameside,169706.56504317193
2021-01-01,E08000008,Tameside,169533.580672365
2021-01-02,E08000008,Tameside,169279.4472418406
2021-01-03,E08000008,Tameside,169267.80914961506
2021-01-04,E08000008,Tameside,169177.20869093493
2021-01-05,E08000008,Tameside,169004.82461196813
2021-01-06,E08000008,Tameside,168564.27792692097
2021-01-07,E08000008,Tameside,167427.8796165475
2021-01-08,E08000008,Tameside,166460.47810819757
2021-01-09,E08000008,Tameside,165860.282602749
2021-01-10,E08000008,Tameside,165647.62322311348
2021-01-11,E08000008,Tameside,165389.04664629832
2021-01-12,E08000008,Tameside,164986.58092924007
2021-01-13,E08000008,Tameside,164475.59898188934
2021-01-14,E08000008,Tameside,163434.0958952338
2021-01-15,E08000008,Tameside,162858.29273047167
2021-01-16,E08000008,Tameside,162653.42706072776
2021-01-17,E08000008,Tameside,162458.96524195353
2021-01-18,E08000008,Tameside,161904.53366320502
2021-01-19,E08000008,Tameside,161589.21197927222
2021-01-20,E08000008,Tameside,160741.35961237332
2021-01-21,E08000008,Tameside,159671.6779505485
2021-01-22,E08000008,Tameside,158086.67583472948
2021-01-23,E08000008,Tameside,157719.40587802007
2021-01-24,E08000008,Tameside,157465.73077519296
2021-01-25,E08000008,Tameside,157022.39007677915
2021-01-26,E08000008,Tameside,156545.08724811918
2021-01-27,E08000008,Tameside,156177.35896371244
2021-01-28,E08000008,Tameside,154778.49595258394
2021-01-29,E08000008,Tameside,153289.3494574833
2021-01-30,E08000008,Tameside,152869.67290029998
2021-01-31,E08000008,Tameside,152411.80217933375
2021-02-01,E08000008,Tameside,151633.60182733965
2021-02-02,E08000008,Tameside,150890.20989006842
2021-02-03,E08000008,Tameside,150241.05137548034
2021-02-04,E08000008,Tameside,149232.24068677932
2021-02-05,E08000008,Tameside,147799.90905856105
2021-02-06,E08000008,Tameside,147515.16375581454
2021-02-07,E08000008,Tameside,147420.472005434
2021-02-08,E08000008,Tameside,147268.50675489707
2021-02-09,E08000008,Tameside,147039.16584490525
2021-02-10,E08000008,Tameside,146003.0938475831
2021-02-11,E08000008,Tameside,144474.80134784596
2021-02-12,E08000008,Tameside,143758.03615862672
2021-02-13,E08000008,Tameside,143522.62929315554
2021-02-14,E08000008,Tameside,143378.59910549966
2021-02-15,E08000008,Tameside,143262.46509261074
2021-02-16,E08000008,Tameside,142971.8655582925
2021-02-17,E08000008,Tameside,142007.52640718446
2021-02-18,E08000008,Tameside,141096.89877430096
2021-02-19,E08000008,Tameside,139543.63691000608
2021-02-20,E08000008,Tameside,139265.2044721054
2021-02-21,E08000008,Tameside,139186.91185167903
2021-02-22,E08000008,Tameside,139084.1439910047
2021-02-23,E08000008,Tameside,138407.44237854664
2021-02-24,E08000008,Tameside,138067.46922149402
2021-02-25,E08000008,Tameside,137597.2906622741
2021-02-26,E08000008,Tameside,136897.20700341125
2021-02-27,E08000008,Tameside,136629.60155871848
2021-02-28,E08000008,Tameside,136457.04063572653
2021-03-01,E08000008,Tameside,136262.08560937256
2021-03-02,E08000008,Tameside,136049.70832456258
2021-03-03,E08000008,Tameside,135537.2094299771
2021-03-04,E08000008,Tameside,134039.66954429806
2021-03-05,E08000008,Tameside,132538.33482281378
2021-03-06,E08000008,Tameside,132127.54639167184
2021-03-07,E08000008,Tameside,131884.91000596015
2021-03-08,E08000008,Tameside,131616.10611662385
2021-03-09,E08000008,Tameside,131389.02257638966
2021-03-10,E08000008,Tameside,130754.07772079947
2021-03-11,E08000008,Tameside,130285.35337731315
2021-03-12,E08000008,Tameside,129400.10201152039
2021-03-13,E08000008,Tameside,129153.62185462807
2021-03-14,E08000008,Tameside,127990.97680798845
2021-03-15,E08000008,Tameside,126919.717912041
2021-03-16,E08000008,Tameside,125200.77366195875
2021-03-17,E08000008,Tameside,123918.51307544675
2021-03-18,E08000008,Tameside,122037.55891022047
2021-03-19,E08000008,Tameside,119583.80003090973
2021-03-20,E08000008,Tameside,118836.00166069016
2021-03-21,E08000008,Tameside,118310.24247584384
2021-03-22,E08000008,Tameside,117753.70007513053
2021-03-23,E08000008,Tameside,116919.92612577346
2021-03-24,E08000008,Tameside,115221.28567590119
2021-03-25,E08000008,Tameside,114328.47711997648
2021-03-26,E08000008,Tameside,111904.80289801395
2021-03-27,E08000008,Tameside,110332.33867895637
2021-03-28,E08000008,Tameside,109678.00209593482
2021-03-29,E08000008,Tameside,109021.37326327317
2021-03-30,E08000008,Tameside,108457.32291441383
2021-03-31,E08000008,Tameside,106732.6657867832
2021-04-01,E08000008,Tameside,104502.04011306752
2021-04-02,E08000008,Tameside,104110.23462922225
2021-04-03,E08000008,Tameside,103744.20685876225
2021-04-04,E08000008,Tameside,103609.52618061194
2021-04-05,E08000008,Tameside,103514.44922364214
2021-04-06,E08000008,Tameside,103247.87240783127
2021-04-07,E08000008,Tameside,102139.32954120984
2021-04-08,E08000008,Tameside,100565.79290752287
2021-04-09,E08000008,Tameside,98975.56002958953
2021-04-10,E08000008,Tameside,98315.9740904864
2021-04-11,E08000008,Tameside,98062.76251016007
2021-04-12,E08000008,Tameside,97779.6124705599
2021-04-13,E08000008,Tameside,97356.45652542976
2021-04-14,E08000008,Tameside,96498.76475657933
2021-04-15,E08000008,Tameside,94060.58617947088
2021-04-16,E08000008,Tameside,91833.01369569695
2021-04-17,E08000008,Tameside,91011.37624094855
2021-04-18,E08000008,Tameside,90654.5538768146
2021-04-19,E08000008,Tameside,90124.58251988149
2021-04-20,E08000008,Tameside,89496.38742232566
2021-04-21,E08000008,Tameside,87852.8906597155
2021-04-22,E08000008,Tameside,85098.58938368678
2021-04-23,E08000008,Tameside,83281.95192505728
2021-04-24,E08000008,Tameside,82506.62940272139
2021-04-25,E08000008,Tameside,82223.83030098147
2021-04-26,E08000008,Tameside,81856.67629025597
2021-04-27,E08000008,Tameside,81413.53107501043
2021-04-28,E08000008,Tameside,79671.74233989617
2021-04-29,E08000008,Tameside,77417.49814622563
2021-04-30,E08000008,Tameside,75823.75624147624
2021-05-01,E08000008,Tameside,75342.40525156827
2021-05-02,E08000008,Tameside,75132.8889896996
2021-05-03,E08000008,Tameside,74833.44384863901
2021-05-04,E08000008,Tameside,74385.60063377666
2021-05-05,E08000008,Tameside,72589.09222415903
2021-05-06,E08000008,Tameside,71298.39171113094
2021-05-07,E08000008,Tameside,69889.76883626923
2021-05-08,E08000008,Tameside,69597.87966199992
2021-05-09,E08000008,Tameside,69381.09900000835
2021-05-10,E08000008,Tameside,69156.52401697185
2021-05-11,E08000008,Tameside,67991.96821621957
2021-05-12,E08000008,Tameside,66057.7259826516
2021-05-13,E08000008,Tameside,65159.56037523152
2021-05-14,E08000008,Tameside,63881.411247446355
2021-05-15,E08000008,Tameside,63278.820990713444
2021-05-16,E08000008,Tameside,62844.234399191846
2021-05-17,E08000008,Tameside,62509.48702467534
2021-05-18,E08000008,Tameside,61000.21357442387
2021-05-19,E08000008,Tameside,59080.1697220541
2021-05-20,E08000008,Tameside,56785.971480496126
2021-05-21,E08000008,Tameside,53841.573781016
2021-05-22,E08000008,Tameside,52372.36202889002
2021-05-23,E08000008,Tameside,52003.68770958632
2021-05-24,E08000008,Tameside,51034.40238201255
2021-05-25,E08000008,Tameside,49471.05023597086
2021-05-26,E08000008,Tameside,48050.082809513035
2021-05-27,E08000008,Tameside,46389.05670418646
2021-05-28,E08000008,Tameside,44703.66977671249
2021-05-29,E08000008,Tameside,44193.330334924445
2021-05-30,E08000008,Tameside,43752.68053811357
2021-05-31,E08000008,Tameside,43500.77570899791
2021-06-01,E08000008,Tameside,42964.3801259191
2021-06-02,E08000008,Tameside,42426.25495496793
2021-06-03,E08000008,Tameside,41605.926696043614
2021-06-04,E08000008,Tameside,40731.89455831146
2021-06-05,E08000008,Tameside,40028.51049456364
2021-06-06,E08000008,Tameside,39469.6219733985
2021-06-07,E08000008,Tameside,38933.16274105446
2021-06-08,E08000008,Tameside,38328.80923990752
2021-06-09,E08000008,Tameside,37577.37174794173
2021-06-10,E08000008,Tameside,36723.923670751086
2021-06-11,E08000008,Tameside,34581.96696756484
2021-06-12,E08000008,Tameside,33257.320563995905
2021-06-13,E08000008,Tameside,32711.99983595656
2021-06-14,E08000008,Tameside,32194.150918139167
2021-06-15,E08000008,Tameside,31820.718311296867
2021-06-16,E08000008,Tameside,30769.984059523398
2021-06-17,E08000008,Tameside,28597.245973930127
2021-06-18,E08000008,Tameside,27080.535204783773
2021-06-19,E08000008,Tameside,26268.528132059764
2021-06-20,E08000008,Tameside,25868.32711859937
2021-06-21,E08000008,Tameside,25557.564525907266
2021-06-22,E08000008,Tameside,25257.920798668165
2021-06-23,E08000008,Tameside,24567.26771437843
2021-06-24,E08000008,Tameside,23614.59110162965
2021-06-25,E08000008,Tameside,22949.256792908447
2021-06-26,E08000008,Tameside,22157.14962638454
2021-06-27,E08000008,Tameside,21919.10232360308
2021-06-28,E08000008,Tameside,21670.29809295508
2021-06-29,E08000008,Tameside,21478.184180849003
2021-06-30,E08000008,Tameside,20534.20077488324
2021-07-01,E08000008,Tameside,19882.55356558121
2021-07-02,E08000008,Tameside,18897.01626596555
2021-07-03,E08000008,Tameside,18412.42882394664
2021-07-04,E08000008,Tameside,18143.46245165482
2021-07-05,E08000008,Tameside,17765.170277936315
2021-07-06,E08000008,Tameside,17433.915125586813
2021-07-07,E08000008,Tameside,16863.734561863577
2021-07-08,E08000008,Tameside,15734.62204197999
2021-07-09,E08000008,Tameside,14819.313779072532
2021-07-10,E08000008,Tameside,14132.58492091161
2021-07-11,E08000008,Tameside,13949.624730600164
2021-07-12,E08000008,Tameside,13621.579094438785
2021-07-13,E08000008,Tameside,13364.136702882555
2021-07-14,E08000008,Tameside,12750.75275769713
2021-07-15,E08000008,Tameside,11846.440388063216
2021-07-16,E08000008,Tameside,11109.804014783103
2021-07-17,E08000008,Tameside,10637.83741426303
2021-07-18,E08000008,Tameside,10405.681361972422
2021-07-19,E08000008,Tameside,10193.979323570733
2021-07-20,E08000008,Tameside,10041.382873808088
2021-07-21,E08000008,Tameside,9889.456475650286
2021-07-22,E08000008,Tameside,9146.930074186012
2021-07-23,E08000008,Tameside,8610.5687598362
2021-07-24,E08000008,Tameside,8336.586190913029
2021-07-25,E08000008,Tameside,8240.627152854222
2021-07-26,E08000008,Tameside,8088.242121422401
2021-07-27,E08000008,Tameside,7488.956807014875
2021-07-28,E08000008,Tameside,7325.675022610426
2021-07-29,E08000008,Tameside,6868.450168550256
2021-07-30,E08000008,Tameside,6320.608002883394
2021-07-31,E08000008,Tameside,6056.226741025074
2021-08-01,E08000008,Tameside,5890.159193824169
2021-08-02,E08000008,Tameside,5549.736265221041
2021-08-03,E08000008,Tameside,5386.348313286171
2021-08-04,E08000008,Tameside,5047.441109611183
2021-08-05,E08000008,Tameside,4778.854750139134
2021-08-06,E08000008,Tameside,4301.174659883356
2021-08-07,E08000008,Tameside,3729.336407089189
2021-08-08,E08000008,Tameside,3542.0738123231295
2021-08-09,E08000008,Tameside,3026.368715649299
2021-08-10,E08000008,Tameside,2848.283063403081
2021-08-11,E08000008,Tameside,2622.050085718961
2021-08-12,E08000008,Tameside,2305.1126208610376
2021-08-13,E08000008,Tameside,1985.0372330397308
2021-08-14,E08000008,Tameside,1575.4215339591851
2021-08-15,E08000008,Tameside,1437.4609687027016
2021-08-16,E08000008,Tameside,868.9796955855783
2021-08-17,E08000008,Tameside,660.8041480799112
2021-08-18,E08000008,Tameside,386.1509163985512
2021-08-19,E08000008,Tameside,-285.51922059455575
2021-08-20,E08000008,Tameside,-748.9079481282445
2021-08-21,E08000008,Tameside,-937.5103405273213
2021-08-22,E08000008,Tameside,-1093.24532440669
2021-08-23,E08000008,Tameside,-1448.1214885680215
2021-08-24,E08000008,Tameside,-1595.0402452073415
2021-08-25,E08000008,Tameside,-1891.0846660189889
2021-08-26,E08000008,Tameside,-2311.245874635255
2021-08-27,E08000008,Tameside,-2788.037467725852
2021-08-28,E08000008,Tameside,-2961.0441908055263
2021-08-29,E08000008,Tameside,-3059.260293045388
2021-08-30,E08000008,Tameside,-3180.2229643909163
2021-08-31,E08000008,Tameside,-3388.7090705283317
2021-09-01,E08000008,Tameside,-3590.431928082105
2021-09-02,E08000008,Tameside,-3941.8586939182987
2021-09-03,E08000008,Tameside,-4125.066099172946
2021-09-04,E08000008,Tameside,-4283.48128947169
2021-09-05,E08000008,Tameside,-4362.971132234943
2021-09-06,E08000008,Tameside,-4740.4944196243605
2021-09-07,E08000008,Tameside,-4928.673975361788
2021-09-08,E08000008,Tameside,-5112.006234533487
2021-09-09,E08000008,Tameside,-5406.93694165529
2021-09-10,E08000008,Tameside,-5555.22243185046
2021-09-11,E08000008,Tameside,-5734.091636038127
2021-09-12,E08000008,Tameside,-5823.024322651058
2021-09-13,E08000008,Tameside,-6187.464190108698
2021-09-14,E08000008,Tameside,-6386.6646426103625
2021-09-15,E08000008,Tameside,-6557.166926855725
2021-09-16,E08000008,Tameside,-6742.9131855402975
2021-09-17,E08000008,Tameside,-7164.7524165564055
2021-09-18,E08000008,Tameside,-7295.130995828775
2021-09-19,E08000008,Tameside,-7373.388784650349
2021-09-20,E08000008,Tameside,-7640.932321662071
2021-09-21,E08000008,Tameside,-7904.551263464248
2021-09-22,E08000008,Tameside,-8079.496491725928
2021-09-23,E08000008,Tameside,-8524.270885871856
2021-09-24,E08000008,Tameside,-9160.288229819991
2021-09-25,E08000008,Tameside,-9463.452095913111
2021-09-26,E08000008,Tameside,-9566.14605648575
