date,areaCode,areaName,PCAresult
2020-12-08,E07000102,Three Rivers,76011.44210284312
2020-12-09,E07000102,Three Rivers,76010.43415043097
2020-12-10,E07000102,Three Rivers,76007.41029319445
2020-12-11,E07000102,Three Rivers,76005.89836457619
2020-12-12,E07000102,Three Rivers,76005.39438837011
2020-12-13,E07000102,Three Rivers,76004.89041216401
2020-12-14,E07000102,Three Rivers,75980.69955427188
2020-12-15,E07000102,Three Rivers,75744.33471361731
2020-12-16,E07000102,Three Rivers,75488.31480092535
2020-12-17,E07000102,Three Rivers,75219.19150687521
2020-12-18,E07000102,Three Rivers,75105.29288429965
2020-12-19,E07000102,Three Rivers,75000.46583343366
2020-12-20,E07000102,Three Rivers,74858.34454331726
2020-12-21,E07000102,Three Rivers,74823.5701850973
2020-12-22,E07000102,Three Rivers,74790.81173170169
2020-12-23,E07000102,Three Rivers,74758.55725451214
2020-12-24,E07000102,Three Rivers,74722.27096767395
2020-12-25,E07000102,Three Rivers,74721.76699146783
2020-12-26,E07000102,Three Rivers,74715.2153007887
2020-12-27,E07000102,Three Rivers,74713.19939596436
2020-12-28,E07000102,Three Rivers,74710.67951493393
2020-12-29,E07000102,Three Rivers,74692.89732470324
2020-12-30,E07000102,Three Rivers,74605.56641803264
2020-12-31,E07000102,Three Rivers,74432.05558012125
2021-01-01,E07000102,Three Rivers,74315.63707651524
2021-01-02,E07000102,Three Rivers,74241.91352740896
2021-01-03,E07000102,Three Rivers,74239.39364637854
2021-01-04,E07000102,Three Rivers,74141.09091805868
2021-01-05,E07000102,Three Rivers,73747.40258479166
2021-01-06,E07000102,Three Rivers,73289.91341796664
2021-01-07,E07000102,Three Rivers,72775.20926768429
2021-01-08,E07000102,Three Rivers,72430.31874561324
2021-01-09,E07000102,Three Rivers,72202.4052366416
2021-01-10,E07000102,Three Rivers,72018.60332976903
2021-01-11,E07000102,Three Rivers,71823.38735557432
2021-01-12,E07000102,Three Rivers,71732.67842976733
2021-01-13,E07000102,Three Rivers,71566.3730730474
2021-01-14,E07000102,Three Rivers,71279.9034491081
2021-01-15,E07000102,Three Rivers,71070.32425452923
2021-01-16,E07000102,Three Rivers,70659.44062355111
2021-01-17,E07000102,Three Rivers,70562.89512215328
2021-01-18,E07000102,Three Rivers,70418.97585738332
2021-01-19,E07000102,Three Rivers,70260.15523660155
2021-01-20,E07000102,Three Rivers,70164.9786408043
2021-01-21,E07000102,Three Rivers,69544.1548620589
2021-01-22,E07000102,Three Rivers,69294.18266384002
2021-01-23,E07000102,Three Rivers,69075.67492056926
2021-01-24,E07000102,Three Rivers,68996.12158716071
2021-01-25,E07000102,Three Rivers,68691.93788885526
2021-01-26,E07000102,Three Rivers,68564.28888569774
2021-01-27,E07000102,Three Rivers,68440.24262313593
2021-01-28,E07000102,Three Rivers,68326.99779107272
2021-01-29,E07000102,Three Rivers,68080.48531043186
2021-01-30,E07000102,Three Rivers,67065.06174489795
2021-01-31,E07000102,Three Rivers,66454.46730458048
2021-02-01,E07000102,Three Rivers,66115.80208537892
2021-02-02,E07000102,Three Rivers,65905.71891459404
2021-02-03,E07000102,Three Rivers,65749.34326768955
2021-02-04,E07000102,Three Rivers,65625.36512099227
2021-02-05,E07000102,Three Rivers,65331.26094680856
2021-02-06,E07000102,Three Rivers,64686.0351712888
2021-02-07,E07000102,Three Rivers,64507.19852528122
2021-02-08,E07000102,Three Rivers,64206.038684212275
2021-02-09,E07000102,Three Rivers,64052.76180169746
2021-02-10,E07000102,Three Rivers,63849.37334460929
2021-02-11,E07000102,Three Rivers,63699.699105991116
2021-02-12,E07000102,Three Rivers,63434.39648270745
2021-02-13,E07000102,Three Rivers,63160.09040357874
2021-02-14,E07000102,Three Rivers,63042.15997135449
2021-02-15,E07000102,Three Rivers,62949.42834943457
2021-02-16,E07000102,Three Rivers,62779.66327513656
2021-02-17,E07000102,Three Rivers,62609.17629446168
2021-02-18,E07000102,Three Rivers,62370.019109318564
2021-02-19,E07000102,Three Rivers,62163.12319265356
2021-02-20,E07000102,Three Rivers,61861.82032856697
2021-02-21,E07000102,Three Rivers,61802.85511245485
2021-02-22,E07000102,Three Rivers,61589.68675985745
2021-02-23,E07000102,Three Rivers,61418.341641076644
2021-02-24,E07000102,Three Rivers,61235.11902352053
2021-02-25,E07000102,Three Rivers,60975.03993304692
2021-02-26,E07000102,Three Rivers,60740.07795443591
2021-02-27,E07000102,Three Rivers,60471.89449693338
2021-02-28,E07000102,Three Rivers,60364.983425378494
2021-03-01,E07000102,Three Rivers,60270.61043439987
2021-03-02,E07000102,Three Rivers,60110.75449307293
2021-03-03,E07000102,Three Rivers,59694.898606962575
2021-03-04,E07000102,Three Rivers,59320.71654631983
2021-03-05,E07000102,Three Rivers,59002.26470567048
2021-03-06,E07000102,Three Rivers,58320.84113304281
2021-03-07,E07000102,Three Rivers,58204.21828184322
2021-03-08,E07000102,Three Rivers,57989.040815710076
2021-03-09,E07000102,Three Rivers,57616.50691541464
2021-03-10,E07000102,Three Rivers,57379.719391038445
2021-03-11,E07000102,Three Rivers,57255.23027386785
2021-03-12,E07000102,Three Rivers,57076.216445421065
2021-03-13,E07000102,Three Rivers,56809.63340626707
2021-03-14,E07000102,Three Rivers,56649.81841565032
2021-03-15,E07000102,Three Rivers,56269.10503819421
2021-03-16,E07000102,Three Rivers,55921.129537289315
2021-03-17,E07000102,Three Rivers,55329.52157804798
2021-03-18,E07000102,Three Rivers,54599.4905532835
2021-03-19,E07000102,Three Rivers,54007.399503938606
2021-03-20,E07000102,Three Rivers,53522.54702555044
2021-03-21,E07000102,Three Rivers,53359.238157934014
2021-03-22,E07000102,Three Rivers,52930.96704337795
2021-03-23,E07000102,Three Rivers,52598.58743672876
2021-03-24,E07000102,Three Rivers,52186.74957471128
2021-03-25,E07000102,Three Rivers,51884.53363327416
2021-03-26,E07000102,Three Rivers,51528.90979656906
2021-03-27,E07000102,Three Rivers,50609.53930901775
2021-03-28,E07000102,Three Rivers,50136.155431239036
2021-03-29,E07000102,Three Rivers,49798.65436408726
2021-03-30,E07000102,Three Rivers,49440.53781150608
2021-03-31,E07000102,Three Rivers,48990.390763558826
2021-04-01,E07000102,Three Rivers,48660.73477659778
2021-04-02,E07000102,Three Rivers,48372.003340594485
2021-04-03,E07000102,Three Rivers,47649.564494513856
2021-04-04,E07000102,Three Rivers,47618.576647638816
2021-04-05,E07000102,Three Rivers,47584.49003637414
2021-04-06,E07000102,Three Rivers,47326.630386403966
2021-04-07,E07000102,Three Rivers,46922.71230875172
2021-04-08,E07000102,Three Rivers,46429.5900366649
2021-04-09,E07000102,Three Rivers,46022.130542992854
2021-04-10,E07000102,Three Rivers,45591.99911431416
2021-04-11,E07000102,Three Rivers,45356.76406330914
2021-04-12,E07000102,Three Rivers,45130.79793734008
2021-04-13,E07000102,Three Rivers,44775.45933475576
2021-04-14,E07000102,Three Rivers,44520.01769648715
2021-04-15,E07000102,Three Rivers,44168.12513220465
2021-04-16,E07000102,Three Rivers,43790.25062336411
2021-04-17,E07000102,Three Rivers,42307.7442949825
2021-04-18,E07000102,Three Rivers,41472.98646485187
2021-04-19,E07000102,Three Rivers,40860.83052710976
2021-04-20,E07000102,Three Rivers,40448.29072662393
2021-04-21,E07000102,Three Rivers,40050.77483460274
2021-04-22,E07000102,Three Rivers,39692.385518885705
2021-04-23,E07000102,Three Rivers,39273.811789482665
2021-04-24,E07000102,Three Rivers,38271.13460170634
2021-04-25,E07000102,Three Rivers,38033.474950689786
2021-04-26,E07000102,Three Rivers,37672.04808887953
2021-04-27,E07000102,Three Rivers,37178.89905759561
2021-04-28,E07000102,Three Rivers,36864.30143819847
2021-04-29,E07000102,Three Rivers,36580.650415288495
2021-04-30,E07000102,Three Rivers,36188.68494654329
2021-05-01,E07000102,Three Rivers,35782.826074198456
2021-05-02,E07000102,Three Rivers,35603.478051760314
2021-05-03,E07000102,Three Rivers,35495.72901298666
2021-05-04,E07000102,Three Rivers,35169.47162200638
2021-05-05,E07000102,Three Rivers,34824.86653703475
2021-05-06,E07000102,Three Rivers,34297.426749871185
2021-05-07,E07000102,Three Rivers,34000.44772084268
2021-05-08,E07000102,Three Rivers,33361.74444106141
2021-05-09,E07000102,Three Rivers,33186.516920980896
2021-05-10,E07000102,Three Rivers,33005.050824711834
2021-05-11,E07000102,Three Rivers,32728.55104938368
2021-05-12,E07000102,Three Rivers,32426.293954257762
2021-05-13,E07000102,Three Rivers,31896.790520271083
2021-05-14,E07000102,Three Rivers,31519.16810102289
2021-05-15,E07000102,Three Rivers,30984.37301836162
2021-05-16,E07000102,Three Rivers,30706.73564720219
2021-05-17,E07000102,Three Rivers,30474.6061518754
2021-05-18,E07000102,Three Rivers,29906.949731596527
2021-05-19,E07000102,Three Rivers,29472.636475984247
2021-05-20,E07000102,Three Rivers,28762.511800934986
2021-05-21,E07000102,Three Rivers,27988.95423978335
2021-05-22,E07000102,Three Rivers,26799.035907701684
2021-05-23,E07000102,Three Rivers,26349.977901672435
2021-05-24,E07000102,Three Rivers,25883.580357042647
2021-05-25,E07000102,Three Rivers,25424.46999204603
2021-05-26,E07000102,Three Rivers,25050.565968278228
2021-05-27,E07000102,Three Rivers,24517.405057429853
2021-05-28,E07000102,Three Rivers,23968.45748730936
2021-05-29,E07000102,Three Rivers,23502.734310036303
2021-05-30,E07000102,Three Rivers,23277.88540603273
2021-05-31,E07000102,Three Rivers,23034.62748346188
2021-06-01,E07000102,Three Rivers,22679.527184914117
2021-06-02,E07000102,Three Rivers,22292.1997773098
2021-06-03,E07000102,Three Rivers,21665.408358704048
2021-06-04,E07000102,Three Rivers,21136.65369657088
2021-06-05,E07000102,Three Rivers,20440.59920160324
2021-06-06,E07000102,Three Rivers,20148.830325786235
2021-06-07,E07000102,Three Rivers,19792.858306555365
2021-06-08,E07000102,Three Rivers,19360.588323900432
2021-06-09,E07000102,Three Rivers,19026.260319355544
2021-06-10,E07000102,Three Rivers,18624.0929865949
2021-06-11,E07000102,Three Rivers,18147.834050992788
2021-06-12,E07000102,Three Rivers,17559.984829006116
2021-06-13,E07000102,Three Rivers,17349.131304210587
2021-06-14,E07000102,Three Rivers,17068.55177425634
2021-06-15,E07000102,Three Rivers,16690.54084028856
2021-06-16,E07000102,Three Rivers,16270.489138710205
2021-06-17,E07000102,Three Rivers,15905.166698980313
2021-06-18,E07000102,Three Rivers,15497.755256565208
2021-06-19,E07000102,Three Rivers,14832.634481142512
2021-06-20,E07000102,Three Rivers,14614.875403445727
2021-06-21,E07000102,Three Rivers,14419.692883037636
2021-06-22,E07000102,Three Rivers,14188.741634574588
2021-06-23,E07000102,Three Rivers,13835.59652521111
2021-06-24,E07000102,Three Rivers,13531.766379869612
2021-06-25,E07000102,Three Rivers,13306.83598040295
2021-06-26,E07000102,Three Rivers,12740.296685390482
2021-06-27,E07000102,Three Rivers,12350.333848150614
2021-06-28,E07000102,Three Rivers,12120.084228897744
