date,areaCode,areaName,PCAresult
2020-12-08,E09000030,Tower Hamlets,219283.55151000887
2020-12-09,E09000030,Tower Hamlets,219277.34693496898
2020-12-10,E09000030,Tower Hamlets,219265.5582423936
2020-12-11,E09000030,Tower Hamlets,219257.49229484194
2020-12-12,E09000030,Tower Hamlets,219255.63092232996
2020-12-13,E09000030,Tower Hamlets,219255.01046482602
2020-12-14,E09000030,Tower Hamlets,219244.46268725852
2020-12-15,E09000030,Tower Hamlets,219209.096609532
2020-12-16,E09000030,Tower Hamlets,219042.19354096305
2020-12-17,E09000030,Tower Hamlets,218872.18818487425
2020-12-18,E09000030,Tower Hamlets,218720.12119744575
2020-12-19,E09000030,Tower Hamlets,218706.41623340343
2020-12-20,E09000030,Tower Hamlets,218537.6517923226
2020-12-21,E09000030,Tower Hamlets,218360.20094618606
2020-12-22,E09000030,Tower Hamlets,218161.03408741046
2020-12-23,E09000030,Tower Hamlets,218060.46507281184
2020-12-24,E09000030,Tower Hamlets,218014.55121751782
2020-12-25,E09000030,Tower Hamlets,218013.31030250984
2020-12-26,E09000030,Tower Hamlets,217991.5942898708
2020-12-27,E09000030,Tower Hamlets,217964.9146171999
2020-12-28,E09000030,Tower Hamlets,217956.84866964823
2020-12-29,E09000030,Tower Hamlets,217895.36847779996
2020-12-30,E09000030,Tower Hamlets,217767.95509366546
2020-12-31,E09000030,Tower Hamlets,217629.93903300865
2021-01-01,E09000030,Tower Hamlets,217616.2340689662
2021-01-02,E09000030,Tower Hamlets,217591.98132735625
2021-01-03,E09000030,Tower Hamlets,217579.57217727683
2021-01-04,E09000030,Tower Hamlets,217519.67886316567
2021-01-05,E09000030,Tower Hamlets,217340.36145256093
2021-01-06,E09000030,Tower Hamlets,216951.02375910035
2021-01-07,E09000030,Tower Hamlets,216598.27129741843
2021-01-08,E09000030,Tower Hamlets,216258.3723694118
2021-01-09,E09000030,Tower Hamlets,216129.56994240425
2021-01-10,E09000030,Tower Hamlets,216005.56647856356
2021-01-11,E09000030,Tower Hamlets,215790.93788918728
2021-01-12,E09000030,Tower Hamlets,215559.8148729789
2021-01-13,E09000030,Tower Hamlets,215267.83212242613
2021-01-14,E09000030,Tower Hamlets,214941.3015865148
2021-01-15,E09000030,Tower Hamlets,214081.1061292316
2021-01-16,E09000030,Tower Hamlets,213350.04249268578
2021-01-17,E09000030,Tower Hamlets,212938.51447068638
2021-01-18,E09000030,Tower Hamlets,212703.65214045462
2021-01-19,E09000030,Tower Hamlets,211834.6273422068
2021-01-20,E09000030,Tower Hamlets,210926.5686201636
2021-01-21,E09000030,Tower Hamlets,210104.07813471387
2021-01-22,E09000030,Tower Hamlets,209704.9592627939
2021-01-23,E09000030,Tower Hamlets,209308.32222088985
2021-01-24,E09000030,Tower Hamlets,209217.68052635482
2021-01-25,E09000030,Tower Hamlets,209092.7489722363
2021-01-26,E09000030,Tower Hamlets,208846.31754524886
2021-01-27,E09000030,Tower Hamlets,208252.48481499107
2021-01-28,E09000030,Tower Hamlets,207451.08988467642
2021-01-29,E09000030,Tower Hamlets,206658.60095523708
2021-01-30,E09000030,Tower Hamlets,206140.18954568944
2021-01-31,E09000030,Tower Hamlets,205807.4761956942
2021-02-01,E09000030,Tower Hamlets,205444.36042800432
2021-02-02,E09000030,Tower Hamlets,204979.98372025727
2021-02-03,E09000030,Tower Hamlets,204479.73027518962
2021-02-04,E09000030,Tower Hamlets,204095.1180906805
2021-02-05,E09000030,Tower Hamlets,203695.2140643916
2021-02-06,E09000030,Tower Hamlets,203435.80792877573
2021-02-07,E09000030,Tower Hamlets,203370.49519399364
2021-02-08,E09000030,Tower Hamlets,203142.5676942155
2021-02-09,E09000030,Tower Hamlets,202859.25477971887
2021-02-10,E09000030,Tower Hamlets,202549.77285214546
2021-02-11,E09000030,Tower Hamlets,202232.17007806548
2021-02-12,E09000030,Tower Hamlets,201827.81305133886
2021-02-13,E09000030,Tower Hamlets,201618.60907458988
2021-02-14,E09000030,Tower Hamlets,201506.92672387464
2021-02-15,E09000030,Tower Hamlets,201264.21804191105
2021-02-16,E09000030,Tower Hamlets,200723.8710239045
2021-02-17,E09000030,Tower Hamlets,199699.69351970786
2021-02-18,E09000030,Tower Hamlets,198625.82451623835
2021-02-19,E09000030,Tower Hamlets,197694.8803345026
2021-02-20,E09000030,Tower Hamlets,197392.55283320262
2021-02-21,E09000030,Tower Hamlets,197229.31761070254
2021-02-22,E09000030,Tower Hamlets,196981.38734293196
2021-02-23,E09000030,Tower Hamlets,196029.47397297053
2021-02-24,E09000030,Tower Hamlets,195075.99250054164
2021-02-25,E09000030,Tower Hamlets,193648.91328849
2021-02-26,E09000030,Tower Hamlets,192583.14337057128
2021-02-27,E09000030,Tower Hamlets,191842.36681782524
2021-02-28,E09000030,Tower Hamlets,191590.32951234624
2021-03-01,E09000030,Tower Hamlets,191080.6158848973
2021-03-02,E09000030,Tower Hamlets,190274.03250677476
2021-03-03,E09000030,Tower Hamlets,189293.77073453812
2021-03-04,E09000030,Tower Hamlets,188536.05017940784
2021-03-05,E09000030,Tower Hamlets,187666.9123775549
2021-03-06,E09000030,Tower Hamlets,187063.1854652327
2021-03-07,E09000030,Tower Hamlets,186844.85589178844
