date,areaCode,areaName,PCAresult
2020-12-08,E06000007,Warrington,166651.83078124054
2020-12-09,E06000007,Warrington,166641.53754850756
2020-12-10,E06000007,Warrington,166632.9194259733
2020-12-11,E06000007,Warrington,166624.30130343908
2020-12-12,E06000007,Warrington,166614.66928413612
2020-12-13,E06000007,Warrington,166612.64149059867
2020-12-14,E06000007,Warrington,166601.33436109687
2020-12-15,E06000007,Warrington,166581.76179239954
2020-12-16,E06000007,Warrington,166400.12000575082
2020-12-17,E06000007,Warrington,166219.69053416382
2020-12-18,E06000007,Warrington,166067.60601885413
2020-12-19,E06000007,Warrington,165898.7461632596
2020-12-20,E06000007,Warrington,165743.11300925928
2020-12-21,E06000007,Warrington,165582.25610636958
2020-12-22,E06000007,Warrington,165503.1721584085
2020-12-23,E06000007,Warrington,165360.21271401734
2020-12-24,E06000007,Warrington,165247.16322430375
2020-12-25,E06000007,Warrington,165247.16322430375
2020-12-26,E06000007,Warrington,165246.14932753507
2020-12-27,E06000007,Warrington,165240.06594692267
2020-12-28,E06000007,Warrington,165231.4478243884
2020-12-29,E06000007,Warrington,165140.04285015687
2020-12-30,E06000007,Warrington,164972.66211946073
2020-12-31,E06000007,Warrington,164872.92574748234
2021-01-01,E06000007,Warrington,164859.48071264458
2021-01-02,E06000007,Warrington,164838.71817682867
2021-01-03,E06000007,Warrington,164825.07472369805
2021-01-04,E06000007,Warrington,164705.69982447097
2021-01-05,E06000007,Warrington,164550.79492773017
2021-01-06,E06000007,Warrington,164132.23977217946
2021-01-07,E06000007,Warrington,163704.51539246296
2021-01-08,E06000007,Warrington,163070.24062615642
2021-01-09,E06000007,Warrington,162676.6513468737
2021-01-10,E06000007,Warrington,162524.25884411158
2021-01-11,E06000007,Warrington,162250.74983073314
2021-01-12,E06000007,Warrington,161684.4448747884
2021-01-13,E06000007,Warrington,161157.19674974386
2021-01-14,E06000007,Warrington,160810.5547092751
2021-01-15,E06000007,Warrington,160083.45880899188
2021-01-16,E06000007,Warrington,159559.25237425353
2021-01-17,E06000007,Warrington,159429.716159396
2021-01-18,E06000007,Warrington,159092.72794353435
2021-01-19,E06000007,Warrington,158358.79914271418
2021-01-20,E06000007,Warrington,157650.6810988886
2021-01-21,E06000007,Warrington,156790.83068045287
2021-01-22,E06000007,Warrington,155796.74905195858
2021-01-23,E06000007,Warrington,154320.00840830087
2021-01-24,E06000007,Warrington,154166.40304783807
2021-01-25,E06000007,Warrington,153543.95873833122
2021-01-26,E06000007,Warrington,152899.31881171078
2021-01-27,E06000007,Warrington,152268.21222642256
2021-01-28,E06000007,Warrington,151386.5188742118
2021-01-29,E06000007,Warrington,150109.91273058002
2021-01-30,E06000007,Warrington,149358.61522494987
2021-01-31,E06000007,Warrington,149261.4795534446
2021-02-01,E06000007,Warrington,148567.81989858634
2021-02-02,E06000007,Warrington,147898.93475601074
2021-02-03,E06000007,Warrington,146822.5732242036
2021-02-04,E06000007,Warrington,145581.96041586186
2021-02-05,E06000007,Warrington,144986.89131911081
2021-02-06,E06000007,Warrington,144799.67310023407
2021-02-07,E06000007,Warrington,144474.05797242548
2021-02-08,E06000007,Warrington,144118.18020660063
2021-02-09,E06000007,Warrington,143634.39718286987
2021-02-10,E06000007,Warrington,143170.31918757813
2021-02-11,E06000007,Warrington,142964.36622642304
2021-02-12,E06000007,Warrington,142120.53973799406
2021-02-13,E06000007,Warrington,141633.36234061842
2021-02-14,E06000007,Warrington,141554.78534104174
2021-02-15,E06000007,Warrington,140977.06260115755
2021-02-16,E06000007,Warrington,140562.97407762508
2021-02-17,E06000007,Warrington,139399.37327045974
2021-02-18,E06000007,Warrington,138109.2337854959
2021-02-19,E06000007,Warrington,137110.28109145095
2021-02-20,E06000007,Warrington,136387.21843029954
2021-02-21,E06000007,Warrington,136348.38182299628
2021-02-22,E06000007,Warrington,136028.8942290473
2021-02-23,E06000007,Warrington,135039.86027909268
2021-02-24,E06000007,Warrington,133604.7559041433
2021-02-25,E06000007,Warrington,133041.86712714742
2021-02-26,E06000007,Warrington,131844.69761481538
2021-02-27,E06000007,Warrington,130988.77086635196
2021-02-28,E06000007,Warrington,130892.53897981688
2021-03-01,E06000007,Warrington,130610.89644434553
2021-03-02,E06000007,Warrington,130316.71265900665
2021-03-03,E06000007,Warrington,129483.1095465439
2021-03-04,E06000007,Warrington,128710.7660361448
2021-03-05,E06000007,Warrington,127692.8812668066
2021-03-06,E06000007,Warrington,127475.5770229025
2021-03-07,E06000007,Warrington,127413.35483136713
2021-03-08,E06000007,Warrington,126868.87371708846
2021-03-09,E06000007,Warrington,126707.3784913508
2021-03-10,E06000007,Warrington,126270.87629766393
2021-03-11,E06000007,Warrington,126107.30966778069
2021-03-12,E06000007,Warrington,125603.33810044787
2021-03-13,E06000007,Warrington,125157.15810629365
2021-03-14,E06000007,Warrington,125084.95121211668
2021-03-15,E06000007,Warrington,124289.731236426
2021-03-16,E06000007,Warrington,123127.23860155336
2021-03-17,E06000007,Warrington,122519.87544779007
2021-03-18,E06000007,Warrington,121543.21427429977
2021-03-19,E06000007,Warrington,119839.42010158671
2021-03-20,E06000007,Warrington,118528.58566727543
2021-03-21,E06000007,Warrington,118309.67281436286
2021-03-22,E06000007,Warrington,117193.51063832412
2021-03-23,E06000007,Warrington,116319.78450535945
2021-03-24,E06000007,Warrington,115129.74330057649
2021-03-25,E06000007,Warrington,114012.5069580445
2021-03-26,E06000007,Warrington,112228.14444877564
2021-03-27,E06000007,Warrington,110815.2939528023
2021-03-28,E06000007,Warrington,110295.9602115318
2021-03-29,E06000007,Warrington,109611.30130743622
2021-03-30,E06000007,Warrington,108289.88683362887
2021-03-31,E06000007,Warrington,106998.5409028907
2021-04-01,E06000007,Warrington,105324.06295815142
2021-04-02,E06000007,Warrington,104838.32732429834
2021-04-03,E06000007,Warrington,104538.30815627774
2021-04-04,E06000007,Warrington,104472.4729954176
2021-04-05,E06000007,Warrington,104241.99569046668
2021-04-06,E06000007,Warrington,103937.68216230429
2021-04-07,E06000007,Warrington,102589.44508778119
2021-04-08,E06000007,Warrington,101005.3609337
2021-04-09,E06000007,Warrington,99801.97158305631
2021-04-10,E06000007,Warrington,98166.10612380774
2021-04-11,E06000007,Warrington,98022.7765318862
2021-04-12,E06000007,Warrington,97539.86941904992
2021-04-13,E06000007,Warrington,96450.14444774648
2021-04-14,E06000007,Warrington,95430.21811941029
2021-04-15,E06000007,Warrington,94495.3909905401
2021-04-16,E06000007,Warrington,92601.88320724269
2021-04-17,E06000007,Warrington,91065.28047205444
2021-04-18,E06000007,Warrington,90867.44302616156
2021-04-19,E06000007,Warrington,90275.01488491528
2021-04-20,E06000007,Warrington,88921.23467863047
2021-04-21,E06000007,Warrington,87746.29117119874
2021-04-22,E06000007,Warrington,86605.29085757637
2021-04-23,E06000007,Warrington,85259.0524545428
2021-04-24,E06000007,Warrington,84360.63458965726
2021-04-25,E06000007,Warrington,84270.84093762941
2021-04-26,E06000007,Warrington,82775.17290294555
2021-04-27,E06000007,Warrington,81981.34012764605
2021-04-28,E06000007,Warrington,80713.80630017936
2021-04-29,E06000007,Warrington,79598.85931509166
2021-04-30,E06000007,Warrington,78663.80762151205
2021-05-01,E06000007,Warrington,77968.90940543353
2021-05-02,E06000007,Warrington,77874.24468785495
2021-05-03,E06000007,Warrington,77402.92871611255
2021-05-04,E06000007,Warrington,76772.9858517842
2021-05-05,E06000007,Warrington,74533.976035554
2021-05-06,E06000007,Warrington,72769.75890217595
2021-05-07,E06000007,Warrington,71969.15729453744
2021-05-08,E06000007,Warrington,70914.91219847104
2021-05-09,E06000007,Warrington,70779.0314819912
2021-05-10,E06000007,Warrington,69767.30029318693
2021-05-11,E06000007,Warrington,68419.87110019296
2021-05-12,E06000007,Warrington,66276.11854322492
2021-05-13,E06000007,Warrington,65098.68281920143
2021-05-14,E06000007,Warrington,63946.75502867425
2021-05-15,E06000007,Warrington,62722.35080317168
2021-05-16,E06000007,Warrington,62588.827130346726
2021-05-17,E06000007,Warrington,61696.60275787209
2021-05-18,E06000007,Warrington,59964.750253926926
2021-05-19,E06000007,Warrington,59030.99755398626
2021-05-20,E06000007,Warrington,56949.654754065545
2021-05-21,E06000007,Warrington,55956.1192437093
2021-05-22,E06000007,Warrington,55144.15739089426
2021-05-23,E06000007,Warrington,54992.979916389035
2021-05-24,E06000007,Warrington,53524.482707138464
2021-05-25,E06000007,Warrington,51829.058016647774
2021-05-26,E06000007,Warrington,49887.08566765378
2021-05-27,E06000007,Warrington,47883.965013414934
2021-05-28,E06000007,Warrington,47381.83421674662
2021-05-29,E06000007,Warrington,46506.28793340123
2021-05-30,E06000007,Warrington,46361.523632264834
2021-05-31,E06000007,Warrington,46115.72559342823
2021-06-01,E06000007,Warrington,44327.13160719523
2021-06-02,E06000007,Warrington,42879.639505300685
2021-06-03,E06000007,Warrington,42111.58699946683
2021-06-04,E06000007,Warrington,41346.57781185632
2021-06-05,E06000007,Warrington,40474.914301070334
2021-06-06,E06000007,Warrington,40280.35705611418
2021-06-07,E06000007,Warrington,39483.50222525639
2021-06-08,E06000007,Warrington,38290.35815562516
2021-06-09,E06000007,Warrington,36969.30665753185
2021-06-10,E06000007,Warrington,36082.82964144734
2021-06-11,E06000007,Warrington,35342.63668637422
2021-06-12,E06000007,Warrington,34398.45531832737
2021-06-13,E06000007,Warrington,34271.4342106438
2021-06-14,E06000007,Warrington,33330.95845952847
2021-06-15,E06000007,Warrington,32197.271585974657
2021-06-16,E06000007,Warrington,31161.405835652768
2021-06-17,E06000007,Warrington,29767.418923686757
2021-06-18,E06000007,Warrington,28988.432149076732
2021-06-19,E06000007,Warrington,28274.534813875605
2021-06-20,E06000007,Warrington,28155.359960858612
2021-06-21,E06000007,Warrington,27422.287436185055
2021-06-22,E06000007,Warrington,26482.70517766455
2021-06-23,E06000007,Warrington,25525.521654966466
2021-06-24,E06000007,Warrington,24925.34896883014
2021-06-25,E06000007,Warrington,24283.092250047564
2021-06-26,E06000007,Warrington,23860.810757539384
2021-06-27,E06000007,Warrington,23754.639406888007
2021-06-28,E06000007,Warrington,23209.94783651514
2021-06-29,E06000007,Warrington,22714.49378498459
2021-06-30,E06000007,Warrington,21874.87650629501
2021-07-01,E06000007,Warrington,21242.191799527118
2021-07-02,E06000007,Warrington,20488.185009800272
2021-07-03,E06000007,Warrington,19852.041878956148
2021-07-04,E06000007,Warrington,19738.09023218949
2021-07-05,E06000007,Warrington,19517.791987263477
2021-07-06,E06000007,Warrington,18803.43565539852
2021-07-07,E06000007,Warrington,18181.605050498096
2021-07-08,E06000007,Warrington,17644.913999837532
2021-07-09,E06000007,Warrington,17194.95338579731
2021-07-10,E06000007,Warrington,16789.71514645512
2021-07-11,E06000007,Warrington,16705.496036301873
2021-07-12,E06000007,Warrington,16571.75376779705
2021-07-13,E06000007,Warrington,16118.112317760913
2021-07-14,E06000007,Warrington,15083.65649571831
2021-07-15,E06000007,Warrington,14555.89183524712
2021-07-16,E06000007,Warrington,14189.37846349252
2021-07-17,E06000007,Warrington,13775.368921848483
2021-07-18,E06000007,Warrington,13680.748357517112
2021-07-19,E06000007,Warrington,13430.52241351903
2021-07-20,E06000007,Warrington,12928.812971935891
2021-07-21,E06000007,Warrington,12168.806242106155
2021-07-22,E06000007,Warrington,11557.599205334285
2021-07-23,E06000007,Warrington,11214.38365395643
2021-07-24,E06000007,Warrington,10804.472767356438
2021-07-25,E06000007,Warrington,10758.518162646087
2021-07-26,E06000007,Warrington,10398.133410029186
2021-07-27,E06000007,Warrington,9838.236643959626
2021-07-28,E06000007,Warrington,9589.66291957818
2021-07-29,E06000007,Warrington,9256.118674765568
2021-07-30,E06000007,Warrington,8917.310308523192
2021-07-31,E06000007,Warrington,8527.389547232384
2021-08-01,E06000007,Warrington,8454.876293520178
2021-08-02,E06000007,Warrington,8185.475160049665
2021-08-03,E06000007,Warrington,7838.136977767492
2021-08-04,E06000007,Warrington,7503.186865585208
2021-08-05,E06000007,Warrington,7135.699164526941
2021-08-06,E06000007,Warrington,6802.424162543472
2021-08-07,E06000007,Warrington,6415.214756163344
2021-08-08,E06000007,Warrington,6380.037984627268
2021-08-09,E06000007,Warrington,6132.986190677014
2021-08-10,E06000007,Warrington,5443.547801125968
2021-08-11,E06000007,Warrington,5080.297971191717
2021-08-12,E06000007,Warrington,4520.113675259486
2021-08-13,E06000007,Warrington,4221.772873271961
2021-08-14,E06000007,Warrington,3771.6598845394415
2021-08-15,E06000007,Warrington,3716.448291807919
2021-08-16,E06000007,Warrington,3477.4406281781316
2021-08-17,E06000007,Warrington,3269.135507119554
2021-08-18,E06000007,Warrington,2899.891145706384
2021-08-19,E06000007,Warrington,2446.053447933509
2021-08-20,E06000007,Warrington,2047.8664423718067
2021-08-21,E06000007,Warrington,1554.6404930250656
2021-08-22,E06000007,Warrington,1397.7105159419996
2021-08-23,E06000007,Warrington,937.5261459905996
2021-08-24,E06000007,Warrington,576.9429750807683
2021-08-25,E06000007,Warrington,19.06749088009834
2021-08-26,E06000007,Warrington,-228.86845329248607
2021-08-27,E06000007,Warrington,-306.4735387914812
2021-08-28,E06000007,Warrington,-599.6175433814146
2021-08-29,E06000007,Warrington,-655.7994222735077
2021-08-30,E06000007,Warrington,-886.1889633690769
2021-08-31,E06000007,Warrington,-1317.8081534461855
2021-09-01,E06000007,Warrington,-1411.503127503253
2021-09-02,E06000007,Warrington,-1790.1598272614074
2021-09-03,E06000007,Warrington,-1971.003056986948
2021-09-04,E06000007,Warrington,-2042.7455281096145
2021-09-05,E06000007,Warrington,-2072.0820332124913
2021-09-06,E06000007,Warrington,-2236.3278833565505
2021-09-07,E06000007,Warrington,-2466.9599959922602
2021-09-08,E06000007,Warrington,-2875.529083420469
2021-09-09,E06000007,Warrington,-3154.4122944940887
2021-09-10,E06000007,Warrington,-3467.5859740917736
2021-09-11,E06000007,Warrington,-3546.138997808206
2021-09-12,E06000007,Warrington,-3570.692201215729
2021-09-13,E06000007,Warrington,-3740.1636906025774
2021-09-14,E06000007,Warrington,-3845.431518720003
2021-09-15,E06000007,Warrington,-3943.358692840842
2021-09-16,E06000007,Warrington,-4005.2949646641705
2021-09-17,E06000007,Warrington,-4047.3705952884425
2021-09-18,E06000007,Warrington,-4238.2166261144075
2021-09-19,E06000007,Warrington,-4264.451153420037
2021-09-20,E06000007,Warrington,-4488.867968340767
2021-09-21,E06000007,Warrington,-4839.602034948808
2021-09-22,E06000007,Warrington,-5113.277299958029
2021-09-23,E06000007,Warrington,-5297.358090577113
2021-09-24,E06000007,Warrington,-5427.5187511769755
2021-09-25,E06000007,Warrington,-5773.519098083338
2021-09-26,E06000007,Warrington,-5805.867868156608
2021-09-27,E06000007,Warrington,-6166.214122736463
2021-09-28,E06000007,Warrington,-6632.968422106389
2021-09-29,E06000007,Warrington,-6944.66564114087
2021-09-30,E06000007,Warrington,-7451.883232029278
2021-10-01,E06000007,Warrington,-7937.570653474975
2021-10-02,E06000007,Warrington,-8254.984972880418
2021-10-03,E06000007,Warrington,-8282.725632671241
2021-10-04,E06000007,Warrington,-8830.630175849159
2021-10-05,E06000007,Warrington,-9270.691346165544
2021-10-06,E06000007,Warrington,-9770.253628371733
2021-10-07,E06000007,Warrington,-10282.434766928034
2021-10-08,E06000007,Warrington,-10831.992979429571
2021-10-09,E06000007,Warrington,-11516.254510761592
2021-10-10,E06000007,Warrington,-11557.801945579973
2021-10-11,E06000007,Warrington,-12082.075854262637
2021-10-12,E06000007,Warrington,-12810.814037433853
2021-10-13,E06000007,Warrington,-13627.253488381026
2021-10-14,E06000007,Warrington,-14366.061147174189
2021-10-15,E06000007,Warrington,-15193.537073582584
2021-10-16,E06000007,Warrington,-15835.85937282647
2021-10-17,E06000007,Warrington,-15875.856053134969
2021-10-18,E06000007,Warrington,-16559.241243018074
2021-10-19,E06000007,Warrington,-16811.223683797834
2021-10-20,E06000007,Warrington,-17293.53398160764
2021-10-21,E06000007,Warrington,-17774.395076763416
2021-10-22,E06000007,Warrington,-18400.845981303508
2021-10-23,E06000007,Warrington,-19188.674175765747
2021-10-24,E06000007,Warrington,-19253.78382304862
2021-10-25,E06000007,Warrington,-19741.0755350359
2021-10-26,E06000007,Warrington,-20311.04760466219
2021-10-27,E06000007,Warrington,-20956.310292072176
2021-10-28,E06000007,Warrington,-21435.625017037997
2021-10-29,E06000007,Warrington,-22193.77740813473
