date,areaCode,areaName,PCAresult
2020-12-08,E07000127,West Lancashire,91846.16056437037
2020-12-09,E07000127,West Lancashire,91839.10441997064
2020-12-10,E07000127,West Lancashire,91826.29853635572
2020-12-11,E07000127,West Lancashire,91818.91052657789
2020-12-12,E07000127,West Lancashire,91814.47772071119
2020-12-13,E07000127,West Lancashire,91813.49265274084
2020-12-14,E07000127,West Lancashire,91806.2758397339
2020-12-15,E07000127,West Lancashire,91753.90656869678
2020-12-16,E07000127,West Lancashire,91588.74701505165
2020-12-17,E07000127,West Lancashire,91377.78180078401
2020-12-18,E07000127,West Lancashire,91272.05819073944
2020-12-19,E07000127,West Lancashire,91105.58170374592
2020-12-20,E07000127,West Lancashire,90873.59819672236
2020-12-21,E07000127,West Lancashire,90605.16717479489
2020-12-22,E07000127,West Lancashire,90220.00559837787
2020-12-23,E07000127,West Lancashire,90011.66372264332
2020-12-24,E07000127,West Lancashire,89997.87277105807
2020-12-25,E07000127,West Lancashire,89997.87277105807
2020-12-26,E07000127,West Lancashire,89997.38023707285
2020-12-27,E07000127,West Lancashire,89994.42503316174
2020-12-28,E07000127,West Lancashire,89989.00715932465
2020-12-29,E07000127,West Lancashire,89928.12519825963
2020-12-30,E07000127,West Lancashire,89588.30833297099
2020-12-31,E07000127,West Lancashire,89214.70940396641
2021-01-01,E07000127,West Lancashire,88973.69961660229
2021-01-02,E07000127,West Lancashire,88961.91038544891
2021-01-03,E07000127,West Lancashire,88954.05089801332
2021-01-04,E07000127,West Lancashire,88935.54791600183
2021-01-05,E07000127,West Lancashire,88821.93826989105
2021-01-06,E07000127,West Lancashire,88475.61501442418
2021-01-07,E07000127,West Lancashire,87843.33733068549
2021-01-08,E07000127,West Lancashire,87201.80998545962
2021-01-09,E07000127,West Lancashire,86933.14643104527
2021-01-10,E07000127,West Lancashire,86593.31812470756
2021-01-11,E07000127,West Lancashire,86386.05607041671
2021-01-12,E07000127,West Lancashire,85957.28280690733
2021-01-13,E07000127,West Lancashire,85823.81662508509
2021-01-14,E07000127,West Lancashire,85526.01528898094
2021-01-15,E07000127,West Lancashire,85067.63734554176
2021-01-16,E07000127,West Lancashire,84755.70266431058
2021-01-17,E07000127,West Lancashire,84681.83309469608
2021-01-18,E07000127,West Lancashire,84550.99025140695
2021-01-19,E07000127,West Lancashire,84333.64315165929
2021-01-20,E07000127,West Lancashire,84166.19212485904
2021-01-21,E07000127,West Lancashire,83956.55437210354
2021-01-22,E07000127,West Lancashire,83618.84725503543
2021-01-23,E07000127,West Lancashire,83025.1936624404
2021-01-24,E07000127,West Lancashire,82664.16625129763
2021-01-25,E07000127,West Lancashire,82511.491244053
2021-01-26,E07000127,West Lancashire,82338.62234341571
2021-01-27,E07000127,West Lancashire,82171.3425133864
2021-01-28,E07000127,West Lancashire,81984.51146439293
2021-01-29,E07000127,West Lancashire,81531.73311972541
2021-01-30,E07000127,West Lancashire,80816.61588588722
2021-01-31,E07000127,West Lancashire,80285.6132712549
2021-02-01,E07000127,West Lancashire,80113.89010719513
2021-02-02,E07000127,West Lancashire,79729.07092431984
2021-02-03,E07000127,West Lancashire,79351.13668907346
2021-02-04,E07000127,West Lancashire,78923.4565213231
2021-02-05,E07000127,West Lancashire,78558.04894513213
2021-02-06,E07000127,West Lancashire,77869.81829921731
2021-02-07,E07000127,West Lancashire,77490.73832739342
2021-02-08,E07000127,West Lancashire,77174.54203706639
2021-02-09,E07000127,West Lancashire,76654.27600826441
2021-02-10,E07000127,West Lancashire,76452.02626528671
2021-02-11,E07000127,West Lancashire,76207.40807141911
2021-02-12,E07000127,West Lancashire,75894.8623002504
2021-02-13,E07000127,West Lancashire,75042.45716866084
2021-02-14,E07000127,West Lancashire,74594.09057353258
2021-02-15,E07000127,West Lancashire,74331.40929082021
2021-02-16,E07000127,West Lancashire,73952.33984716001
2021-02-17,E07000127,West Lancashire,73516.80019197405
2021-02-18,E07000127,West Lancashire,73218.17445650666
2021-02-19,E07000127,West Lancashire,73110.80204773562
2021-02-20,E07000127,West Lancashire,72891.79562109786
