date,areaCode,areaName,PCAresult
2020-12-08,E07000239,Wyre Forest,83653.6204867606
2020-12-09,E07000239,Wyre Forest,83652.49603151216
2020-12-10,E07000239,Wyre Forest,83652.0183349889
2020-12-11,E07000239,Wyre Forest,83649.15215584937
2020-12-12,E07000239,Wyre Forest,83645.80828018654
2020-12-13,E07000239,Wyre Forest,83643.41979757027
2020-12-14,E07000239,Wyre Forest,83641.50901147723
2020-12-15,E07000239,Wyre Forest,83530.20572155798
2020-12-16,E07000239,Wyre Forest,83395.01760547582
2020-12-17,E07000239,Wyre Forest,83266.99493724255
2020-12-18,E07000239,Wyre Forest,83248.36477283546
2020-12-19,E07000239,Wyre Forest,83033.40133736913
2020-12-20,E07000239,Wyre Forest,82837.06806630988
2020-12-21,E07000239,Wyre Forest,82797.89695140268
2020-12-22,E07000239,Wyre Forest,82774.01212523974
2020-12-23,E07000239,Wyre Forest,82758.72583649546
2020-12-24,E07000239,Wyre Forest,82751.08269212334
2020-12-25,E07000239,Wyre Forest,82751.08269212334
2020-12-26,E07000239,Wyre Forest,82751.08269212334
2020-12-27,E07000239,Wyre Forest,82743.91724427449
2020-12-28,E07000239,Wyre Forest,82732.93022423954
2020-12-29,E07000239,Wyre Forest,82709.52309459986
2020-12-30,E07000239,Wyre Forest,82644.07867091343
2020-12-31,E07000239,Wyre Forest,82575.76806808745
2021-01-01,E07000239,Wyre Forest,82572.42419242465
2021-01-02,E07000239,Wyre Forest,82511.75673397082
2021-01-03,E07000239,Wyre Forest,82504.89992044328
2021-01-04,E07000239,Wyre Forest,82459.04105421048
2021-01-05,E07000239,Wyre Forest,82301.65085569146
2021-01-06,E07000239,Wyre Forest,82156.82033889664
2021-01-07,E07000239,Wyre Forest,81966.91728671355
2021-01-08,E07000239,Wyre Forest,81888.71462901858
2021-01-09,E07000239,Wyre Forest,81219.8215361266
2021-01-10,E07000239,Wyre Forest,80788.13718471662
2021-01-11,E07000239,Wyre Forest,80666.43465332259
2021-01-12,E07000239,Wyre Forest,80480.91934009637
2021-01-13,E07000239,Wyre Forest,80247.94300886562
2021-01-14,E07000239,Wyre Forest,79966.88839098769
2021-01-15,E07000239,Wyre Forest,79616.09008071403
