areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000085,East Hampshire,ltla,2022-08-02,101507
E07000085,East Hampshire,ltla,2022-08-01,101498
E07000085,East Hampshire,ltla,2022-07-31,101493
E07000085,East Hampshire,ltla,2022-07-30,101481
E07000085,East Hampshire,ltla,2022-07-29,101466
E07000085,East Hampshire,ltla,2022-07-28,101460
E07000085,East Hampshire,ltla,2022-07-27,101455
E07000085,East Hampshire,ltla,2022-07-26,101449
E07000085,East Hampshire,ltla,2022-07-25,101436
E07000085,East Hampshire,ltla,2022-07-24,101426
E07000085,East Hampshire,ltla,2022-07-23,101412
E07000085,East Hampshire,ltla,2022-07-22,101383
E07000085,East Hampshire,ltla,2022-07-21,101365
E07000085,East Hampshire,ltla,2022-07-20,101357
E07000085,East Hampshire,ltla,2022-07-19,101355
E07000085,East Hampshire,ltla,2022-07-18,101341
E07000085,East Hampshire,ltla,2022-07-17,101332
E07000085,East Hampshire,ltla,2022-07-16,101319
E07000085,East Hampshire,ltla,2022-07-15,101280
E07000085,East Hampshire,ltla,2022-07-14,101273
E07000085,East Hampshire,ltla,2022-07-13,101267
E07000085,East Hampshire,ltla,2022-07-12,101254
E07000085,East Hampshire,ltla,2022-07-11,101248
E07000085,East Hampshire,ltla,2022-07-10,101244
E07000085,East Hampshire,ltla,2022-07-09,101229
E07000085,East Hampshire,ltla,2022-07-08,101193
E07000085,East Hampshire,ltla,2022-07-07,101187
E07000085,East Hampshire,ltla,2022-07-06,101182
E07000085,East Hampshire,ltla,2022-07-05,101175
E07000085,East Hampshire,ltla,2022-07-04,101165
E07000085,East Hampshire,ltla,2022-07-03,101156
E07000085,East Hampshire,ltla,2022-07-02,101142
E07000085,East Hampshire,ltla,2022-07-01,101103
E07000085,East Hampshire,ltla,2022-06-30,101096
E07000085,East Hampshire,ltla,2022-06-29,101088
E07000085,East Hampshire,ltla,2022-06-28,101085
E07000085,East Hampshire,ltla,2022-06-27,101071
E07000085,East Hampshire,ltla,2022-06-26,101065
E07000085,East Hampshire,ltla,2022-06-25,101057
E07000085,East Hampshire,ltla,2022-06-24,101020
E07000085,East Hampshire,ltla,2022-06-23,101011
E07000085,East Hampshire,ltla,2022-06-22,101009
E07000085,East Hampshire,ltla,2022-06-21,101002
E07000085,East Hampshire,ltla,2022-06-20,100998
E07000085,East Hampshire,ltla,2022-06-19,100994
E07000085,East Hampshire,ltla,2022-06-18,100986
E07000085,East Hampshire,ltla,2022-06-17,100972
E07000085,East Hampshire,ltla,2022-06-16,100962
E07000085,East Hampshire,ltla,2022-06-15,100961
E07000085,East Hampshire,ltla,2022-06-14,100958
E07000085,East Hampshire,ltla,2022-06-13,100956
E07000085,East Hampshire,ltla,2022-06-12,100952
E07000085,East Hampshire,ltla,2022-06-11,100939
E07000085,East Hampshire,ltla,2022-06-10,100911
E07000085,East Hampshire,ltla,2022-06-09,100908
E07000085,East Hampshire,ltla,2022-06-08,100903
E07000085,East Hampshire,ltla,2022-06-07,100898
E07000085,East Hampshire,ltla,2022-06-06,100891
E07000085,East Hampshire,ltla,2022-06-05,100885
E07000085,East Hampshire,ltla,2022-06-04,100884
E07000085,East Hampshire,ltla,2022-06-03,100873
E07000085,East Hampshire,ltla,2022-06-02,100872
E07000085,East Hampshire,ltla,2022-06-01,100868
E07000085,East Hampshire,ltla,2022-05-31,100851
E07000085,East Hampshire,ltla,2022-05-30,100833
E07000085,East Hampshire,ltla,2022-05-29,100826
E07000085,East Hampshire,ltla,2022-05-28,100814
E07000085,East Hampshire,ltla,2022-05-27,100787
E07000085,East Hampshire,ltla,2022-05-26,100776
E07000085,East Hampshire,ltla,2022-05-25,100772
E07000085,East Hampshire,ltla,2022-05-24,100766
E07000085,East Hampshire,ltla,2022-05-23,100757
E07000085,East Hampshire,ltla,2022-05-22,100750
E07000085,East Hampshire,ltla,2022-05-21,100741
E07000085,East Hampshire,ltla,2022-05-20,100710
E07000085,East Hampshire,ltla,2022-05-19,100706
E07000085,East Hampshire,ltla,2022-05-18,100697
E07000085,East Hampshire,ltla,2022-05-17,100689
E07000085,East Hampshire,ltla,2022-05-16,100679
E07000085,East Hampshire,ltla,2022-05-15,100670
E07000085,East Hampshire,ltla,2022-05-14,100657
E07000085,East Hampshire,ltla,2022-05-13,100616
E07000085,East Hampshire,ltla,2022-05-12,100611
E07000085,East Hampshire,ltla,2022-05-11,100602
E07000085,East Hampshire,ltla,2022-05-10,100595
E07000085,East Hampshire,ltla,2022-05-09,100590
E07000085,East Hampshire,ltla,2022-05-08,100587
E07000085,East Hampshire,ltla,2022-05-07,100565
E07000085,East Hampshire,ltla,2022-05-06,100520
E07000085,East Hampshire,ltla,2022-05-05,100508
E07000085,East Hampshire,ltla,2022-05-04,100502
E07000085,East Hampshire,ltla,2022-05-03,100495
E07000085,East Hampshire,ltla,2022-05-02,100482
E07000085,East Hampshire,ltla,2022-05-01,100477
E07000085,East Hampshire,ltla,2022-04-30,100465
E07000085,East Hampshire,ltla,2022-04-29,100422
E07000085,East Hampshire,ltla,2022-04-28,100410
E07000085,East Hampshire,ltla,2022-04-27,100401
E07000085,East Hampshire,ltla,2022-04-26,100386
E07000085,East Hampshire,ltla,2022-04-25,100378
E07000085,East Hampshire,ltla,2022-04-24,100363
E07000085,East Hampshire,ltla,2022-04-23,100331
E07000085,East Hampshire,ltla,2022-04-22,100293
E07000085,East Hampshire,ltla,2022-04-21,100269
E07000085,East Hampshire,ltla,2022-04-20,100244
E07000085,East Hampshire,ltla,2022-04-19,100217
