areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000062,Hastings,ltla,2022-08-02,65211
E07000062,Hastings,ltla,2022-08-01,65205
E07000062,Hastings,ltla,2022-07-31,65202
E07000062,Hastings,ltla,2022-07-30,65196
E07000062,Hastings,ltla,2022-07-29,65187
E07000062,Hastings,ltla,2022-07-28,65185
E07000062,Hastings,ltla,2022-07-27,65182
E07000062,Hastings,ltla,2022-07-26,65175
E07000062,Hastings,ltla,2022-07-25,65168
E07000062,Hastings,ltla,2022-07-24,65163
E07000062,Hastings,ltla,2022-07-23,65160
E07000062,Hastings,ltla,2022-07-22,65138
E07000062,Hastings,ltla,2022-07-21,65136
E07000062,Hastings,ltla,2022-07-20,65126
E07000062,Hastings,ltla,2022-07-19,65122
E07000062,Hastings,ltla,2022-07-18,65117
E07000062,Hastings,ltla,2022-07-17,65115
E07000062,Hastings,ltla,2022-07-16,65115
E07000062,Hastings,ltla,2022-07-15,65083
E07000062,Hastings,ltla,2022-07-14,65078
E07000062,Hastings,ltla,2022-07-13,65075
E07000062,Hastings,ltla,2022-07-12,65068
E07000062,Hastings,ltla,2022-07-11,65055
E07000062,Hastings,ltla,2022-07-10,65054
E07000062,Hastings,ltla,2022-07-09,65053
E07000062,Hastings,ltla,2022-07-08,65046
E07000062,Hastings,ltla,2022-07-07,65041
E07000062,Hastings,ltla,2022-07-06,65040
E07000062,Hastings,ltla,2022-07-05,65036
E07000062,Hastings,ltla,2022-07-04,65028
E07000062,Hastings,ltla,2022-07-03,65025
E07000062,Hastings,ltla,2022-07-02,65022
E07000062,Hastings,ltla,2022-07-01,65007
E07000062,Hastings,ltla,2022-06-30,64999
E07000062,Hastings,ltla,2022-06-29,64991
E07000062,Hastings,ltla,2022-06-28,64987
E07000062,Hastings,ltla,2022-06-27,64979
E07000062,Hastings,ltla,2022-06-26,64977
E07000062,Hastings,ltla,2022-06-25,64966
E07000062,Hastings,ltla,2022-06-24,64951
E07000062,Hastings,ltla,2022-06-23,64946
E07000062,Hastings,ltla,2022-06-22,64940
E07000062,Hastings,ltla,2022-06-21,64936
E07000062,Hastings,ltla,2022-06-20,64928
E07000062,Hastings,ltla,2022-06-19,64926
E07000062,Hastings,ltla,2022-06-18,64915
E07000062,Hastings,ltla,2022-06-17,64901
E07000062,Hastings,ltla,2022-06-16,64895
E07000062,Hastings,ltla,2022-06-15,64893
E07000062,Hastings,ltla,2022-06-14,64890
E07000062,Hastings,ltla,2022-06-13,64887
E07000062,Hastings,ltla,2022-06-12,64886
E07000062,Hastings,ltla,2022-06-11,64877
E07000062,Hastings,ltla,2022-06-10,64865
E07000062,Hastings,ltla,2022-06-09,64859
E07000062,Hastings,ltla,2022-06-08,64856
E07000062,Hastings,ltla,2022-06-07,64849
E07000062,Hastings,ltla,2022-06-06,64839
E07000062,Hastings,ltla,2022-06-05,64837
E07000062,Hastings,ltla,2022-06-04,64836
E07000062,Hastings,ltla,2022-06-03,64821
E07000062,Hastings,ltla,2022-06-02,64821
E07000062,Hastings,ltla,2022-06-01,64821
E07000062,Hastings,ltla,2022-05-31,64814
E07000062,Hastings,ltla,2022-05-30,64807
E07000062,Hastings,ltla,2022-05-29,64803
E07000062,Hastings,ltla,2022-05-28,64795
E07000062,Hastings,ltla,2022-05-27,64773
E07000062,Hastings,ltla,2022-05-26,64765
E07000062,Hastings,ltla,2022-05-25,64762
E07000062,Hastings,ltla,2022-05-24,64760
E07000062,Hastings,ltla,2022-05-23,64754
E07000062,Hastings,ltla,2022-05-22,64752
E07000062,Hastings,ltla,2022-05-21,64742
E07000062,Hastings,ltla,2022-05-20,64720
E07000062,Hastings,ltla,2022-05-19,64710
E07000062,Hastings,ltla,2022-05-18,64706
E07000062,Hastings,ltla,2022-05-17,64705
E07000062,Hastings,ltla,2022-05-16,64700
E07000062,Hastings,ltla,2022-05-15,64697
E07000062,Hastings,ltla,2022-05-14,64689
E07000062,Hastings,ltla,2022-05-13,64666
E07000062,Hastings,ltla,2022-05-12,64657
E07000062,Hastings,ltla,2022-05-11,64650
E07000062,Hastings,ltla,2022-05-10,64643
E07000062,Hastings,ltla,2022-05-09,64629
E07000062,Hastings,ltla,2022-05-08,64626
E07000062,Hastings,ltla,2022-05-07,64609
E07000062,Hastings,ltla,2022-05-06,64581
E07000062,Hastings,ltla,2022-05-05,64568
E07000062,Hastings,ltla,2022-05-04,64561
E07000062,Hastings,ltla,2022-05-03,64558
E07000062,Hastings,ltla,2022-05-02,64545
E07000062,Hastings,ltla,2022-05-01,64545
E07000062,Hastings,ltla,2022-04-30,64539
E07000062,Hastings,ltla,2022-04-29,64506
E07000062,Hastings,ltla,2022-04-28,64498
E07000062,Hastings,ltla,2022-04-27,64491
E07000062,Hastings,ltla,2022-04-26,64489
E07000062,Hastings,ltla,2022-04-25,64479
E07000062,Hastings,ltla,2022-04-24,64476
E07000062,Hastings,ltla,2022-04-23,64467
E07000062,Hastings,ltla,2022-04-22,64432
E07000062,Hastings,ltla,2022-04-21,64423
E07000062,Hastings,ltla,2022-04-20,64415
E07000062,Hastings,ltla,2022-04-19,64410
E07000062,Hastings,ltla,2022-04-18,64390
E07000062,Hastings,ltla,2022-04-17,64390
E07000062,Hastings,ltla,2022-04-16,64387
E07000062,Hastings,ltla,2022-04-15,64359
E07000062,Hastings,ltla,2022-04-14,64353
E07000062,Hastings,ltla,2022-04-13,64348
E07000062,Hastings,ltla,2022-04-12,64338
E07000062,Hastings,ltla,2022-04-11,64316
E07000062,Hastings,ltla,2022-04-10,64312
E07000062,Hastings,ltla,2022-04-09,64305
E07000062,Hastings,ltla,2022-04-08,64278
E07000062,Hastings,ltla,2022-04-07,64262
E07000062,Hastings,ltla,2022-04-06,64255
E07000062,Hastings,ltla,2022-04-05,64248
E07000062,Hastings,ltla,2022-04-04,64231
E07000062,Hastings,ltla,2022-04-03,64225
E07000062,Hastings,ltla,2022-04-02,64219
E07000062,Hastings,ltla,2022-04-01,64191
E07000062,Hastings,ltla,2022-03-31,64181
E07000062,Hastings,ltla,2022-03-30,64165
E07000062,Hastings,ltla,2022-03-29,64159
E07000062,Hastings,ltla,2022-03-28,64138
E07000062,Hastings,ltla,2022-03-27,64130
E07000062,Hastings,ltla,2022-03-26,64126
E07000062,Hastings,ltla,2022-03-25,64096
E07000062,Hastings,ltla,2022-03-24,64075
E07000062,Hastings,ltla,2022-03-23,64061
E07000062,Hastings,ltla,2022-03-22,64057
E07000062,Hastings,ltla,2022-03-21,64015
E07000062,Hastings,ltla,2022-03-20,64008
E07000062,Hastings,ltla,2022-03-19,63996
E07000062,Hastings,ltla,2022-03-18,63958
E07000062,Hastings,ltla,2022-03-17,63945
E07000062,Hastings,ltla,2022-03-16,63938
E07000062,Hastings,ltla,2022-03-15,63927
E07000062,Hastings,ltla,2022-03-14,63899
E07000062,Hastings,ltla,2022-03-13,63889
E07000062,Hastings,ltla,2022-03-12,63873
E07000062,Hastings,ltla,2022-03-11,63817
E07000062,Hastings,ltla,2022-03-10,63798
E07000062,Hastings,ltla,2022-03-09,63786
E07000062,Hastings,ltla,2022-03-08,63779
E07000062,Hastings,ltla,2022-03-07,63754
E07000062,Hastings,ltla,2022-03-06,63748
E07000062,Hastings,ltla,2022-03-05,63743
E07000062,Hastings,ltla,2022-03-04,63721
E07000062,Hastings,ltla,2022-03-03,63707
E07000062,Hastings,ltla,2022-03-02,63659
E07000062,Hastings,ltla,2022-03-01,63654
E07000062,Hastings,ltla,2022-02-28,63635
E07000062,Hastings,ltla,2022-02-27,63508
E07000062,Hastings,ltla,2022-02-26,63498
E07000062,Hastings,ltla,2022-02-25,63465
E07000062,Hastings,ltla,2022-02-24,63455
E07000062,Hastings,ltla,2022-02-23,63445
E07000062,Hastings,ltla,2022-02-22,63421
E07000062,Hastings,ltla,2022-02-21,63401
E07000062,Hastings,ltla,2022-02-20,63397
E07000062,Hastings,ltla,2022-02-19,63397
E07000062,Hastings,ltla,2022-02-18,63368
E07000062,Hastings,ltla,2022-02-17,63363
E07000062,Hastings,ltla,2022-02-16,63351
E07000062,Hastings,ltla,2022-02-15,63339
E07000062,Hastings,ltla,2022-02-14,63306
E07000062,Hastings,ltla,2022-02-13,63290
E07000062,Hastings,ltla,2022-02-12,63283
E07000062,Hastings,ltla,2022-02-11,63233
E07000062,Hastings,ltla,2022-02-10,63211
E07000062,Hastings,ltla,2022-02-09,63197
E07000062,Hastings,ltla,2022-02-08,63139
E07000062,Hastings,ltla,2022-02-07,63104
E07000062,Hastings,ltla,2022-02-06,63083
E07000062,Hastings,ltla,2022-02-05,63078
E07000062,Hastings,ltla,2022-02-04,63031
E07000062,Hastings,ltla,2022-02-03,63005
E07000062,Hastings,ltla,2022-02-02,62930
E07000062,Hastings,ltla,2022-02-01,62907
E07000062,Hastings,ltla,2022-01-31,62878
E07000062,Hastings,ltla,2022-01-30,62870
E07000062,Hastings,ltla,2022-01-29,62852
E07000062,Hastings,ltla,2022-01-28,62821
E07000062,Hastings,ltla,2022-01-27,62787
E07000062,Hastings,ltla,2022-01-26,62766
E07000062,Hastings,ltla,2022-01-25,62742
E07000062,Hastings,ltla,2022-01-24,62648
E07000062,Hastings,ltla,2022-01-23,62635
E07000062,Hastings,ltla,2022-01-22,62623
E07000062,Hastings,ltla,2022-01-21,62577
E07000062,Hastings,ltla,2022-01-20,62543
E07000062,Hastings,ltla,2022-01-19,62367
E07000062,Hastings,ltla,2022-01-18,62296
E07000062,Hastings,ltla,2022-01-17,62257
E07000062,Hastings,ltla,2022-01-16,62240
E07000062,Hastings,ltla,2022-01-15,62221
E07000062,Hastings,ltla,2022-01-14,62171
E07000062,Hastings,ltla,2022-01-13,62125
E07000062,Hastings,ltla,2022-01-12,62087
E07000062,Hastings,ltla,2022-01-11,61977
E07000062,Hastings,ltla,2022-01-10,61894
E07000062,Hastings,ltla,2022-01-09,61853
E07000062,Hastings,ltla,2022-01-08,61846
E07000062,Hastings,ltla,2022-01-07,61795
E07000062,Hastings,ltla,2022-01-06,61746
E07000062,Hastings,ltla,2022-01-05,61712
E07000062,Hastings,ltla,2022-01-04,61665
E07000062,Hastings,ltla,2022-01-03,61616
E07000062,Hastings,ltla,2022-01-02,61616
E07000062,Hastings,ltla,2022-01-01,61600
E07000062,Hastings,ltla,2021-12-31,61594
E07000062,Hastings,ltla,2021-12-30,61562
E07000062,Hastings,ltla,2021-12-29,61502
E07000062,Hastings,ltla,2021-12-28,61465
E07000062,Hastings,ltla,2021-12-27,61432
E07000062,Hastings,ltla,2021-12-26,61424
E07000062,Hastings,ltla,2021-12-25,61420
E07000062,Hastings,ltla,2021-12-24,61417
E07000062,Hastings,ltla,2021-12-23,61398
E07000062,Hastings,ltla,2021-12-22,61340
E07000062,Hastings,ltla,2021-12-21,61294
E07000062,Hastings,ltla,2021-12-20,61223
E07000062,Hastings,ltla,2021-12-19,61187
E07000062,Hastings,ltla,2021-12-18,61146
E07000062,Hastings,ltla,2021-12-17,61100
E07000062,Hastings,ltla,2021-12-16,61039
E07000062,Hastings,ltla,2021-12-15,60967
E07000062,Hastings,ltla,2021-12-14,60897
E07000062,Hastings,ltla,2021-12-13,60834
E07000062,Hastings,ltla,2021-12-12,60780
E07000062,Hastings,ltla,2021-12-11,60772
E07000062,Hastings,ltla,2021-12-10,60722
E07000062,Hastings,ltla,2021-12-09,60680
E07000062,Hastings,ltla,2021-12-08,60637
E07000062,Hastings,ltla,2021-12-07,60591
E07000062,Hastings,ltla,2021-12-06,60553
E07000062,Hastings,ltla,2021-12-05,60549
E07000062,Hastings,ltla,2021-12-04,60518
E07000062,Hastings,ltla,2021-12-03,60442
E07000062,Hastings,ltla,2021-12-02,60406
E07000062,Hastings,ltla,2021-12-01,60359
E07000062,Hastings,ltla,2021-11-30,60306
E07000062,Hastings,ltla,2021-11-29,60267
E07000062,Hastings,ltla,2021-11-28,60263
E07000062,Hastings,ltla,2021-11-27,60244
E07000062,Hastings,ltla,2021-11-26,60212
E07000062,Hastings,ltla,2021-11-25,60171
E07000062,Hastings,ltla,2021-11-24,60136
E07000062,Hastings,ltla,2021-11-23,60092
E07000062,Hastings,ltla,2021-11-22,60052
E07000062,Hastings,ltla,2021-11-21,60042
E07000062,Hastings,ltla,2021-11-20,60035
E07000062,Hastings,ltla,2021-11-19,60002
E07000062,Hastings,ltla,2021-11-18,59974
E07000062,Hastings,ltla,2021-11-17,59946
E07000062,Hastings,ltla,2021-11-16,59927
E07000062,Hastings,ltla,2021-11-15,59875
E07000062,Hastings,ltla,2021-11-14,59869
E07000062,Hastings,ltla,2021-11-13,59868
E07000062,Hastings,ltla,2021-11-12,59838
E07000062,Hastings,ltla,2021-11-11,59806
E07000062,Hastings,ltla,2021-11-10,59769
E07000062,Hastings,ltla,2021-11-09,59745
E07000062,Hastings,ltla,2021-11-08,59719
E07000062,Hastings,ltla,2021-11-07,59706
E07000062,Hastings,ltla,2021-11-06,59703
E07000062,Hastings,ltla,2021-11-05,59680
E07000062,Hastings,ltla,2021-11-04,59647
E07000062,Hastings,ltla,2021-11-03,59603
E07000062,Hastings,ltla,2021-11-02,59584
E07000062,Hastings,ltla,2021-11-01,59555
E07000062,Hastings,ltla,2021-10-31,59541
E07000062,Hastings,ltla,2021-10-30,59539
E07000062,Hastings,ltla,2021-10-29,59490
E07000062,Hastings,ltla,2021-10-28,59441
E07000062,Hastings,ltla,2021-10-27,59416
E07000062,Hastings,ltla,2021-10-26,59373
E07000062,Hastings,ltla,2021-10-25,59336
E07000062,Hastings,ltla,2021-10-24,59333
E07000062,Hastings,ltla,2021-10-23,59330
E07000062,Hastings,ltla,2021-10-22,59290
E07000062,Hastings,ltla,2021-10-21,59251
E07000062,Hastings,ltla,2021-10-20,59195
E07000062,Hastings,ltla,2021-10-19,59154
E07000062,Hastings,ltla,2021-10-18,59107
E07000062,Hastings,ltla,2021-10-17,59100
E07000062,Hastings,ltla,2021-10-16,59099
E07000062,Hastings,ltla,2021-10-15,59048
E07000062,Hastings,ltla,2021-10-14,58982
E07000062,Hastings,ltla,2021-10-13,58950
E07000062,Hastings,ltla,2021-10-12,58915
E07000062,Hastings,ltla,2021-10-11,58886
E07000062,Hastings,ltla,2021-10-10,58879
E07000062,Hastings,ltla,2021-10-09,58878
E07000062,Hastings,ltla,2021-10-08,58835
E07000062,Hastings,ltla,2021-10-07,58765
E07000062,Hastings,ltla,2021-10-06,58678
E07000062,Hastings,ltla,2021-10-05,58580
E07000062,Hastings,ltla,2021-10-04,58556
E07000062,Hastings,ltla,2021-10-03,58553
E07000062,Hastings,ltla,2021-10-02,58550
E07000062,Hastings,ltla,2021-10-01,58506
E07000062,Hastings,ltla,2021-09-30,58466
E07000062,Hastings,ltla,2021-09-29,58356
E07000062,Hastings,ltla,2021-09-28,58287
E07000062,Hastings,ltla,2021-09-27,58161
E07000062,Hastings,ltla,2021-09-26,58157
E07000062,Hastings,ltla,2021-09-25,58157
E07000062,Hastings,ltla,2021-09-24,58105
E07000062,Hastings,ltla,2021-09-23,58047
E07000062,Hastings,ltla,2021-09-22,57901
E07000062,Hastings,ltla,2021-09-21,57746
E07000062,Hastings,ltla,2021-09-20,57506
E07000062,Hastings,ltla,2021-09-19,57501
E07000062,Hastings,ltla,2021-09-18,57483
E07000062,Hastings,ltla,2021-09-17,57404
E07000062,Hastings,ltla,2021-09-16,57371
E07000062,Hastings,ltla,2021-09-15,57133
E07000062,Hastings,ltla,2021-09-14,56952
E07000062,Hastings,ltla,2021-09-13,56772
E07000062,Hastings,ltla,2021-09-12,56762
E07000062,Hastings,ltla,2021-09-11,56754
E07000062,Hastings,ltla,2021-09-10,56689
E07000062,Hastings,ltla,2021-09-09,56605
E07000062,Hastings,ltla,2021-09-08,56347
E07000062,Hastings,ltla,2021-09-07,56096
E07000062,Hastings,ltla,2021-09-06,55901
E07000062,Hastings,ltla,2021-09-05,55890
E07000062,Hastings,ltla,2021-09-04,55867
E07000062,Hastings,ltla,2021-09-03,55699
E07000062,Hastings,ltla,2021-09-02,55567
E07000062,Hastings,ltla,2021-09-01,55347
E07000062,Hastings,ltla,2021-08-31,55041
E07000062,Hastings,ltla,2021-08-30,55008
E07000062,Hastings,ltla,2021-08-29,55003
E07000062,Hastings,ltla,2021-08-28,54890
E07000062,Hastings,ltla,2021-08-27,54805
E07000062,Hastings,ltla,2021-08-26,54735
E07000062,Hastings,ltla,2021-08-25,54649
E07000062,Hastings,ltla,2021-08-24,54476
E07000062,Hastings,ltla,2021-08-23,54164
E07000062,Hastings,ltla,2021-08-22,54128
E07000062,Hastings,ltla,2021-08-21,54114
E07000062,Hastings,ltla,2021-08-20,53932
E07000062,Hastings,ltla,2021-08-19,53581
E07000062,Hastings,ltla,2021-08-18,53276
E07000062,Hastings,ltla,2021-08-17,52953
E07000062,Hastings,ltla,2021-08-16,52900
E07000062,Hastings,ltla,2021-08-15,52880
E07000062,Hastings,ltla,2021-08-14,52864
E07000062,Hastings,ltla,2021-08-13,52578
E07000062,Hastings,ltla,2021-08-12,52290
E07000062,Hastings,ltla,2021-08-11,51869
E07000062,Hastings,ltla,2021-08-10,51674
E07000062,Hastings,ltla,2021-08-09,51601
E07000062,Hastings,ltla,2021-08-08,51585
E07000062,Hastings,ltla,2021-08-07,51531
E07000062,Hastings,ltla,2021-08-06,51390
E07000062,Hastings,ltla,2021-08-05,51325
E07000062,Hastings,ltla,2021-08-04,51138
E07000062,Hastings,ltla,2021-08-03,50679
E07000062,Hastings,ltla,2021-08-02,50426
E07000062,Hastings,ltla,2021-08-01,50036
E07000062,Hastings,ltla,2021-07-31,49998
E07000062,Hastings,ltla,2021-07-30,49806
E07000062,Hastings,ltla,2021-07-29,49593
E07000062,Hastings,ltla,2021-07-28,49293
E07000062,Hastings,ltla,2021-07-27,49140
E07000062,Hastings,ltla,2021-07-26,48652
E07000062,Hastings,ltla,2021-07-25,48526
E07000062,Hastings,ltla,2021-07-24,48475
E07000062,Hastings,ltla,2021-07-23,48345
E07000062,Hastings,ltla,2021-07-22,47879
E07000062,Hastings,ltla,2021-07-21,47697
E07000062,Hastings,ltla,2021-07-20,47551
E07000062,Hastings,ltla,2021-07-19,47333
E07000062,Hastings,ltla,2021-07-18,47167
E07000062,Hastings,ltla,2021-07-17,47118
E07000062,Hastings,ltla,2021-07-16,46833
E07000062,Hastings,ltla,2021-07-15,46395
