areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E08000003,Manchester,ltla,2022-08-02,361992
E08000003,Manchester,ltla,2022-08-01,361953
E08000003,Manchester,ltla,2022-07-31,361899
E08000003,Manchester,ltla,2022-07-30,361862
E08000003,Manchester,ltla,2022-07-29,361805
E08000003,Manchester,ltla,2022-07-28,361794
E08000003,Manchester,ltla,2022-07-27,361744
E08000003,Manchester,ltla,2022-07-26,361685
E08000003,Manchester,ltla,2022-07-25,361643
E08000003,Manchester,ltla,2022-07-24,361581
E08000003,Manchester,ltla,2022-07-23,361545
E08000003,Manchester,ltla,2022-07-22,361489
E08000003,Manchester,ltla,2022-07-21,361465
E08000003,Manchester,ltla,2022-07-20,361416
E08000003,Manchester,ltla,2022-07-19,361378
E08000003,Manchester,ltla,2022-07-18,361334
E08000003,Manchester,ltla,2022-07-17,361296
E08000003,Manchester,ltla,2022-07-16,361231
E08000003,Manchester,ltla,2022-07-15,361157
E08000003,Manchester,ltla,2022-07-14,361118
E08000003,Manchester,ltla,2022-07-13,361052
E08000003,Manchester,ltla,2022-07-12,360998
E08000003,Manchester,ltla,2022-07-11,360934
E08000003,Manchester,ltla,2022-07-10,360885
E08000003,Manchester,ltla,2022-07-09,360838
E08000003,Manchester,ltla,2022-07-08,360767
E08000003,Manchester,ltla,2022-07-07,360719
E08000003,Manchester,ltla,2022-07-06,360649
E08000003,Manchester,ltla,2022-07-05,360601
E08000003,Manchester,ltla,2022-07-04,360496
E08000003,Manchester,ltla,2022-07-03,360444
E08000003,Manchester,ltla,2022-07-02,360386
E08000003,Manchester,ltla,2022-07-01,360303
E08000003,Manchester,ltla,2022-06-30,360268
E08000003,Manchester,ltla,2022-06-29,360210
E08000003,Manchester,ltla,2022-06-28,360160
E08000003,Manchester,ltla,2022-06-27,360070
E08000003,Manchester,ltla,2022-06-26,360032
E08000003,Manchester,ltla,2022-06-25,359971
E08000003,Manchester,ltla,2022-06-24,359875
E08000003,Manchester,ltla,2022-06-23,359834
E08000003,Manchester,ltla,2022-06-22,359765
E08000003,Manchester,ltla,2022-06-21,359717
E08000003,Manchester,ltla,2022-06-20,359659
E08000003,Manchester,ltla,2022-06-19,359614
E08000003,Manchester,ltla,2022-06-18,359579
E08000003,Manchester,ltla,2022-06-17,359495
E08000003,Manchester,ltla,2022-06-16,359468
E08000003,Manchester,ltla,2022-06-15,359391
E08000003,Manchester,ltla,2022-06-14,359338
E08000003,Manchester,ltla,2022-06-13,359277
E08000003,Manchester,ltla,2022-06-12,359233
E08000003,Manchester,ltla,2022-06-11,359189
E08000003,Manchester,ltla,2022-06-10,359081
E08000003,Manchester,ltla,2022-06-09,359041
E08000003,Manchester,ltla,2022-06-08,358993
E08000003,Manchester,ltla,2022-06-07,358956
E08000003,Manchester,ltla,2022-06-06,358880
E08000003,Manchester,ltla,2022-06-05,358844
E08000003,Manchester,ltla,2022-06-04,358803
E08000003,Manchester,ltla,2022-06-03,358722
E08000003,Manchester,ltla,2022-06-02,358708
E08000003,Manchester,ltla,2022-06-01,358683
E08000003,Manchester,ltla,2022-05-31,358567
E08000003,Manchester,ltla,2022-05-30,358495
E08000003,Manchester,ltla,2022-05-29,358433
E08000003,Manchester,ltla,2022-05-28,358367
E08000003,Manchester,ltla,2022-05-27,358251
E08000003,Manchester,ltla,2022-05-26,358153
E08000003,Manchester,ltla,2022-05-25,358107
E08000003,Manchester,ltla,2022-05-24,358028
E08000003,Manchester,ltla,2022-05-23,357985
E08000003,Manchester,ltla,2022-05-22,357953
E08000003,Manchester,ltla,2022-05-21,357922
E08000003,Manchester,ltla,2022-05-20,357792
E08000003,Manchester,ltla,2022-05-19,357741
E08000003,Manchester,ltla,2022-05-18,357653
E08000003,Manchester,ltla,2022-05-17,357581
E08000003,Manchester,ltla,2022-05-16,357515
E08000003,Manchester,ltla,2022-05-15,357465
E08000003,Manchester,ltla,2022-05-14,357414
E08000003,Manchester,ltla,2022-05-13,357268
E08000003,Manchester,ltla,2022-05-12,357195
E08000003,Manchester,ltla,2022-05-11,357133
E08000003,Manchester,ltla,2022-05-10,357010
E08000003,Manchester,ltla,2022-05-09,356940
E08000003,Manchester,ltla,2022-05-08,356858
E08000003,Manchester,ltla,2022-05-07,356786
E08000003,Manchester,ltla,2022-05-06,356650
E08000003,Manchester,ltla,2022-05-05,356568
E08000003,Manchester,ltla,2022-05-04,356501
E08000003,Manchester,ltla,2022-05-03,356405
E08000003,Manchester,ltla,2022-05-02,356315
E08000003,Manchester,ltla,2022-05-01,356307
E08000003,Manchester,ltla,2022-04-30,356262
E08000003,Manchester,ltla,2022-04-29,356126
E08000003,Manchester,ltla,2022-04-28,356063
E08000003,Manchester,ltla,2022-04-27,356010
E08000003,Manchester,ltla,2022-04-26,355913
E08000003,Manchester,ltla,2022-04-25,355842
E08000003,Manchester,ltla,2022-04-24,355774
E08000003,Manchester,ltla,2022-04-23,355687
E08000003,Manchester,ltla,2022-04-22,355542
E08000003,Manchester,ltla,2022-04-21,355442
E08000003,Manchester,ltla,2022-04-20,355369
E08000003,Manchester,ltla,2022-04-19,355261
E08000003,Manchester,ltla,2022-04-18,355182
E08000003,Manchester,ltla,2022-04-17,355151
E08000003,Manchester,ltla,2022-04-16,355096
E08000003,Manchester,ltla,2022-04-15,354966
E08000003,Manchester,ltla,2022-04-14,354921
E08000003,Manchester,ltla,2022-04-13,354809
E08000003,Manchester,ltla,2022-04-12,354647
E08000003,Manchester,ltla,2022-04-11,354542
E08000003,Manchester,ltla,2022-04-10,354448
