areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000174,Mansfield,ltla,2022-08-02,80433
E07000174,Mansfield,ltla,2022-08-01,80427
E07000174,Mansfield,ltla,2022-07-31,80418
E07000174,Mansfield,ltla,2022-07-30,80415
E07000174,Mansfield,ltla,2022-07-29,80410
E07000174,Mansfield,ltla,2022-07-28,80399
E07000174,Mansfield,ltla,2022-07-27,80397
E07000174,Mansfield,ltla,2022-07-26,80391
E07000174,Mansfield,ltla,2022-07-25,80382
E07000174,Mansfield,ltla,2022-07-24,80373
E07000174,Mansfield,ltla,2022-07-23,80371
E07000174,Mansfield,ltla,2022-07-22,80363
E07000174,Mansfield,ltla,2022-07-21,80352
E07000174,Mansfield,ltla,2022-07-20,80350
E07000174,Mansfield,ltla,2022-07-19,80345
E07000174,Mansfield,ltla,2022-07-18,80341
E07000174,Mansfield,ltla,2022-07-17,80340
E07000174,Mansfield,ltla,2022-07-16,80339
E07000174,Mansfield,ltla,2022-07-15,80330
E07000174,Mansfield,ltla,2022-07-14,80313
E07000174,Mansfield,ltla,2022-07-13,80308
E07000174,Mansfield,ltla,2022-07-12,80302
E07000174,Mansfield,ltla,2022-07-11,80292
E07000174,Mansfield,ltla,2022-07-10,80280
E07000174,Mansfield,ltla,2022-07-09,80274
E07000174,Mansfield,ltla,2022-07-08,80264
E07000174,Mansfield,ltla,2022-07-07,80249
E07000174,Mansfield,ltla,2022-07-06,80232
E07000174,Mansfield,ltla,2022-07-05,80227
E07000174,Mansfield,ltla,2022-07-04,80222
E07000174,Mansfield,ltla,2022-07-03,80222
E07000174,Mansfield,ltla,2022-07-02,80217
E07000174,Mansfield,ltla,2022-07-01,80201
E07000174,Mansfield,ltla,2022-06-30,80193
E07000174,Mansfield,ltla,2022-06-29,80184
E07000174,Mansfield,ltla,2022-06-28,80180
E07000174,Mansfield,ltla,2022-06-27,80174
E07000174,Mansfield,ltla,2022-06-26,80163
E07000174,Mansfield,ltla,2022-06-25,80163
E07000174,Mansfield,ltla,2022-06-24,80148
E07000174,Mansfield,ltla,2022-06-23,80145
E07000174,Mansfield,ltla,2022-06-22,80139
E07000174,Mansfield,ltla,2022-06-21,80137
E07000174,Mansfield,ltla,2022-06-20,80134
E07000174,Mansfield,ltla,2022-06-19,80130
E07000174,Mansfield,ltla,2022-06-18,80119
E07000174,Mansfield,ltla,2022-06-17,80106
E07000174,Mansfield,ltla,2022-06-16,80098
E07000174,Mansfield,ltla,2022-06-15,80097
E07000174,Mansfield,ltla,2022-06-14,80095
E07000174,Mansfield,ltla,2022-06-13,80091
E07000174,Mansfield,ltla,2022-06-12,80090
E07000174,Mansfield,ltla,2022-06-11,80085
E07000174,Mansfield,ltla,2022-06-10,80075
E07000174,Mansfield,ltla,2022-06-09,80071
E07000174,Mansfield,ltla,2022-06-08,80070
E07000174,Mansfield,ltla,2022-06-07,80068
E07000174,Mansfield,ltla,2022-06-06,80063
E07000174,Mansfield,ltla,2022-06-05,80053
E07000174,Mansfield,ltla,2022-06-04,80040
E07000174,Mansfield,ltla,2022-06-03,80040
E07000174,Mansfield,ltla,2022-06-02,80038
E07000174,Mansfield,ltla,2022-06-01,80038
E07000174,Mansfield,ltla,2022-05-31,80034
E07000174,Mansfield,ltla,2022-05-30,80024
E07000174,Mansfield,ltla,2022-05-29,80012
E07000174,Mansfield,ltla,2022-05-28,80002
E07000174,Mansfield,ltla,2022-05-27,79999
E07000174,Mansfield,ltla,2022-05-26,79992
E07000174,Mansfield,ltla,2022-05-25,79986
E07000174,Mansfield,ltla,2022-05-24,79976
E07000174,Mansfield,ltla,2022-05-23,79972
E07000174,Mansfield,ltla,2022-05-22,79969
E07000174,Mansfield,ltla,2022-05-21,79964
E07000174,Mansfield,ltla,2022-05-20,79956
E07000174,Mansfield,ltla,2022-05-19,79953
E07000174,Mansfield,ltla,2022-05-18,79945
E07000174,Mansfield,ltla,2022-05-17,79933
E07000174,Mansfield,ltla,2022-05-16,79924
E07000174,Mansfield,ltla,2022-05-15,79916
E07000174,Mansfield,ltla,2022-05-14,79910
E07000174,Mansfield,ltla,2022-05-13,79898
E07000174,Mansfield,ltla,2022-05-12,79892
E07000174,Mansfield,ltla,2022-05-11,79876
E07000174,Mansfield,ltla,2022-05-10,79867
E07000174,Mansfield,ltla,2022-05-09,79859
E07000174,Mansfield,ltla,2022-05-08,79852
E07000174,Mansfield,ltla,2022-05-07,79838
E07000174,Mansfield,ltla,2022-05-06,79824
E07000174,Mansfield,ltla,2022-05-05,79817
E07000174,Mansfield,ltla,2022-05-04,79804
E07000174,Mansfield,ltla,2022-05-03,79792
E07000174,Mansfield,ltla,2022-05-02,79786
E07000174,Mansfield,ltla,2022-05-01,79780
E07000174,Mansfield,ltla,2022-04-30,79765
E07000174,Mansfield,ltla,2022-04-29,79757
E07000174,Mansfield,ltla,2022-04-28,79742
E07000174,Mansfield,ltla,2022-04-27,79729
E07000174,Mansfield,ltla,2022-04-26,79719
E07000174,Mansfield,ltla,2022-04-25,79710
E07000174,Mansfield,ltla,2022-04-24,79694
E07000174,Mansfield,ltla,2022-04-23,79682
E07000174,Mansfield,ltla,2022-04-22,79666
E07000174,Mansfield,ltla,2022-04-21,79638
E07000174,Mansfield,ltla,2022-04-20,79626
E07000174,Mansfield,ltla,2022-04-19,79619
E07000174,Mansfield,ltla,2022-04-18,79601
E07000174,Mansfield,ltla,2022-04-17,79596
E07000174,Mansfield,ltla,2022-04-16,79586
E07000174,Mansfield,ltla,2022-04-15,79568
E07000174,Mansfield,ltla,2022-04-14,79556
E07000174,Mansfield,ltla,2022-04-13,79531
E07000174,Mansfield,ltla,2022-04-12,79517
E07000174,Mansfield,ltla,2022-04-11,79500
E07000174,Mansfield,ltla,2022-04-10,79486
E07000174,Mansfield,ltla,2022-04-09,79470
E07000174,Mansfield,ltla,2022-04-08,79448
E07000174,Mansfield,ltla,2022-04-07,79417
E07000174,Mansfield,ltla,2022-04-06,79397
E07000174,Mansfield,ltla,2022-04-05,79380
E07000174,Mansfield,ltla,2022-04-04,79353
E07000174,Mansfield,ltla,2022-04-03,79336
E07000174,Mansfield,ltla,2022-04-02,79313
E07000174,Mansfield,ltla,2022-04-01,79298
E07000174,Mansfield,ltla,2022-03-31,79279
E07000174,Mansfield,ltla,2022-03-30,79258
E07000174,Mansfield,ltla,2022-03-29,79247
E07000174,Mansfield,ltla,2022-03-28,79237
E07000174,Mansfield,ltla,2022-03-27,79227
E07000174,Mansfield,ltla,2022-03-26,79210
E07000174,Mansfield,ltla,2022-03-25,79182
E07000174,Mansfield,ltla,2022-03-24,79158
E07000174,Mansfield,ltla,2022-03-23,79147
E07000174,Mansfield,ltla,2022-03-22,79133
E07000174,Mansfield,ltla,2022-03-21,79124
E07000174,Mansfield,ltla,2022-03-20,79107
E07000174,Mansfield,ltla,2022-03-19,79092
E07000174,Mansfield,ltla,2022-03-18,79068
E07000174,Mansfield,ltla,2022-03-17,79044
E07000174,Mansfield,ltla,2022-03-16,79026
E07000174,Mansfield,ltla,2022-03-15,79015
E07000174,Mansfield,ltla,2022-03-14,78999
E07000174,Mansfield,ltla,2022-03-13,78990
E07000174,Mansfield,ltla,2022-03-12,78970
E07000174,Mansfield,ltla,2022-03-11,78941
E07000174,Mansfield,ltla,2022-03-10,78927
E07000174,Mansfield,ltla,2022-03-09,78913
E07000174,Mansfield,ltla,2022-03-08,78899
E07000174,Mansfield,ltla,2022-03-07,78879
E07000174,Mansfield,ltla,2022-03-06,78864
E07000174,Mansfield,ltla,2022-03-05,78847
E07000174,Mansfield,ltla,2022-03-04,78814
E07000174,Mansfield,ltla,2022-03-03,78724
E07000174,Mansfield,ltla,2022-03-02,78707
E07000174,Mansfield,ltla,2022-03-01,78686
E07000174,Mansfield,ltla,2022-02-28,78671
E07000174,Mansfield,ltla,2022-02-27,78647
E07000174,Mansfield,ltla,2022-02-26,78624
E07000174,Mansfield,ltla,2022-02-25,78615
E07000174,Mansfield,ltla,2022-02-24,78598
E07000174,Mansfield,ltla,2022-02-23,78580
E07000174,Mansfield,ltla,2022-02-22,78570
E07000174,Mansfield,ltla,2022-02-21,78560
E07000174,Mansfield,ltla,2022-02-20,78546
E07000174,Mansfield,ltla,2022-02-19,78535
E07000174,Mansfield,ltla,2022-02-18,78510
E07000174,Mansfield,ltla,2022-02-17,78482
E07000174,Mansfield,ltla,2022-02-16,78462
E07000174,Mansfield,ltla,2022-02-15,78429
E07000174,Mansfield,ltla,2022-02-14,78399
E07000174,Mansfield,ltla,2022-02-13,78370
E07000174,Mansfield,ltla,2022-02-12,78359
E07000174,Mansfield,ltla,2022-02-11,78324
E07000174,Mansfield,ltla,2022-02-10,78292
E07000174,Mansfield,ltla,2022-02-09,78269
E07000174,Mansfield,ltla,2022-02-08,78245
E07000174,Mansfield,ltla,2022-02-07,78224
E07000174,Mansfield,ltla,2022-02-06,78207
E07000174,Mansfield,ltla,2022-02-05,78188
E07000174,Mansfield,ltla,2022-02-04,78160
E07000174,Mansfield,ltla,2022-02-03,78130
E07000174,Mansfield,ltla,2022-02-02,78076
E07000174,Mansfield,ltla,2022-02-01,78029
E07000174,Mansfield,ltla,2022-01-31,78002
E07000174,Mansfield,ltla,2022-01-30,77984
E07000174,Mansfield,ltla,2022-01-29,77961
E07000174,Mansfield,ltla,2022-01-28,77911
E07000174,Mansfield,ltla,2022-01-27,77868
E07000174,Mansfield,ltla,2022-01-26,77826
E07000174,Mansfield,ltla,2022-01-25,77730
E07000174,Mansfield,ltla,2022-01-24,77510
E07000174,Mansfield,ltla,2022-01-23,77481
E07000174,Mansfield,ltla,2022-01-22,77459
E07000174,Mansfield,ltla,2022-01-21,77418
E07000174,Mansfield,ltla,2022-01-20,77314
E07000174,Mansfield,ltla,2022-01-19,77277
E07000174,Mansfield,ltla,2022-01-18,77205
E07000174,Mansfield,ltla,2022-01-17,77155
E07000174,Mansfield,ltla,2022-01-16,77128
E07000174,Mansfield,ltla,2022-01-15,77087
E07000174,Mansfield,ltla,2022-01-14,77037
E07000174,Mansfield,ltla,2022-01-13,77004
E07000174,Mansfield,ltla,2022-01-12,76965
E07000174,Mansfield,ltla,2022-01-11,76940
E07000174,Mansfield,ltla,2022-01-10,76872
E07000174,Mansfield,ltla,2022-01-09,76853
E07000174,Mansfield,ltla,2022-01-08,76808
E07000174,Mansfield,ltla,2022-01-07,76746
E07000174,Mansfield,ltla,2022-01-06,76691
E07000174,Mansfield,ltla,2022-01-05,76605
E07000174,Mansfield,ltla,2022-01-04,76571
E07000174,Mansfield,ltla,2022-01-03,76518
E07000174,Mansfield,ltla,2022-01-02,76454
E07000174,Mansfield,ltla,2022-01-01,76380
E07000174,Mansfield,ltla,2021-12-31,76380
E07000174,Mansfield,ltla,2021-12-30,76341
