areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E08000004,Oldham,ltla,2022-08-02,159421
E08000004,Oldham,ltla,2022-08-01,159410
E08000004,Oldham,ltla,2022-07-31,159392
E08000004,Oldham,ltla,2022-07-30,159378
E08000004,Oldham,ltla,2022-07-29,159361
E08000004,Oldham,ltla,2022-07-28,159334
E08000004,Oldham,ltla,2022-07-27,159310
E08000004,Oldham,ltla,2022-07-26,159280
E08000004,Oldham,ltla,2022-07-25,159248
E08000004,Oldham,ltla,2022-07-24,159230
E08000004,Oldham,ltla,2022-07-23,159217
E08000004,Oldham,ltla,2022-07-22,159192
E08000004,Oldham,ltla,2022-07-21,159175
E08000004,Oldham,ltla,2022-07-20,159150
E08000004,Oldham,ltla,2022-07-19,159130
E08000004,Oldham,ltla,2022-07-18,159111
E08000004,Oldham,ltla,2022-07-17,159094
E08000004,Oldham,ltla,2022-07-16,159071
E08000004,Oldham,ltla,2022-07-15,159027
E08000004,Oldham,ltla,2022-07-14,158994
E08000004,Oldham,ltla,2022-07-13,158968
E08000004,Oldham,ltla,2022-07-12,158937
E08000004,Oldham,ltla,2022-07-11,158910
E08000004,Oldham,ltla,2022-07-10,158887
E08000004,Oldham,ltla,2022-07-09,158861
E08000004,Oldham,ltla,2022-07-08,158830
E08000004,Oldham,ltla,2022-07-07,158808
E08000004,Oldham,ltla,2022-07-06,158788
E08000004,Oldham,ltla,2022-07-05,158758
E08000004,Oldham,ltla,2022-07-04,158712
E08000004,Oldham,ltla,2022-07-03,158671
E08000004,Oldham,ltla,2022-07-02,158642
E08000004,Oldham,ltla,2022-07-01,158592
E08000004,Oldham,ltla,2022-06-30,158571
E08000004,Oldham,ltla,2022-06-29,158550
E08000004,Oldham,ltla,2022-06-28,158520
E08000004,Oldham,ltla,2022-06-27,158488
E08000004,Oldham,ltla,2022-06-26,158462
E08000004,Oldham,ltla,2022-06-25,158428
E08000004,Oldham,ltla,2022-06-24,158392
E08000004,Oldham,ltla,2022-06-23,158362
E08000004,Oldham,ltla,2022-06-22,158332
E08000004,Oldham,ltla,2022-06-21,158316
E08000004,Oldham,ltla,2022-06-20,158287
E08000004,Oldham,ltla,2022-06-19,158262
E08000004,Oldham,ltla,2022-06-18,158239
E08000004,Oldham,ltla,2022-06-17,158203
E08000004,Oldham,ltla,2022-06-16,158185
E08000004,Oldham,ltla,2022-06-15,158167
E08000004,Oldham,ltla,2022-06-14,158149
E08000004,Oldham,ltla,2022-06-13,158124
E08000004,Oldham,ltla,2022-06-12,158103
E08000004,Oldham,ltla,2022-06-11,158079
E08000004,Oldham,ltla,2022-06-10,158049
E08000004,Oldham,ltla,2022-06-09,158024
E08000004,Oldham,ltla,2022-06-08,157992
E08000004,Oldham,ltla,2022-06-07,157970
E08000004,Oldham,ltla,2022-06-06,157937
E08000004,Oldham,ltla,2022-06-05,157891
E08000004,Oldham,ltla,2022-06-04,157886
E08000004,Oldham,ltla,2022-06-03,157838
E08000004,Oldham,ltla,2022-06-02,157837
E08000004,Oldham,ltla,2022-06-01,157837
E08000004,Oldham,ltla,2022-05-31,157795
E08000004,Oldham,ltla,2022-05-30,157729
E08000004,Oldham,ltla,2022-05-29,157698
E08000004,Oldham,ltla,2022-05-28,157668
E08000004,Oldham,ltla,2022-05-27,157627
E08000004,Oldham,ltla,2022-05-26,157599
E08000004,Oldham,ltla,2022-05-25,157569
E08000004,Oldham,ltla,2022-05-24,157549
E08000004,Oldham,ltla,2022-05-23,157527
E08000004,Oldham,ltla,2022-05-22,157493
E08000004,Oldham,ltla,2022-05-21,157463
E08000004,Oldham,ltla,2022-05-20,157424
E08000004,Oldham,ltla,2022-05-19,157395
E08000004,Oldham,ltla,2022-05-18,157356
E08000004,Oldham,ltla,2022-05-17,157324
E08000004,Oldham,ltla,2022-05-16,157290
E08000004,Oldham,ltla,2022-05-15,157231
E08000004,Oldham,ltla,2022-05-14,157195
E08000004,Oldham,ltla,2022-05-13,157155
E08000004,Oldham,ltla,2022-05-12,157118
E08000004,Oldham,ltla,2022-05-11,157079
E08000004,Oldham,ltla,2022-05-10,157045
E08000004,Oldham,ltla,2022-05-09,157015
E08000004,Oldham,ltla,2022-05-08,156963
E08000004,Oldham,ltla,2022-05-07,156925
E08000004,Oldham,ltla,2022-05-06,156846
E08000004,Oldham,ltla,2022-05-05,156796
E08000004,Oldham,ltla,2022-05-04,156758
E08000004,Oldham,ltla,2022-05-03,156732
E08000004,Oldham,ltla,2022-05-02,156692
E08000004,Oldham,ltla,2022-05-01,156681
E08000004,Oldham,ltla,2022-04-30,156662
E08000004,Oldham,ltla,2022-04-29,156616
E08000004,Oldham,ltla,2022-04-28,156578
E08000004,Oldham,ltla,2022-04-27,156550
E08000004,Oldham,ltla,2022-04-26,156520
E08000004,Oldham,ltla,2022-04-25,156487
E08000004,Oldham,ltla,2022-04-24,156439
E08000004,Oldham,ltla,2022-04-23,156402
E08000004,Oldham,ltla,2022-04-22,156361
E08000004,Oldham,ltla,2022-04-21,156310
E08000004,Oldham,ltla,2022-04-20,156256
E08000004,Oldham,ltla,2022-04-19,156219
E08000004,Oldham,ltla,2022-04-18,156152
E08000004,Oldham,ltla,2022-04-17,156122
E08000004,Oldham,ltla,2022-04-16,156108
E08000004,Oldham,ltla,2022-04-15,156070
E08000004,Oldham,ltla,2022-04-14,156026
E08000004,Oldham,ltla,2022-04-13,155983
E08000004,Oldham,ltla,2022-04-12,155947
E08000004,Oldham,ltla,2022-04-11,155905
E08000004,Oldham,ltla,2022-04-10,155853
E08000004,Oldham,ltla,2022-04-09,155817
E08000004,Oldham,ltla,2022-04-08,155766
E08000004,Oldham,ltla,2022-04-07,155719
E08000004,Oldham,ltla,2022-04-06,155685
E08000004,Oldham,ltla,2022-04-05,155654
E08000004,Oldham,ltla,2022-04-04,155618
E08000004,Oldham,ltla,2022-04-03,155566
E08000004,Oldham,ltla,2022-04-02,155532
E08000004,Oldham,ltla,2022-04-01,155476
E08000004,Oldham,ltla,2022-03-31,155419
E08000004,Oldham,ltla,2022-03-30,155351
E08000004,Oldham,ltla,2022-03-29,155295
E08000004,Oldham,ltla,2022-03-28,155237
E08000004,Oldham,ltla,2022-03-27,155168
E08000004,Oldham,ltla,2022-03-26,155130
E08000004,Oldham,ltla,2022-03-25,155075
E08000004,Oldham,ltla,2022-03-24,155014
E08000004,Oldham,ltla,2022-03-23,154945
E08000004,Oldham,ltla,2022-03-22,154882
E08000004,Oldham,ltla,2022-03-21,154783
E08000004,Oldham,ltla,2022-03-20,154651
E08000004,Oldham,ltla,2022-03-19,154605
E08000004,Oldham,ltla,2022-03-18,154548
E08000004,Oldham,ltla,2022-03-17,154413
E08000004,Oldham,ltla,2022-03-16,154339
E08000004,Oldham,ltla,2022-03-15,154298
E08000004,Oldham,ltla,2022-03-14,154249
E08000004,Oldham,ltla,2022-03-13,154193
E08000004,Oldham,ltla,2022-03-12,154146
E08000004,Oldham,ltla,2022-03-11,154088
E08000004,Oldham,ltla,2022-03-10,153997
E08000004,Oldham,ltla,2022-03-09,153930
E08000004,Oldham,ltla,2022-03-08,153900
