areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000220,Rugby,ltla,2022-08-02,83773
E07000220,Rugby,ltla,2022-08-01,83772
E07000220,Rugby,ltla,2022-07-31,83767
E07000220,Rugby,ltla,2022-07-30,83758
E07000220,Rugby,ltla,2022-07-29,83753
E07000220,Rugby,ltla,2022-07-28,83748
E07000220,Rugby,ltla,2022-07-27,83720
E07000220,Rugby,ltla,2022-07-26,83716
E07000220,Rugby,ltla,2022-07-25,83714
E07000220,Rugby,ltla,2022-07-24,83708
E07000220,Rugby,ltla,2022-07-23,83696
E07000220,Rugby,ltla,2022-07-22,83689
E07000220,Rugby,ltla,2022-07-21,83685
E07000220,Rugby,ltla,2022-07-20,83663
E07000220,Rugby,ltla,2022-07-19,83660
E07000220,Rugby,ltla,2022-07-18,83659
E07000220,Rugby,ltla,2022-07-17,83656
E07000220,Rugby,ltla,2022-07-16,83639
E07000220,Rugby,ltla,2022-07-15,83631
E07000220,Rugby,ltla,2022-07-14,83627
E07000220,Rugby,ltla,2022-07-13,83590
E07000220,Rugby,ltla,2022-07-12,83576
E07000220,Rugby,ltla,2022-07-11,83574
E07000220,Rugby,ltla,2022-07-10,83572
E07000220,Rugby,ltla,2022-07-09,83559
E07000220,Rugby,ltla,2022-07-08,83549
E07000220,Rugby,ltla,2022-07-07,83545
E07000220,Rugby,ltla,2022-07-06,83510
E07000220,Rugby,ltla,2022-07-05,83502
E07000220,Rugby,ltla,2022-07-04,83501
E07000220,Rugby,ltla,2022-07-03,83498
E07000220,Rugby,ltla,2022-07-02,83486
E07000220,Rugby,ltla,2022-07-01,83477
E07000220,Rugby,ltla,2022-06-30,83474
E07000220,Rugby,ltla,2022-06-29,83467
E07000220,Rugby,ltla,2022-06-28,83458
E07000220,Rugby,ltla,2022-06-27,83414
E07000220,Rugby,ltla,2022-06-26,83410
E07000220,Rugby,ltla,2022-06-25,83371
E07000220,Rugby,ltla,2022-06-24,83369
E07000220,Rugby,ltla,2022-06-23,83360
E07000220,Rugby,ltla,2022-06-22,83358
E07000220,Rugby,ltla,2022-06-21,83350
E07000220,Rugby,ltla,2022-06-20,83350
E07000220,Rugby,ltla,2022-06-19,83344
E07000220,Rugby,ltla,2022-06-18,83341
E07000220,Rugby,ltla,2022-06-17,83334
E07000220,Rugby,ltla,2022-06-16,83324
E07000220,Rugby,ltla,2022-06-15,83322
E07000220,Rugby,ltla,2022-06-14,83319
E07000220,Rugby,ltla,2022-06-13,83288
E07000220,Rugby,ltla,2022-06-12,83284
E07000220,Rugby,ltla,2022-06-11,83242
E07000220,Rugby,ltla,2022-06-10,83231
E07000220,Rugby,ltla,2022-06-09,83228
E07000220,Rugby,ltla,2022-06-08,83225
E07000220,Rugby,ltla,2022-06-07,83220
E07000220,Rugby,ltla,2022-06-06,83216
E07000220,Rugby,ltla,2022-06-05,83208
E07000220,Rugby,ltla,2022-06-04,83207
E07000220,Rugby,ltla,2022-06-03,83205
E07000220,Rugby,ltla,2022-06-02,83204
E07000220,Rugby,ltla,2022-06-01,83202
E07000220,Rugby,ltla,2022-05-31,83193
E07000220,Rugby,ltla,2022-05-30,83148
E07000220,Rugby,ltla,2022-05-29,83142
E07000220,Rugby,ltla,2022-05-28,83102
E07000220,Rugby,ltla,2022-05-27,83086
E07000220,Rugby,ltla,2022-05-26,83081
E07000220,Rugby,ltla,2022-05-25,83063
E07000220,Rugby,ltla,2022-05-24,83061
E07000220,Rugby,ltla,2022-05-23,83060
E07000220,Rugby,ltla,2022-05-22,83055
E07000220,Rugby,ltla,2022-05-21,83024
