areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000169,Selby,ltla,2022-08-02,72644
E07000169,Selby,ltla,2022-08-01,72639
E07000169,Selby,ltla,2022-07-31,72628
E07000169,Selby,ltla,2022-07-30,72626
E07000169,Selby,ltla,2022-07-29,72617
E07000169,Selby,ltla,2022-07-28,72612
E07000169,Selby,ltla,2022-07-27,72600
E07000169,Selby,ltla,2022-07-26,72590
E07000169,Selby,ltla,2022-07-25,72586
E07000169,Selby,ltla,2022-07-24,72577
E07000169,Selby,ltla,2022-07-23,72573
E07000169,Selby,ltla,2022-07-22,72568
E07000169,Selby,ltla,2022-07-21,72567
E07000169,Selby,ltla,2022-07-20,72562
E07000169,Selby,ltla,2022-07-19,72558
E07000169,Selby,ltla,2022-07-18,72545
E07000169,Selby,ltla,2022-07-17,72533
E07000169,Selby,ltla,2022-07-16,72529
E07000169,Selby,ltla,2022-07-15,72511
E07000169,Selby,ltla,2022-07-14,72505
E07000169,Selby,ltla,2022-07-13,72497
E07000169,Selby,ltla,2022-07-12,72493
E07000169,Selby,ltla,2022-07-11,72483
E07000169,Selby,ltla,2022-07-10,72474
E07000169,Selby,ltla,2022-07-09,72470
E07000169,Selby,ltla,2022-07-08,72439
E07000169,Selby,ltla,2022-07-07,72429
E07000169,Selby,ltla,2022-07-06,72416
E07000169,Selby,ltla,2022-07-05,72407
E07000169,Selby,ltla,2022-07-04,72389
E07000169,Selby,ltla,2022-07-03,72384
E07000169,Selby,ltla,2022-07-02,72378
E07000169,Selby,ltla,2022-07-01,72362
E07000169,Selby,ltla,2022-06-30,72357
E07000169,Selby,ltla,2022-06-29,72353
E07000169,Selby,ltla,2022-06-28,72349
E07000169,Selby,ltla,2022-06-27,72345
E07000169,Selby,ltla,2022-06-26,72340
E07000169,Selby,ltla,2022-06-25,72338
E07000169,Selby,ltla,2022-06-24,72325
E07000169,Selby,ltla,2022-06-23,72322
E07000169,Selby,ltla,2022-06-22,72319
E07000169,Selby,ltla,2022-06-21,72314
E07000169,Selby,ltla,2022-06-20,72307
E07000169,Selby,ltla,2022-06-19,72300
E07000169,Selby,ltla,2022-06-18,72298
E07000169,Selby,ltla,2022-06-17,72281
E07000169,Selby,ltla,2022-06-16,72273
E07000169,Selby,ltla,2022-06-15,72266
E07000169,Selby,ltla,2022-06-14,72261
E07000169,Selby,ltla,2022-06-13,72252
E07000169,Selby,ltla,2022-06-12,72234
E07000169,Selby,ltla,2022-06-11,72229
E07000169,Selby,ltla,2022-06-10,72213
E07000169,Selby,ltla,2022-06-09,72208
E07000169,Selby,ltla,2022-06-08,72207
E07000169,Selby,ltla,2022-06-07,72198
E07000169,Selby,ltla,2022-06-06,72189
E07000169,Selby,ltla,2022-06-05,72181
E07000169,Selby,ltla,2022-06-04,72181
E07000169,Selby,ltla,2022-06-03,72179
E07000169,Selby,ltla,2022-06-02,72178
E07000169,Selby,ltla,2022-06-01,72175
E07000169,Selby,ltla,2022-05-31,72159
E07000169,Selby,ltla,2022-05-30,72146
E07000169,Selby,ltla,2022-05-29,72132
E07000169,Selby,ltla,2022-05-28,72126
E07000169,Selby,ltla,2022-05-27,72110
E07000169,Selby,ltla,2022-05-26,72108
E07000169,Selby,ltla,2022-05-25,72103
E07000169,Selby,ltla,2022-05-24,72096
E07000169,Selby,ltla,2022-05-23,72090
E07000169,Selby,ltla,2022-05-22,72082
E07000169,Selby,ltla,2022-05-21,72072
E07000169,Selby,ltla,2022-05-20,72043
E07000169,Selby,ltla,2022-05-19,72035
E07000169,Selby,ltla,2022-05-18,72026
E07000169,Selby,ltla,2022-05-17,72019
E07000169,Selby,ltla,2022-05-16,72006
E07000169,Selby,ltla,2022-05-15,72001
E07000169,Selby,ltla,2022-05-14,71993
E07000169,Selby,ltla,2022-05-13,71967
E07000169,Selby,ltla,2022-05-12,71964
E07000169,Selby,ltla,2022-05-11,71953
E07000169,Selby,ltla,2022-05-10,71942
E07000169,Selby,ltla,2022-05-09,71907
E07000169,Selby,ltla,2022-05-08,71886
E07000169,Selby,ltla,2022-05-07,71882
E07000169,Selby,ltla,2022-05-06,71866
E07000169,Selby,ltla,2022-05-05,71854
E07000169,Selby,ltla,2022-05-04,71840
E07000169,Selby,ltla,2022-05-03,71836
E07000169,Selby,ltla,2022-05-02,71824
E07000169,Selby,ltla,2022-05-01,71821
E07000169,Selby,ltla,2022-04-30,71806
E07000169,Selby,ltla,2022-04-29,71778
E07000169,Selby,ltla,2022-04-28,71768
E07000169,Selby,ltla,2022-04-27,71762
E07000169,Selby,ltla,2022-04-26,71749
E07000169,Selby,ltla,2022-04-25,71738
E07000169,Selby,ltla,2022-04-24,71720
E07000169,Selby,ltla,2022-04-23,71701
E07000169,Selby,ltla,2022-04-22,71679
E07000169,Selby,ltla,2022-04-21,71656
E07000169,Selby,ltla,2022-04-20,71644
E07000169,Selby,ltla,2022-04-19,71614
E07000169,Selby,ltla,2022-04-18,71597
E07000169,Selby,ltla,2022-04-17,71587
E07000169,Selby,ltla,2022-04-16,71585
E07000169,Selby,ltla,2022-04-15,71576
E07000169,Selby,ltla,2022-04-14,71508
E07000169,Selby,ltla,2022-04-13,71496
E07000169,Selby,ltla,2022-04-12,71479
E07000169,Selby,ltla,2022-04-11,71458
E07000169,Selby,ltla,2022-04-10,71437
E07000169,Selby,ltla,2022-04-09,71410
E07000169,Selby,ltla,2022-04-08,71386
E07000169,Selby,ltla,2022-04-07,71380
E07000169,Selby,ltla,2022-04-06,71370
E07000169,Selby,ltla,2022-04-05,71360
E07000169,Selby,ltla,2022-04-04,71356
E07000169,Selby,ltla,2022-04-03,71343
E07000169,Selby,ltla,2022-04-02,71319
E07000169,Selby,ltla,2022-04-01,71296
E07000169,Selby,ltla,2022-03-31,71283
E07000169,Selby,ltla,2022-03-30,71271
E07000169,Selby,ltla,2022-03-29,71258
E07000169,Selby,ltla,2022-03-28,71250
E07000169,Selby,ltla,2022-03-27,71234
E07000169,Selby,ltla,2022-03-26,71224
E07000169,Selby,ltla,2022-03-25,71197
E07000169,Selby,ltla,2022-03-24,71182
E07000169,Selby,ltla,2022-03-23,71171
E07000169,Selby,ltla,2022-03-22,71145
E07000169,Selby,ltla,2022-03-21,71124
E07000169,Selby,ltla,2022-03-20,71105
E07000169,Selby,ltla,2022-03-19,71081
E07000169,Selby,ltla,2022-03-18,71054
E07000169,Selby,ltla,2022-03-17,71033
E07000169,Selby,ltla,2022-03-16,71026
E07000169,Selby,ltla,2022-03-15,71008
E07000169,Selby,ltla,2022-03-14,70983
E07000169,Selby,ltla,2022-03-13,70968
E07000169,Selby,ltla,2022-03-12,70954
E07000169,Selby,ltla,2022-03-11,70937
E07000169,Selby,ltla,2022-03-10,70918
E07000169,Selby,ltla,2022-03-09,70910
E07000169,Selby,ltla,2022-03-08,70902
E07000169,Selby,ltla,2022-03-07,70889
E07000169,Selby,ltla,2022-03-06,70801
E07000169,Selby,ltla,2022-03-05,70783
E07000169,Selby,ltla,2022-03-04,70775
E07000169,Selby,ltla,2022-03-03,70755
E07000169,Selby,ltla,2022-03-02,70728
E07000169,Selby,ltla,2022-03-01,70715
E07000169,Selby,ltla,2022-02-28,70679
E07000169,Selby,ltla,2022-02-27,70661
E07000169,Selby,ltla,2022-02-26,70635
E07000169,Selby,ltla,2022-02-25,70615
E07000169,Selby,ltla,2022-02-24,70593
E07000169,Selby,ltla,2022-02-23,70571
E07000169,Selby,ltla,2022-02-22,70555
E07000169,Selby,ltla,2022-02-21,70503
E07000169,Selby,ltla,2022-02-20,70454
